DATE,ROBG,ROBG_peak,BGRO,BGRO_peak
2020-03-22 04:10:00,7.4971432832e+09,7.4971432832e+09,2.1377345548e+09,2.1377345548e+09
2020-03-22 04:15:00,5.6958243225e+09,5.6958243225e+09,2.4270000551e+09,2.4270000551e+09
2020-03-22 04:20:00,5.9025250197e+09,5.9025250197e+09,2.5026269015e+09,2.5026269015e+09
2020-03-22 04:25:00,6.3969294845e+09,6.3969294845e+09,1.7511024154e+09,1.7511024154e+09
2020-03-22 04:30:00,4.8610542872e+09,4.8610542872e+09,2.5208692661e+09,2.5208692661e+09
2020-03-22 04:35:00,4.8845586047e+09,4.8845586047e+09,2.9422156851e+09,2.9422156851e+09
2020-03-22 04:40:00,3.8322678409e+09,3.8322678409e+09,2.3604392068e+09,2.3604392068e+09
2020-03-22 04:45:00,3.6366411742e+09,3.6366411742e+09,3.3671362785e+09,3.3671362785e+09
2020-03-22 04:50:00,3.4442201035e+09,3.4442201035e+09,2.1275262046e+09,2.1275262046e+09
2020-03-22 04:55:00,3.6018126127e+09,3.6018126127e+09,1.7809523026e+09,1.7809523026e+09
2020-03-22 05:00:00,3.2273278724e+09,3.2273278724e+09,1.8486432273e+09,1.8486432273e+09
2020-03-22 05:05:00,2.8915757651e+09,2.8915757651e+09,2.3830869999e+09,2.3830869999e+09
2020-03-22 05:10:00,3.2923169774e+09,3.2923169774e+09,2.1806307893e+09,2.1806307893e+09
2020-03-22 05:15:00,2.6068718381e+09,2.6068718381e+09,1.9811732125e+09,1.9811732125e+09
2020-03-22 05:20:00,2.5945444628e+09,2.5945444628e+09,2.3163548897e+09,2.3163548897e+09
2020-03-22 05:25:00,2.7074695765e+09,2.7074695765e+09,1.7971803153e+09,1.7971803153e+09
2020-03-22 05:30:00,2.6700467905e+09,2.6700467905e+09,1.9200445030e+09,1.9200445030e+09
2020-03-22 05:35:00,2.3854130810e+09,2.3854130810e+09,2.7089393477e+09,2.7089393477e+09
2020-03-22 05:40:00,7.6467731646e+09,7.6467731646e+09,2.1312072730e+09,2.1312072730e+09
2020-03-22 05:45:00,8.0098621306e+09,8.0098621306e+09,2.2834386484e+09,2.2834386484e+09
2020-03-22 05:50:00,7.1448719052e+09,7.1448719052e+09,2.4554704379e+09,2.4554704379e+09
2020-03-22 05:55:00,7.0968537626e+09,7.0968537626e+09,2.6385190978e+09,2.6385190978e+09
2020-03-22 06:00:00,3.5089268913e+09,3.5089268913e+09,2.1351484721e+09,2.1351484721e+09
2020-03-22 06:05:00,3.0457533079e+09,3.0457533079e+09,1.8185488912e+09,1.8185488912e+09
2020-03-22 06:10:00,3.1325345035e+09,3.1325345035e+09,1.9892210713e+09,1.9892210713e+09
2020-03-22 06:15:00,6.7128077307e+09,6.7128077307e+09,2.3631724453e+09,2.3631724453e+09
2020-03-22 06:20:00,4.6898712327e+09,4.6898712327e+09,1.5815348083e+09,1.5815348083e+09
2020-03-22 06:25:00,3.8023608843e+09,3.8023608843e+09,1.4094862494e+09,1.4094862494e+09
2020-03-22 06:30:00,4.4314030546e+09,4.4314030546e+09,3.4949807920e+09,3.4949807920e+09
2020-03-22 06:35:00,7.4561582579e+09,7.4561582579e+09,2.9016795287e+09,2.9016795287e+09
2020-03-22 06:40:00,2.7779903468e+09,2.7779903468e+09,2.9583208432e+09,2.9583208432e+09
2020-03-22 06:45:00,1.0269729373e+10,1.0269729373e+10,1.7663104296e+09,1.7663104296e+09
2020-03-22 06:50:00,9.1715903228e+09,9.1715903228e+09,1.8040442397e+09,1.8040442397e+09
2020-03-22 06:55:00,9.7712438982e+09,9.7712438982e+09,1.2018646207e+09,1.2018646207e+09
2020-03-22 07:00:00,1.0415161193e+10,1.0415161193e+10,2.0173647877e+09,2.0173647877e+09
2020-03-22 07:05:00,9.3868408040e+09,9.3868408040e+09,3.3077963757e+09,3.3077963757e+09
2020-03-22 07:10:00,6.1852654198e+09,6.1852654198e+09,3.0298665975e+09,3.0298665975e+09
2020-03-22 07:15:00,4.1613721325e+09,4.1613721325e+09,3.2961104529e+09,3.2961104529e+09
2020-03-22 07:20:00,2.9802195079e+09,2.9802195079e+09,2.7286656238e+09,2.7286656238e+09
2020-03-22 07:25:00,1.9042565147e+09,1.9042565147e+09,4.7483245948e+09,4.7483245948e+09
2020-03-22 07:30:00,2.5683048816e+09,2.5683048816e+09,3.0673842204e+09,3.0673842204e+09
2020-03-22 07:35:00,2.1358475910e+09,2.1358475910e+09,3.6084544443e+09,3.6084544443e+09
2020-03-22 07:40:00,2.2942682621e+09,2.2942682621e+09,2.6950487063e+09,2.6950487063e+09
2020-03-22 07:45:00,1.9067692343e+09,1.9067692343e+09,2.3143067542e+09,2.3143067542e+09
2020-03-22 07:50:00,1.8040051315e+09,1.8040051315e+09,2.0786632570e+09,2.0786632570e+09
