DATE,DECZ,DECZ_peak,CZDE,CZDE_peak
2020-03-22 04:50:00,1.5452962339e+10,1.5452962339e+10,4.7587435272e+09,4.7587435272e+09
2020-03-22 04:55:00,1.5426554591e+10,1.5426554591e+10,6.3147766879e+09,6.3147766879e+09
2020-03-22 05:00:00,1.7465155948e+10,1.7465155948e+10,7.0391506626e+09,7.0391506626e+09
2020-03-22 05:05:00,2.1118268904e+10,2.1118268904e+10,4.7414357105e+09,4.7414357105e+09
2020-03-22 05:10:00,1.6951607274e+10,1.6951607274e+10,6.6359520354e+09,6.6359520354e+09
2020-03-22 05:15:00,1.0383599036e+10,1.0383599036e+10,1.3452017853e+10,1.3452017853e+10
2020-03-22 05:20:00,1.0986697973e+10,1.0986697973e+10,1.7190709699e+10,1.7190709699e+10
2020-03-22 05:25:00,1.1198928049e+10,1.1198928049e+10,1.9197877856e+10,1.9197877856e+10
2020-03-22 05:30:00,1.0461211607e+10,1.0461211607e+10,2.2927625733e+10,2.2927625733e+10
2020-03-22 05:35:00,1.4317988010e+10,1.4317988010e+10,1.4719066139e+10,1.4719066139e+10
2020-03-22 05:40:00,1.1951625748e+10,1.1951625748e+10,6.9519167954e+09,6.9519167954e+09
2020-03-22 05:45:00,1.0796314957e+10,1.0796314957e+10,4.6710021705e+09,4.6710021705e+09
2020-03-22 05:50:00,2.0728253277e+10,2.0728253277e+10,6.6152754201e+09,6.6152754201e+09
2020-03-22 05:55:00,2.2341130362e+10,2.2341130362e+10,6.7058480220e+09,6.7058480220e+09
2020-03-22 06:00:00,2.1536142856e+10,2.1536142856e+10,7.2210116047e+09,7.2210116047e+09
2020-03-22 06:05:00,1.7726048260e+10,1.7726048260e+10,5.1131440302e+09,5.1131440302e+09
2020-03-22 06:10:00,1.4981725047e+10,1.4981725047e+10,5.0767282818e+09,5.0767282818e+09
2020-03-22 06:15:00,1.9047329862e+10,1.9047329862e+10,4.9768620270e+09,4.9768620270e+09
2020-03-22 06:20:00,1.8621525413e+10,1.8621525413e+10,6.0081649600e+09,6.0081649600e+09
2020-03-22 06:25:00,2.8253064156e+10,2.8253064156e+10,1.4361095834e+10,1.4361095834e+10
2020-03-22 06:30:00,1.8962117369e+10,1.8962117369e+10,1.5169058358e+10,1.5169058358e+10
2020-03-22 06:35:00,1.3858635261e+10,1.3858635261e+10,1.3590114006e+10,1.3590114006e+10
2020-03-22 06:40:00,1.2447308983e+10,1.2447308983e+10,1.0191294823e+10,1.0191294823e+10
2020-03-22 06:45:00,1.6423640699e+10,1.6423640699e+10,1.0960119419e+10,1.0960119419e+10
2020-03-22 06:50:00,1.2528223170e+10,1.2528223170e+10,1.2104140465e+10,1.2104140465e+10
2020-03-22 06:55:00,1.0693774061e+10,1.0693774061e+10,9.9474602644e+09,9.9474602644e+09
2020-03-22 07:00:00,1.0816597885e+10,1.0816597885e+10,7.3226921362e+09,7.3226921362e+09
2020-03-22 07:05:00,1.6655933993e+10,1.6655933993e+10,8.5155925890e+09,8.5155925890e+09
2020-03-22 07:10:00,1.8888429534e+10,1.8888429534e+10,8.2422876324e+09,8.2422876324e+09
2020-03-22 07:15:00,2.0621703122e+10,2.0621703122e+10,8.3512478003e+09,8.3512478003e+09
2020-03-22 07:20:00,1.9986091110e+10,1.9986091110e+10,9.1245344409e+09,9.1245344409e+09
