DATE,SKHU,SKHU_peak,HUSK,HUSK_peak
2020-03-23 02:05:00,3.3702989029e+06,3.3702989029e+06,3.3913450146e+07,3.3913450146e+07
2020-03-23 02:10:00,3.2004407288e+06,3.2004407288e+06,4.4689402693e+07,4.4689402693e+07
2020-03-23 02:15:00,3.2590190984e+06,3.2590190984e+06,4.1662739805e+07,4.1662739805e+07
2020-03-23 02:20:00,5.1000587402e+06,5.1000587402e+06,2.7806676090e+07,2.7806676090e+07
2020-03-23 02:25:00,2.1190979654e+06,2.1190979654e+06,2.4187211141e+07,2.4187211141e+07
2020-03-23 02:30:00,1.7662841759e+06,1.7662841759e+06,3.3810304093e+07,3.3810304093e+07
2020-03-23 02:35:00,1.8113373753e+06,1.8113373753e+06,3.7292230594e+07,3.7292230594e+07
2020-03-23 02:40:00,3.4499256190e+06,3.4499256190e+06,6.0276819714e+07,6.0276819714e+07
2020-03-23 02:45:00,1.8517000453e+06,1.8517000453e+06,2.8512676105e+07,2.8512676105e+07
2020-03-23 02:50:00,2.6151047520e+06,2.6151047520e+06,3.1619210901e+07,3.1619210901e+07
2020-03-23 02:55:00,2.3962697163e+06,2.3962697163e+06,3.8689042193e+07,3.8689042193e+07
2020-03-23 03:00:00,3.1059369907e+06,3.1059369907e+06,5.2875909350e+07,5.2875909350e+07
2020-03-23 03:05:00,3.8216316264e+06,3.8216316264e+06,6.6926541377e+07,6.6926541377e+07
2020-03-23 03:10:00,3.8571876391e+06,3.8571876391e+06,7.9588007995e+07,7.9588007995e+07
2020-03-23 03:15:00,2.7198327376e+06,2.7198327376e+06,7.5120733147e+07,7.5120733147e+07
2020-03-23 03:20:00,2.6659429101e+06,2.6659429101e+06,7.6091420715e+07,7.6091420715e+07
2020-03-23 03:25:00,2.5534488576e+06,2.5534488576e+06,1.1626347983e+08,1.1626347983e+08
2020-03-23 03:30:00,3.2266941616e+06,3.2266941616e+06,1.0701587454e+08,1.0701587454e+08
2020-03-23 03:35:00,2.7609295005e+06,2.7609295005e+06,2.0393741207e+08,2.0393741207e+08
2020-03-23 03:40:00,1.8514999664e+06,1.8514999664e+06,1.2260824222e+08,1.2260824222e+08
2020-03-23 03:45:00,1.8675618563e+06,1.8675618563e+06,8.3648488034e+07,8.3648488034e+07
2020-03-23 03:50:00,2.5846289360e+06,2.5846289360e+06,1.1373963419e+08,1.1373963419e+08
2020-03-23 03:55:00,2.3612666547e+06,2.3612666547e+06,9.3735239593e+07,9.3735239593e+07
2020-03-23 04:00:00,2.4538853821e+06,2.4538853821e+06,9.6323911810e+07,9.6323911810e+07
2020-03-23 04:05:00,3.3205900549e+06,3.3205900549e+06,1.1180308059e+08,1.1180308059e+08
2020-03-23 04:10:00,6.0442326312e+06,6.0442326312e+06,1.1377971975e+08,1.1377971975e+08
2020-03-23 04:15:00,3.7433112192e+06,3.7433112192e+06,1.1220229694e+08,1.1220229694e+08
2020-03-23 04:20:00,1.7063083315e+06,1.7063083315e+06,1.1831844444e+08,1.1831844444e+08
2020-03-23 04:25:00,1.0851790829e+07,1.0851790829e+07,1.3167186961e+08,1.3167186961e+08
2020-03-23 04:30:00,1.4614875508e+07,1.4614875508e+07,1.4333084994e+08,1.4333084994e+08
2020-03-23 04:35:00,1.0912095898e+07,1.0912095898e+07,1.7625569274e+08,1.7625569274e+08
2020-03-23 04:40:00,1.8085448053e+06,1.8085448053e+06,1.8234912034e+08,1.8234912034e+08
2020-03-23 04:45:00,9.5703238869e+06,9.5703238869e+06,1.7026030321e+08,1.7026030321e+08
2020-03-23 04:50:00,2.3842013109e+06,2.3842013109e+06,3.5927122574e+08,3.5927122574e+08
2020-03-23 04:55:00,1.3282164173e+06,1.3282164173e+06,2.3350297524e+08,2.3350297524e+08
2020-03-23 05:00:00,2.0942611793e+07,2.0942611793e+07,1.7609779010e+08,1.7609779010e+08
2020-03-23 05:05:00,1.9771201742e+07,1.9771201742e+07,1.6779528912e+08,1.6779528912e+08
2020-03-23 05:10:00,2.8495017184e+06,2.8495017184e+06,1.5412656035e+08,1.5412656035e+08
2020-03-23 05:15:00,2.9036487731e+06,2.9036487731e+06,1.6156781833e+08,1.6156781833e+08
2020-03-23 05:20:00,3.2637393177e+06,3.2637393177e+06,1.7726302169e+08,1.7726302169e+08
2020-03-23 05:25:00,3.1814337934e+06,3.1814337934e+06,1.9663637579e+08,1.9663637579e+08
2020-03-23 05:30:00,3.6377821217e+06,3.6377821217e+06,2.5267410424e+08,2.5267410424e+08
2020-03-23 05:35:00,3.2000343164e+06,3.2000343164e+06,2.9191682333e+08,2.9191682333e+08
