DATE,IRUI,IRUI_peak,UIIR,IRUI_peak
2020-03-22 04:25:00,8.9212565377e+06,8.9212565377e+06,1.4996082783e+08,1.4996082783e+08
2020-03-22 04:30:00,1.0634676682e+07,1.0634676682e+07,5.5319406713e+07,5.5319406713e+07
2020-03-22 04:35:00,9.3910466116e+06,9.3910466116e+06,5.9770697681e+07,5.9770697681e+07
2020-03-22 04:40:00,4.0406661934e+07,4.0406661934e+07,7.0480120367e+07,7.0480120367e+07
2020-03-22 04:45:00,4.5159048226e+07,4.5159048226e+07,7.8260437680e+07,7.8260437680e+07
2020-03-22 04:50:00,2.7235742131e+08,2.7235742131e+08,5.8150884765e+07,5.8150884765e+07
2020-03-22 04:55:00,5.2299755054e+08,5.2299755054e+08,5.6888736609e+07,5.6888736609e+07
2020-03-22 05:00:00,2.1350484352e+08,2.1350484352e+08,4.4141269295e+07,4.4141269295e+07
2020-03-22 05:05:00,2.7673450619e+08,2.7673450619e+08,7.3590109621e+07,7.3590109621e+07
2020-03-22 05:10:00,6.4139743551e+08,6.4139743551e+08,5.7137355330e+07,5.7137355330e+07
2020-03-22 05:15:00,2.8537710681e+08,2.8537710681e+08,5.5603230681e+07,5.5603230681e+07
2020-03-22 05:20:00,5.2542921854e+08,5.2542921854e+08,5.9039727231e+07,5.9039727231e+07
2020-03-22 05:25:00,4.9787935596e+08,4.9787935596e+08,5.8189700534e+07,5.8189700534e+07
2020-03-22 05:30:00,5.5254759722e+08,5.5254759722e+08,4.3285463429e+07,4.3285463429e+07
2020-03-22 05:35:00,5.3007159960e+08,5.3007159960e+08,5.1429817958e+07,5.1429817958e+07
2020-03-22 05:40:00,4.2520984326e+08,4.2520984326e+08,5.5593748668e+07,5.5593748668e+07
2020-03-22 05:45:00,7.4205500149e+08,7.4205500149e+08,4.5381155275e+07,4.5381155275e+07
2020-03-22 05:50:00,5.8396152155e+08,5.8396152155e+08,4.7608635982e+07,4.7608635982e+07
2020-03-22 05:55:00,7.4025893338e+08,7.4025893338e+08,4.5518780539e+07,4.5518780539e+07
2020-03-22 06:00:00,3.4850300195e+08,3.4850300195e+08,4.1589864979e+07,4.1589864979e+07
2020-03-22 06:05:00,6.7695220829e+08,6.7695220829e+08,4.5136522808e+07,4.5136522808e+07
2020-03-22 06:10:00,7.3575917825e+08,7.3575917825e+08,4.5256474957e+07,4.5256474957e+07
2020-03-22 06:15:00,7.4232120099e+08,7.4232120099e+08,4.7354788535e+07,4.7354788535e+07
2020-03-22 06:20:00,5.2097749929e+08,5.2097749929e+08,4.6725087616e+07,4.6725087616e+07
2020-03-22 06:25:00,6.9776815307e+08,6.9776815307e+08,4.9041481705e+07,4.9041481705e+07
2020-03-22 06:30:00,6.4931259413e+08,6.4931259413e+08,4.8935566910e+07,4.8935566910e+07
2020-03-22 06:35:00,5.9652158135e+08,5.9652158135e+08,4.5020489923e+07,4.5020489923e+07
2020-03-22 06:40:00,7.6804251634e+08,7.6804251634e+08,4.1120943665e+07,4.1120943665e+07
2020-03-22 06:45:00,6.0091386117e+08,6.0091386117e+08,4.7653407731e+07,4.7653407731e+07
2020-03-22 06:50:00,5.9877450992e+08,5.9877450992e+08,4.5519918457e+07,4.5519918457e+07
2020-03-22 06:55:00,1.1670792520e+08,1.1670792520e+08,5.2229967604e+07,5.2229967604e+07
2020-03-22 07:00:00,1.3646965391e+07,1.3646965391e+07,5.7019072375e+07,5.7019072375e+07
2020-03-22 07:05:00,7.3758547518e+06,7.3758547518e+06,6.5556958402e+07,6.5556958402e+07
2020-03-22 07:10:00,1.1310612962e+07,1.1310612962e+07,7.5981280842e+07,7.5981280842e+07
2020-03-22 07:15:00,3.9933825287e+07,3.9933825287e+07,5.3020401495e+07,5.3020401495e+07
2020-03-22 07:20:00,7.7053414078e+06,7.7053414078e+06,5.2308670328e+07,5.2308670328e+07
2020-03-22 07:25:00,8.0559584519e+06,8.0559584519e+06,4.6339276743e+07,4.6339276743e+07
2020-03-22 07:30:00,5.6776546208e+06,5.6776546208e+06,3.9207812547e+07,3.9207812547e+07
2020-03-22 07:35:00,7.5650228285e+06,7.5650228285e+06,5.2092348262e+07,5.2092348262e+07
2020-03-22 07:40:00,8.5892956724e+06,8.5892956724e+06,4.4521475327e+07,4.4521475327e+07
2020-03-22 07:45:00,9.0684668378e+06,9.0684668378e+06,4.7299381648e+07,4.7299381648e+07
2020-03-22 07:50:00,1.0390750864e+07,1.0390750864e+07,4.8958994253e+07,4.8958994253e+07
