DATE,HUSI,HUSI_peak,SIHU,HUSI_peak
2020-03-15 08:35:00,1.2279432633e+08,1.2279432633e+08,1.5094413587e+08,1.5094413587e+08
2020-03-15 08:40:00,1.4757988953e+08,1.4757988953e+08,1.3916970702e+08,1.3916970702e+08
2020-03-15 08:45:00,1.2669061028e+08,1.2669061028e+08,1.3142336516e+08,1.3142336516e+08
2020-03-15 08:50:00,1.3668936596e+08,1.3668936596e+08,1.2541748552e+08,1.2541748552e+08
2020-03-15 08:55:00,1.4228090502e+08,1.4228090502e+08,2.6458370128e+08,2.6458370128e+08
2020-03-15 09:00:00,2.4328888669e+08,2.4328888669e+08,1.8112525415e+08,1.8112525415e+08
2020-03-15 09:05:00,1.3775386341e+08,1.3775386341e+08,1.9054667618e+08,1.9054667618e+08
2020-03-15 09:10:00,1.4101399752e+08,1.4101399752e+08,1.8983351059e+08,1.8983351059e+08
2020-03-15 09:15:00,1.7149322045e+08,1.7149322045e+08,2.6680577169e+08,2.6680577169e+08
2020-03-15 09:20:00,1.4019896225e+08,1.4019896225e+08,2.4766639958e+08,2.4766639958e+08
2020-03-15 09:25:00,1.7262223676e+08,1.7262223676e+08,2.1916826503e+08,2.1916826503e+08
2020-03-15 09:30:00,1.4854496721e+08,1.4854496721e+08,1.9319690451e+08,1.9319690451e+08
2020-03-15 09:35:00,1.8009192537e+08,1.8009192537e+08,2.5927975958e+08,2.5927975958e+08
2020-03-15 09:40:00,1.5373334910e+08,1.5373334910e+08,5.3765378589e+08,5.3765378589e+08
2020-03-15 09:45:00,1.5692994295e+08,1.5692994295e+08,5.8930327676e+08,5.8930327676e+08
2020-03-15 09:50:00,1.5077623082e+08,1.5077623082e+08,7.0372701733e+08,7.0372701733e+08
2020-03-15 09:55:00,1.7514151089e+08,1.7514151089e+08,7.4152258827e+08,7.4152258827e+08
2020-03-15 10:00:00,1.7679704217e+08,1.7679704217e+08,6.1445458152e+08,6.1445458152e+08
2020-03-15 10:05:00,1.5993486594e+08,1.5993486594e+08,3.7193983817e+08,3.7193983817e+08
2020-03-15 10:10:00,1.4183329528e+08,1.4183329528e+08,3.8403286372e+08,3.8403286372e+08
2020-03-15 10:15:00,1.4248133423e+08,1.4248133423e+08,4.2777717838e+08,4.2777717838e+08
2020-03-15 10:20:00,1.3925777326e+08,1.3925777326e+08,3.5255731626e+08,3.5255731626e+08
2020-03-15 10:25:00,1.7198340734e+08,1.7198340734e+08,1.9850483694e+08,1.9850483694e+08
2020-03-15 10:30:00,1.2639798758e+08,1.2639798758e+08,2.6209937730e+08,2.6209937730e+08
2020-03-15 10:35:00,1.3551975218e+08,1.3551975218e+08,1.8233768188e+08,1.8233768188e+08
2020-03-15 10:40:00,1.4496466224e+08,1.4496466224e+08,1.9410964134e+08,1.9410964134e+08
2020-03-15 10:45:00,1.5245678610e+08,1.5245678610e+08,1.0988300635e+08,1.0988300635e+08
2020-03-15 10:50:00,1.5553373489e+08,1.5553373489e+08,7.9654301542e+07,7.9654301542e+07
2020-03-15 10:55:00,1.5848349918e+08,1.5848349918e+08,2.1125898445e+08,2.1125898445e+08
2020-03-15 11:00:00,1.4382097908e+08,1.4382097908e+08,1.9065914186e+09,1.9065914186e+09
2020-03-15 11:05:00,1.6919597170e+08,1.6919597170e+08,1.6326069625e+08,1.6326069625e+08
2020-03-15 11:10:00,1.7987081563e+08,1.7987081563e+08,1.4909932381e+08,1.4909932381e+08
2020-03-15 11:15:00,1.8333617898e+08,1.8333617898e+08,1.8806291263e+08,1.8806291263e+08
2020-03-15 11:20:00,2.4550000182e+08,2.4550000182e+08,1.6426951281e+08,1.6426951281e+08
2020-03-15 11:25:00,1.8678694393e+08,1.8678694393e+08,1.8090170971e+08,1.8090170971e+08
2020-03-15 11:30:00,1.1895924503e+08,1.1895924503e+08,1.8413651697e+08,1.8413651697e+08
2020-03-15 11:35:00,1.7628504221e+08,1.7628504221e+08,2.6371274526e+08,2.6371274526e+08
2020-03-15 11:40:00,1.6712219975e+08,1.6712219975e+08,2.7202372730e+08,2.7202372730e+08
2020-03-15 11:45:00,1.9903521347e+08,1.9903521347e+08,3.5876586924e+08,3.5876586924e+08
2020-03-15 11:50:00,2.1527296325e+08,2.1527296325e+08,3.6559375285e+08,3.6559375285e+08
2020-03-15 11:55:00,1.9392220382e+08,1.9392220382e+08,4.2650747903e+08,4.2650747903e+08
2020-03-15 12:00:00,1.7107210897e+08,1.7107210897e+08,2.8680936850e+08,2.8680936850e+08
2020-03-15 12:05:00,1.3916432579e+08,1.3916432579e+08,1.6671165982e+08,1.6671165982e+08
2020-03-15 12:10:00,1.6156578174e+08,1.6156578174e+08,1.8758684785e+08,1.8758684785e+08
2020-03-15 12:15:00,1.4649998647e+08,1.4649998647e+08,1.0006872549e+08,1.0006872549e+08
2020-03-15 12:20:00,1.6071916658e+08,1.6071916658e+08,8.2243856218e+07,8.2243856218e+07
2020-03-15 12:25:00,2.1850082229e+08,2.1850082229e+08,8.3277288307e+07,8.3277288307e+07
2020-03-15 12:30:00,1.4151321733e+08,1.4151321733e+08,1.7306556942e+08,1.7306556942e+08
2020-03-15 12:35:00,1.5662232261e+08,1.5662232261e+08,1.8809707897e+09,1.8809707897e+09
2020-03-15 12:40:00,1.7373221593e+08,1.7373221593e+08,1.7787694855e+08,1.7787694855e+08
2020-03-15 12:45:00,1.3723304106e+08,1.3723304106e+08,5.8649336046e+08,5.8649336046e+08
2020-03-15 12:50:00,1.5264496718e+08,1.5264496718e+08,1.2149984298e+08,1.2149984298e+08
