DATE,PTPR,PTPR_peak,PRPT,PRPT_peak
2020-03-15 04:05:00,2.3764172602e+08,2.3764172602e+08,4.5682913412e+08,4.5682913412e+08
2020-03-15 04:10:00,1.9935050897e+09,1.9935050897e+09,1.0976196486e+09,1.0976196486e+09
2020-03-15 04:15:00,1.2353408802e+09,1.2353408802e+09,5.0622199994e+08,5.0622199994e+08
2020-03-15 04:20:00,6.0481243934e+08,6.0481243934e+08,8.0830432778e+08,8.0830432778e+08
2020-03-15 04:25:00,3.5597736651e+08,3.5597736651e+08,4.8873259351e+08,4.8873259351e+08
2020-03-15 04:30:00,2.2554448927e+08,2.2554448927e+08,3.6398878864e+08,3.6398878864e+08
2020-03-15 04:35:00,1.9918368082e+08,1.9918368082e+08,5.4664152507e+08,5.4664152507e+08
2020-03-15 04:40:00,1.5753613249e+08,1.5753613249e+08,3.6956967852e+08,3.6956967852e+08
2020-03-15 04:45:00,7.8853705833e+07,7.8853705833e+07,3.5207517539e+08,3.5207517539e+08
2020-03-15 04:50:00,1.3945612570e+08,1.3945612570e+08,3.5800010826e+08,3.5800010826e+08
2020-03-15 04:55:00,7.7928621077e+07,7.7928621077e+07,3.4262851218e+08,3.4262851218e+08
2020-03-15 05:00:00,1.5338689501e+08,1.5338689501e+08,3.2635958082e+08,3.2635958082e+08
2020-03-15 05:05:00,1.5944315128e+08,1.5944315128e+08,3.2783398397e+08,3.2783398397e+08
2020-03-15 05:10:00,1.6429209534e+09,1.6429209534e+09,3.1918351698e+08,3.1918351698e+08
2020-03-15 05:15:00,1.1484929451e+09,1.1484929451e+09,2.8476854693e+08,2.8476854693e+08
2020-03-15 05:20:00,8.8078774661e+08,8.8078774661e+08,5.9567500025e+08,5.9567500025e+08
2020-03-15 05:25:00,3.7901646159e+08,3.7901646159e+08,3.0315191919e+08,3.0315191919e+08
2020-03-15 05:30:00,2.5254683721e+08,2.5254683721e+08,3.5866163911e+08,3.5866163911e+08
2020-03-15 05:35:00,2.0095383667e+08,2.0095383667e+08,3.6841692005e+08,3.6841692005e+08
2020-03-15 05:40:00,1.7129070452e+08,1.7129070452e+08,3.7875053390e+08,3.7875053390e+08
2020-03-15 05:45:00,1.8204438244e+08,1.8204438244e+08,3.2911888197e+08,3.2911888197e+08
2020-03-15 05:50:00,1.4887924438e+08,1.4887924438e+08,3.7317704936e+08,3.7317704936e+08
2020-03-15 05:55:00,1.5158517799e+08,1.5158517799e+08,1.4690408278e+09,1.4690408278e+09
2020-03-15 06:00:00,1.4394732814e+08,1.4394732814e+08,1.4081188837e+09,1.4081188837e+09
2020-03-15 06:05:00,1.2895562555e+08,1.2895562555e+08,3.7962735943e+09,3.7962735943e+09
2020-03-15 06:10:00,1.0174828345e+08,1.0174828345e+08,1.1049063986e+09,1.1049063986e+09
2020-03-15 06:15:00,1.3503645664e+08,1.3503645664e+08,4.5687844996e+08,4.5687844996e+08
2020-03-15 06:20:00,1.9579633213e+08,1.9579633213e+08,1.4792047421e+09,1.4792047421e+09
2020-03-15 06:25:00,1.7184621287e+08,1.7184621287e+08,5.3031105952e+08,5.3031105952e+08
2020-03-15 06:30:00,1.4688770038e+08,1.4688770038e+08,4.5617297721e+08,4.5617297721e+08
2020-03-15 06:35:00,2.0457878615e+08,2.0457878615e+08,3.9409875823e+08,3.9409875823e+08
2020-03-15 06:40:00,1.2344762868e+08,1.2344762868e+08,2.8745983381e+09,2.8745983381e+09
2020-03-15 06:45:00,1.3645802686e+08,1.3645802686e+08,1.6363810806e+09,1.6363810806e+09
2020-03-15 06:50:00,1.9042450570e+08,1.9042450570e+08,6.1641015302e+08,6.1641015302e+08
2020-03-15 06:55:00,1.6547444794e+08,1.6547444794e+08,3.4410678330e+08,3.4410678330e+08
2020-03-15 07:00:00,1.8956937383e+08,1.8956937383e+08,1.3263884079e+09,1.3263884079e+09
2020-03-15 07:05:00,3.4346546852e+08,3.4346546852e+08,4.3856289454e+08,4.3856289454e+08
2020-03-15 07:10:00,2.2258657449e+08,2.2258657449e+08,7.3597634406e+08,7.3597634406e+08
2020-03-15 07:15:00,8.2191481218e+07,8.2191481218e+07,4.7048954591e+08,4.7048954591e+08
2020-03-15 07:20:00,1.3735999800e+08,1.3735999800e+08,3.9457355920e+08,3.9457355920e+08
2020-03-15 07:25:00,1.0965430549e+08,1.0965430549e+08,5.2369868856e+08,5.2369868856e+08
2020-03-15 07:30:00,1.8498182181e+08,1.8498182181e+08,4.9449960125e+08,4.9449960125e+08
