DATE,ROHU,ROHU_peak,HURO,HURO_peak
2020-03-15 04:25:00,3.0086755716e+08,3.0086755716e+08,1.3682487030e+08,1.3682487030e+08
2020-03-15 04:30:00,2.8857919804e+08,2.8857919804e+08,1.6860922457e+08,1.6860922457e+08
2020-03-15 04:35:00,4.5197289032e+08,4.5197289032e+08,1.2251631446e+08,1.2251631446e+08
2020-03-15 04:40:00,3.4888485854e+08,3.4888485854e+08,1.3825929156e+08,1.3825929156e+08
2020-03-15 04:45:00,4.1608879408e+08,4.1608879408e+08,1.6885659744e+08,1.6885659744e+08
2020-03-15 04:50:00,4.0559333861e+08,4.0559333861e+08,1.3626089921e+08,1.3626089921e+08
2020-03-15 04:55:00,3.1037807101e+08,3.1037807101e+08,9.3212301523e+07,9.3212301523e+07
2020-03-15 05:00:00,2.5365396719e+08,2.5365396719e+08,2.6826800211e+08,2.6826800211e+08
2020-03-15 05:05:00,2.5607844307e+08,2.5607844307e+08,1.6129426018e+08,1.6129426018e+08
2020-03-15 05:10:00,1.5349900444e+08,1.5349900444e+08,1.3482425373e+08,1.3482425373e+08
2020-03-15 05:15:00,1.5277248196e+08,1.5277248196e+08,2.1596775356e+08,2.1596775356e+08
2020-03-15 05:20:00,1.3722818942e+08,1.3722818942e+08,1.3478916482e+08,1.3478916482e+08
2020-03-15 05:25:00,1.6342498233e+08,1.6342498233e+08,2.1416195974e+08,2.1416195974e+08
2020-03-15 05:30:00,1.4528939588e+08,1.4528939588e+08,2.2715567957e+08,2.2715567957e+08
2020-03-15 05:35:00,1.3426005988e+08,1.3426005988e+08,1.6950399889e+08,1.6950399889e+08
2020-03-15 05:40:00,1.3706402208e+08,1.3706402208e+08,1.0787396395e+08,1.0787396395e+08
2020-03-15 05:45:00,1.3217895556e+08,1.3217895556e+08,8.7143361754e+07,8.7143361754e+07
2020-03-15 05:50:00,1.3488411797e+08,1.3488411797e+08,1.5669414977e+08,1.5669414977e+08
2020-03-15 05:55:00,1.5337795857e+08,1.5337795857e+08,1.3576825845e+08,1.3576825845e+08
2020-03-15 06:00:00,1.4883552652e+08,1.4883552652e+08,9.5531593053e+07,9.5531593053e+07
2020-03-15 06:05:00,1.3672055061e+08,1.3672055061e+08,1.6358916619e+08,1.6358916619e+08
2020-03-15 06:10:00,1.3666866686e+08,1.3666866686e+08,1.2883883992e+08,1.2883883992e+08
2020-03-15 06:15:00,1.4746010767e+08,1.4746010767e+08,1.9897564268e+08,1.9897564268e+08
2020-03-15 06:20:00,1.4328681848e+08,1.4328681848e+08,4.6828059019e+07,4.6828059019e+07
2020-03-15 06:25:00,1.4286255857e+08,1.4286255857e+08,5.9316031098e+07,5.9316031098e+07
2020-03-15 06:30:00,1.4764563741e+08,1.4764563741e+08,4.5618869127e+07,4.5618869127e+07
2020-03-15 06:35:00,1.4542733858e+08,1.4542733858e+08,4.3433498749e+07,4.3433498749e+07
2020-03-15 06:40:00,1.4468022789e+08,1.4468022789e+08,6.5826854501e+07,6.5826854501e+07
2020-03-15 06:45:00,1.4450537571e+08,1.4450537571e+08,4.5812700932e+07,4.5812700932e+07
2020-03-15 06:50:00,1.4098396688e+08,1.4098396688e+08,4.7416714002e+07,4.7416714002e+07
2020-03-15 06:55:00,1.4935469894e+08,1.4935469894e+08,3.9124363052e+07,3.9124363052e+07
2020-03-15 07:00:00,1.3845260984e+08,1.3845260984e+08,3.6374533410e+07,3.6374533410e+07
2020-03-15 07:05:00,1.4021567420e+08,1.4021567420e+08,4.3439320605e+07,4.3439320605e+07
2020-03-15 07:10:00,2.1291914726e+08,2.1291914726e+08,9.8536418874e+07,9.8536418874e+07
2020-03-15 07:15:00,1.5749887602e+08,1.5749887602e+08,1.8542019800e+08,1.8542019800e+08
2020-03-15 07:20:00,1.6417656015e+08,1.6417656015e+08,5.0438798608e+07,5.0438798608e+07
2020-03-15 07:25:00,1.4153648993e+08,1.4153648993e+08,4.2034198662e+07,4.2034198662e+07
2020-03-15 07:30:00,1.4991711349e+08,1.4991711349e+08,7.6893848773e+08,7.6893848773e+08
2020-03-15 07:35:00,1.4830653422e+08,1.4830653422e+08,4.6895599394e+08,4.6895599394e+08
2020-03-15 07:40:00,1.5148152481e+08,1.5148152481e+08,4.4161160805e+08,4.4161160805e+08
2020-03-15 07:45:00,1.5127377200e+08,1.5127377200e+08,6.4490467889e+07,6.4490467889e+07
2020-03-15 07:50:00,1.4982920789e+08,1.4982920789e+08,4.1185898179e+07,4.1185898179e+07
2020-03-15 07:55:00,1.7235826872e+08,1.7235826872e+08,2.8516409916e+08,2.8516409916e+08
2020-03-15 08:00:00,1.6509222416e+08,1.6509222416e+08,3.8223262624e+08,3.8223262624e+08
2020-03-15 08:05:00,1.6149932198e+08,1.6149932198e+08,6.7180241000e+08,6.7180241000e+08
2020-03-15 08:10:00,1.5063790627e+08,1.5063790627e+08,8.7475428507e+07,8.7475428507e+07
2020-03-15 08:15:00,1.6670571920e+08,1.6670571920e+08,7.6630091606e+07,7.6630091606e+07
2020-03-15 08:20:00,1.5528033351e+08,1.5528033351e+08,5.1851467355e+08,5.1851467355e+08
2020-03-15 08:25:00,1.5130363475e+08,1.5130363475e+08,3.3873246445e+08,3.3873246445e+08
2020-03-15 08:30:00,1.6149254118e+08,1.6149254118e+08,4.2990671071e+07,4.2990671071e+07
2020-03-15 08:35:00,1.7805260803e+08,1.7805260803e+08,3.5694254470e+07,3.5694254470e+07
2020-03-15 08:40:00,2.2365570291e+08,2.2365570291e+08,1.4381721433e+08,1.4381721433e+08
2020-03-15 08:45:00,1.7449329497e+08,1.7449329497e+08,5.4616758951e+07,5.4616758951e+07
2020-03-15 08:50:00,1.7354348591e+08,1.7354348591e+08,4.1832384047e+07,4.1832384047e+07
2020-03-15 08:55:00,1.6969367107e+08,1.6969367107e+08,1.3580520140e+08,1.3580520140e+08
2020-03-15 09:00:00,1.7136414766e+08,1.7136414766e+08,9.8549456590e+07,9.8549456590e+07
2020-03-15 09:05:00,1.5021288751e+08,1.5021288751e+08,3.6942848605e+07,3.6942848605e+07
2020-03-15 09:10:00,1.6920371480e+08,1.6920371480e+08,4.7180993534e+07,4.7180993534e+07
2020-03-15 09:15:00,1.5421583472e+08,1.5421583472e+08,6.2632349335e+07,6.2632349335e+07
2020-03-15 09:20:00,2.1337888307e+08,2.1337888307e+08,2.0518183236e+08,2.0518183236e+08
2020-03-15 09:25:00,2.5336435311e+08,2.5336435311e+08,2.9860171344e+08,2.9860171344e+08
2020-03-15 09:30:00,2.3273589594e+08,2.3273589594e+08,2.9273168684e+08,2.9273168684e+08
2020-03-15 09:35:00,1.9983900868e+08,1.9983900868e+08,7.3671671238e+07,7.3671671238e+07
2020-03-15 09:40:00,2.1954334783e+08,2.1954334783e+08,1.7048549078e+08,1.7048549078e+08
2020-03-15 09:45:00,1.8693229943e+08,1.8693229943e+08,2.9376445141e+08,2.9376445141e+08
2020-03-15 09:50:00,2.1936897753e+08,2.1936897753e+08,1.9800593409e+08,1.9800593409e+08
2020-03-15 09:55:00,2.2931471928e+08,2.2931471928e+08,7.4923892782e+07,7.4923892782e+07
2020-03-15 10:00:00,1.9946370446e+08,1.9946370446e+08,6.2674407686e+07,6.2674407686e+07
2020-03-15 10:05:00,1.9973474922e+08,1.9973474922e+08,4.8414502970e+07,4.8414502970e+07
2020-03-15 10:10:00,2.0481342805e+08,2.0481342805e+08,8.5281468659e+07,8.5281468659e+07
2020-03-15 10:15:00,2.1520142560e+08,2.1520142560e+08,5.7577728429e+07,5.7577728429e+07
2020-03-15 10:20:00,3.9443667165e+08,3.9443667165e+08,6.7715141838e+07,6.7715141838e+07
2020-03-15 10:25:00,2.0536496568e+08,2.0536496568e+08,6.7354219439e+07,6.7354219439e+07
2020-03-15 10:30:00,1.9945022725e+08,1.9945022725e+08,4.7157535300e+07,4.7157535300e+07
2020-03-15 10:35:00,1.9406516433e+08,1.9406516433e+08,8.1412443284e+07,8.1412443284e+07
2020-03-15 10:40:00,2.1719155026e+08,2.1719155026e+08,7.3720556647e+07,7.3720556647e+07
2020-03-15 10:45:00,2.1333151751e+08,2.1333151751e+08,8.3299860916e+07,8.3299860916e+07
2020-03-15 10:50:00,1.9952213766e+08,1.9952213766e+08,9.2917756938e+07,9.2917756938e+07
2020-03-15 10:55:00,2.1246457974e+08,2.1246457974e+08,5.4082077647e+07,5.4082077647e+07
2020-03-15 11:00:00,3.0789482243e+08,3.0789482243e+08,6.9476966082e+07,6.9476966082e+07
2020-03-15 11:05:00,2.2078826159e+08,2.2078826159e+08,8.7017963046e+07,8.7017963046e+07
2020-03-15 11:10:00,2.8158650382e+08,2.8158650382e+08,5.9055892423e+07,5.9055892423e+07
2020-03-15 11:15:00,3.1591337249e+08,3.1591337249e+08,5.0068785812e+07,5.0068785812e+07
2020-03-15 11:20:00,2.8071396726e+08,2.8071396726e+08,5.9170596067e+07,5.9170596067e+07
2020-03-15 11:25:00,3.6343764103e+08,3.6343764103e+08,6.5713339375e+07,6.5713339375e+07
2020-03-15 11:30:00,5.0894723778e+08,5.0894723778e+08,3.6694445589e+07,3.6694445589e+07
2020-03-15 11:35:00,5.2996809551e+08,5.2996809551e+08,5.9999685011e+07,5.9999685011e+07
2020-03-15 11:40:00,6.3522883390e+08,6.3522883390e+08,5.1728909764e+07,5.1728909764e+07
2020-03-15 11:45:00,4.6643161968e+08,4.6643161968e+08,5.7391714217e+07,5.7391714217e+07
2020-03-15 11:50:00,3.3840411743e+08,3.3840411743e+08,5.8611393421e+07,5.8611393421e+07
2020-03-15 11:55:00,3.7194545546e+08,3.7194545546e+08,9.0859613047e+07,9.0859613047e+07
2020-03-15 12:00:00,7.1065776694e+08,7.1065776694e+08,5.5087954344e+07,5.5087954344e+07
2020-03-15 12:05:00,9.8610922607e+08,9.8610922607e+08,5.8052607513e+07,5.8052607513e+07
2020-03-15 12:10:00,9.3325948133e+08,9.3325948133e+08,4.8583566419e+07,4.8583566419e+07
2020-03-15 12:15:00,9.8696674347e+08,9.8696674347e+08,6.6519673943e+07,6.6519673943e+07
2020-03-15 12:20:00,9.5625679616e+08,9.5625679616e+08,7.1700045105e+07,7.1700045105e+07
2020-03-15 12:25:00,8.7101723138e+08,8.7101723138e+08,7.5676140326e+07,7.5676140326e+07
2020-03-15 12:30:00,8.7684425774e+08,8.7684425774e+08,6.8920258170e+07,6.8920258170e+07
2020-03-15 12:35:00,8.9151256503e+08,8.9151256503e+08,7.5599989803e+07,7.5599989803e+07
2020-03-15 12:40:00,8.1382352950e+08,8.1382352950e+08,6.0597877367e+07,6.0597877367e+07
2020-03-15 12:45:00,7.8734774840e+08,7.8734774840e+08,4.3824615370e+07,4.3824615370e+07
2020-03-15 12:50:00,8.2566691745e+08,8.2566691745e+08,5.7139463823e+07,5.7139463823e+07
2020-03-15 12:55:00,9.2777374918e+08,9.2777374918e+08,4.5575802816e+07,4.5575802816e+07
2020-03-15 13:00:00,9.1171682948e+08,9.1171682948e+08,8.2790248001e+07,8.2790248001e+07
2020-03-15 13:05:00,9.0225208235e+08,9.0225208235e+08,7.8243237110e+07,7.8243237110e+07
2020-03-15 13:10:00,7.7550021526e+08,7.7550021526e+08,7.3459401720e+07,7.3459401720e+07
2020-03-15 13:15:00,8.0057746368e+08,8.0057746368e+08,6.9667197290e+07,6.9667197290e+07
2020-03-15 13:20:00,5.0019716056e+08,5.0019716056e+08,4.7679517073e+07,4.7679517073e+07
2020-03-15 13:25:00,6.6169135519e+08,6.6169135519e+08,6.1999653862e+07,6.1999653862e+07
2020-03-15 13:30:00,5.7056500613e+08,5.7056500613e+08,5.2405127811e+07,5.2405127811e+07
2020-03-15 13:35:00,3.7850182399e+08,3.7850182399e+08,5.7384609329e+07,5.7384609329e+07
2020-03-15 13:40:00,2.6534576504e+08,2.6534576504e+08,2.5216058331e+08,2.5216058331e+08
2020-03-15 13:45:00,2.7988474405e+08,2.7988474405e+08,9.3936451830e+08,9.3936451830e+08
2020-03-15 13:50:00,4.4612597623e+08,4.4612597623e+08,1.5881672005e+09,1.5881672005e+09
2020-03-15 13:55:00,4.5798138581e+08,4.5798138581e+08,1.4289596972e+09,1.4289596972e+09
2020-03-15 14:00:00,4.5526115910e+08,4.5526115910e+08,2.1000198739e+09,2.1000198739e+09
2020-03-15 14:05:00,4.2532814368e+08,4.2532814368e+08,7.0458026306e+08,7.0458026306e+08
2020-03-15 14:10:00,6.7944862755e+08,6.7944862755e+08,1.1783261406e+08,1.1783261406e+08
2020-03-15 14:15:00,8.8561461403e+08,8.8561461403e+08,9.1785650039e+07,9.1785650039e+07
2020-03-15 14:20:00,8.2489912349e+08,8.2489912349e+08,6.7449221415e+07,6.7449221415e+07
2020-03-15 14:25:00,7.8279105677e+08,7.8279105677e+08,5.4743991718e+07,5.4743991718e+07
2020-03-15 14:30:00,7.5951553987e+08,7.5951553987e+08,4.1733620627e+07,4.1733620627e+07
2020-03-15 14:35:00,7.7231272232e+08,7.7231272232e+08,4.7860232711e+07,4.7860232711e+07
2020-03-15 14:40:00,6.9894316431e+08,6.9894316431e+08,9.5390919918e+07,9.5390919918e+07
2020-03-15 14:45:00,8.9057287511e+08,8.9057287511e+08,6.3514554874e+07,6.3514554874e+07
2020-03-15 14:50:00,7.6737249514e+08,7.6737249514e+08,4.3061531926e+07,4.3061531926e+07
2020-03-15 14:55:00,8.0534305357e+08,8.0534305357e+08,6.6196501025e+07,6.6196501025e+07
2020-03-15 15:00:00,6.9326196001e+08,6.9326196001e+08,4.1091968116e+07,4.1091968116e+07
2020-03-15 15:05:00,1.0025671397e+09,1.0025671397e+09,4.3826215349e+07,4.3826215349e+07
2020-03-15 15:10:00,8.1655456031e+08,8.1655456031e+08,4.2656920161e+07,4.2656920161e+07
2020-03-15 15:15:00,7.2429470666e+08,7.2429470666e+08,6.0846831297e+07,6.0846831297e+07
2020-03-15 15:20:00,8.3163702205e+08,8.3163702205e+08,3.9573728045e+07,3.9573728045e+07
2020-03-15 15:25:00,4.9721051301e+08,4.9721051301e+08,3.8575260302e+07,3.8575260302e+07
2020-03-15 15:30:00,3.8273019165e+08,3.8273019165e+08,4.0343189665e+07,4.0343189665e+07
2020-03-15 15:35:00,4.7179741626e+08,4.7179741626e+08,4.6047190382e+07,4.6047190382e+07
2020-03-15 15:40:00,5.2299708020e+08,5.2299708020e+08,5.2465516433e+07,5.2465516433e+07
2020-03-15 15:45:00,7.2069920337e+08,7.2069920337e+08,9.5439113869e+07,9.5439113869e+07
2020-03-15 15:50:00,6.8812645820e+08,6.8812645820e+08,5.1877836410e+07,5.1877836410e+07
2020-03-15 15:55:00,5.9277382221e+08,5.9277382221e+08,4.1661516426e+07,4.1661516426e+07
2020-03-15 16:00:00,4.8721343159e+08,4.8721343159e+08,1.2948091312e+08,1.2948091312e+08
2020-03-15 16:05:00,5.4923499418e+08,5.4923499418e+08,4.3418659357e+07,4.3418659357e+07
2020-03-15 16:10:00,5.6263744926e+08,5.6263744926e+08,4.0759684771e+07,4.0759684771e+07
2020-03-15 16:15:00,4.7391013391e+08,4.7391013391e+08,4.2091323002e+07,4.2091323002e+07
2020-03-15 16:20:00,6.4475918908e+08,6.4475918908e+08,5.4226961392e+07,5.4226961392e+07
2020-03-15 16:25:00,6.9649160958e+08,6.9649160958e+08,6.4571524933e+07,6.4571524933e+07
2020-03-15 16:30:00,8.1580922281e+08,8.1580922281e+08,5.8061555956e+07,5.8061555956e+07
2020-03-15 16:35:00,8.8307802925e+08,8.8307802925e+08,5.2954729655e+07,5.2954729655e+07
2020-03-15 16:40:00,8.3626825185e+08,8.3626825185e+08,4.5693256119e+07,4.5693256119e+07
2020-03-15 16:45:00,9.1831774258e+08,9.1831774258e+08,3.6282146272e+07,3.6282146272e+07
2020-03-15 16:50:00,7.0870283640e+08,7.0870283640e+08,4.7313719973e+07,4.7313719973e+07
2020-03-15 16:55:00,1.0549724086e+09,1.0549724086e+09,7.4266573376e+07,7.4266573376e+07
2020-03-15 17:00:00,1.2863788705e+09,1.2863788705e+09,7.2298897283e+07,7.2298897283e+07
2020-03-15 17:05:00,1.5578184812e+09,1.5578184812e+09,7.9020833640e+07,7.9020833640e+07
2020-03-15 17:10:00,1.9749871363e+09,1.9749871363e+09,8.3426183270e+07,8.3426183270e+07
2020-03-15 17:15:00,1.8141875713e+09,1.8141875713e+09,7.8833078696e+07,7.8833078696e+07
2020-03-15 17:20:00,2.0833972392e+09,2.0833972392e+09,7.8316496625e+07,7.8316496625e+07
2020-03-15 17:25:00,1.5010034164e+09,1.5010034164e+09,8.8380610700e+07,8.8380610700e+07
2020-03-15 17:30:00,1.1480227871e+09,1.1480227871e+09,7.9300827036e+07,7.9300827036e+07
2020-03-15 17:35:00,1.1408883565e+09,1.1408883565e+09,7.0098565558e+07,7.0098565558e+07
2020-03-15 17:40:00,1.3171932525e+09,1.3171932525e+09,6.3911554309e+07,6.3911554309e+07
2020-03-15 17:45:00,1.2763709595e+09,1.2763709595e+09,6.4904523863e+07,6.4904523863e+07
2020-03-15 17:50:00,1.3262035571e+09,1.3262035571e+09,6.5836618365e+07,6.5836618365e+07
2020-03-15 17:55:00,1.2352857913e+09,1.2352857913e+09,8.6772618150e+07,8.6772618150e+07
2020-03-15 18:00:00,1.1436827434e+09,1.1436827434e+09,9.4150128290e+07,9.4150128290e+07
2020-03-15 18:05:00,1.0397537814e+09,1.0397537814e+09,8.7580168748e+07,8.7580168748e+07
2020-03-15 18:10:00,8.5636568855e+08,8.5636568855e+08,8.4271490266e+07,8.4271490266e+07
2020-03-15 18:15:00,9.1354831510e+08,9.1354831510e+08,6.3747470068e+07,6.3747470068e+07
2020-03-15 18:20:00,8.1610502281e+08,8.1610502281e+08,4.2830634458e+07,4.2830634458e+07
2020-03-15 18:25:00,7.6595943266e+08,7.6595943266e+08,9.1876586332e+07,9.1876586332e+07
2020-03-15 18:30:00,6.6992128486e+08,6.6992128486e+08,1.1148113645e+08,1.1148113645e+08
2020-03-15 18:35:00,5.6294859033e+08,5.6294859033e+08,7.6965833369e+07,7.6965833369e+07
2020-03-15 18:40:00,5.2070458353e+08,5.2070458353e+08,7.5670710251e+07,7.5670710251e+07
2020-03-15 18:45:00,5.0149308716e+08,5.0149308716e+08,9.1652644300e+07,9.1652644300e+07
2020-03-15 18:50:00,5.7156402900e+08,5.7156402900e+08,3.0461895372e+08,3.0461895372e+08
2020-03-15 18:55:00,6.2513877601e+08,6.2513877601e+08,2.8305065728e+08,2.8305065728e+08
2020-03-15 19:00:00,5.8248201701e+08,5.8248201701e+08,4.1548604796e+08,4.1548604796e+08
2020-03-15 19:05:00,5.0485778770e+08,5.0485778770e+08,4.5792355428e+08,4.5792355428e+08
2020-03-15 19:10:00,4.7675355836e+08,4.7675355836e+08,9.7234405570e+07,9.7234405570e+07
2020-03-15 19:15:00,4.8602655522e+08,4.8602655522e+08,1.7747040738e+08,1.7747040738e+08
2020-03-15 19:20:00,4.9637565370e+08,4.9637565370e+08,3.4195149778e+08,3.4195149778e+08
2020-03-15 19:25:00,5.3732352332e+08,5.3732352332e+08,4.0800534182e+08,4.0800534182e+08
2020-03-15 19:30:00,4.9246909061e+08,4.9246909061e+08,3.2737455875e+08,3.2737455875e+08
2020-03-15 19:35:00,4.8298612289e+08,4.8298612289e+08,4.3692815220e+08,4.3692815220e+08
2020-03-15 19:40:00,5.3612071488e+08,5.3612071488e+08,2.5025596554e+08,2.5025596554e+08
2020-03-15 19:45:00,4.7078615447e+08,4.7078615447e+08,6.9842233159e+08,6.9842233159e+08
2020-03-15 19:50:00,4.8900088115e+08,4.8900088115e+08,8.2138754384e+08,8.2138754384e+08
