DATE,HUAT,HUAT_peak,ATHU,ATHU_peak
2020-03-15 08:40:00,7.2839875531e+09,7.2839875531e+09,1.2419904911e+09,1.2419904911e+09
2020-03-15 08:45:00,7.4457336635e+09,7.4457336635e+09,1.3240643712e+09,1.3240643712e+09
2020-03-15 08:50:00,8.9016462295e+09,8.9016462295e+09,1.2984015499e+09,1.2984015499e+09
2020-03-15 08:55:00,1.0792605309e+10,1.0792605309e+10,1.2823094412e+09,1.2823094412e+09
2020-03-15 09:00:00,9.1148670474e+09,9.1148670474e+09,1.4554198267e+09,1.4554198267e+09
2020-03-15 09:05:00,1.2215692397e+10,1.2215692397e+10,1.3323023270e+09,1.3323023270e+09
2020-03-15 09:10:00,9.0809858666e+09,9.0809858666e+09,1.4009293360e+09,1.4009293360e+09
2020-03-15 09:15:00,1.3523098810e+10,1.3523098810e+10,1.3490330187e+09,1.3490330187e+09
2020-03-15 09:20:00,1.0748881239e+10,1.0748881239e+10,1.2409115256e+09,1.2409115256e+09
2020-03-15 09:25:00,9.1078402473e+09,9.1078402473e+09,1.6871984001e+09,1.6871984001e+09
2020-03-15 09:30:00,9.3045827298e+09,9.3045827298e+09,1.7919051052e+09,1.7919051052e+09
2020-03-15 09:35:00,8.4810370627e+09,8.4810370627e+09,1.8569523620e+09,1.8569523620e+09
2020-03-15 09:40:00,8.8479853542e+09,8.8479853542e+09,1.8885491624e+09,1.8885491624e+09
2020-03-15 09:45:00,8.8672686263e+09,8.8672686263e+09,1.9877276150e+09,1.9877276150e+09
2020-03-15 09:50:00,9.6132964792e+09,9.6132964792e+09,1.7570797141e+09,1.7570797141e+09
2020-03-15 09:55:00,8.7848412355e+09,8.7848412355e+09,2.2482094760e+09,2.2482094760e+09
2020-03-15 10:00:00,8.8719182991e+09,8.8719182991e+09,2.0102064996e+09,2.0102064996e+09
2020-03-15 10:05:00,9.2081561201e+09,9.2081561201e+09,1.5294333447e+09,1.5294333447e+09
2020-03-15 10:10:00,8.4768475894e+09,8.4768475894e+09,1.5823269072e+09,1.5823269072e+09
2020-03-15 10:15:00,9.0571806053e+09,9.0571806053e+09,1.9885908251e+09,1.9885908251e+09
2020-03-15 10:20:00,9.5591712255e+09,9.5591712255e+09,2.2252780895e+09,2.2252780895e+09
2020-03-15 10:25:00,1.0177501201e+10,1.0177501201e+10,1.6750569384e+09,1.6750569384e+09
2020-03-15 10:30:00,1.1214624737e+10,1.1214624737e+10,1.5903105366e+09,1.5903105366e+09
2020-03-15 10:35:00,1.3151619506e+10,1.3151619506e+10,1.8012317054e+09,1.8012317054e+09
2020-03-15 10:40:00,1.0735941890e+10,1.0735941890e+10,1.6999592714e+09,1.6999592714e+09
2020-03-15 10:45:00,1.1646653798e+10,1.1646653798e+10,1.5403097987e+09,1.5403097987e+09
2020-03-15 10:50:00,9.9255752263e+09,9.9255752263e+09,1.6706392459e+09,1.6706392459e+09
2020-03-15 10:55:00,1.0920908077e+10,1.0920908077e+10,1.5554914462e+09,1.5554914462e+09
2020-03-15 11:00:00,1.1215354712e+10,1.1215354712e+10,1.6853018938e+09,1.6853018938e+09
2020-03-15 11:05:00,8.7616720791e+09,8.7616720791e+09,1.5978688353e+09,1.5978688353e+09
2020-03-15 11:10:00,9.1590851687e+09,9.1590851687e+09,1.6078505281e+09,1.6078505281e+09
2020-03-15 11:15:00,8.9791410779e+09,8.9791410779e+09,1.5742341833e+09,1.5742341833e+09
2020-03-15 11:20:00,9.1309352946e+09,9.1309352946e+09,1.7956737727e+09,1.7956737727e+09
2020-03-15 11:25:00,8.9320997724e+09,8.9320997724e+09,1.9653783007e+09,1.9653783007e+09
2020-03-15 11:30:00,9.2954393254e+09,9.2954393254e+09,2.0568171456e+09,2.0568171456e+09
2020-03-15 11:35:00,8.7849507322e+09,8.7849507322e+09,2.1408136539e+09,2.1408136539e+09
2020-03-15 11:40:00,8.8022014901e+09,8.8022014901e+09,2.0682338958e+09,2.0682338958e+09
2020-03-15 11:45:00,9.0338806376e+09,9.0338806376e+09,2.0828762324e+09,2.0828762324e+09
2020-03-15 11:50:00,8.9880452341e+09,8.9880452341e+09,1.9902401311e+09,1.9902401311e+09
2020-03-15 11:55:00,9.0545095497e+09,9.0545095497e+09,1.7905131915e+09,1.7905131915e+09
2020-03-15 12:00:00,8.6885840804e+09,8.6885840804e+09,1.6566355890e+09,1.6566355890e+09
2020-03-15 12:05:00,9.2052949132e+09,9.2052949132e+09,1.8249401667e+09,1.8249401667e+09
2020-03-15 12:10:00,8.9760012832e+09,8.9760012832e+09,1.9564819022e+09,1.9564819022e+09
2020-03-15 12:15:00,8.9354146471e+09,8.9354146471e+09,1.8449032177e+09,1.8449032177e+09
2020-03-15 12:20:00,8.9449626098e+09,8.9449626098e+09,1.9368304457e+09,1.9368304457e+09
2020-03-15 12:25:00,9.3671052305e+09,9.3671052305e+09,1.9052205044e+09,1.9052205044e+09
2020-03-15 12:30:00,9.8033596167e+09,9.8033596167e+09,1.8114003707e+09,1.8114003707e+09
2020-03-15 12:35:00,1.1328870063e+10,1.1328870063e+10,1.9935673841e+09,1.9935673841e+09
2020-03-15 12:40:00,9.5276386539e+09,9.5276386539e+09,1.9669924148e+09,1.9669924148e+09
2020-03-15 12:45:00,9.2879704977e+09,9.2879704977e+09,1.8660176984e+09,1.8660176984e+09
2020-03-15 12:50:00,9.3373345258e+09,9.3373345258e+09,2.1025574387e+09,2.1025574387e+09
2020-03-15 12:55:00,9.6894157747e+09,9.6894157747e+09,1.7971229784e+09,1.7971229784e+09
2020-03-15 13:00:00,1.0491770921e+10,1.0491770921e+10,1.8185195998e+09,1.8185195998e+09
2020-03-15 13:05:00,1.0507484276e+10,1.0507484276e+10,2.0300437810e+09,2.0300437810e+09
2020-03-15 13:10:00,9.8963211412e+09,9.8963211412e+09,1.9092211923e+09,1.9092211923e+09
2020-03-15 13:15:00,9.9613783673e+09,9.9613783673e+09,1.8975054842e+09,1.8975054842e+09
2020-03-15 13:20:00,9.7941759101e+09,9.7941759101e+09,1.9501615300e+09,1.9501615300e+09
2020-03-15 13:25:00,9.5154377724e+09,9.5154377724e+09,1.9576962950e+09,1.9576962950e+09
2020-03-15 13:30:00,9.7161020698e+09,9.7161020698e+09,2.0259861115e+09,2.0259861115e+09
2020-03-15 13:35:00,1.0119176908e+10,1.0119176908e+10,1.6734551545e+09,1.6734551545e+09
2020-03-15 13:40:00,9.7892067022e+09,9.7892067022e+09,1.6089770286e+09,1.6089770286e+09
2020-03-15 13:45:00,9.8052511164e+09,9.8052511164e+09,1.8864534167e+09,1.8864534167e+09
2020-03-15 13:50:00,9.5366184378e+09,9.5366184378e+09,2.0821625648e+09,2.0821625648e+09
2020-03-15 13:55:00,9.3305097795e+09,9.3305097795e+09,2.2267774839e+09,2.2267774839e+09
2020-03-15 14:00:00,9.1103458159e+09,9.1103458159e+09,2.1410399295e+09,2.1410399295e+09
2020-03-15 14:05:00,9.2789468112e+09,9.2789468112e+09,2.3678671166e+09,2.3678671166e+09
2020-03-15 14:10:00,9.3696544237e+09,9.3696544237e+09,2.1958771311e+09,2.1958771311e+09
2020-03-15 14:15:00,9.6010003714e+09,9.6010003714e+09,2.1512570547e+09,2.1512570547e+09
2020-03-15 14:20:00,9.7099717908e+09,9.7099717908e+09,2.2249893692e+09,2.2249893692e+09
2020-03-15 14:25:00,1.0088990595e+10,1.0088990595e+10,2.2567648014e+09,2.2567648014e+09
2020-03-15 14:30:00,9.6469874312e+09,9.6469874312e+09,2.1088262492e+09,2.1088262492e+09
2020-03-15 14:35:00,9.3602091985e+09,9.3602091985e+09,1.9932131353e+09,1.9932131353e+09
2020-03-15 14:40:00,9.2424092975e+09,9.2424092975e+09,1.9071770520e+09,1.9071770520e+09
2020-03-15 14:45:00,9.8569922823e+09,9.8569922823e+09,2.0754151530e+09,2.0754151530e+09
2020-03-15 14:50:00,9.7622837733e+09,9.7622837733e+09,2.1083346708e+09,2.1083346708e+09
2020-03-15 14:55:00,1.0132050813e+10,1.0132050813e+10,2.0411755873e+09,2.0411755873e+09
2020-03-15 15:00:00,9.9649616105e+09,9.9649616105e+09,1.9829633006e+09,1.9829633006e+09
2020-03-15 15:05:00,9.5003221473e+09,9.5003221473e+09,1.9777671695e+09,1.9777671695e+09
2020-03-15 15:10:00,9.4804399263e+09,9.4804399263e+09,1.8494797491e+09,1.8494797491e+09
2020-03-15 15:15:00,9.2494185409e+09,9.2494185409e+09,2.2759897652e+09,2.2759897652e+09
2020-03-15 15:20:00,9.5708350822e+09,9.5708350822e+09,2.3937570193e+09,2.3937570193e+09
2020-03-15 15:25:00,9.2606062040e+09,9.2606062040e+09,2.3331624481e+09,2.3331624481e+09
2020-03-15 15:30:00,9.6558774071e+09,9.6558774071e+09,2.3321993104e+09,2.3321993104e+09
2020-03-15 15:35:00,9.6771936872e+09,9.6771936872e+09,2.1194010346e+09,2.1194010346e+09
2020-03-15 15:40:00,9.4319241878e+09,9.4319241878e+09,2.8839375096e+09,2.8839375096e+09
2020-03-15 15:45:00,9.1244505389e+09,9.1244505389e+09,2.6340425065e+09,2.6340425065e+09
2020-03-15 15:50:00,9.7459128216e+09,9.7459128216e+09,2.7056957151e+09,2.7056957151e+09
2020-03-15 15:55:00,1.0064662990e+10,1.0064662990e+10,2.6767721165e+09,2.6767721165e+09
2020-03-15 16:00:00,9.7395011687e+09,9.7395011687e+09,2.7192226585e+09,2.7192226585e+09
2020-03-15 16:05:00,9.9111683192e+09,9.9111683192e+09,2.7178798357e+09,2.7178798357e+09
2020-03-15 16:10:00,9.6014725775e+09,9.6014725775e+09,2.3526928378e+09,2.3526928378e+09
2020-03-15 16:15:00,9.9346216424e+09,9.9346216424e+09,2.3044484280e+09,2.3044484280e+09
2020-03-15 16:20:00,9.8302523521e+09,9.8302523521e+09,2.1733172044e+09,2.1733172044e+09
2020-03-15 16:25:00,9.7909580788e+09,9.7909580788e+09,2.1830256532e+09,2.1830256532e+09
2020-03-15 16:30:00,9.6475660796e+09,9.6475660796e+09,2.0945577960e+09,2.0945577960e+09
2020-03-15 16:35:00,1.0045076391e+10,1.0045076391e+10,2.3616820049e+09,2.3616820049e+09
2020-03-15 16:40:00,9.8439495074e+09,9.8439495074e+09,2.0365003260e+09,2.0365003260e+09
2020-03-15 16:45:00,9.5311188836e+09,9.5311188836e+09,2.0537981074e+09,2.0537981074e+09
2020-03-15 16:50:00,9.9701029312e+09,9.9701029312e+09,2.1672646389e+09,2.1672646389e+09
2020-03-15 16:55:00,9.4733671987e+09,9.4733671987e+09,1.8308913616e+09,1.8308913616e+09
2020-03-15 17:00:00,9.9630474647e+09,9.9630474647e+09,2.0193286349e+09,2.0193286349e+09
2020-03-15 17:05:00,9.9593048372e+09,9.9593048372e+09,1.7368217531e+09,1.7368217531e+09
2020-03-15 17:10:00,1.0151775167e+10,1.0151775167e+10,1.9652172504e+09,1.9652172504e+09
2020-03-15 17:15:00,1.0196494848e+10,1.0196494848e+10,2.1136481811e+09,2.1136481811e+09
2020-03-15 17:20:00,1.0021784352e+10,1.0021784352e+10,1.8611665373e+09,1.8611665373e+09
2020-03-15 17:25:00,1.0243003055e+10,1.0243003055e+10,1.9558923285e+09,1.9558923285e+09
2020-03-15 17:30:00,1.0880622236e+10,1.0880622236e+10,1.9979149266e+09,1.9979149266e+09
2020-03-15 17:35:00,1.0499453484e+10,1.0499453484e+10,1.7201454109e+09,1.7201454109e+09
2020-03-15 17:40:00,9.7510172755e+09,9.7510172755e+09,1.8808296409e+09,1.8808296409e+09
2020-03-15 17:45:00,9.9924946267e+09,9.9924946267e+09,1.8558777366e+09,1.8558777366e+09
2020-03-15 17:50:00,9.9592365296e+09,9.9592365296e+09,2.0562989459e+09,2.0562989459e+09
2020-03-15 17:55:00,9.6720738862e+09,9.6720738862e+09,1.9710597887e+09,1.9710597887e+09
2020-03-15 18:00:00,9.9385551204e+09,9.9385551204e+09,2.0479868651e+09,2.0479868651e+09
2020-03-15 18:05:00,9.5245841412e+09,9.5245841412e+09,2.1909846786e+09,2.1909846786e+09
2020-03-15 18:10:00,9.7423533164e+09,9.7423533164e+09,1.8461750804e+09,1.8461750804e+09
2020-03-15 18:15:00,9.8999958693e+09,9.8999958693e+09,1.8566339550e+09,1.8566339550e+09
2020-03-15 18:20:00,9.8376860735e+09,9.8376860735e+09,2.0981121383e+09,2.0981121383e+09
2020-03-15 18:25:00,1.0454890501e+10,1.0454890501e+10,2.0852548540e+09,2.0852548540e+09
2020-03-15 18:30:00,1.2093378367e+10,1.2093378367e+10,1.9686246505e+09,1.9686246505e+09
2020-03-15 18:35:00,1.3881385354e+10,1.3881385354e+10,1.9381144981e+09,1.9381144981e+09
2020-03-15 18:40:00,1.2249042977e+10,1.2249042977e+10,1.7185755597e+09,1.7185755597e+09
2020-03-15 18:45:00,1.4900482013e+10,1.4900482013e+10,1.9413874210e+09,1.9413874210e+09
2020-03-15 18:50:00,1.3545598651e+10,1.3545598651e+10,1.8114672085e+09,1.8114672085e+09
2020-03-15 18:55:00,1.4802576396e+10,1.4802576396e+10,1.8826083691e+09,1.8826083691e+09
2020-03-15 19:00:00,1.2563734252e+10,1.2563734252e+10,1.9280159168e+09,1.9280159168e+09
