DATE,SKAT,SKAT_peak,ATSK,ATSK_peak
2020-03-22 08:45:00,1.5561387370e+09,1.5561387370e+09,4.2126000823e+08,4.2126000823e+08
2020-03-22 08:50:00,2.7064522963e+09,2.7064522963e+09,5.9590941859e+08,5.9590941859e+08
2020-03-22 08:55:00,1.2608919270e+09,1.2608919270e+09,4.2327485311e+08,4.2327485311e+08
2020-03-22 09:00:00,1.0487108020e+09,1.0487108020e+09,4.0266966585e+08,4.0266966585e+08
2020-03-22 09:05:00,1.1874205166e+09,1.1874205166e+09,5.8564764317e+08,5.8564764317e+08
2020-03-22 09:10:00,8.7299991948e+08,8.7299991948e+08,9.0920141612e+08,9.0920141612e+08
2020-03-22 09:15:00,7.4645524738e+08,7.4645524738e+08,8.1388061272e+08,8.1388061272e+08
2020-03-22 09:20:00,5.7458250444e+08,5.7458250444e+08,7.9567224053e+08,7.9567224053e+08
2020-03-22 09:25:00,5.8088175532e+08,5.8088175532e+08,7.3005962013e+08,7.3005962013e+08
2020-03-22 09:30:00,5.3564171938e+08,5.3564171938e+08,6.5881426078e+08,6.5881426078e+08
2020-03-22 09:35:00,1.2189753731e+09,1.2189753731e+09,6.7425523294e+08,6.7425523294e+08
2020-03-22 09:40:00,9.0198428908e+08,9.0198428908e+08,5.7879590549e+08,5.7879590549e+08
2020-03-22 09:45:00,6.1002250130e+08,6.1002250130e+08,6.4254393470e+08,6.4254393470e+08
2020-03-22 09:50:00,5.1026301341e+08,5.1026301341e+08,5.9689109722e+08,5.9689109722e+08
2020-03-22 09:55:00,5.2952415888e+08,5.2952415888e+08,7.1860892966e+08,7.1860892966e+08
2020-03-22 10:00:00,4.9222161505e+08,4.9222161505e+08,5.8972291883e+08,5.8972291883e+08
2020-03-22 10:05:00,4.5290772930e+08,4.5290772930e+08,5.9882636638e+08,5.9882636638e+08
2020-03-22 10:10:00,4.5118089253e+08,4.5118089253e+08,5.4215024850e+08,5.4215024850e+08
2020-03-22 10:15:00,7.6355784377e+08,7.6355784377e+08,1.1131306459e+09,1.1131306459e+09
2020-03-22 10:20:00,6.8858248724e+09,6.8858248724e+09,5.7352035133e+08,5.7352035133e+08
2020-03-22 10:25:00,1.1441609817e+10,1.1441609817e+10,4.3469945950e+08,4.3469945950e+08
2020-03-22 10:30:00,9.3996813490e+09,9.3996813490e+09,8.5040233246e+08,8.5040233246e+08
2020-03-22 10:35:00,9.7110531471e+09,9.7110531471e+09,1.4293278865e+09,1.4293278865e+09
2020-03-22 10:40:00,8.8567409115e+09,8.8567409115e+09,1.2391900219e+09,1.2391900219e+09
2020-03-22 10:45:00,7.0326174076e+09,7.0326174076e+09,7.6049097882e+08,7.6049097882e+08
2020-03-22 10:50:00,6.4638283975e+09,6.4638283975e+09,5.7839609857e+08,5.7839609857e+08
2020-03-22 10:55:00,6.3670150249e+09,6.3670150249e+09,3.6066157199e+08,3.6066157199e+08
2020-03-22 11:00:00,4.2613276822e+09,4.2613276822e+09,4.8034765481e+08,4.8034765481e+08
2020-03-22 11:05:00,3.3944897779e+09,3.3944897779e+09,1.4378209515e+09,1.4378209515e+09
2020-03-22 11:10:00,3.2301609328e+09,3.2301609328e+09,1.1067130687e+09,1.1067130687e+09
2020-03-22 11:15:00,2.9414730521e+09,2.9414730521e+09,7.6962365433e+08,7.6962365433e+08
2020-03-22 11:20:00,3.3284268625e+09,3.3284268625e+09,5.7073269634e+08,5.7073269634e+08
2020-03-22 11:25:00,2.5330872366e+09,2.5330872366e+09,6.2852544301e+08,6.2852544301e+08
2020-03-22 11:30:00,2.2262500507e+09,2.2262500507e+09,4.7906396174e+08,4.7906396174e+08
2020-03-22 11:35:00,2.9001359395e+09,2.9001359395e+09,4.5350612843e+08,4.5350612843e+08
2020-03-22 11:40:00,2.2777684465e+09,2.2777684465e+09,5.6272460359e+08,5.6272460359e+08
2020-03-22 11:45:00,1.8968034549e+09,1.8968034549e+09,5.5151440606e+08,5.5151440606e+08
2020-03-22 11:50:00,1.5890554717e+09,1.5890554717e+09,4.2694363973e+08,4.2694363973e+08
2020-03-22 11:55:00,1.4561618714e+09,1.4561618714e+09,4.6535839437e+08,4.6535839437e+08
2020-03-22 12:00:00,1.6979812991e+09,1.6979812991e+09,4.0570600654e+08,4.0570600654e+08
2020-03-22 12:05:00,1.3198606248e+09,1.3198606248e+09,7.2343233475e+08,7.2343233475e+08
2020-03-22 12:10:00,1.3978417016e+09,1.3978417016e+09,1.0555361594e+09,1.0555361594e+09
2020-03-22 12:15:00,1.1115379143e+09,1.1115379143e+09,6.9449644323e+08,6.9449644323e+08
2020-03-22 12:20:00,1.0384166385e+09,1.0384166385e+09,1.0585031722e+09,1.0585031722e+09
2020-03-22 12:25:00,1.1825260227e+09,1.1825260227e+09,8.7808204155e+08,8.7808204155e+08
2020-03-22 12:30:00,9.0579312927e+08,9.0579312927e+08,5.3159952828e+08,5.3159952828e+08
2020-03-22 12:35:00,9.7571127455e+08,9.7571127455e+08,8.8659907026e+08,8.8659907026e+08
2020-03-22 12:40:00,1.4042532612e+09,1.4042532612e+09,1.2371931728e+09,1.2371931728e+09
2020-03-22 12:45:00,1.0962737699e+09,1.0962737699e+09,1.1048419532e+09,1.1048419532e+09
