DATE,BEUK,BEUK_peak,UKBE,BEUK_peak
2020-03-31 03:10:00,4.8265813568e+08,4.8265813568e+08,3.8955251938e+07,3.8955251938e+07
2020-03-31 03:15:00,3.4004337428e+08,3.4004337428e+08,1.9257093782e+07,1.9257093782e+07
2020-03-31 03:20:00,2.0150797558e+08,2.0150797558e+08,1.8576234597e+07,1.8576234597e+07
2020-03-31 03:25:00,1.5534285410e+08,1.5534285410e+08,1.8415471294e+07,1.8415471294e+07
2020-03-31 03:30:00,1.4276541666e+08,1.4276541666e+08,2.9855705811e+07,2.9855705811e+07
2020-03-31 03:35:00,1.2034306994e+08,1.2034306994e+08,3.7145739323e+07,3.7145739323e+07
2020-03-31 03:40:00,5.2706015743e+08,5.2706015743e+08,3.2707923572e+07,3.2707923572e+07
2020-03-31 03:45:00,1.8610605135e+08,1.8610605135e+08,2.4237840104e+07,2.4237840104e+07
2020-03-31 03:50:00,1.1972805698e+08,1.1972805698e+08,1.9496065213e+07,1.9496065213e+07
2020-03-31 03:55:00,1.2554838858e+08,1.2554838858e+08,1.7872436602e+07,1.7872436602e+07
2020-03-31 04:00:00,3.4084201730e+08,3.4084201730e+08,2.4378513699e+07,2.4378513699e+07
2020-03-31 04:05:00,1.5472702541e+08,1.5472702541e+08,3.4354389787e+07,3.4354389787e+07
2020-03-31 04:10:00,1.4950299135e+08,1.4950299135e+08,4.6494949307e+07,4.6494949307e+07
2020-03-31 04:15:00,1.1967882025e+08,1.1967882025e+08,4.4555869545e+07,4.4555869545e+07
2020-03-31 04:20:00,3.1171510258e+08,3.1171510258e+08,6.8969177682e+07,6.8969177682e+07
2020-03-31 04:25:00,3.8723822992e+08,3.8723822992e+08,6.0859329769e+07,6.0859329769e+07
2020-03-31 04:30:00,2.8739935301e+08,2.8739935301e+08,3.0987375162e+07,3.0987375162e+07
2020-03-31 04:35:00,2.8769573101e+08,2.8769573101e+08,6.3458836248e+07,6.3458836248e+07
2020-03-31 04:40:00,2.1464293777e+08,2.1464293777e+08,3.0842431761e+07,3.0842431761e+07
2020-03-31 04:45:00,1.6330997375e+08,1.6330997375e+08,5.6115138730e+07,5.6115138730e+07
2020-03-31 04:50:00,4.0081550902e+08,4.0081550902e+08,8.2049536720e+07,8.2049536720e+07
2020-03-31 04:55:00,1.6082342354e+08,1.6082342354e+08,8.5108184823e+07,8.5108184823e+07
2020-03-31 05:00:00,2.9337473131e+08,2.9337473131e+08,5.3105368364e+07,5.3105368364e+07
2020-03-31 05:05:00,1.8705165759e+08,1.8705165759e+08,5.2500580863e+07,5.2500580863e+07
2020-03-31 05:10:00,1.6385442681e+08,1.6385442681e+08,6.0008588559e+07,6.0008588559e+07
2020-03-31 05:15:00,1.5082598087e+08,1.5082598087e+08,4.8697493479e+07,4.8697493479e+07
