DATE,PTUK,PTUK_peak,UKPT,PTUK_peak
2020-03-15 04:50:00,3.6023749341e+08,3.6023749341e+08,1.3991613750e+08,1.3991613750e+08
2020-03-15 04:55:00,3.3896129488e+08,3.3896129488e+08,7.5848791435e+07,7.5848791435e+07
2020-03-15 05:00:00,3.3217430274e+08,3.3217430274e+08,1.5188474366e+08,1.5188474366e+08
2020-03-15 05:05:00,3.3180591866e+08,3.3180591866e+08,1.5787508502e+08,1.5787508502e+08
2020-03-15 05:10:00,3.1400239302e+08,3.1400239302e+08,1.5292456073e+09,1.5292456073e+09
2020-03-15 05:15:00,2.9564938668e+08,2.9564938668e+08,1.2175531142e+09,1.2175531142e+09
2020-03-15 05:20:00,5.9078642517e+08,5.9078642517e+08,9.1391727588e+08,9.1391727588e+08
2020-03-15 05:25:00,3.0983340949e+08,3.0983340949e+08,3.8245579883e+08,3.8245579883e+08
2020-03-15 05:30:00,3.6032203678e+08,3.6032203678e+08,2.5516198041e+08,2.5516198041e+08
2020-03-15 05:35:00,3.6753679555e+08,3.6753679555e+08,2.0178787695e+08,2.0178787695e+08
2020-03-15 05:40:00,3.7895113725e+08,3.7895113725e+08,1.5723369914e+08,1.5723369914e+08
2020-03-15 05:45:00,3.3436813980e+08,3.3436813980e+08,1.8908305149e+08,1.8908305149e+08
2020-03-15 05:50:00,3.7460807297e+08,3.7460807297e+08,1.5477144013e+08,1.5477144013e+08
2020-03-15 05:55:00,1.4729831515e+09,1.4729831515e+09,1.5018367033e+08,1.5018367033e+08
2020-03-15 06:00:00,1.3355272303e+09,1.3355272303e+09,1.4306831654e+08,1.4306831654e+08
2020-03-15 06:05:00,3.7810808222e+09,3.7810808222e+09,1.2744963639e+08,1.2744963639e+08
2020-03-15 06:10:00,1.1886103114e+09,1.1886103114e+09,1.0282412010e+08,1.0282412010e+08
2020-03-15 06:15:00,4.3896235963e+08,4.3896235963e+08,1.2771557420e+08,1.2771557420e+08
2020-03-15 06:20:00,1.4976296363e+09,1.4976296363e+09,1.9822242384e+08,1.9822242384e+08
2020-03-15 06:25:00,5.2918386086e+08,5.2918386086e+08,1.7408955630e+08,1.7408955630e+08
2020-03-15 06:30:00,4.6519461420e+08,4.6519461420e+08,1.3996414124e+08,1.3996414124e+08
2020-03-15 06:35:00,3.9952970636e+08,3.9952970636e+08,2.1014900553e+08,2.1014900553e+08
2020-03-15 06:40:00,2.7801236741e+09,2.7801236741e+09,1.2178293382e+08,1.2178293382e+08
2020-03-15 06:45:00,1.5989820548e+09,1.5989820548e+09,1.3656775540e+08,1.3656775540e+08
2020-03-15 06:50:00,7.5637829376e+08,7.5637829376e+08,1.8936397152e+08,1.8936397152e+08
2020-03-15 06:55:00,3.3748043998e+08,3.3748043998e+08,1.6212768399e+08,1.6212768399e+08
2020-03-15 07:00:00,1.3256644962e+09,1.3256644962e+09,1.8981861884e+08,1.8981861884e+08
2020-03-15 07:05:00,4.4355599234e+08,4.4355599234e+08,3.4359462679e+08,3.4359462679e+08
2020-03-15 07:10:00,7.3641952033e+08,7.3641952033e+08,2.2086725545e+08,2.2086725545e+08
2020-03-15 07:15:00,4.7897523495e+08,4.7897523495e+08,8.3926233566e+07,8.3926233566e+07
2020-03-15 07:20:00,3.9328377359e+08,3.9328377359e+08,1.3512249504e+08,1.3512249504e+08
2020-03-15 07:25:00,5.0198954902e+08,5.0198954902e+08,1.0054054011e+08,1.0054054011e+08
2020-03-15 07:30:00,5.1620410807e+08,5.1620410807e+08,1.9065902539e+08,1.9065902539e+08
2020-03-15 07:35:00,9.8332065150e+08,9.8332065150e+08,1.5917183160e+08,1.5917183160e+08
2020-03-15 07:40:00,3.7205828218e+08,3.7205828218e+08,1.8758888782e+08,1.8758888782e+08
2020-03-15 07:45:00,3.1702343570e+08,3.1702343570e+08,1.3145201937e+08,1.3145201937e+08
2020-03-15 07:50:00,3.1307939933e+08,3.1307939933e+08,1.4012120689e+08,1.4012120689e+08
2020-03-15 07:55:00,3.1604581102e+08,3.1604581102e+08,1.2425213621e+09,1.2425213621e+09
2020-03-15 08:00:00,3.0210349948e+08,3.0210349948e+08,1.8373832144e+09,1.8373832144e+09
2020-03-15 08:05:00,3.1309977088e+08,3.1309977088e+08,6.4443075924e+08,6.4443075924e+08
2020-03-15 08:10:00,3.9460956689e+08,3.9460956689e+08,5.6724350534e+08,5.6724350534e+08
2020-03-15 08:15:00,5.0907037975e+08,5.0907037975e+08,4.5721189218e+08,4.5721189218e+08
2020-03-15 08:20:00,3.9859166651e+08,3.9859166651e+08,2.4348500559e+08,2.4348500559e+08
2020-03-15 08:25:00,3.6342350741e+08,3.6342350741e+08,1.6868734264e+08,1.6868734264e+08
2020-03-15 08:30:00,5.4723467715e+08,5.4723467715e+08,9.0615050900e+07,9.0615050900e+07
2020-03-15 08:35:00,3.4119400345e+08,3.4119400345e+08,1.2333827888e+08,1.2333827888e+08
2020-03-15 08:40:00,3.5470170497e+08,3.5470170497e+08,1.6604967335e+08,1.6604967335e+08
2020-03-15 08:45:00,9.8313179190e+08,9.8313179190e+08,1.0309763200e+08,1.0309763200e+08
2020-03-15 08:50:00,4.2415457642e+08,4.2415457642e+08,1.2219413667e+08,1.2219413667e+08
2020-03-15 08:55:00,3.0366328842e+08,3.0366328842e+08,1.5961060924e+08,1.5961060924e+08
2020-03-15 09:00:00,3.0792617963e+08,3.0792617963e+08,8.0543722758e+07,8.0543722758e+07
2020-03-15 09:05:00,3.0128213051e+08,3.0128213051e+08,1.3458918736e+08,1.3458918736e+08
2020-03-15 09:10:00,4.0658241816e+08,4.0658241816e+08,1.1939049152e+08,1.1939049152e+08
2020-03-15 09:15:00,5.2303989937e+08,5.2303989937e+08,1.4206723741e+08,1.4206723741e+08
2020-03-15 09:20:00,3.3875261804e+08,3.3875261804e+08,1.3819689479e+08,1.3819689479e+08
2020-03-15 09:25:00,3.4748346265e+08,3.4748346265e+08,1.4006669409e+08,1.4006669409e+08
2020-03-15 09:30:00,1.4808302284e+09,1.4808302284e+09,1.3465680738e+08,1.3465680738e+08
2020-03-15 09:35:00,7.1149851115e+08,7.1149851115e+08,5.7392883989e+08,5.7392883989e+08
2020-03-15 09:40:00,4.7570219191e+08,4.7570219191e+08,2.9613750526e+08,2.9613750526e+08
2020-03-15 09:45:00,4.1735477837e+08,4.1735477837e+08,2.3105765292e+08,2.3105765292e+08
2020-03-15 09:50:00,3.7797350429e+08,3.7797350429e+08,1.5773634498e+08,1.5773634498e+08
2020-03-15 09:55:00,4.1607743308e+08,4.1607743308e+08,2.7012050224e+08,2.7012050224e+08
2020-03-15 10:00:00,4.6319171086e+08,4.6319171086e+08,1.8307666414e+08,1.8307666414e+08
2020-03-15 10:05:00,4.6759753125e+08,4.6759753125e+08,1.9993869731e+08,1.9993869731e+08
2020-03-15 10:10:00,5.2587310049e+08,5.2587310049e+08,2.4287816877e+08,2.4287816877e+08
