DATE,NLUK,NLUK_peak,UKNL,NLUK_peak
2020-03-15 09:05:00,2.4189851992e+10,2.4189851992e+10,1.9800181134e+10,1.9800181134e+10
2020-03-15 09:10:00,2.5466573912e+10,2.5466573912e+10,2.6967634372e+10,2.6967634372e+10
2020-03-15 09:15:00,3.7503030823e+10,3.7503030823e+10,3.0034556043e+10,3.0034556043e+10
2020-03-15 09:20:00,3.3317783720e+10,3.3317783720e+10,2.6726345620e+10,2.6726345620e+10
2020-03-15 09:25:00,4.0060076279e+10,4.0060076279e+10,2.0748561970e+10,2.0748561970e+10
2020-03-15 09:30:00,3.5934041375e+10,3.5934041375e+10,3.3822410777e+10,3.3822410777e+10
2020-03-15 09:35:00,5.0025078248e+10,5.0025078248e+10,2.5121053271e+10,2.5121053271e+10
2020-03-15 09:40:00,2.9147817549e+10,2.9147817549e+10,2.8232048158e+10,2.8232048158e+10
2020-03-15 09:45:00,3.2167512163e+10,3.2167512163e+10,3.4559559995e+10,3.4559559995e+10
2020-03-15 09:50:00,3.4532520368e+10,3.4532520368e+10,2.7270645157e+10,2.7270645157e+10
2020-03-15 09:55:00,4.2045503914e+10,4.2045503914e+10,3.8989559309e+10,3.8989559309e+10
2020-03-15 10:00:00,3.3267533636e+10,3.3267533636e+10,2.3375075878e+10,2.3375075878e+10
2020-03-15 10:05:00,2.8816514768e+10,2.8816514768e+10,1.8967964602e+10,1.8967964602e+10
2020-03-15 10:10:00,2.8911701978e+10,2.8911701978e+10,1.9485649609e+10,1.9485649609e+10
2020-03-15 10:15:00,2.4232579315e+10,2.4232579315e+10,1.9318916700e+10,1.9318916700e+10
2020-03-15 10:20:00,2.5980478173e+10,2.5980478173e+10,2.0056038567e+10,2.0056038567e+10
2020-03-15 10:25:00,4.1078837494e+10,4.1078837494e+10,1.6936769193e+10,1.6936769193e+10
2020-03-15 10:30:00,5.1103836668e+10,5.1103836668e+10,2.1609193593e+10,2.1609193593e+10
2020-03-15 10:35:00,4.6518678490e+10,4.6518678490e+10,2.7851678297e+10,2.7851678297e+10
2020-03-15 10:40:00,4.9713234895e+10,4.9713234895e+10,2.1137442316e+10,2.1137442316e+10
2020-03-15 10:45:00,4.2412922363e+10,4.2412922363e+10,2.1205936180e+10,2.1205936180e+10
2020-03-15 10:50:00,3.8938515341e+10,3.8938515341e+10,2.3243317400e+10,2.3243317400e+10
2020-03-15 10:55:00,3.0561788938e+10,3.0561788938e+10,3.7620111682e+10,3.7620111682e+10
2020-03-15 11:00:00,3.2735795263e+10,3.2735795263e+10,4.9677754251e+10,4.9677754251e+10
2020-03-15 11:05:00,2.8518703758e+10,2.8518703758e+10,4.8981503054e+10,4.8981503054e+10
2020-03-15 11:10:00,2.3785395019e+10,2.3785395019e+10,3.7330280149e+10,3.7330280149e+10
2020-03-15 11:15:00,2.7056635227e+10,2.7056635227e+10,3.2019313558e+10,3.2019313558e+10
2020-03-15 11:20:00,2.4032029660e+10,2.4032029660e+10,2.2978719857e+10,2.2978719857e+10
2020-03-15 11:25:00,2.5772699375e+10,2.5772699375e+10,1.3718990607e+10,1.3718990607e+10
2020-03-15 11:30:00,2.9841482543e+10,2.9841482543e+10,2.2440865514e+10,2.2440865514e+10
2020-03-15 11:35:00,3.0328907293e+10,3.0328907293e+10,1.6721894027e+10,1.6721894027e+10
2020-03-15 11:40:00,2.5491340954e+10,2.5491340954e+10,1.5652185768e+10,1.5652185768e+10
2020-03-15 11:45:00,2.3858634544e+10,2.3858634544e+10,1.4943694995e+10,1.4943694995e+10
2020-03-15 11:50:00,2.4690715182e+10,2.4690715182e+10,1.8210897006e+10,1.8210897006e+10
2020-03-15 11:55:00,3.3515092070e+10,3.3515092070e+10,1.8689230974e+10,1.8689230974e+10
2020-03-15 12:00:00,2.3658000219e+10,2.3658000219e+10,1.7816940909e+10,1.7816940909e+10
2020-03-15 12:05:00,2.3060661769e+10,2.3060661769e+10,1.8472941361e+10,1.8472941361e+10
2020-03-15 12:10:00,3.4364982191e+10,3.4364982191e+10,1.8749275290e+10,1.8749275290e+10
2020-03-15 12:15:00,2.8030337225e+10,2.8030337225e+10,1.6565685427e+10,1.6565685427e+10
2020-03-15 12:20:00,2.7210313646e+10,2.7210313646e+10,2.0916925126e+10,2.0916925126e+10
2020-03-15 12:25:00,2.3747198691e+10,2.3747198691e+10,1.4985405028e+10,1.4985405028e+10
2020-03-15 12:30:00,3.0352487723e+10,3.0352487723e+10,1.4718280806e+10,1.4718280806e+10
2020-03-15 12:35:00,2.2559408436e+10,2.2559408436e+10,1.8790050663e+10,1.8790050663e+10
2020-03-15 12:40:00,2.7715816548e+10,2.7715816548e+10,1.5819131745e+10,1.5819131745e+10
2020-03-15 12:45:00,2.5746043240e+10,2.5746043240e+10,2.0050777277e+10,2.0050777277e+10
2020-03-15 12:50:00,2.3830514580e+10,2.3830514580e+10,1.6295181666e+10,1.6295181666e+10
