DATE,NLDU,NLDU_peak,DUNL,DUNL_peak
2020-03-15 04:15:00,1.8941304218e+10,1.8941304218e+10,1.4667702165e+04,1.4667702165e+04
2020-03-15 04:20:00,2.0696781766e+10,2.0696781766e+10,1.4900301796e+04,1.4900301796e+04
2020-03-15 04:25:00,2.0702782728e+10,2.0702782728e+10,1.4746002550e+04,1.4746002550e+04
2020-03-15 04:30:00,2.0165760886e+10,2.0165760886e+10,1.4603101326e+04,1.4603101326e+04
2020-03-15 04:35:00,2.0393419525e+10,2.0393419525e+10,1.4645508728e+04,1.4645508728e+04
2020-03-15 04:40:00,2.3085075504e+10,2.3085075504e+10,1.4916994584e+04,1.4916994584e+04
2020-03-15 04:45:00,2.0144213887e+10,2.0144213887e+10,1.4651025990e+04,1.4651025990e+04
2020-03-15 04:50:00,1.5760072969e+10,1.5760072969e+10,1.4997125826e+04,1.4997125826e+04
2020-03-15 04:55:00,4.3400430151e+09,4.3400430151e+09,1.4905520800e+04,1.4905520800e+04
2020-03-15 05:00:00,1.9708741346e+09,1.9708741346e+09,1.5002780449e+04,1.5002780449e+04
2020-03-15 05:05:00,1.9416289911e+09,1.9416289911e+09,1.4366245483e+04,1.4366245483e+04
2020-03-15 05:10:00,3.4409172090e+09,3.4409172090e+09,1.5165502210e+04,1.5165502210e+04
2020-03-15 05:15:00,3.0744926659e+09,3.0744926659e+09,1.4652590169e+04,1.4652590169e+04
2020-03-15 05:20:00,5.4652257530e+09,5.4652257530e+09,1.4534979200e+04,1.4534979200e+04
2020-03-15 05:25:00,3.2692633694e+09,3.2692633694e+09,1.5160966933e+04,1.5160966933e+04
2020-03-15 05:30:00,4.2159737390e+09,4.2159737390e+09,1.4633574422e+04,1.4633574422e+04
2020-03-15 05:35:00,7.9286683285e+09,7.9286683285e+09,1.4577437666e+04,1.4577437666e+04
2020-03-15 05:40:00,6.7675704543e+09,6.7675704543e+09,1.4858215354e+04,1.4858215354e+04
2020-03-15 05:45:00,5.4095627436e+09,5.4095627436e+09,1.4783957446e+04,1.4783957446e+04
2020-03-15 05:50:00,4.6653357940e+09,4.6653357940e+09,1.4756024000e+04,1.4756024000e+04
2020-03-15 05:55:00,4.1227419633e+09,4.1227419633e+09,1.4404325932e+04,1.4404325932e+04
2020-03-15 06:00:00,5.2496152761e+09,5.2496152761e+09,1.5718156658e+04,1.5718156658e+04
2020-03-15 06:05:00,5.4912782515e+09,5.4912782515e+09,1.5162436831e+04,1.5162436831e+04
2020-03-15 06:10:00,5.4075390758e+09,5.4075390758e+09,1.4812486246e+04,1.4812486246e+04
2020-03-15 06:15:00,5.7703471151e+09,5.7703471151e+09,1.4599459578e+04,1.4599459578e+04
2020-03-15 06:20:00,6.5938011796e+09,6.5938011796e+09,1.4907425339e+04,1.4907425339e+04
2020-03-15 06:25:00,5.8954989067e+09,5.8954989067e+09,1.4882281639e+04,1.4882281639e+04
2020-03-15 06:30:00,5.8190222772e+09,5.8190222772e+09,1.4731851606e+04,1.4731851606e+04
2020-03-15 06:35:00,6.1446715360e+09,6.1446715360e+09,1.4991843639e+04,1.4991843639e+04
2020-03-15 06:40:00,5.7422768093e+09,5.7422768093e+09,1.4611335034e+04,1.4611335034e+04
2020-03-15 06:45:00,5.1900152418e+09,5.1900152418e+09,1.4821231988e+04,1.4821231988e+04
2020-03-15 06:50:00,5.1666844138e+09,5.1666844138e+09,1.4444723200e+04,1.4444723200e+04
2020-03-15 06:55:00,5.3415292937e+09,5.3415292937e+09,1.5098690281e+04,1.5098690281e+04
2020-03-15 07:00:00,5.4206546869e+09,5.4206546869e+09,1.4716359763e+04,1.4716359763e+04
2020-03-15 07:05:00,7.1473485003e+09,7.1473485003e+09,1.4566159985e+04,1.4566159985e+04
2020-03-15 07:10:00,8.4216668165e+09,8.4216668165e+09,1.5171528535e+04,1.5171528535e+04
2020-03-15 07:15:00,1.4995634610e+10,1.4995634610e+10,1.4452388789e+04,1.4452388789e+04
2020-03-15 07:20:00,1.0861736782e+10,1.0861736782e+10,1.4565405802e+04,1.4565405802e+04
2020-03-15 07:25:00,7.7811429057e+09,7.7811429057e+09,1.4951408155e+04,1.4951408155e+04
2020-03-15 07:30:00,7.3914800955e+09,7.3914800955e+09,1.4732167091e+04,1.4732167091e+04
2020-03-15 07:35:00,6.4984531993e+09,6.4984531993e+09,1.4704225821e+04,1.4704225821e+04
2020-03-15 07:40:00,6.6963307412e+09,6.6963307412e+09,1.4728740978e+04,1.4728740978e+04
2020-03-15 07:45:00,6.6881449229e+09,6.6881449229e+09,1.5013109212e+04,1.5013109212e+04
2020-03-15 07:50:00,7.0517398638e+09,7.0517398638e+09,1.5205063611e+04,1.5205063611e+04
2020-03-15 07:55:00,7.7636963551e+09,7.7636963551e+09,1.4550531959e+04,1.4550531959e+04
2020-03-15 08:00:00,7.2147827642e+09,7.2147827642e+09,1.5573012032e+04,1.5573012032e+04
2020-03-15 08:05:00,8.9886717128e+09,8.9886717128e+09,1.4750255920e+04,1.4750255920e+04
2020-03-15 08:10:00,9.7431314795e+09,9.7431314795e+09,1.4853111929e+04,1.4853111929e+04
2020-03-15 08:15:00,1.2495938640e+10,1.2495938640e+10,1.4885046360e+04,1.4885046360e+04
2020-03-15 08:20:00,1.6844417305e+10,1.6844417305e+10,1.4868101822e+04,1.4868101822e+04
2020-03-15 08:25:00,1.0838147581e+10,1.0838147581e+10,1.4797925085e+04,1.4797925085e+04
2020-03-15 08:30:00,9.7825539965e+09,9.7825539965e+09,1.4730342160e+04,1.4730342160e+04
2020-03-15 08:35:00,1.0192163685e+10,1.0192163685e+10,1.4550987378e+04,1.4550987378e+04
2020-03-15 08:40:00,1.0511851815e+10,1.0511851815e+10,1.4869666489e+04,1.4869666489e+04
2020-03-15 08:45:00,1.1531609522e+10,1.1531609522e+10,1.4898162034e+04,1.4898162034e+04
2020-03-15 08:50:00,1.1141587388e+10,1.1141587388e+10,1.4631166934e+04,1.4631166934e+04
2020-03-15 08:55:00,1.4924845321e+10,1.4924845321e+10,1.5020118144e+04,1.5020118144e+04
2020-03-15 09:00:00,1.2289622356e+10,1.2289622356e+10,1.4789683782e+04,1.4789683782e+04
2020-03-15 09:05:00,1.0924516215e+10,1.0924516215e+10,1.4577564942e+04,1.4577564942e+04
2020-03-15 09:10:00,1.3401171586e+10,1.3401171586e+10,1.4961950806e+04,1.4961950806e+04
2020-03-15 09:15:00,1.7357909851e+10,1.7357909851e+10,1.4961528793e+04,1.4961528793e+04
2020-03-15 09:20:00,1.0048875958e+10,1.0048875958e+10,1.4658990256e+04,1.4658990256e+04
2020-03-15 09:25:00,8.6146241976e+09,8.6146241976e+09,1.4801854222e+04,1.4801854222e+04
2020-03-15 09:30:00,7.8699041487e+09,7.8699041487e+09,1.4973176711e+04,1.4973176711e+04
2020-03-15 09:35:00,7.7509526697e+09,7.7509526697e+09,1.4754621156e+04,1.4754621156e+04
2020-03-15 09:40:00,7.6997981172e+09,7.6997981172e+09,1.4784271111e+04,1.4784271111e+04
2020-03-15 09:45:00,7.9800781724e+09,7.9800781724e+09,1.4904898489e+04,1.4904898489e+04
2020-03-15 09:50:00,7.3020143600e+09,7.3020143600e+09,1.4636182222e+04,1.4636182222e+04
2020-03-15 09:55:00,7.1449156120e+09,7.1449156120e+09,1.5308142511e+04,1.5308142511e+04
2020-03-15 10:00:00,6.8035707316e+09,6.8035707316e+09,1.4980479153e+04,1.4980479153e+04
2020-03-15 10:05:00,6.4330799021e+09,6.4330799021e+09,1.4565156905e+04,1.4565156905e+04
2020-03-15 10:10:00,7.3028885831e+09,7.3028885831e+09,1.5089660720e+04,1.5089660720e+04
2020-03-15 10:15:00,7.4025844502e+09,7.4025844502e+09,1.4952317358e+04,1.4952317358e+04
2020-03-15 10:20:00,6.4962724562e+09,6.4962724562e+09,1.4785244513e+04,1.4785244513e+04
2020-03-15 10:25:00,6.0523464755e+09,6.0523464755e+09,1.4570955978e+04,1.4570955978e+04
2020-03-15 10:30:00,8.9385435876e+09,8.9385435876e+09,1.5021548107e+04,1.5021548107e+04
2020-03-15 10:35:00,7.7171627792e+09,7.7171627792e+09,1.4837442667e+04,1.4837442667e+04
2020-03-15 10:40:00,4.7012126952e+09,4.7012126952e+09,1.5018324267e+04,1.5018324267e+04
2020-03-15 10:45:00,3.7615049293e+09,3.7615049293e+09,1.4705100411e+04,1.4705100411e+04
2020-03-15 10:50:00,3.0280321320e+09,3.0280321320e+09,1.4871395920e+04,1.4871395920e+04
2020-03-15 10:55:00,3.6363414760e+09,3.6363414760e+09,1.4905939580e+04,1.4905939580e+04
2020-03-15 11:00:00,2.7960002221e+09,2.7960002221e+09,1.4635973333e+04,1.4635973333e+04
2020-03-15 11:05:00,3.5761137584e+09,3.5761137584e+09,1.4789310878e+04,1.4789310878e+04
2020-03-15 11:10:00,3.5335355925e+09,3.5335355925e+09,1.5092600322e+04,1.5092600322e+04
2020-03-15 11:15:00,5.6252663028e+09,5.6252663028e+09,1.4827378741e+04,1.4827378741e+04
