DATE,UKUI,UKUI_peak,UIUK,UIUK_peak
2020-03-30 17:05:00,4.2037068358e+10,4.2037068358e+10,4.5527913086e+10,4.5527913086e+10
2020-03-30 17:10:00,5.4624445071e+10,5.4624445071e+10,5.2174261717e+10,5.2174261717e+10
2020-03-30 17:15:00,5.4424580129e+10,5.4424580129e+10,5.0545238530e+10,5.0545238530e+10
2020-03-30 17:20:00,4.9607973994e+10,4.9607973994e+10,4.5780477289e+10,4.5780477289e+10
2020-03-30 17:25:00,5.8291004385e+10,5.8291004385e+10,3.4568317865e+10,3.4568317865e+10
2020-03-30 17:30:00,6.5222369392e+10,6.5222369392e+10,3.4688107139e+10,3.4688107139e+10
2020-03-30 17:35:00,7.8313557476e+10,7.8313557476e+10,4.6806403347e+10,4.6806403347e+10
2020-03-30 17:40:00,6.5612811916e+10,6.5612811916e+10,4.8546876648e+10,4.8546876648e+10
2020-03-30 17:45:00,6.3159870419e+10,6.3159870419e+10,4.9615619402e+10,4.9615619402e+10
2020-03-30 17:50:00,6.0456773361e+10,6.0456773361e+10,4.1093351325e+10,4.1093351325e+10
2020-03-30 17:55:00,5.0713475970e+10,5.0713475970e+10,4.2947709230e+10,4.2947709230e+10
2020-03-30 18:00:00,6.9013394107e+10,6.9013394107e+10,5.2536425007e+10,5.2536425007e+10
2020-03-30 18:05:00,5.9835818757e+10,5.9835818757e+10,4.4826926870e+10,4.4826926870e+10
2020-03-30 18:10:00,6.2417622133e+10,6.2417622133e+10,4.7562172756e+10,4.7562172756e+10
2020-03-30 18:15:00,5.7062626751e+10,5.7062626751e+10,4.7105267708e+10,4.7105267708e+10
2020-03-30 18:20:00,5.9877688554e+10,5.9877688554e+10,4.4115501393e+10,4.4115501393e+10
2020-03-30 18:25:00,6.2620583930e+10,6.2620583930e+10,4.0473818540e+10,4.0473818540e+10
2020-03-30 18:30:00,6.4157685567e+10,6.4157685567e+10,4.3462959980e+10,4.3462959980e+10
2020-03-30 18:35:00,5.4420373733e+10,5.4420373733e+10,4.1659516826e+10,4.1659516826e+10
2020-03-30 18:40:00,5.3501768576e+10,5.3501768576e+10,4.5097292930e+10,4.5097292930e+10
2020-03-30 18:45:00,5.8085843176e+10,5.8085843176e+10,5.1264923398e+10,5.1264923398e+10
2020-03-30 18:50:00,6.3586846977e+10,6.3586846977e+10,4.8749047915e+10,4.8749047915e+10
2020-03-30 18:55:00,5.4843361358e+10,5.4843361358e+10,5.5212199273e+10,5.5212199273e+10
2020-03-30 19:00:00,6.2456434648e+10,6.2456434648e+10,5.8617982850e+10,5.8617982850e+10
2020-03-30 19:05:00,6.1834141485e+10,6.1834141485e+10,5.3758937846e+10,5.3758937846e+10
2020-03-30 19:10:00,7.1810062352e+10,7.1810062352e+10,5.0209687180e+10,5.0209687180e+10
2020-03-30 19:15:00,6.1694647637e+10,6.1694647637e+10,4.6065274880e+10,4.6065274880e+10
2020-03-30 19:20:00,6.4468397478e+10,6.4468397478e+10,4.0856070352e+10,4.0856070352e+10
2020-03-30 19:25:00,7.3623622361e+10,7.3623622361e+10,4.6734829996e+10,4.6734829996e+10
2020-03-30 19:30:00,6.3920181468e+10,6.3920181468e+10,3.9916115582e+10,3.9916115582e+10
2020-03-30 19:35:00,5.7674311891e+10,5.7674311891e+10,4.6595724493e+10,4.6595724493e+10
2020-03-30 19:40:00,5.5247178575e+10,5.5247178575e+10,4.9570733766e+10,4.9570733766e+10
2020-03-30 19:45:00,5.3293493450e+10,5.3293493450e+10,5.3973739305e+10,5.3973739305e+10
2020-03-30 19:50:00,5.8072086379e+10,5.8072086379e+10,5.5453826043e+10,5.5453826043e+10
2020-03-30 19:55:00,5.7131763864e+10,5.7131763864e+10,4.6166016145e+10,4.6166016145e+10
2020-03-30 20:00:00,5.5949194081e+10,5.5949194081e+10,4.5574805078e+10,4.5574805078e+10
2020-03-30 20:05:00,5.2254328526e+10,5.2254328526e+10,3.7258168251e+10,3.7258168251e+10
2020-03-30 20:10:00,5.9341265428e+10,5.9341265428e+10,4.5201841103e+10,4.5201841103e+10
2020-03-30 20:15:00,5.5916912390e+10,5.5916912390e+10,4.4778404933e+10,4.4778404933e+10
2020-03-30 20:20:00,5.2669094582e+10,5.2669094582e+10,5.2188764390e+10,5.2188764390e+10
2020-03-30 20:25:00,5.9399673920e+10,5.9399673920e+10,5.0707887302e+10,5.0707887302e+10
2020-03-30 20:30:00,6.7132339473e+10,6.7132339473e+10,5.1608143598e+10,5.1608143598e+10
2020-03-30 20:35:00,5.7728540075e+10,5.7728540075e+10,5.8511185071e+10,5.8511185071e+10
2020-03-30 20:40:00,5.8016349974e+10,5.8016349974e+10,5.6848056716e+10,5.6848056716e+10
2020-03-30 20:45:00,5.1985523360e+10,5.1985523360e+10,5.4765553413e+10,5.4765553413e+10
2020-03-30 20:50:00,4.9859418210e+10,4.9859418210e+10,4.6714801481e+10,4.6714801481e+10
2020-03-30 20:55:00,5.6313225860e+10,5.6313225860e+10,5.4506496803e+10,5.4506496803e+10
2020-03-30 21:00:00,6.0722072699e+10,6.0722072699e+10,6.0252491328e+10,6.0252491328e+10
2020-03-30 21:05:00,4.7930930470e+10,4.7930930470e+10,5.7719861547e+10,5.7719861547e+10
2020-03-30 21:10:00,4.9730877929e+10,4.9730877929e+10,6.8918180277e+10,6.8918180277e+10
2020-03-30 21:15:00,5.4636398502e+10,5.4636398502e+10,6.6359548071e+10,6.6359548071e+10
2020-03-30 21:20:00,5.5311544216e+10,5.5311544216e+10,6.5131040799e+10,6.5131040799e+10
2020-03-30 21:25:00,4.8927016444e+10,4.8927016444e+10,6.9899972383e+10,6.9899972383e+10
2020-03-30 21:30:00,6.8789550383e+10,6.8789550383e+10,7.7312641138e+10,7.7312641138e+10
2020-03-30 21:35:00,5.4078455852e+10,5.4078455852e+10,6.9039900675e+10,6.9039900675e+10
2020-03-30 21:40:00,4.8629454340e+10,4.8629454340e+10,6.4425684011e+10,6.4425684011e+10
2020-03-30 21:45:00,5.0989133291e+10,5.0989133291e+10,6.8051177057e+10,6.8051177057e+10
2020-03-30 21:50:00,6.3596762667e+10,6.3596762667e+10,7.1614989617e+10,7.1614989617e+10
2020-03-30 21:55:00,5.3202761261e+10,5.3202761261e+10,6.3283660827e+10,6.3283660827e+10
2020-03-30 22:00:00,5.5757359001e+10,5.5757359001e+10,6.5577605270e+10,6.5577605270e+10
2020-03-30 22:05:00,5.1552701449e+10,5.1552701449e+10,4.4299654574e+10,4.4299654574e+10
2020-03-30 22:10:00,4.6344775581e+10,4.6344775581e+10,4.6164887083e+10,4.6164887083e+10
2020-03-30 22:15:00,5.0120933820e+10,5.0120933820e+10,4.5314664146e+10,4.5314664146e+10
2020-03-30 22:20:00,5.5331730819e+10,5.5331730819e+10,4.6914838852e+10,4.6914838852e+10
2020-03-30 22:25:00,4.5152015912e+10,4.5152015912e+10,4.3987636048e+10,4.3987636048e+10
2020-03-30 22:30:00,5.0404443085e+10,5.0404443085e+10,4.5906369996e+10,4.5906369996e+10
2020-03-30 22:35:00,5.8626365311e+10,5.8626365311e+10,5.4079088088e+10,5.4079088088e+10
2020-03-30 22:40:00,5.1356086868e+10,5.1356086868e+10,4.4773428074e+10,4.4773428074e+10
2020-03-30 22:45:00,5.3130233094e+10,5.3130233094e+10,3.9435494362e+10,3.9435494362e+10
2020-03-30 22:50:00,5.4332707428e+10,5.4332707428e+10,4.7661481972e+10,4.7661481972e+10
2020-03-30 22:55:00,5.6593287421e+10,5.6593287421e+10,4.2754446936e+10,4.2754446936e+10
2020-03-30 23:00:00,6.3348229542e+10,6.3348229542e+10,4.8866706157e+10,4.8866706157e+10
2020-03-30 23:05:00,6.3689806858e+10,6.3689806858e+10,4.7634739333e+10,4.7634739333e+10
2020-03-30 23:10:00,6.6553433638e+10,6.6553433638e+10,6.9573907030e+10,6.9573907030e+10
2020-03-30 23:15:00,6.1503264035e+10,6.1503264035e+10,5.4418689801e+10,5.4418689801e+10
