DATE,GRGC,GRGC_peak,GCGR,GCGR_peak
2020-03-15 09:30:00,3.5044592405e+09,3.5044592405e+09,2.8779135309e+09,2.8779135309e+09
2020-03-15 09:35:00,3.3926582000e+09,3.3926582000e+09,2.8080077170e+09,2.8080077170e+09
2020-03-15 09:40:00,3.0730250319e+09,3.0730250319e+09,2.5192226324e+09,2.5192226324e+09
2020-03-15 09:45:00,2.8955715621e+09,2.8955715621e+09,2.8164504929e+09,2.8164504929e+09
2020-03-15 09:50:00,3.7740060630e+09,3.7740060630e+09,2.9450565401e+09,2.9450565401e+09
2020-03-15 09:55:00,4.2559659295e+09,4.2559659295e+09,2.7448109595e+09,2.7448109595e+09
2020-03-15 10:00:00,3.3900656318e+09,3.3900656318e+09,2.2684979396e+09,2.2684979396e+09
2020-03-15 10:05:00,3.9263346267e+09,3.9263346267e+09,2.5788974325e+09,2.5788974325e+09
2020-03-15 10:10:00,3.8670987859e+09,3.8670987859e+09,2.6403983326e+09,2.6403983326e+09
2020-03-15 10:15:00,4.0105243997e+09,4.0105243997e+09,2.4354905033e+09,2.4354905033e+09
2020-03-15 10:20:00,4.0680151636e+09,4.0680151636e+09,2.0709299683e+09,2.0709299683e+09
2020-03-15 10:25:00,4.4247324478e+09,4.4247324478e+09,2.3527056765e+09,2.3527056765e+09
2020-03-15 10:30:00,3.5260109051e+09,3.5260109051e+09,2.0043426384e+09,2.0043426384e+09
2020-03-15 10:35:00,3.6054358169e+09,3.6054358169e+09,2.4201088970e+09,2.4201088970e+09
2020-03-15 10:40:00,3.2113401037e+09,3.2113401037e+09,2.6752139697e+09,2.6752139697e+09
2020-03-15 10:45:00,3.5628124055e+09,3.5628124055e+09,2.4078094288e+09,2.4078094288e+09
2020-03-15 10:50:00,3.2186994000e+09,3.2186994000e+09,2.2250433025e+09,2.2250433025e+09
2020-03-15 10:55:00,3.9452904117e+09,3.9452904117e+09,2.2212479719e+09,2.2212479719e+09
2020-03-15 11:00:00,3.2417520064e+09,3.2417520064e+09,2.0305218821e+09,2.0305218821e+09
2020-03-15 11:05:00,4.0209587337e+09,4.0209587337e+09,2.1865282983e+09,2.1865282983e+09
2020-03-15 11:10:00,3.7178274830e+09,3.7178274830e+09,2.0418282647e+09,2.0418282647e+09
2020-03-15 11:15:00,3.9257076266e+09,3.9257076266e+09,2.5130746122e+09,2.5130746122e+09
2020-03-15 11:20:00,4.9618046275e+09,4.9618046275e+09,2.4659069882e+09,2.4659069882e+09
2020-03-15 11:25:00,5.3364793328e+09,5.3364793328e+09,2.5209008532e+09,2.5209008532e+09
2020-03-15 11:30:00,4.9915265804e+09,4.9915265804e+09,2.5758696809e+09,2.5758696809e+09
2020-03-15 11:35:00,5.7325821622e+09,5.7325821622e+09,2.2734175626e+09,2.2734175626e+09
2020-03-15 11:40:00,4.0470797040e+09,4.0470797040e+09,1.7639820794e+09,1.7639820794e+09
2020-03-15 11:45:00,3.3194274277e+09,3.3194274277e+09,2.1114540123e+09,2.1114540123e+09
2020-03-15 11:50:00,4.2503670462e+09,4.2503670462e+09,2.4066005197e+09,2.4066005197e+09
2020-03-15 11:55:00,4.1788304693e+09,4.1788304693e+09,3.1910483205e+09,3.1910483205e+09
2020-03-15 12:00:00,3.5503348398e+09,3.5503348398e+09,2.3925478192e+09,2.3925478192e+09
2020-03-15 12:05:00,4.6925231267e+09,4.6925231267e+09,1.8685467664e+09,1.8685467664e+09
2020-03-15 12:10:00,4.6902655264e+09,4.6902655264e+09,2.6140106868e+09,2.6140106868e+09
2020-03-15 12:15:00,4.5073974457e+09,4.5073974457e+09,2.0280858450e+09,2.0280858450e+09
2020-03-15 12:20:00,4.9284294429e+09,4.9284294429e+09,2.3197771147e+09,2.3197771147e+09
2020-03-15 12:25:00,4.9912251216e+09,4.9912251216e+09,2.5965442199e+09,2.5965442199e+09
2020-03-15 12:30:00,3.5220627882e+09,3.5220627882e+09,2.3475840776e+09,2.3475840776e+09
2020-03-15 12:35:00,3.3586157204e+09,3.3586157204e+09,2.4068566025e+09,2.4068566025e+09
2020-03-15 12:40:00,2.8510156884e+09,2.8510156884e+09,1.9092023245e+09,1.9092023245e+09
2020-03-15 12:45:00,3.4169446214e+09,3.4169446214e+09,2.0151447062e+09,2.0151447062e+09
2020-03-15 12:50:00,4.2705046591e+09,4.2705046591e+09,2.3946471742e+09,2.3946471742e+09
2020-03-15 12:55:00,4.0004634189e+09,4.0004634189e+09,2.6632740330e+09,2.6632740330e+09
2020-03-15 13:00:00,3.9672928243e+09,3.9672928243e+09,1.6137202670e+09,1.6137202670e+09
2020-03-15 13:05:00,5.2624869127e+09,5.2624869127e+09,1.7110557520e+09,1.7110557520e+09
2020-03-15 13:10:00,3.5802643175e+09,3.5802643175e+09,2.3934612341e+09,2.3934612341e+09
2020-03-15 13:15:00,4.0656352730e+09,4.0656352730e+09,2.3962689463e+09,2.3962689463e+09
2020-03-15 13:20:00,3.7368472574e+09,3.7368472574e+09,2.5378503778e+09,2.5378503778e+09
2020-03-15 13:25:00,3.6553772811e+09,3.6553772811e+09,2.8436012577e+09,2.8436012577e+09
2020-03-15 13:30:00,3.6863870051e+09,3.6863870051e+09,2.6189834648e+09,2.6189834648e+09
2020-03-15 13:35:00,3.2167147079e+09,3.2167147079e+09,2.0692864920e+09,2.0692864920e+09
2020-03-15 13:40:00,3.9286386381e+09,3.9286386381e+09,1.4667544765e+09,1.4667544765e+09
2020-03-15 13:45:00,4.3352000274e+09,4.3352000274e+09,2.0179336893e+09,2.0179336893e+09
2020-03-15 13:50:00,4.4187660842e+09,4.4187660842e+09,2.7879788725e+09,2.7879788725e+09
2020-03-15 13:55:00,5.2693457752e+09,5.2693457752e+09,2.5221107320e+09,2.5221107320e+09
2020-03-15 14:00:00,4.0585774829e+09,4.0585774829e+09,2.1697035206e+09,2.1697035206e+09
2020-03-15 14:05:00,4.9960918208e+09,4.9960918208e+09,2.0691247254e+09,2.0691247254e+09
2020-03-15 14:10:00,4.4703190449e+09,4.4703190449e+09,2.1349099542e+09,2.1349099542e+09
2020-03-15 14:15:00,5.6009371160e+09,5.6009371160e+09,2.5501327386e+09,2.5501327386e+09
2020-03-15 14:20:00,4.9343538377e+09,4.9343538377e+09,2.0351477652e+09,2.0351477652e+09
2020-03-15 14:25:00,2.9959312625e+09,2.9959312625e+09,2.3981618869e+09,2.3981618869e+09
2020-03-15 14:30:00,2.8961261514e+09,2.8961261514e+09,1.7810646813e+09,1.7810646813e+09
2020-03-15 14:35:00,3.4573466178e+09,3.4573466178e+09,2.3320220492e+09,2.3320220492e+09
2020-03-15 14:40:00,3.5422904933e+09,3.5422904933e+09,2.4723652976e+09,2.4723652976e+09
2020-03-15 14:45:00,3.8263437220e+09,3.8263437220e+09,2.5644939234e+09,2.5644939234e+09
2020-03-15 14:50:00,3.6915202547e+09,3.6915202547e+09,2.4123925969e+09,2.4123925969e+09
2020-03-15 14:55:00,3.7881845982e+09,3.7881845982e+09,2.6736347282e+09,2.6736347282e+09
2020-03-15 15:00:00,3.6079513245e+09,3.6079513245e+09,2.1210720906e+09,2.1210720906e+09
2020-03-15 15:05:00,5.1107861014e+09,5.1107861014e+09,2.6948574350e+09,2.6948574350e+09
2020-03-15 15:10:00,4.0604157912e+09,4.0604157912e+09,2.3647810612e+09,2.3647810612e+09
2020-03-15 15:15:00,5.4402693366e+09,5.4402693366e+09,2.3188832653e+09,2.3188832653e+09
2020-03-15 15:20:00,4.3446503041e+09,4.3446503041e+09,1.8060339687e+09,1.8060339687e+09
2020-03-15 15:25:00,5.0212928181e+09,5.0212928181e+09,2.1502348439e+09,2.1502348439e+09
2020-03-15 15:30:00,4.1197623621e+09,4.1197623621e+09,1.8630623286e+09,1.8630623286e+09
2020-03-15 15:35:00,4.2345469988e+09,4.2345469988e+09,1.6117929748e+09,1.6117929748e+09
2020-03-15 15:40:00,4.0657500389e+09,4.0657500389e+09,1.7936923055e+09,1.7936923055e+09
2020-03-15 15:45:00,3.5771360686e+09,3.5771360686e+09,2.2448359564e+09,2.2448359564e+09
2020-03-15 15:50:00,3.3778354875e+09,3.3778354875e+09,2.4586315920e+09,2.4586315920e+09
2020-03-15 15:55:00,3.4383923983e+09,3.4383923983e+09,1.6247228603e+09,1.6247228603e+09
2020-03-15 16:00:00,3.0748757995e+09,3.0748757995e+09,2.1359679575e+09,2.1359679575e+09
2020-03-15 16:05:00,3.4646207597e+09,3.4646207597e+09,1.6192020770e+09,1.6192020770e+09
2020-03-15 16:10:00,3.2904752851e+09,3.2904752851e+09,1.7597397368e+09,1.7597397368e+09
2020-03-15 16:15:00,3.7531896489e+09,3.7531896489e+09,2.3816084741e+09,2.3816084741e+09
2020-03-15 16:20:00,2.7339775307e+09,2.7339775307e+09,2.3020402419e+09,2.3020402419e+09
2020-03-15 16:25:00,3.1994948202e+09,3.1994948202e+09,2.0893284625e+09,2.0893284625e+09
2020-03-15 16:30:00,2.7658646773e+09,2.7658646773e+09,1.7200766909e+09,1.7200766909e+09
2020-03-15 16:35:00,3.6689315270e+09,3.6689315270e+09,1.9679979678e+09,1.9679979678e+09
2020-03-15 16:40:00,2.8326916367e+09,2.8326916367e+09,2.7540581278e+09,2.7540581278e+09
2020-03-15 16:45:00,3.6961226624e+09,3.6961226624e+09,2.9786895073e+09,2.9786895073e+09
2020-03-15 16:50:00,3.0176649592e+09,3.0176649592e+09,3.1935481345e+09,3.1935481345e+09
2020-03-15 16:55:00,3.7526879661e+09,3.7526879661e+09,2.5690549782e+09,2.5690549782e+09
2020-03-15 17:00:00,3.7465565734e+09,3.7465565734e+09,2.1701992180e+09,2.1701992180e+09
2020-03-15 17:05:00,3.8519762908e+09,3.8519762908e+09,2.4226987287e+09,2.4226987287e+09
2020-03-15 17:10:00,3.8379082992e+09,3.8379082992e+09,2.1653976094e+09,2.1653976094e+09
2020-03-15 17:15:00,2.9268152249e+09,2.9268152249e+09,2.5445060639e+09,2.5445060639e+09
2020-03-15 17:20:00,4.0626546489e+09,4.0626546489e+09,2.5990441040e+09,2.5990441040e+09
2020-03-15 17:25:00,3.1846590483e+09,3.1846590483e+09,2.1035140192e+09,2.1035140192e+09
2020-03-15 17:30:00,3.0134527070e+09,3.0134527070e+09,2.1041983303e+09,2.1041983303e+09
2020-03-15 17:35:00,2.8579697321e+09,2.8579697321e+09,2.5398110661e+09,2.5398110661e+09
2020-03-15 17:40:00,2.4266701823e+09,2.4266701823e+09,2.0280314149e+09,2.0280314149e+09
2020-03-15 17:45:00,2.2863300519e+09,2.2863300519e+09,2.1800907466e+09,2.1800907466e+09
2020-03-15 17:50:00,3.3373874229e+09,3.3373874229e+09,1.8758201867e+09,1.8758201867e+09
2020-03-15 17:55:00,2.5118004221e+09,2.5118004221e+09,1.8787168640e+09,1.8787168640e+09
2020-03-15 18:00:00,2.1615202685e+09,2.1615202685e+09,1.6637001421e+09,1.6637001421e+09
2020-03-15 18:05:00,2.4487212600e+09,2.4487212600e+09,2.1208617514e+09,2.1208617514e+09
2020-03-15 18:10:00,3.0163407686e+09,3.0163407686e+09,2.5652374932e+09,2.5652374932e+09
2020-03-15 18:15:00,3.5597848100e+09,3.5597848100e+09,2.4370599228e+09,2.4370599228e+09
2020-03-15 18:20:00,3.2216647178e+09,3.2216647178e+09,2.3699606527e+09,2.3699606527e+09
2020-03-15 18:25:00,2.6196581452e+09,2.6196581452e+09,2.5032392644e+09,2.5032392644e+09
2020-03-15 18:30:00,3.2579206277e+09,3.2579206277e+09,2.3416182732e+09,2.3416182732e+09
2020-03-15 18:35:00,3.8916815569e+09,3.8916815569e+09,1.5029633052e+09,1.5029633052e+09
2020-03-15 18:40:00,3.1851046237e+09,3.1851046237e+09,1.6812138421e+09,1.6812138421e+09
2020-03-15 18:45:00,2.8679651542e+09,2.8679651542e+09,2.5086966952e+09,2.5086966952e+09
2020-03-15 18:50:00,3.0981325969e+09,3.0981325969e+09,2.4727274524e+09,2.4727274524e+09
2020-03-15 18:55:00,3.0012020785e+09,3.0012020785e+09,2.2928454716e+09,2.2928454716e+09
2020-03-15 19:00:00,2.4563607810e+09,2.4563607810e+09,2.7008761682e+09,2.7008761682e+09
2020-03-15 19:05:00,2.9463897673e+09,2.9463897673e+09,1.8646230089e+09,1.8646230089e+09
2020-03-15 19:10:00,2.8173257562e+09,2.8173257562e+09,2.0596246204e+09,2.0596246204e+09
2020-03-15 19:15:00,3.1267475428e+09,3.1267475428e+09,2.4370426096e+09,2.4370426096e+09
2020-03-15 19:20:00,3.8400898793e+09,3.8400898793e+09,2.2015983664e+09,2.2015983664e+09
2020-03-15 19:25:00,3.2574594208e+09,3.2574594208e+09,1.9306693923e+09,1.9306693923e+09
2020-03-15 19:30:00,2.4785791344e+09,2.4785791344e+09,2.4168123885e+09,2.4168123885e+09
2020-03-15 19:35:00,2.5967570550e+09,2.5967570550e+09,2.7484509584e+09,2.7484509584e+09
2020-03-15 19:40:00,2.7177404948e+09,2.7177404948e+09,2.6020540987e+09,2.6020540987e+09
2020-03-15 19:45:00,2.1251282419e+09,2.1251282419e+09,2.6216430313e+09,2.6216430313e+09
2020-03-15 19:50:00,2.3311919473e+09,2.3311919473e+09,2.2421727103e+09,2.2421727103e+09
