DATE,ATHR,ATHR_peak,HRAT,ATHR_peak
2020-03-15 04:50:00,1.0764370087e+06,1.0764370087e+06,9.9825951289e+05,9.9825951289e+05
2020-03-15 04:55:00,1.1777309856e+06,1.1777309856e+06,9.9425836373e+05,9.9425836373e+05
2020-03-15 05:00:00,1.1990429058e+06,1.1990429058e+06,1.0078708245e+06,1.0078708245e+06
2020-03-15 05:05:00,1.2873526199e+06,1.2873526199e+06,9.3894586471e+05,9.3894586471e+05
2020-03-15 05:10:00,1.1370975945e+06,1.1370975945e+06,9.8692814258e+05,9.8692814258e+05
2020-03-15 05:15:00,1.1573160974e+06,1.1573160974e+06,1.0397289079e+06,1.0397289079e+06
2020-03-15 05:20:00,1.1205012624e+06,1.1205012624e+06,1.0822179225e+06,1.0822179225e+06
2020-03-15 05:25:00,1.1237904204e+06,1.1237904204e+06,1.0535713568e+06,1.0535713568e+06
2020-03-15 05:30:00,1.1000174428e+06,1.1000174428e+06,1.0235655714e+06,1.0235655714e+06
2020-03-15 05:35:00,1.1306989586e+06,1.1306989586e+06,1.0493110156e+06,1.0493110156e+06
2020-03-15 05:40:00,1.0138447390e+06,1.0138447390e+06,9.1446632658e+05,9.1446632658e+05
2020-03-15 05:45:00,1.1147611549e+06,1.1147611549e+06,9.6650569097e+05,9.6650569097e+05
2020-03-15 05:50:00,1.0675181334e+06,1.0675181334e+06,1.0128376738e+06,1.0128376738e+06
2020-03-15 05:55:00,1.0856947469e+06,1.0856947469e+06,1.0218433380e+06,1.0218433380e+06
2020-03-15 06:00:00,1.1436802066e+06,1.1436802066e+06,9.7267748055e+05,9.7267748055e+05
2020-03-15 06:05:00,1.1102411954e+06,1.1102411954e+06,8.9938544140e+05,8.9938544140e+05
2020-03-15 06:10:00,1.1352664454e+06,1.1352664454e+06,9.9717485565e+05,9.9717485565e+05
2020-03-15 06:15:00,1.1389106316e+06,1.1389106316e+06,9.2729895040e+05,9.2729895040e+05
2020-03-15 06:20:00,1.1331695406e+06,1.1331695406e+06,9.6504432480e+05,9.6504432480e+05
2020-03-15 06:25:00,1.1512082220e+06,1.1512082220e+06,1.1096345175e+06,1.1096345175e+06
2020-03-15 06:30:00,1.0661522729e+06,1.0661522729e+06,9.3417694880e+05,9.3417694880e+05
2020-03-15 06:35:00,1.0981146110e+06,1.0981146110e+06,9.6596031538e+05,9.6596031538e+05
2020-03-15 06:40:00,1.1150664679e+06,1.1150664679e+06,9.0190880089e+05,9.0190880089e+05
2020-03-15 06:45:00,1.4847857628e+06,1.4847857628e+06,9.9360833849e+05,9.9360833849e+05
2020-03-15 06:50:00,1.8332807424e+06,1.8332807424e+06,9.3372665369e+05,9.3372665369e+05
2020-03-15 06:55:00,1.1271169399e+06,1.1271169399e+06,1.0370019124e+06,1.0370019124e+06
2020-03-15 07:00:00,1.1470128702e+06,1.1470128702e+06,1.0499745622e+06,1.0499745622e+06
2020-03-15 07:05:00,1.0980581962e+06,1.0980581962e+06,8.8008586963e+05,8.8008586963e+05
2020-03-15 07:10:00,1.1390397328e+06,1.1390397328e+06,9.9230418758e+05,9.9230418758e+05
2020-03-15 07:15:00,1.1085553945e+06,1.1085553945e+06,9.2547585760e+05,9.2547585760e+05
2020-03-15 07:20:00,1.1835436309e+06,1.1835436309e+06,1.0392587253e+06,1.0392587253e+06
2020-03-15 07:25:00,1.0890769118e+06,1.0890769118e+06,1.0166744247e+06,1.0166744247e+06
2020-03-15 07:30:00,1.0931169545e+06,1.0931169545e+06,1.0798343097e+06,1.0798343097e+06
2020-03-15 07:35:00,1.0981723618e+06,1.0981723618e+06,9.4587259058e+05,9.4587259058e+05
2020-03-15 07:40:00,1.1982218996e+06,1.1982218996e+06,1.0230266411e+06,1.0230266411e+06
2020-03-15 07:45:00,1.0994466793e+06,1.0994466793e+06,9.4486131538e+05,9.4486131538e+05
2020-03-15 07:50:00,1.1113260940e+06,1.1113260940e+06,9.5237545656e+05,9.5237545656e+05
2020-03-15 07:55:00,1.1101585254e+06,1.1101585254e+06,9.5405092247e+05,9.5405092247e+05
2020-03-15 08:00:00,1.2918487345e+06,1.2918487345e+06,1.0508935525e+06,1.0508935525e+06
2020-03-15 08:05:00,1.7831198889e+06,1.7831198889e+06,9.3459118133e+05,9.3459118133e+05
2020-03-15 08:10:00,1.1716391179e+06,1.1716391179e+06,9.7042040089e+05,9.7042040089e+05
2020-03-15 08:15:00,1.0953742338e+06,1.0953742338e+06,1.0115422238e+06,1.0115422238e+06
2020-03-15 08:20:00,1.3660633783e+06,1.3660633783e+06,9.6423637013e+05,9.6423637013e+05
2020-03-15 08:25:00,1.2624128953e+06,1.2624128953e+06,9.3556794240e+05,9.3556794240e+05
2020-03-15 08:30:00,1.1248221968e+06,1.1248221968e+06,9.5501164178e+05,9.5501164178e+05
2020-03-15 08:35:00,1.2766182423e+06,1.2766182423e+06,1.0473959223e+06,1.0473959223e+06
2020-03-15 08:40:00,1.4900271376e+06,1.4900271376e+06,9.2625910080e+05,9.2625910080e+05
2020-03-15 08:45:00,1.6280936654e+06,1.6280936654e+06,9.7075542933e+05,9.7075542933e+05
2020-03-15 08:50:00,1.3861230519e+06,1.3861230519e+06,1.0125116910e+06,1.0125116910e+06
2020-03-15 08:55:00,1.4770371644e+06,1.4770371644e+06,1.0601885019e+06,1.0601885019e+06
2020-03-15 09:00:00,1.4847035468e+06,1.4847035468e+06,1.0706949970e+06,1.0706949970e+06
2020-03-15 09:05:00,1.4065509943e+06,1.4065509943e+06,1.0977655915e+06,1.0977655915e+06
2020-03-15 09:10:00,1.3747463659e+06,1.3747463659e+06,1.0575254718e+06,1.0575254718e+06
2020-03-15 09:15:00,1.4463738020e+06,1.4463738020e+06,1.0292550032e+06,1.0292550032e+06
2020-03-15 09:20:00,1.8509286094e+06,1.8509286094e+06,1.1746698404e+06,1.1746698404e+06
2020-03-15 09:25:00,3.1252171022e+06,3.1252171022e+06,1.1117580121e+06,1.1117580121e+06
2020-03-15 09:30:00,1.6885729163e+06,1.6885729163e+06,1.1336239708e+06,1.1336239708e+06
2020-03-15 09:35:00,1.3073495840e+06,1.3073495840e+06,1.2167748910e+06,1.2167748910e+06
2020-03-15 09:40:00,1.1919369403e+06,1.1919369403e+06,1.0846143753e+06,1.0846143753e+06
2020-03-15 09:45:00,1.4189752732e+06,1.4189752732e+06,1.1810905310e+06,1.1810905310e+06
