DATE,PLAT,PLAT_peak,ATPL,ATPL_peak
2020-03-15 04:00:00,9.9024336178e+07,9.9024336178e+07,1.3231003144e+07,1.3231003144e+07
2020-03-15 04:05:00,2.1374032300e+08,2.1374032300e+08,1.0632941432e+07,1.0632941432e+07
2020-03-15 04:10:00,1.6972817153e+08,1.6972817153e+08,1.2668320345e+07,1.2668320345e+07
2020-03-15 04:15:00,1.6671190115e+08,1.6671190115e+08,6.4501274928e+06,6.4501274928e+06
2020-03-15 04:20:00,1.5026204711e+08,1.5026204711e+08,6.3561780147e+06,6.3561780147e+06
2020-03-15 04:25:00,2.5636577804e+08,2.5636577804e+08,4.3244598104e+06,4.3244598104e+06
2020-03-15 04:30:00,1.9079105875e+08,1.9079105875e+08,3.9773436675e+06,3.9773436675e+06
2020-03-15 04:35:00,1.2031652596e+08,1.2031652596e+08,3.4809666837e+06,3.4809666837e+06
2020-03-15 04:40:00,8.5794597338e+07,8.5794597338e+07,3.7660376816e+06,3.7660376816e+06
2020-03-15 04:45:00,1.6839030184e+08,1.6839030184e+08,4.0543831629e+06,4.0543831629e+06
2020-03-15 04:50:00,1.9538196522e+08,1.9538196522e+08,4.5995240624e+06,4.5995240624e+06
2020-03-15 04:55:00,1.5501333576e+08,1.5501333576e+08,5.1619012029e+06,5.1619012029e+06
2020-03-15 05:00:00,1.0397301676e+08,1.0397301676e+08,4.9751055917e+06,4.9751055917e+06
2020-03-15 05:05:00,8.7102103662e+07,8.7102103662e+07,4.1266591731e+06,4.1266591731e+06
2020-03-15 05:10:00,9.5423495121e+07,9.5423495121e+07,4.1811653832e+06,4.1811653832e+06
2020-03-15 05:15:00,2.9424144318e+08,2.9424144318e+08,5.8829746280e+06,5.8829746280e+06
2020-03-15 05:20:00,1.5169804973e+08,1.5169804973e+08,7.4880760259e+06,7.4880760259e+06
2020-03-15 05:25:00,1.5564465262e+08,1.5564465262e+08,6.9816691040e+06,6.9816691040e+06
2020-03-15 05:30:00,2.3463136183e+08,2.3463136183e+08,6.1498425035e+06,6.1498425035e+06
2020-03-15 05:35:00,2.1154395840e+08,2.1154395840e+08,6.5231762720e+06,6.5231762720e+06
2020-03-15 05:40:00,1.6710170081e+08,1.6710170081e+08,5.5454935925e+06,5.5454935925e+06
2020-03-15 05:45:00,1.0371447942e+08,1.0371447942e+08,4.9575535579e+06,4.9575535579e+06
2020-03-15 05:50:00,9.3800174432e+07,9.3800174432e+07,4.6504035396e+06,4.6504035396e+06
2020-03-15 05:55:00,1.2393978773e+08,1.2393978773e+08,5.0173860970e+06,5.0173860970e+06
2020-03-15 06:00:00,1.6957817825e+08,1.6957817825e+08,5.9071798633e+06,5.9071798633e+06
2020-03-15 06:05:00,1.4593720228e+08,1.4593720228e+08,7.5941178374e+06,7.5941178374e+06
2020-03-15 06:10:00,1.3813272711e+08,1.3813272711e+08,8.1546607163e+06,8.1546607163e+06
2020-03-15 06:15:00,1.4091864809e+08,1.4091864809e+08,7.8170628989e+06,7.8170628989e+06
2020-03-15 06:20:00,1.5166170876e+08,1.5166170876e+08,6.2927670688e+06,6.2927670688e+06
2020-03-15 06:25:00,1.7294259309e+08,1.7294259309e+08,1.0682131366e+08,1.0682131366e+08
2020-03-15 06:30:00,1.7922070477e+08,1.7922070477e+08,3.6521102426e+07,3.6521102426e+07
2020-03-15 06:35:00,2.2632263363e+08,2.2632263363e+08,7.1990951907e+06,7.1990951907e+06
2020-03-15 06:40:00,2.2381128759e+08,2.2381128759e+08,8.5444379880e+06,8.5444379880e+06
2020-03-15 06:45:00,3.2467052833e+08,3.2467052833e+08,7.0656434747e+06,7.0656434747e+06
2020-03-15 06:50:00,3.2548218080e+08,3.2548218080e+08,8.0887292341e+06,8.0887292341e+06
2020-03-15 06:55:00,2.3425760776e+08,2.3425760776e+08,5.0658589988e+08,5.0658589988e+08
2020-03-15 07:00:00,3.5925582109e+08,3.5925582109e+08,9.2865374516e+07,9.2865374516e+07
2020-03-15 07:05:00,4.1824796732e+08,4.1824796732e+08,1.0602904576e+07,1.0602904576e+07
2020-03-15 07:10:00,3.6481790828e+08,3.6481790828e+08,9.7605864890e+07,9.7605864890e+07
2020-03-15 07:15:00,3.3070006399e+08,3.3070006399e+08,1.0789263981e+07,1.0789263981e+07
2020-03-15 07:20:00,3.4781459928e+08,3.4781459928e+08,8.9068258408e+06,8.9068258408e+06
2020-03-15 07:25:00,3.6287262196e+08,3.6287262196e+08,9.1029911768e+06,9.1029911768e+06
2020-03-15 07:30:00,4.2079943752e+08,4.2079943752e+08,1.2877610666e+07,1.2877610666e+07
2020-03-15 07:35:00,4.1836383017e+08,4.1836383017e+08,6.9383544307e+07,6.9383544307e+07
2020-03-15 07:40:00,4.2391601295e+08,4.2391601295e+08,1.4910986149e+07,1.4910986149e+07
2020-03-15 07:45:00,3.8311502773e+08,3.8311502773e+08,7.8965455736e+08,7.8965455736e+08
2020-03-15 07:50:00,3.3889054512e+08,3.3889054512e+08,2.5050856174e+08,2.5050856174e+08
2020-03-15 07:55:00,4.5115554771e+08,4.5115554771e+08,1.6177410402e+07,1.6177410402e+07
2020-03-15 08:00:00,4.7790493020e+08,4.7790493020e+08,1.5734373703e+07,1.5734373703e+07
2020-03-15 08:05:00,3.4883094453e+08,3.4883094453e+08,1.2614344496e+07,1.2614344496e+07
2020-03-15 08:10:00,4.5414272808e+08,4.5414272808e+08,1.3734537086e+07,1.3734537086e+07
2020-03-15 08:15:00,9.4484086786e+08,9.4484086786e+08,1.4063584899e+07,1.4063584899e+07
2020-03-15 08:20:00,4.6686603518e+08,4.6686603518e+08,1.1676522433e+08,1.1676522433e+08
2020-03-15 08:25:00,4.5794723849e+08,4.5794723849e+08,1.4677496519e+07,1.4677496519e+07
2020-03-15 08:30:00,8.5821902769e+08,8.5821902769e+08,1.2093788698e+07,1.2093788698e+07
2020-03-15 08:35:00,3.1630425935e+08,3.1630425935e+08,1.1753302902e+07,1.1753302902e+07
2020-03-15 08:40:00,3.7698849538e+08,3.7698849538e+08,1.3960506794e+07,1.3960506794e+07
2020-03-15 08:45:00,4.3784169071e+08,4.3784169071e+08,1.3132523326e+07,1.3132523326e+07
2020-03-15 08:50:00,5.0909892224e+08,5.0909892224e+08,9.8393727491e+07,9.8393727491e+07
2020-03-15 08:55:00,4.3595180479e+08,4.3595180479e+08,1.6218331365e+07,1.6218331365e+07
2020-03-15 09:00:00,3.6046486356e+08,3.6046486356e+08,1.4180693822e+07,1.4180693822e+07
2020-03-15 09:05:00,5.1371408444e+08,5.1371408444e+08,1.4169753426e+07,1.4169753426e+07
2020-03-15 09:10:00,4.5126029803e+08,4.5126029803e+08,1.7031256937e+07,1.7031256937e+07
2020-03-15 09:15:00,3.7708399371e+08,3.7708399371e+08,1.7660150961e+07,1.7660150961e+07
2020-03-15 09:20:00,4.0854424827e+08,4.0854424827e+08,1.6372835761e+07,1.6372835761e+07
2020-03-15 09:25:00,4.6365441588e+08,4.6365441588e+08,1.3572133003e+07,1.3572133003e+07
2020-03-15 09:30:00,4.5122572143e+08,4.5122572143e+08,8.8063684885e+07,8.8063684885e+07
2020-03-15 09:35:00,5.5970495076e+08,5.5970495076e+08,1.2069138125e+08,1.2069138125e+08
2020-03-15 09:40:00,5.0790420486e+08,5.0790420486e+08,2.0512595543e+07,2.0512595543e+07
2020-03-15 09:45:00,4.7060866580e+08,4.7060866580e+08,1.7997110038e+07,1.7997110038e+07
2020-03-15 09:50:00,4.8583893541e+08,4.8583893541e+08,1.7289669309e+07,1.7289669309e+07
2020-03-15 09:55:00,4.7165634299e+08,4.7165634299e+08,2.2694350789e+07,2.2694350789e+07
2020-03-15 10:00:00,4.4442162559e+08,4.4442162559e+08,2.4711607916e+07,2.4711607916e+07
2020-03-15 10:05:00,4.6796464469e+08,4.6796464469e+08,2.7064884428e+07,2.7064884428e+07
2020-03-15 10:10:00,5.1544417342e+08,5.1544417342e+08,6.7804882321e+07,6.7804882321e+07
2020-03-15 10:15:00,5.8976698709e+08,5.8976698709e+08,2.2771755121e+07,2.2771755121e+07
2020-03-15 10:20:00,5.5507793872e+08,5.5507793872e+08,1.9573719619e+07,1.9573719619e+07
2020-03-15 10:25:00,4.7368231786e+08,4.7368231786e+08,2.2097467229e+07,2.2097467229e+07
2020-03-15 10:30:00,4.7023133175e+08,4.7023133175e+08,2.3810987118e+07,2.3810987118e+07
2020-03-15 10:35:00,4.4054993027e+08,4.4054993027e+08,2.0337046253e+07,2.0337046253e+07
2020-03-15 10:40:00,5.0959022706e+08,5.0959022706e+08,2.4061252931e+07,2.4061252931e+07
