DATE,LTPL,LTPL_peak,PLLT,LTPL_peak
2020-03-15 10:20:00,8.0982399066e+08,8.0982399066e+08,5.3179102691e+08,5.3179102691e+08
2020-03-15 10:25:00,8.1643770716e+08,8.1643770716e+08,4.0925140264e+08,4.0925140264e+08
2020-03-15 10:30:00,7.8598417956e+08,7.8598417956e+08,4.0571385287e+08,4.0571385287e+08
2020-03-15 10:35:00,8.2992792573e+08,8.2992792573e+08,5.3162202441e+08,5.3162202441e+08
2020-03-15 10:40:00,9.1407175822e+08,9.1407175822e+08,4.7451984476e+08,4.7451984476e+08
2020-03-15 10:45:00,9.9978894825e+08,9.9978894825e+08,6.0093780945e+08,6.0093780945e+08
2020-03-15 10:50:00,8.9707545188e+08,8.9707545188e+08,3.9009172968e+08,3.9009172968e+08
2020-03-15 10:55:00,9.0064784609e+08,9.0064784609e+08,4.5832237537e+08,4.5832237537e+08
2020-03-15 11:00:00,8.8882456710e+08,8.8882456710e+08,4.6176994871e+08,4.6176994871e+08
2020-03-15 11:05:00,8.4110891041e+08,8.4110891041e+08,5.7127663734e+08,5.7127663734e+08
2020-03-15 11:10:00,8.6913290593e+08,8.6913290593e+08,5.5669988191e+08,5.5669988191e+08
2020-03-15 11:15:00,8.9609428035e+08,8.9609428035e+08,6.5748060762e+08,6.5748060762e+08
2020-03-15 11:20:00,9.3365616445e+08,9.3365616445e+08,1.3952017518e+09,1.3952017518e+09
2020-03-15 11:25:00,1.0143336175e+09,1.0143336175e+09,1.4448863339e+09,1.4448863339e+09
2020-03-15 11:30:00,1.0489231394e+09,1.0489231394e+09,4.5110663816e+08,4.5110663816e+08
2020-03-15 11:35:00,1.1358558105e+09,1.1358558105e+09,6.3218648546e+08,6.3218648546e+08
2020-03-15 11:40:00,1.1086142138e+09,1.1086142138e+09,6.6296226266e+08,6.6296226266e+08
2020-03-15 11:45:00,9.9851415119e+08,9.9851415119e+08,7.9509649847e+08,7.9509649847e+08
2020-03-15 11:50:00,1.0224634237e+09,1.0224634237e+09,6.3970509840e+08,6.3970509840e+08
2020-03-15 11:55:00,1.0108175598e+09,1.0108175598e+09,6.1149097228e+08,6.1149097228e+08
2020-03-15 12:00:00,1.0357007118e+09,1.0357007118e+09,7.1322543787e+08,7.1322543787e+08
2020-03-15 12:05:00,9.2187704676e+08,9.2187704676e+08,6.2373711600e+08,6.2373711600e+08
2020-03-15 12:10:00,9.7417761410e+08,9.7417761410e+08,5.6517497090e+08,5.6517497090e+08
2020-03-15 12:15:00,1.0383579838e+09,1.0383579838e+09,5.9108011093e+08,5.9108011093e+08
2020-03-15 12:20:00,1.0136562111e+09,1.0136562111e+09,5.5859983004e+08,5.5859983004e+08
2020-03-15 12:25:00,9.5134208741e+08,9.5134208741e+08,5.3326840034e+08,5.3326840034e+08
2020-03-15 12:30:00,9.8227636898e+08,9.8227636898e+08,6.1816660887e+08,6.1816660887e+08
2020-03-15 12:35:00,9.1973905152e+08,9.1973905152e+08,5.7345694119e+08,5.7345694119e+08
2020-03-15 12:40:00,8.3619331645e+08,8.3619331645e+08,5.7230329535e+08,5.7230329535e+08
2020-03-15 12:45:00,7.9772838006e+08,7.9772838006e+08,5.9083497962e+08,5.9083497962e+08
2020-03-15 12:50:00,8.1296038591e+08,8.1296038591e+08,8.8077817064e+08,8.8077817064e+08
2020-03-15 12:55:00,8.3530666009e+08,8.3530666009e+08,6.9006865167e+08,6.9006865167e+08
2020-03-15 13:00:00,8.1390004641e+08,8.1390004641e+08,8.1062928933e+08,8.1062928933e+08
2020-03-15 13:05:00,8.4494320536e+08,8.4494320536e+08,6.1205988168e+08,6.1205988168e+08
2020-03-15 13:10:00,8.7699200364e+08,8.7699200364e+08,5.4969611271e+08,5.4969611271e+08
2020-03-15 13:15:00,8.2173286013e+08,8.2173286013e+08,5.7690331451e+08,5.7690331451e+08
2020-03-15 13:20:00,7.9242286023e+08,7.9242286023e+08,5.8308145997e+08,5.8308145997e+08
2020-03-15 13:25:00,7.9175194069e+08,7.9175194069e+08,4.0865299437e+08,4.0865299437e+08
2020-03-15 13:30:00,7.9255153241e+08,7.9255153241e+08,4.8622566455e+08,4.8622566455e+08
2020-03-15 13:35:00,7.7378966268e+08,7.7378966268e+08,4.1491289867e+08,4.1491289867e+08
2020-03-15 13:40:00,7.7915806896e+08,7.7915806896e+08,4.7164143562e+08,4.7164143562e+08
2020-03-15 13:45:00,8.7625504765e+08,8.7625504765e+08,5.6927280303e+08,5.6927280303e+08
2020-03-15 13:50:00,7.7723980115e+08,7.7723980115e+08,1.6736348034e+09,1.6736348034e+09
2020-03-15 13:55:00,9.2760018556e+08,9.2760018556e+08,1.2588886180e+09,1.2588886180e+09
2020-03-15 14:00:00,9.8053568753e+08,9.8053568753e+08,6.6026143649e+08,6.6026143649e+08
2020-03-15 14:05:00,1.0329151867e+09,1.0329151867e+09,5.2677808652e+08,5.2677808652e+08
2020-03-15 14:10:00,9.9938870922e+08,9.9938870922e+08,4.6258728784e+08,4.6258728784e+08
2020-03-15 14:15:00,1.0050515709e+09,1.0050515709e+09,4.0336073406e+08,4.0336073406e+08
2020-03-15 14:20:00,1.1019067122e+09,1.1019067122e+09,3.7393977482e+08,3.7393977482e+08
2020-03-15 14:25:00,1.1419506664e+09,1.1419506664e+09,3.7726889658e+08,3.7726889658e+08
2020-03-15 14:30:00,9.6086154960e+08,9.6086154960e+08,4.1911016983e+08,4.1911016983e+08
2020-03-15 14:35:00,9.9496420144e+08,9.9496420144e+08,3.7220444673e+08,3.7220444673e+08
2020-03-15 14:40:00,1.1349871581e+09,1.1349871581e+09,5.3066323975e+08,5.3066323975e+08
2020-03-15 14:45:00,1.1914311213e+09,1.1914311213e+09,8.1327794163e+08,8.1327794163e+08
2020-03-15 14:50:00,1.0531601530e+09,1.0531601530e+09,6.9209425002e+08,6.9209425002e+08
2020-03-15 14:55:00,1.1320809873e+09,1.1320809873e+09,6.4994694920e+08,6.4994694920e+08
2020-03-15 15:00:00,1.0713191353e+09,1.0713191353e+09,7.0535917470e+08,7.0535917470e+08
2020-03-15 15:05:00,1.1137457306e+09,1.1137457306e+09,5.7558374481e+08,5.7558374481e+08
2020-03-15 15:10:00,1.0374863842e+09,1.0374863842e+09,4.7316424159e+08,4.7316424159e+08
2020-03-15 15:15:00,1.0589522951e+09,1.0589522951e+09,3.3734447709e+08,3.3734447709e+08
2020-03-15 15:20:00,1.0454028170e+09,1.0454028170e+09,4.4295302752e+08,4.4295302752e+08
