DATE,DECH,DECH_peak,CHDE,CHDE_peak
2020-03-15 05:45:00,2.9428884428e+10,2.9428884428e+10,2.8618901860e+10,2.8618901860e+10
2020-03-15 05:50:00,3.2944403825e+10,3.2944403825e+10,2.6419900097e+10,2.6419900097e+10
2020-03-15 05:55:00,3.1818652180e+10,3.1818652180e+10,2.6543794648e+10,2.6543794648e+10
2020-03-15 06:00:00,3.5319080421e+10,3.5319080421e+10,2.7021508391e+10,2.7021508391e+10
2020-03-15 06:05:00,2.9630127360e+10,2.9630127360e+10,3.5552055670e+10,3.5552055670e+10
2020-03-15 06:10:00,3.5677348737e+10,3.5677348737e+10,3.3300453981e+10,3.3300453981e+10
2020-03-15 06:15:00,4.1689717913e+10,4.1689717913e+10,4.0884057925e+10,4.0884057925e+10
2020-03-15 06:20:00,4.3675501975e+10,4.3675501975e+10,4.2246013345e+10,4.2246013345e+10
2020-03-15 06:25:00,3.7158519646e+10,3.7158519646e+10,4.2421203202e+10,4.2421203202e+10
2020-03-15 06:30:00,3.2853903394e+10,3.2853903394e+10,5.1981423587e+10,5.1981423587e+10
2020-03-15 06:35:00,3.0957412768e+10,3.0957412768e+10,3.9213413733e+10,3.9213413733e+10
2020-03-15 06:40:00,3.5259681657e+10,3.5259681657e+10,2.9995160344e+10,2.9995160344e+10
2020-03-15 06:45:00,3.7277840988e+10,3.7277840988e+10,3.2871173792e+10,3.2871173792e+10
2020-03-15 06:50:00,4.0521492922e+10,4.0521492922e+10,2.8429179026e+10,2.8429179026e+10
2020-03-15 06:55:00,3.4477934430e+10,3.4477934430e+10,2.6058616076e+10,2.6058616076e+10
2020-03-15 07:00:00,4.1348694598e+10,4.1348694598e+10,3.1709310697e+10,3.1709310697e+10
2020-03-15 07:05:00,3.6867565929e+10,3.6867565929e+10,2.6158622906e+10,2.6158622906e+10
2020-03-15 07:10:00,4.0876538978e+10,4.0876538978e+10,2.6347231389e+10,2.6347231389e+10
2020-03-15 07:15:00,2.8953326043e+10,2.8953326043e+10,2.6120400739e+10,2.6120400739e+10
2020-03-15 07:20:00,3.0617301641e+10,3.0617301641e+10,3.0258995685e+10,3.0258995685e+10
2020-03-15 07:25:00,2.9605975919e+10,2.9605975919e+10,2.7089834931e+10,2.7089834931e+10
2020-03-15 07:30:00,3.6995302094e+10,3.6995302094e+10,2.8380625619e+10,2.8380625619e+10
2020-03-15 07:35:00,3.4219948306e+10,3.4219948306e+10,3.1298229947e+10,3.1298229947e+10
2020-03-15 07:40:00,3.7362024081e+10,3.7362024081e+10,3.0824902665e+10,3.0824902665e+10
2020-03-15 07:45:00,3.7896962340e+10,3.7896962340e+10,3.1805222278e+10,3.1805222278e+10
2020-03-15 07:50:00,3.4826316817e+10,3.4826316817e+10,4.7122382059e+10,4.7122382059e+10
2020-03-15 07:55:00,3.5557679469e+10,3.5557679469e+10,4.1054936127e+10,4.1054936127e+10
2020-03-15 08:00:00,4.4093226203e+10,4.4093226203e+10,4.7510236555e+10,4.7510236555e+10
2020-03-15 08:05:00,3.9942248368e+10,3.9942248368e+10,2.9434679927e+10,2.9434679927e+10
2020-03-15 08:10:00,3.8516033052e+10,3.8516033052e+10,3.2501405400e+10,3.2501405400e+10
2020-03-15 08:15:00,3.1205779158e+10,3.1205779158e+10,3.4480273583e+10,3.4480273583e+10
2020-03-15 08:20:00,3.6216092215e+10,3.6216092215e+10,3.1309220568e+10,3.1309220568e+10
2020-03-15 08:25:00,3.1140813714e+10,3.1140813714e+10,3.3846173054e+10,3.3846173054e+10
