DATE,ROHU,ROHU_peak,HURO,HURO_peak
2020-03-22 05:15:00,3.9800329053e+07,3.9800329053e+07,4.0135628582e+07,4.0135628582e+07
2020-03-22 05:20:00,9.0895966518e+07,9.0895966518e+07,4.0964598166e+07,4.0964598166e+07
2020-03-22 05:25:00,4.5863817173e+07,4.5863817173e+07,4.0093166636e+07,4.0093166636e+07
2020-03-22 05:30:00,4.7415020552e+07,4.7415020552e+07,3.7925464293e+07,3.7925464293e+07
2020-03-22 05:35:00,6.1368814547e+07,6.1368814547e+07,3.9516211819e+07,3.9516211819e+07
2020-03-22 05:40:00,4.0468452724e+07,4.0468452724e+07,4.4962396404e+07,4.4962396404e+07
2020-03-22 05:45:00,3.3783637197e+07,3.3783637197e+07,4.8872386604e+07,4.8872386604e+07
2020-03-22 05:50:00,3.4849237511e+07,3.4849237511e+07,3.8158823022e+07,3.8158823022e+07
2020-03-22 05:55:00,5.8850405967e+07,5.8850405967e+07,3.9316749995e+07,3.9316749995e+07
2020-03-22 06:00:00,1.6012968235e+07,1.6012968235e+07,3.3283469031e+07,3.3283469031e+07
2020-03-22 06:05:00,1.9377067025e+07,1.9377067025e+07,4.3336480764e+07,4.3336480764e+07
2020-03-22 06:10:00,1.9013109669e+07,1.9013109669e+07,5.4572441470e+07,5.4572441470e+07
2020-03-22 06:15:00,4.8128699373e+07,4.8128699373e+07,3.8902184746e+07,3.8902184746e+07
2020-03-22 06:20:00,3.8797868416e+07,3.8797868416e+07,4.8254834922e+07,4.8254834922e+07
2020-03-22 06:25:00,2.6233175623e+07,2.6233175623e+07,6.5848487261e+07,6.5848487261e+07
2020-03-22 06:30:00,2.6371528330e+07,2.6371528330e+07,3.6046025241e+07,3.6046025241e+07
2020-03-22 06:35:00,3.2831062136e+07,3.2831062136e+07,3.0142582689e+07,3.0142582689e+07
2020-03-22 06:40:00,7.2281254345e+07,7.2281254345e+07,4.6912088680e+07,4.6912088680e+07
2020-03-22 06:45:00,1.2699920695e+08,1.2699920695e+08,3.2660390608e+07,3.2660390608e+07
2020-03-22 06:50:00,1.0939456043e+08,1.0939456043e+08,3.5629521338e+07,3.5629521338e+07
2020-03-22 06:55:00,2.1134777531e+08,2.1134777531e+08,4.1254409400e+07,4.1254409400e+07
2020-03-22 07:00:00,1.8934156690e+08,1.8934156690e+08,4.6498776986e+07,4.6498776986e+07
2020-03-22 07:05:00,2.2312536681e+08,2.2312536681e+08,4.1524728554e+07,4.1524728554e+07
2020-03-22 07:10:00,4.4746965737e+08,4.4746965737e+08,4.0240210367e+07,4.0240210367e+07
2020-03-22 07:15:00,1.8771745485e+08,1.8771745485e+08,3.9726318679e+07,3.9726318679e+07
2020-03-22 07:20:00,5.5539942903e+07,5.5539942903e+07,5.8785238128e+07,5.8785238128e+07
2020-03-22 07:25:00,4.3231100109e+07,4.3231100109e+07,6.5797755306e+07,6.5797755306e+07
2020-03-22 07:30:00,3.4471239887e+07,3.4471239887e+07,9.0434043358e+07,9.0434043358e+07
2020-03-22 07:35:00,3.8482292275e+07,3.8482292275e+07,9.1150533948e+07,9.1150533948e+07
2020-03-22 07:40:00,4.7338906806e+07,4.7338906806e+07,8.8514136148e+07,8.8514136148e+07
