DATE,CHES,CHES_peak,ESCH,CHES_peak
2020-03-22 05:40:00,1.6146090464e+09,1.6146090464e+09,8.3682387141e+09,8.3682387141e+09
2020-03-22 05:45:00,4.4180903622e+09,4.4180903622e+09,7.8347296313e+09,7.8347296313e+09
2020-03-22 05:50:00,5.0259669596e+09,5.0259669596e+09,9.0761107499e+09,9.0761107499e+09
2020-03-22 05:55:00,5.5023102105e+09,5.5023102105e+09,9.2489707854e+09,9.2489707854e+09
2020-03-22 06:00:00,5.5922051878e+09,5.5922051878e+09,7.3612258103e+09,7.3612258103e+09
2020-03-22 06:05:00,1.8802663071e+09,1.8802663071e+09,6.2044713975e+09,6.2044713975e+09
2020-03-22 06:10:00,3.4755868397e+09,3.4755868397e+09,6.2329760164e+09,6.2329760164e+09
2020-03-22 06:15:00,7.2559043769e+09,7.2559043769e+09,6.8372316751e+09,6.8372316751e+09
2020-03-22 06:20:00,4.7606663003e+09,4.7606663003e+09,6.0530278028e+09,6.0530278028e+09
2020-03-22 06:25:00,3.8750725880e+09,3.8750725880e+09,5.9703596998e+09,5.9703596998e+09
2020-03-22 06:30:00,1.4645733393e+09,1.4645733393e+09,5.9782139671e+09,5.9782139671e+09
2020-03-22 06:35:00,5.9249148857e+09,5.9249148857e+09,5.6163583942e+09,5.6163583942e+09
2020-03-22 06:40:00,8.8573092999e+09,8.8573092999e+09,8.3307226961e+09,8.3307226961e+09
2020-03-22 06:45:00,8.4127375817e+09,8.4127375817e+09,7.7245694012e+09,7.7245694012e+09
2020-03-22 06:50:00,8.1593319053e+09,8.1593319053e+09,7.4158820971e+09,7.4158820971e+09
2020-03-22 06:55:00,7.7018506101e+09,7.7018506101e+09,6.5215693610e+09,6.5215693610e+09
2020-03-22 07:00:00,5.7488364320e+09,5.7488364320e+09,6.3629529723e+09,6.3629529723e+09
2020-03-22 07:05:00,5.5454571154e+09,5.5454571154e+09,6.8781428935e+09,6.8781428935e+09
2020-03-22 07:10:00,5.9425016007e+09,5.9425016007e+09,6.3798941555e+09,6.3798941555e+09
2020-03-22 07:15:00,7.8079103061e+09,7.8079103061e+09,6.8031180002e+09,6.8031180002e+09
2020-03-22 07:20:00,6.1430018390e+09,6.1430018390e+09,7.2168545052e+09,7.2168545052e+09
2020-03-22 07:25:00,5.2997424926e+09,5.2997424926e+09,7.4916881958e+09,7.4916881958e+09
2020-03-22 07:30:00,6.7241497482e+09,6.7241497482e+09,7.2876792640e+09,7.2876792640e+09
2020-03-22 07:35:00,5.5039372470e+09,5.5039372470e+09,6.6597911200e+09,6.6597911200e+09
2020-03-22 07:40:00,5.2264814207e+09,5.2264814207e+09,7.1609463713e+09,7.1609463713e+09
2020-03-22 07:45:00,6.9356825489e+09,6.9356825489e+09,6.8078297808e+09,6.8078297808e+09
2020-03-22 07:50:00,6.5132657101e+09,6.5132657101e+09,7.2869384446e+09,7.2869384446e+09
2020-03-22 07:55:00,6.0061405821e+09,6.0061405821e+09,7.0187071307e+09,7.0187071307e+09
2020-03-22 08:00:00,6.8163911000e+09,6.8163911000e+09,7.1006934277e+09,7.1006934277e+09
2020-03-22 08:05:00,7.5903625399e+09,7.5903625399e+09,6.5234426623e+09,6.5234426623e+09
2020-03-22 08:10:00,5.8080117755e+09,5.8080117755e+09,7.2027983888e+09,7.2027983888e+09
2020-03-22 08:15:00,5.2711050218e+09,5.2711050218e+09,6.7958723094e+09,6.7958723094e+09
2020-03-22 08:20:00,6.9625454092e+09,6.9625454092e+09,7.3485324799e+09,7.3485324799e+09
2020-03-22 08:25:00,6.0575729994e+09,6.0575729994e+09,6.6627520524e+09,6.6627520524e+09
2020-03-22 08:30:00,6.2983048517e+09,6.2983048517e+09,6.1338273287e+09,6.1338273287e+09
2020-03-22 08:35:00,6.7279988965e+09,6.7279988965e+09,6.1150505113e+09,6.1150505113e+09
2020-03-22 08:40:00,7.2811133940e+09,7.2811133940e+09,7.0211752497e+09,7.0211752497e+09
2020-03-22 08:45:00,6.8824893090e+09,6.8824893090e+09,7.3228701451e+09,7.3228701451e+09
2020-03-22 08:50:00,5.5437778917e+09,5.5437778917e+09,6.2076884234e+09,6.2076884234e+09
2020-03-22 08:55:00,5.5077028935e+09,5.5077028935e+09,5.8463896990e+09,5.8463896990e+09
2020-03-22 09:00:00,5.6728622967e+09,5.6728622967e+09,6.1347351310e+09,6.1347351310e+09
2020-03-22 09:05:00,5.2470575928e+09,5.2470575928e+09,5.6675437431e+09,5.6675437431e+09
2020-03-22 09:10:00,6.8713397639e+09,6.8713397639e+09,5.3554265809e+09,5.3554265809e+09
2020-03-22 09:15:00,5.6871056119e+09,5.6871056119e+09,5.4081565396e+09,5.4081565396e+09
2020-03-22 09:20:00,5.9452960939e+09,5.9452960939e+09,5.4229257233e+09,5.4229257233e+09
2020-03-22 09:25:00,7.1798214496e+09,7.1798214496e+09,5.3969349788e+09,5.3969349788e+09
2020-03-22 09:30:00,7.1946439102e+09,7.1946439102e+09,6.1167888259e+09,6.1167888259e+09
2020-03-22 09:35:00,4.5480712157e+09,4.5480712157e+09,6.2212483302e+09,6.2212483302e+09
2020-03-22 09:40:00,6.9171575520e+09,6.9171575520e+09,6.5758465627e+09,6.5758465627e+09
2020-03-22 09:45:00,7.9265452655e+09,7.9265452655e+09,6.8200055102e+09,6.8200055102e+09
2020-03-22 09:50:00,5.7775202060e+09,5.7775202060e+09,6.5838635494e+09,6.5838635494e+09
2020-03-22 09:55:00,7.3105703696e+09,7.3105703696e+09,6.7890897870e+09,6.7890897870e+09
2020-03-22 10:00:00,5.5956766781e+09,5.5956766781e+09,7.6051443825e+09,7.6051443825e+09
2020-03-22 10:05:00,4.2866615812e+09,4.2866615812e+09,7.2828527286e+09,7.2828527286e+09
2020-03-22 10:10:00,5.1744738334e+09,5.1744738334e+09,7.2418533891e+09,7.2418533891e+09
2020-03-22 10:15:00,6.5574025604e+09,6.5574025604e+09,7.2922179025e+09,7.2922179025e+09
2020-03-22 10:20:00,7.8900863409e+09,7.8900863409e+09,7.5496722591e+09,7.5496722591e+09
2020-03-22 10:25:00,7.0663373835e+09,7.0663373835e+09,7.4282594038e+09,7.4282594038e+09
2020-03-22 10:30:00,6.7595715769e+09,6.7595715769e+09,7.7079445516e+09,7.7079445516e+09
2020-03-22 10:35:00,6.4122361483e+09,6.4122361483e+09,7.6641139947e+09,7.6641139947e+09
2020-03-22 10:40:00,5.6115869057e+09,5.6115869057e+09,6.7482448158e+09,6.7482448158e+09
2020-03-22 10:45:00,5.8021329921e+09,5.8021329921e+09,8.3106293730e+09,8.3106293730e+09
2020-03-22 10:50:00,9.0384871721e+09,9.0384871721e+09,9.1173814115e+09,9.1173814115e+09
2020-03-22 10:55:00,8.5286000630e+09,8.5286000630e+09,9.7190102525e+09,9.7190102525e+09
2020-03-22 11:00:00,8.4188685906e+09,8.4188685906e+09,8.8927519698e+09,8.8927519698e+09
2020-03-22 11:05:00,9.8791707683e+09,9.8791707683e+09,1.1252671649e+10,1.1252671649e+10
2020-03-22 11:10:00,8.8225257614e+09,8.8225257614e+09,1.1642194353e+10,1.1642194353e+10
2020-03-22 11:15:00,6.1495099846e+09,6.1495099846e+09,1.1026284104e+10,1.1026284104e+10
2020-03-22 11:20:00,6.1927475036e+09,6.1927475036e+09,1.0909984525e+10,1.0909984525e+10
2020-03-22 11:25:00,1.0074375998e+10,1.0074375998e+10,9.4361626605e+09,9.4361626605e+09
2020-03-22 11:30:00,7.5299527942e+09,7.5299527942e+09,1.0152311659e+10,1.0152311659e+10
2020-03-22 11:35:00,5.1291128063e+09,5.1291128063e+09,1.0967548218e+10,1.0967548218e+10
2020-03-22 11:40:00,5.9328076600e+09,5.9328076600e+09,1.1423192794e+10,1.1423192794e+10
2020-03-22 11:45:00,4.7236062915e+09,4.7236062915e+09,1.1542777256e+10,1.1542777256e+10
2020-03-22 11:50:00,6.4957485770e+09,6.4957485770e+09,1.2839518758e+10,1.2839518758e+10
