DATE,LNLV,LNLV_peak,LVLN,LNLV_peak
2020-03-26 03:25:00,7.9074945657e+05,7.9074945657e+05,2.4676888080e+07,2.4676888080e+07
2020-03-26 03:30:00,7.9630554156e+05,7.9630554156e+05,2.7698271845e+07,2.7698271845e+07
2020-03-26 03:35:00,5.9228728444e+05,5.9228728444e+05,7.0037024089e+06,7.0037024089e+06
2020-03-26 03:40:00,5.3396042400e+05,5.3396042400e+05,5.9437925760e+05,5.9437925760e+05
2020-03-26 03:45:00,5.3202331520e+05,5.3202331520e+05,5.4736658151e+05,5.4736658151e+05
2020-03-26 03:50:00,5.3744000302e+05,5.3744000302e+05,7.4811246347e+05,7.4811246347e+05
2020-03-26 03:55:00,5.7480676747e+05,5.7480676747e+05,1.9026456455e+06,1.9026456455e+06
2020-03-26 04:00:00,5.3973588320e+05,5.3973588320e+05,5.7327742400e+05,5.7327742400e+05
2020-03-26 04:05:00,6.1523927484e+05,6.1523927484e+05,3.9380378876e+06,3.9380378876e+06
2020-03-26 04:10:00,5.2374923800e+05,5.2374923800e+05,5.7490847874e+05,5.7490847874e+05
2020-03-26 04:15:00,4.7187912031e+05,4.7187912031e+05,5.3443892535e+05,5.3443892535e+05
2020-03-26 04:20:00,5.4536105440e+05,5.4536105440e+05,1.0120465316e+06,1.0120465316e+06
2020-03-26 04:25:00,1.5529033218e+07,1.5529033218e+07,1.7627173032e+06,1.7627173032e+06
2020-03-26 04:30:00,7.5754048600e+07,7.5754048600e+07,8.7992468981e+05,8.7992468981e+05
2020-03-26 04:35:00,9.1199142359e+07,9.1199142359e+07,4.7049747470e+06,4.7049747470e+06
2020-03-26 04:40:00,9.0492396864e+07,9.0492396864e+07,1.3852696671e+06,1.3852696671e+06
2020-03-26 04:45:00,1.7837156639e+07,1.7837156639e+07,9.1253238869e+07,9.1253238869e+07
2020-03-26 04:50:00,4.7169941476e+07,4.7169941476e+07,9.1475815029e+07,9.1475815029e+07
2020-03-26 04:55:00,1.3297849320e+07,1.3297849320e+07,2.4960129553e+06,2.4960129553e+06
2020-03-26 05:00:00,5.7713517698e+05,5.7713517698e+05,5.6320227921e+05,5.6320227921e+05
2020-03-26 05:05:00,5.5565280839e+05,5.5565280839e+05,3.5952003571e+06,3.5952003571e+06
2020-03-26 05:10:00,5.1983742222e+05,5.1983742222e+05,5.5250051702e+05,5.5250051702e+05
2020-03-26 05:15:00,5.3626462335e+05,5.3626462335e+05,5.5250396906e+05,5.5250396906e+05
2020-03-26 05:20:00,5.4086389780e+05,5.4086389780e+05,9.8282371396e+05,9.8282371396e+05
2020-03-26 05:25:00,5.4354859690e+05,5.4354859690e+05,1.6502611992e+06,1.6502611992e+06
2020-03-26 05:30:00,6.9374522850e+05,6.9374522850e+05,8.9732784853e+07,8.9732784853e+07
2020-03-26 05:35:00,8.5570119007e+05,8.5570119007e+05,1.1858749289e+06,1.1858749289e+06
2020-03-26 05:40:00,1.0486009961e+06,1.0486009961e+06,5.5927742126e+05,5.5927742126e+05
2020-03-26 05:45:00,5.5113856622e+05,5.5113856622e+05,5.6372454284e+05,5.6372454284e+05
2020-03-26 05:50:00,5.4334093272e+05,5.4334093272e+05,9.3662918374e+05,9.3662918374e+05
2020-03-26 05:55:00,5.6154721104e+05,5.6154721104e+05,1.7238402581e+06,1.7238402581e+06
2020-03-26 06:00:00,7.2392405372e+05,7.2392405372e+05,3.4415171905e+05,3.4415171905e+05
2020-03-26 06:05:00,5.1721739653e+05,5.1721739653e+05,3.5742923906e+06,3.5742923906e+06
2020-03-26 06:10:00,5.4451886545e+05,5.4451886545e+05,5.7474621531e+05,5.7474621531e+05
2020-03-26 06:15:00,5.3709786036e+05,5.3709786036e+05,5.5488197449e+05,5.5488197449e+05
2020-03-26 06:20:00,5.3457090062e+05,5.3457090062e+05,8.2315598667e+05,8.2315598667e+05
2020-03-26 06:25:00,6.5448834554e+05,6.5448834554e+05,1.8342039221e+06,1.8342039221e+06
2020-03-26 06:30:00,6.3224040690e+05,6.3224040690e+05,5.5572279097e+05,5.5572279097e+05
2020-03-26 06:35:00,8.9791177253e+07,8.9791177253e+07,8.8891741564e+05,8.8891741564e+05
2020-03-26 06:40:00,1.2003549039e+06,1.2003549039e+06,5.6430291275e+05,5.6430291275e+05
2020-03-26 06:45:00,5.4042285317e+05,5.4042285317e+05,5.4916199401e+05,5.4916199401e+05
2020-03-26 06:50:00,5.4885731822e+05,5.4885731822e+05,8.8982246916e+05,8.8982246916e+05
2020-03-26 06:55:00,5.6504933145e+05,5.6504933145e+05,1.8216086652e+06,1.8216086652e+06
2020-03-26 07:00:00,7.7088300872e+05,7.7088300872e+05,5.7104248442e+05,5.7104248442e+05
2020-03-26 07:05:00,5.8765941084e+05,5.8765941084e+05,3.6025224805e+06,3.6025224805e+06
2020-03-26 07:10:00,5.4335177156e+05,5.4335177156e+05,5.8285183858e+05,5.8285183858e+05
2020-03-26 07:15:00,5.3563805738e+05,5.3563805738e+05,5.5360849390e+05,5.5360849390e+05
2020-03-26 07:20:00,1.1530588513e+07,1.1530588513e+07,8.0435605141e+05,8.0435605141e+05
2020-03-26 07:25:00,2.2679605340e+07,2.2679605340e+07,1.8779773218e+06,1.8779773218e+06
2020-03-26 07:30:00,1.9398385348e+07,1.9398385348e+07,5.7413079055e+05,5.7413079055e+05
2020-03-26 07:35:00,2.0531801906e+07,2.0531801906e+07,6.3939932813e+05,6.3939932813e+05
2020-03-26 07:40:00,3.7004451488e+06,3.7004451488e+06,5.6688334692e+05,5.6688334692e+05
2020-03-26 07:45:00,5.9733541757e+05,5.9733541757e+05,5.5544943950e+05,5.5544943950e+05
2020-03-26 07:50:00,6.2839570544e+05,6.2839570544e+05,7.8130652167e+05,7.8130652167e+05
2020-03-26 07:55:00,5.8931157050e+05,5.8931157050e+05,1.8940705486e+06,1.8940705486e+06
2020-03-26 08:00:00,5.5894601576e+05,5.5894601576e+05,5.6637844821e+05,5.6637844821e+05
2020-03-26 08:05:00,6.5202550975e+05,6.5202550975e+05,3.5956355266e+06,3.5956355266e+06
2020-03-26 08:10:00,5.9248125443e+05,5.9248125443e+05,5.7543781592e+05,5.7543781592e+05
2020-03-26 08:15:00,7.9779999135e+05,7.9779999135e+05,5.8171616657e+05,5.8171616657e+05
2020-03-26 08:20:00,5.9845460279e+05,5.9845460279e+05,7.5318438101e+05,7.5318438101e+05
2020-03-26 08:25:00,6.3009303110e+05,6.3009303110e+05,1.9208937474e+06,1.9208937474e+06
2020-03-26 08:30:00,6.7591286824e+05,6.7591286824e+05,5.7208871803e+05,5.7208871803e+05
2020-03-26 08:35:00,7.2267884880e+05,7.2267884880e+05,5.5593594124e+05,5.5593594124e+05
2020-03-26 08:40:00,6.6037069062e+05,6.6037069062e+05,5.5519943629e+05,5.5519943629e+05
2020-03-26 08:45:00,6.5446089642e+05,6.5446089642e+05,1.5007864717e+06,1.5007864717e+06
2020-03-26 08:50:00,6.3540913184e+05,6.3540913184e+05,7.3763313862e+05,7.3763313862e+05
