DATE,UKUI,UKUI_peak,UIUK,UIUK_peak
2020-03-15 06:05:00,4.1327695047e+10,4.1327695047e+10,4.9020631724e+10,4.9020631724e+10
2020-03-15 06:10:00,3.9614675130e+10,3.9614675130e+10,4.5801005029e+10,4.5801005029e+10
2020-03-15 06:15:00,4.0400599891e+10,4.0400599891e+10,5.8652041167e+10,5.8652041167e+10
2020-03-15 06:20:00,4.1636751148e+10,4.1636751148e+10,6.2376384175e+10,6.2376384175e+10
2020-03-15 06:25:00,4.0170322193e+10,4.0170322193e+10,5.7071131051e+10,5.7071131051e+10
2020-03-15 06:30:00,3.9808746649e+10,3.9808746649e+10,5.1949274458e+10,5.1949274458e+10
2020-03-15 06:35:00,6.7679372382e+10,6.7679372382e+10,5.2150272572e+10,5.2150272572e+10
2020-03-15 06:40:00,3.4702066404e+10,3.4702066404e+10,6.9949148712e+10,6.9949148712e+10
2020-03-15 06:45:00,4.7783569720e+10,4.7783569720e+10,5.8200364227e+10,5.8200364227e+10
2020-03-15 06:50:00,6.8258983615e+10,6.8258983615e+10,5.0464903767e+10,5.0464903767e+10
2020-03-15 06:55:00,5.6728311634e+10,5.6728311634e+10,4.1878325360e+10,4.1878325360e+10
2020-03-15 07:00:00,4.9485981794e+10,4.9485981794e+10,3.5581832269e+10,3.5581832269e+10
2020-03-15 07:05:00,3.5622654173e+10,3.5622654173e+10,3.1919706944e+10,3.1919706944e+10
2020-03-15 07:10:00,3.1857175245e+10,3.1857175245e+10,3.8960033905e+10,3.8960033905e+10
2020-03-15 07:15:00,3.2286568967e+10,3.2286568967e+10,3.9869768962e+10,3.9869768962e+10
2020-03-15 07:20:00,4.0408347660e+10,4.0408347660e+10,4.5288030857e+10,4.5288030857e+10
2020-03-15 07:25:00,4.3435175860e+10,4.3435175860e+10,5.0095002103e+10,5.0095002103e+10
2020-03-15 07:30:00,4.0270670734e+10,4.0270670734e+10,4.1590626998e+10,4.1590626998e+10
2020-03-15 07:35:00,5.6540533082e+10,5.6540533082e+10,3.9249074884e+10,3.9249074884e+10
2020-03-15 07:40:00,4.7619671967e+10,4.7619671967e+10,3.9524632211e+10,3.9524632211e+10
2020-03-15 07:45:00,3.2109565176e+10,3.2109565176e+10,3.9650918787e+10,3.9650918787e+10
2020-03-15 07:50:00,4.1618227444e+10,4.1618227444e+10,4.3263646985e+10,4.3263646985e+10
2020-03-15 07:55:00,6.1903590749e+10,6.1903590749e+10,4.8008319747e+10,4.8008319747e+10
2020-03-15 08:00:00,4.9513233249e+10,4.9513233249e+10,4.0848908015e+10,4.0848908015e+10
2020-03-15 08:05:00,4.9152928711e+10,4.9152928711e+10,4.0892477519e+10,4.0892477519e+10
2020-03-15 08:10:00,4.5310221592e+10,4.5310221592e+10,3.3294252077e+10,3.3294252077e+10
2020-03-15 08:15:00,3.9402622631e+10,3.9402622631e+10,2.9362593108e+10,2.9362593108e+10
2020-03-15 08:20:00,3.9817054345e+10,3.9817054345e+10,3.1583179197e+10,3.1583179197e+10
2020-03-15 08:25:00,4.4593828959e+10,4.4593828959e+10,4.0163860039e+10,4.0163860039e+10
2020-03-15 08:30:00,3.7226178734e+10,3.7226178734e+10,2.7269935244e+10,2.7269935244e+10
2020-03-15 08:35:00,3.0297219084e+10,3.0297219084e+10,2.9703149313e+10,2.9703149313e+10
2020-03-15 08:40:00,3.1850459350e+10,3.1850459350e+10,2.9304645931e+10,2.9304645931e+10
2020-03-15 08:45:00,4.6011462338e+10,4.6011462338e+10,3.0310980670e+10,3.0310980670e+10
2020-03-15 08:50:00,3.3061014299e+10,3.3061014299e+10,2.9461993138e+10,2.9461993138e+10
2020-03-15 08:55:00,3.2245140349e+10,3.2245140349e+10,3.2832689887e+10,3.2832689887e+10
2020-03-15 09:00:00,5.4019340733e+10,5.4019340733e+10,3.1161055151e+10,3.1161055151e+10
2020-03-15 09:05:00,4.1199779830e+10,4.1199779830e+10,3.2789956176e+10,3.2789956176e+10
2020-03-15 09:10:00,3.7092615714e+10,3.7092615714e+10,4.3344493753e+10,4.3344493753e+10
2020-03-15 09:15:00,4.5522745785e+10,4.5522745785e+10,4.5158360864e+10,4.5158360864e+10
2020-03-15 09:20:00,5.0627022341e+10,5.0627022341e+10,3.8281414688e+10,3.8281414688e+10
2020-03-15 09:25:00,3.6769942036e+10,3.6769942036e+10,4.2115739421e+10,4.2115739421e+10
2020-03-15 09:30:00,4.1235367244e+10,4.1235367244e+10,4.4748048906e+10,4.4748048906e+10
2020-03-15 09:35:00,4.7503354896e+10,4.7503354896e+10,5.1170653976e+10,5.1170653976e+10
2020-03-15 09:40:00,4.0450458429e+10,4.0450458429e+10,4.5494021661e+10,4.5494021661e+10
2020-03-15 09:45:00,3.6256553298e+10,3.6256553298e+10,4.8362218021e+10,4.8362218021e+10
2020-03-15 09:50:00,4.5145314614e+10,4.5145314614e+10,4.2386017529e+10,4.2386017529e+10
2020-03-15 09:55:00,5.6873383993e+10,5.6873383993e+10,4.9572226054e+10,4.9572226054e+10
2020-03-15 10:00:00,4.4907692775e+10,4.4907692775e+10,5.0061164561e+10,5.0061164561e+10
2020-03-15 10:05:00,2.6817147933e+10,2.6817147933e+10,4.3865007171e+10,4.3865007171e+10
2020-03-15 10:10:00,4.9840506187e+10,4.9840506187e+10,4.1733590235e+10,4.1733590235e+10
2020-03-15 10:15:00,3.8280066623e+10,3.8280066623e+10,3.9179679356e+10,3.9179679356e+10
2020-03-15 10:20:00,2.9983876315e+10,2.9983876315e+10,5.1089837778e+10,5.1089837778e+10
2020-03-15 10:25:00,5.2760335891e+10,5.2760335891e+10,4.5278775149e+10,4.5278775149e+10
2020-03-15 10:30:00,5.6585924201e+10,5.6585924201e+10,4.5886971544e+10,4.5886971544e+10
2020-03-15 10:35:00,4.6151259980e+10,4.6151259980e+10,4.1147631868e+10,4.1147631868e+10
2020-03-15 10:40:00,3.8317608224e+10,3.8317608224e+10,2.8839684776e+10,2.8839684776e+10
2020-03-15 10:45:00,4.0813323431e+10,4.0813323431e+10,2.9257421322e+10,2.9257421322e+10
2020-03-15 10:50:00,4.3319334098e+10,4.3319334098e+10,3.1459580782e+10,3.1459580782e+10
2020-03-15 10:55:00,7.8726088934e+10,7.8726088934e+10,2.9604432865e+10,2.9604432865e+10
2020-03-15 11:00:00,6.6168114817e+10,6.6168114817e+10,3.3543190205e+10,3.3543190205e+10
2020-03-15 11:05:00,3.7946332691e+10,3.7946332691e+10,3.9842349231e+10,3.9842349231e+10
2020-03-15 11:10:00,3.6817106653e+10,3.6817106653e+10,3.3444320614e+10,3.3444320614e+10
