DATE,DEPL,DEPL_peak,PLDE,DEPL_peak
2020-03-25 08:55:00,3.7060786397e+09,3.7060786397e+09,5.3735003423e+09,5.3735003423e+09
2020-03-25 09:00:00,3.4655159278e+09,3.4655159278e+09,5.6618975427e+09,5.6618975427e+09
2020-03-25 09:05:00,3.6601847050e+09,3.6601847050e+09,6.0365796401e+09,6.0365796401e+09
2020-03-25 09:10:00,3.4313443484e+09,3.4313443484e+09,6.1657631178e+09,6.1657631178e+09
2020-03-25 09:15:00,2.8884423273e+09,2.8884423273e+09,6.8536091570e+09,6.8536091570e+09
2020-03-25 09:20:00,3.6005797907e+09,3.6005797907e+09,6.8701943167e+09,6.8701943167e+09
2020-03-25 09:25:00,3.3610173335e+09,3.3610173335e+09,6.9368880293e+09,6.9368880293e+09
2020-03-25 09:30:00,3.3445037541e+09,3.3445037541e+09,6.7342904277e+09,6.7342904277e+09
2020-03-25 09:35:00,3.4828260067e+09,3.4828260067e+09,6.8505707499e+09,6.8505707499e+09
2020-03-25 09:40:00,2.8865391099e+09,2.8865391099e+09,7.3382541239e+09,7.3382541239e+09
2020-03-25 09:45:00,3.1562009092e+09,3.1562009092e+09,7.9211526392e+09,7.9211526392e+09
2020-03-25 09:50:00,3.7905414385e+09,3.7905414385e+09,6.4670542814e+09,6.4670542814e+09
2020-03-25 09:55:00,3.5264326025e+09,3.5264326025e+09,6.5005472638e+09,6.5005472638e+09
2020-03-25 10:00:00,3.4088718426e+09,3.4088718426e+09,7.2333010946e+09,7.2333010946e+09
2020-03-25 10:05:00,3.3295048970e+09,3.3295048970e+09,6.4863929974e+09,6.4863929974e+09
2020-03-25 10:10:00,4.1631735183e+09,4.1631735183e+09,6.7158222608e+09,6.7158222608e+09
2020-03-25 10:15:00,3.8465524522e+09,3.8465524522e+09,6.8103684439e+09,6.8103684439e+09
2020-03-25 10:20:00,3.6264550170e+09,3.6264550170e+09,7.3358763011e+09,7.3358763011e+09
2020-03-25 10:25:00,2.8701423796e+09,2.8701423796e+09,6.3550322846e+09,6.3550322846e+09
2020-03-25 10:30:00,3.1552114186e+09,3.1552114186e+09,5.9426733866e+09,5.9426733866e+09
2020-03-25 10:35:00,3.2937243761e+09,3.2937243761e+09,5.5460737371e+09,5.5460737371e+09
2020-03-25 10:40:00,3.7321006426e+09,3.7321006426e+09,5.6360717640e+09,5.6360717640e+09
2020-03-25 10:45:00,3.5718683895e+09,3.5718683895e+09,5.9843609834e+09,5.9843609834e+09
2020-03-25 10:50:00,3.5706120490e+09,3.5706120490e+09,6.3960452206e+09,6.3960452206e+09
2020-03-25 10:55:00,3.1563942465e+09,3.1563942465e+09,6.2208480533e+09,6.2208480533e+09
2020-03-25 11:00:00,3.2223334418e+09,3.2223334418e+09,6.0254522773e+09,6.0254522773e+09
2020-03-25 11:05:00,3.7876894596e+09,3.7876894596e+09,6.7216730586e+09,6.7216730586e+09
2020-03-25 11:10:00,3.4664850043e+09,3.4664850043e+09,6.4610934788e+09,6.4610934788e+09
2020-03-25 11:15:00,3.4413665031e+09,3.4413665031e+09,6.7499002341e+09,6.7499002341e+09
