DATE,EEET,EEET_peak,ETEE,EEET_peak
2020-03-22 10:15:00,2.1050334437e+07,2.1050334437e+07,5.2146734307e+07,5.2146734307e+07
2020-03-22 10:20:00,1.0999522686e+08,1.0999522686e+08,1.3574451676e+08,1.3574451676e+08
2020-03-22 10:25:00,2.3852648439e+07,2.3852648439e+07,7.8911903997e+07,7.8911903997e+07
2020-03-22 10:30:00,2.3667030715e+07,2.3667030715e+07,8.0916519408e+07,8.0916519408e+07
2020-03-22 10:35:00,2.8287226039e+07,2.8287226039e+07,7.5098903389e+07,7.5098903389e+07
2020-03-22 10:40:00,2.1646107494e+07,2.1646107494e+07,6.0679308461e+07,6.0679308461e+07
2020-03-22 10:45:00,1.8091945067e+07,1.8091945067e+07,7.2538338937e+07,7.2538338937e+07
2020-03-22 10:50:00,2.7315725789e+07,2.7315725789e+07,6.1807108508e+07,6.1807108508e+07
2020-03-22 10:55:00,1.0361047606e+08,1.0361047606e+08,6.1434028146e+07,6.1434028146e+07
2020-03-22 11:00:00,1.9783495885e+07,1.9783495885e+07,1.6930056544e+08,1.6930056544e+08
2020-03-22 11:05:00,1.5223464916e+07,1.5223464916e+07,1.6753915546e+08,1.6753915546e+08
2020-03-22 11:10:00,1.0622736697e+08,1.0622736697e+08,4.9344280497e+07,4.9344280497e+07
2020-03-22 11:15:00,2.4938788831e+07,2.4938788831e+07,6.3274090517e+07,6.3274090517e+07
2020-03-22 11:20:00,2.2531945619e+07,2.2531945619e+07,5.5304394070e+07,5.5304394070e+07
2020-03-22 11:25:00,2.8349483987e+07,2.8349483987e+07,6.6125333619e+07,6.6125333619e+07
2020-03-22 11:30:00,3.1896670798e+07,3.1896670798e+07,5.7375112319e+07,5.7375112319e+07
2020-03-22 11:35:00,3.4106689559e+07,3.4106689559e+07,4.9681745668e+07,4.9681745668e+07
2020-03-22 11:40:00,2.8143250348e+07,2.8143250348e+07,7.7521042711e+07,7.7521042711e+07
2020-03-22 11:45:00,2.4465827008e+07,2.4465827008e+07,1.2936450998e+08,1.2936450998e+08
2020-03-22 11:50:00,2.9623992245e+07,2.9623992245e+07,1.1792279086e+08,1.1792279086e+08
2020-03-22 11:55:00,2.6096862343e+07,2.6096862343e+07,1.1441432367e+08,1.1441432367e+08
2020-03-22 12:00:00,2.2411157480e+07,2.2411157480e+07,1.1062944825e+08,1.1062944825e+08
2020-03-22 12:05:00,3.9613818735e+07,3.9613818735e+07,9.5726108616e+07,9.5726108616e+07
2020-03-22 12:10:00,2.1869748199e+07,2.1869748199e+07,9.5508834076e+07,9.5508834076e+07
2020-03-22 12:15:00,2.5456163616e+07,2.5456163616e+07,1.3766306678e+08,1.3766306678e+08
2020-03-22 12:20:00,2.1624922066e+07,2.1624922066e+07,9.0456063242e+07,9.0456063242e+07
2020-03-22 12:25:00,1.9159568809e+07,1.9159568809e+07,7.8655576861e+07,7.8655576861e+07
2020-03-22 12:30:00,4.0785413184e+07,4.0785413184e+07,1.4745404534e+08,1.4745404534e+08
2020-03-22 12:35:00,1.3078052049e+08,1.3078052049e+08,2.7808560549e+08,2.7808560549e+08
2020-03-22 12:40:00,3.7821030127e+07,3.7821030127e+07,1.0430051898e+08,1.0430051898e+08
2020-03-22 12:45:00,3.3353044722e+07,3.3353044722e+07,1.2731070181e+08,1.2731070181e+08
2020-03-22 12:50:00,1.2742956168e+08,1.2742956168e+08,1.1602565233e+08,1.1602565233e+08
2020-03-22 12:55:00,4.3581225940e+07,4.3581225940e+07,1.6057239745e+08,1.6057239745e+08
