DATE,CHES,CHES_peak,ESCH,CHES_peak
2020-03-15 09:35:00,4.8720921019e+09,4.8720921019e+09,8.6851682610e+09,8.6851682610e+09
2020-03-15 09:40:00,9.2076222301e+09,9.2076222301e+09,9.9613830885e+09,9.9613830885e+09
2020-03-15 09:45:00,8.9372493714e+09,8.9372493714e+09,9.2713747400e+09,9.2713747400e+09
2020-03-15 09:50:00,7.9352140924e+09,7.9352140924e+09,9.2045721200e+09,9.2045721200e+09
2020-03-15 09:55:00,5.9680943259e+09,5.9680943259e+09,8.3994536010e+09,8.3994536010e+09
2020-03-15 10:00:00,4.9649529543e+09,4.9649529543e+09,8.0188602112e+09,8.0188602112e+09
2020-03-15 10:05:00,7.3002788091e+09,7.3002788091e+09,8.7390045265e+09,8.7390045265e+09
2020-03-15 10:10:00,5.9880494244e+09,5.9880494244e+09,8.9669671844e+09,8.9669671844e+09
2020-03-15 10:15:00,9.7572402129e+09,9.7572402129e+09,8.9868818179e+09,8.9868818179e+09
2020-03-15 10:20:00,1.1102629463e+10,1.1102629463e+10,9.0328369987e+09,9.0328369987e+09
2020-03-15 10:25:00,8.2533674801e+09,8.2533674801e+09,1.1434851526e+10,1.1434851526e+10
2020-03-15 10:30:00,9.8102183910e+09,9.8102183910e+09,1.2345751037e+10,1.2345751037e+10
2020-03-15 10:35:00,9.3486380006e+09,9.3486380006e+09,1.5439561692e+10,1.5439561692e+10
2020-03-15 10:40:00,9.1545016951e+09,9.1545016951e+09,1.2936554705e+10,1.2936554705e+10
2020-03-15 10:45:00,9.3264383361e+09,9.3264383361e+09,1.6302148860e+10,1.6302148860e+10
2020-03-15 10:50:00,8.6785478291e+09,8.6785478291e+09,1.5070305979e+10,1.5070305979e+10
2020-03-15 10:55:00,8.6324044985e+09,8.6324044985e+09,1.4029708182e+10,1.4029708182e+10
2020-03-15 11:00:00,8.7035352614e+09,8.7035352614e+09,1.3647657650e+10,1.3647657650e+10
2020-03-15 11:05:00,9.0830582686e+09,9.0830582686e+09,1.0807221536e+10,1.0807221536e+10
2020-03-15 11:10:00,6.2000548587e+09,6.2000548587e+09,9.4806837917e+09,9.4806837917e+09
2020-03-15 11:15:00,3.4902010613e+09,3.4902010613e+09,7.8106822378e+09,7.8106822378e+09
2020-03-15 11:20:00,2.6519514298e+09,2.6519514298e+09,8.2341253300e+09,8.2341253300e+09
2020-03-15 11:25:00,5.2130058182e+09,5.2130058182e+09,8.0902328218e+09,8.0902328218e+09
2020-03-15 11:30:00,4.3464734831e+09,4.3464734831e+09,7.9283310430e+09,7.9283310430e+09
2020-03-15 11:35:00,2.7800868573e+09,2.7800868573e+09,8.5103852067e+09,8.5103852067e+09
2020-03-15 11:40:00,2.7792529166e+09,2.7792529166e+09,9.1337209140e+09,9.1337209140e+09
2020-03-15 11:45:00,3.0413198410e+09,3.0413198410e+09,1.1769472303e+10,1.1769472303e+10
2020-03-15 11:50:00,2.3111373924e+09,2.3111373924e+09,1.2577086653e+10,1.2577086653e+10
2020-03-15 11:55:00,2.6465876449e+09,2.6465876449e+09,1.2087591142e+10,1.2087591142e+10
2020-03-15 12:00:00,5.6372294149e+09,5.6372294149e+09,1.3334174248e+10,1.3334174248e+10
2020-03-15 12:05:00,3.6374888652e+09,3.6374888652e+09,1.2427687793e+10,1.2427687793e+10
2020-03-15 12:10:00,3.0830981740e+09,3.0830981740e+09,1.2466907465e+10,1.2466907465e+10
2020-03-15 12:15:00,4.6971954577e+09,4.6971954577e+09,1.4909746303e+10,1.4909746303e+10
2020-03-15 12:20:00,7.7696292502e+09,7.7696292502e+09,1.4340685384e+10,1.4340685384e+10
2020-03-15 12:25:00,5.5619590738e+09,5.5619590738e+09,1.3849590641e+10,1.3849590641e+10
2020-03-15 12:30:00,5.6095537140e+09,5.6095537140e+09,1.3926282526e+10,1.3926282526e+10
2020-03-15 12:35:00,6.7323315879e+09,6.7323315879e+09,1.4177434534e+10,1.4177434534e+10
2020-03-15 12:40:00,5.0799382405e+09,5.0799382405e+09,1.4534953641e+10,1.4534953641e+10
2020-03-15 12:45:00,5.4743548768e+09,5.4743548768e+09,1.4518896527e+10,1.4518896527e+10
2020-03-15 12:50:00,5.4131189071e+09,5.4131189071e+09,1.4029593604e+10,1.4029593604e+10
2020-03-15 12:55:00,6.0341871297e+09,6.0341871297e+09,1.3479168392e+10,1.3479168392e+10
2020-03-15 13:00:00,6.0416322651e+09,6.0416322651e+09,1.2968350466e+10,1.2968350466e+10
2020-03-15 13:05:00,5.9581786842e+09,5.9581786842e+09,1.2563712351e+10,1.2563712351e+10
2020-03-15 13:10:00,5.5539096045e+09,5.5539096045e+09,1.2160170378e+10,1.2160170378e+10
2020-03-15 13:15:00,6.5101858119e+09,6.5101858119e+09,1.1173877616e+10,1.1173877616e+10
2020-03-15 13:20:00,7.3638822602e+09,7.3638822602e+09,7.2751528833e+09,7.2751528833e+09
2020-03-15 13:25:00,8.7412279249e+09,8.7412279249e+09,6.8518234106e+09,6.8518234106e+09
