DATE,IRIE,IRIE_peak,IEIR,IEIR_peak
2020-03-22 10:30:00,6.3910146330e+07,6.3910146330e+07,3.7390226186e+07,3.7390226186e+07
2020-03-22 10:35:00,6.3234235482e+07,6.3234235482e+07,3.4126163705e+07,3.4126163705e+07
2020-03-22 10:40:00,6.9191614065e+07,6.9191614065e+07,3.7441241919e+07,3.7441241919e+07
2020-03-22 10:45:00,6.3404182046e+07,6.3404182046e+07,6.6203659703e+07,6.6203659703e+07
2020-03-22 10:50:00,5.9837026147e+07,5.9837026147e+07,3.4192818513e+07,3.4192818513e+07
2020-03-22 10:55:00,6.8619946100e+07,6.8619946100e+07,4.5656179312e+07,4.5656179312e+07
2020-03-22 11:00:00,6.6947462380e+07,6.6947462380e+07,3.0705790247e+07,3.0705790247e+07
2020-03-22 11:05:00,1.0714546027e+08,1.0714546027e+08,4.0658690878e+07,4.0658690878e+07
2020-03-22 11:10:00,6.7361910670e+07,6.7361910670e+07,3.3739916636e+07,3.3739916636e+07
2020-03-22 11:15:00,6.2460483241e+07,6.2460483241e+07,7.0322787513e+07,7.0322787513e+07
2020-03-22 11:20:00,6.9482553543e+07,6.9482553543e+07,3.5489671383e+07,3.5489671383e+07
2020-03-22 11:25:00,6.3768085423e+07,6.3768085423e+07,2.1988220510e+07,2.1988220510e+07
2020-03-22 11:30:00,7.0534322779e+07,7.0534322779e+07,1.8214638773e+07,1.8214638773e+07
2020-03-22 11:35:00,6.2328018444e+07,6.2328018444e+07,3.0908957424e+07,3.0908957424e+07
2020-03-22 11:40:00,6.5105724627e+07,6.5105724627e+07,2.4758138430e+07,2.4758138430e+07
2020-03-22 11:45:00,6.5316896675e+07,6.5316896675e+07,4.5297402032e+07,4.5297402032e+07
2020-03-22 11:50:00,7.5220967688e+07,7.5220967688e+07,3.6689006074e+07,3.6689006074e+07
2020-03-22 11:55:00,7.7393785829e+07,7.7393785829e+07,3.2066303510e+07,3.2066303510e+07
2020-03-22 12:00:00,6.6561320080e+07,6.6561320080e+07,2.6932266557e+07,2.6932266557e+07
2020-03-22 12:05:00,8.1715264408e+07,8.1715264408e+07,1.5760141436e+07,1.5760141436e+07
2020-03-22 12:10:00,7.3146386062e+07,7.3146386062e+07,1.8725197620e+07,1.8725197620e+07
2020-03-22 12:15:00,7.4944815402e+07,7.4944815402e+07,1.7973562685e+07,1.7973562685e+07
2020-03-22 12:20:00,7.2698236843e+07,7.2698236843e+07,2.7891530681e+07,2.7891530681e+07
2020-03-22 12:25:00,7.4196737136e+07,7.4196737136e+07,6.0304254390e+07,6.0304254390e+07
2020-03-22 12:30:00,7.2777614704e+07,7.2777614704e+07,2.5275227297e+07,2.5275227297e+07
2020-03-22 12:35:00,7.8859349893e+07,7.8859349893e+07,1.6890538068e+07,1.6890538068e+07
2020-03-22 12:40:00,7.1220196983e+07,7.1220196983e+07,4.5658377570e+07,4.5658377570e+07
2020-03-22 12:45:00,7.2843449824e+07,7.2843449824e+07,4.0100863874e+07,4.0100863874e+07
2020-03-22 12:50:00,6.5349024679e+07,6.5349024679e+07,4.5285718683e+07,4.5285718683e+07
2020-03-22 12:55:00,6.2017939100e+07,6.2017939100e+07,3.7143268755e+07,3.7143268755e+07
2020-03-22 13:00:00,6.3361531122e+07,6.3361531122e+07,3.6668863498e+07,3.6668863498e+07
2020-03-22 13:05:00,7.1770414031e+07,7.1770414031e+07,4.0031099097e+07,4.0031099097e+07
2020-03-22 13:10:00,6.6176068482e+07,6.6176068482e+07,2.4545867741e+07,2.4545867741e+07
2020-03-22 13:15:00,7.6052067396e+07,7.6052067396e+07,1.7168249058e+07,1.7168249058e+07
2020-03-22 13:20:00,6.9297494543e+07,6.9297494543e+07,3.1819021012e+07,3.1819021012e+07
2020-03-22 13:25:00,7.3047566029e+07,7.3047566029e+07,2.8892388029e+07,2.8892388029e+07
2020-03-22 13:30:00,7.4874429471e+07,7.4874429471e+07,2.1839126148e+07,2.1839126148e+07
2020-03-22 13:35:00,6.5979375668e+07,6.5979375668e+07,1.9053442501e+07,1.9053442501e+07
2020-03-22 13:40:00,8.1423142683e+07,8.1423142683e+07,2.9747533034e+07,2.9747533034e+07
