DATE,LTLN,LTLN_peak,LNLT,LNLT_peak
2020-03-22 13:05:00,1.3952709580e+06,1.3952709580e+06,4.3709180719e+06,4.3709180719e+06
2020-03-22 13:10:00,1.2697633443e+06,1.2697633443e+06,1.3421048533e+06,1.3421048533e+06
2020-03-22 13:15:00,1.2692713992e+06,1.2692713992e+06,1.3441412527e+06,1.3441412527e+06
2020-03-22 13:20:00,1.2685587330e+06,1.2685587330e+06,1.5562557332e+06,1.5562557332e+06
2020-03-22 13:25:00,1.2974198054e+06,1.2974198054e+06,2.8203592019e+06,2.8203592019e+06
2020-03-22 13:30:00,1.2925617173e+06,1.2925617173e+06,1.3718789128e+06,1.3718789128e+06
2020-03-22 13:35:00,1.3451001378e+06,1.3451001378e+06,1.4245484357e+06,1.4245484357e+06
2020-03-22 13:40:00,1.2693351943e+06,1.2693351943e+06,1.4226319729e+06,1.4226319729e+06
2020-03-22 13:45:00,1.2599425091e+06,1.2599425091e+06,1.4289589256e+06,1.4289589256e+06
2020-03-22 13:50:00,1.2798083302e+06,1.2798083302e+06,1.6739879115e+06,1.6739879115e+06
2020-03-22 13:55:00,1.3098552709e+06,1.3098552709e+06,2.6794335688e+06,2.6794335688e+06
2020-03-22 14:00:00,1.2773318469e+06,1.2773318469e+06,1.5968889938e+06,1.5968889938e+06
2020-03-22 14:05:00,1.4331072593e+06,1.4331072593e+06,4.3498521012e+06,4.3498521012e+06
2020-03-22 14:10:00,1.2727047668e+06,1.2727047668e+06,1.3512702028e+06,1.3512702028e+06
2020-03-22 14:15:00,1.7167211155e+06,1.7167211155e+06,1.3581818269e+06,1.3581818269e+06
2020-03-22 14:20:00,1.7721051284e+06,1.7721051284e+06,1.5442020486e+06,1.5442020486e+06
2020-03-22 14:25:00,1.4548945212e+06,1.4548945212e+06,2.7431915484e+06,2.7431915484e+06
2020-03-22 14:30:00,1.2782129263e+06,1.2782129263e+06,1.3426538888e+06,1.3426538888e+06
2020-03-22 14:35:00,2.1115962414e+06,2.1115962414e+06,1.4247938650e+06,1.4247938650e+06
2020-03-22 14:40:00,1.2451041584e+06,1.2451041584e+06,1.3316683796e+06,1.3316683796e+06
2020-03-22 14:45:00,1.2805158119e+06,1.2805158119e+06,1.3573687925e+06,1.3573687925e+06
2020-03-22 14:50:00,1.2755694301e+06,1.2755694301e+06,1.4807147127e+06,1.4807147127e+06
2020-03-22 14:55:00,1.3103884860e+06,1.3103884860e+06,2.7723443632e+06,2.7723443632e+06
2020-03-22 15:00:00,1.2685001662e+06,1.2685001662e+06,1.3505404763e+06,1.3505404763e+06
2020-03-22 15:05:00,1.5769446985e+06,1.5769446985e+06,4.3221917591e+06,4.3221917591e+06
2020-03-22 15:10:00,1.2789639042e+06,1.2789639042e+06,1.4526969068e+06,1.4526969068e+06
2020-03-22 15:15:00,1.2612728856e+06,1.2612728856e+06,1.3507451574e+06,1.3507451574e+06
2020-03-22 15:20:00,1.2832232625e+06,1.2832232625e+06,1.5121880639e+06,1.5121880639e+06
2020-03-22 15:25:00,1.3141791363e+06,1.3141791363e+06,2.7954775091e+06,2.7954775091e+06
2020-03-22 15:30:00,1.2766817869e+06,1.2766817869e+06,1.3840860841e+06,1.3840860841e+06
2020-03-22 15:35:00,1.2745172197e+06,1.2745172197e+06,1.4283480664e+06,1.4283480664e+06
2020-03-22 15:40:00,1.3328787828e+06,1.3328787828e+06,1.4441991760e+06,1.4441991760e+06
2020-03-22 15:45:00,1.5340681164e+06,1.5340681164e+06,1.8362242940e+06,1.8362242940e+06
2020-03-22 15:50:00,1.5232902059e+06,1.5232902059e+06,2.3238050701e+06,2.3238050701e+06
2020-03-22 15:55:00,1.4965148396e+06,1.4965148396e+06,3.7187193322e+06,3.7187193322e+06
2020-03-22 16:00:00,2.2849217608e+06,2.2849217608e+06,3.1389051187e+06,3.1389051187e+06
2020-03-22 16:05:00,9.8081983739e+06,9.8081983739e+06,4.4533726374e+06,4.4533726374e+06
2020-03-22 16:10:00,1.8174122531e+06,1.8174122531e+06,1.3639395971e+06,1.3639395971e+06
2020-03-22 16:15:00,1.2881894958e+06,1.2881894958e+06,1.3516105880e+06,1.3516105880e+06
2020-03-22 16:20:00,1.2988394406e+06,1.2988394406e+06,1.4442364459e+06,1.4442364459e+06
