DATE,FNIT,FNIT_peak,ITFN,ITFN_peak
2020-03-15 05:40:00,1.6396027895e+09,1.6396027895e+09,2.0828100353e+09,2.0828100353e+09
2020-03-15 05:45:00,5.9024802485e+08,5.9024802485e+08,1.5805076762e+09,1.5805076762e+09
2020-03-15 05:50:00,1.0633700271e+09,1.0633700271e+09,8.6609874673e+08,8.6609874673e+08
2020-03-15 05:55:00,5.3950489959e+08,5.3950489959e+08,6.0646756429e+08,6.0646756429e+08
2020-03-15 06:00:00,4.5823275807e+08,4.5823275807e+08,2.5972572627e+08,2.5972572627e+08
2020-03-15 06:05:00,7.1779886687e+08,7.1779886687e+08,2.2144764070e+08,2.2144764070e+08
2020-03-15 06:10:00,3.0709227801e+08,3.0709227801e+08,6.5528573640e+08,6.5528573640e+08
2020-03-15 06:15:00,2.7386002470e+08,2.7386002470e+08,4.3269508866e+08,4.3269508866e+08
2020-03-15 06:20:00,3.3008946345e+08,3.3008946345e+08,4.3833031517e+08,4.3833031517e+08
2020-03-15 06:25:00,3.7010785739e+08,3.7010785739e+08,3.7429373545e+08,3.7429373545e+08
2020-03-15 06:30:00,3.3088334636e+08,3.3088334636e+08,2.2054293773e+08,2.2054293773e+08
2020-03-15 06:35:00,3.6572525289e+08,3.6572525289e+08,2.2237151227e+08,2.2237151227e+08
2020-03-15 06:40:00,4.6546024683e+08,4.6546024683e+08,1.9560199987e+08,1.9560199987e+08
2020-03-15 06:45:00,4.2419720345e+08,4.2419720345e+08,1.9475553230e+08,1.9475553230e+08
2020-03-15 06:50:00,4.8460408589e+08,4.8460408589e+08,5.4217687000e+08,5.4217687000e+08
2020-03-15 06:55:00,5.5380907762e+08,5.5380907762e+08,1.2761662383e+09,1.2761662383e+09
2020-03-15 07:00:00,6.9030550074e+08,6.9030550074e+08,5.9744203584e+08,5.9744203584e+08
2020-03-15 07:05:00,9.6755289374e+08,9.6755289374e+08,4.7095331480e+08,4.7095331480e+08
2020-03-15 07:10:00,7.9233899192e+08,7.9233899192e+08,6.8335975254e+08,6.8335975254e+08
2020-03-15 07:15:00,8.2413108666e+08,8.2413108666e+08,3.4718040118e+08,3.4718040118e+08
2020-03-15 07:20:00,1.3239809683e+09,1.3239809683e+09,2.8836020327e+08,2.8836020327e+08
2020-03-15 07:25:00,6.9226220925e+08,6.9226220925e+08,2.7578102563e+08,2.7578102563e+08
2020-03-15 07:30:00,7.9578414690e+08,7.9578414690e+08,2.9210380926e+08,2.9210380926e+08
2020-03-15 07:35:00,7.9562440006e+08,7.9562440006e+08,5.1427098660e+08,5.1427098660e+08
2020-03-15 07:40:00,8.3173555888e+08,8.3173555888e+08,4.3773115915e+08,4.3773115915e+08
2020-03-15 07:45:00,9.5992847147e+08,9.5992847147e+08,3.2617512806e+08,3.2617512806e+08
2020-03-15 07:50:00,1.0794245374e+09,1.0794245374e+09,4.5215061249e+08,4.5215061249e+08
2020-03-15 07:55:00,9.4976558348e+08,9.4976558348e+08,3.0241219030e+08,3.0241219030e+08
2020-03-15 08:00:00,1.1143960046e+09,1.1143960046e+09,2.9847187676e+08,2.9847187676e+08
2020-03-15 08:05:00,1.2451424324e+09,1.2451424324e+09,5.4071208904e+08,5.4071208904e+08
2020-03-15 08:10:00,1.2058586051e+09,1.2058586051e+09,6.3023038537e+08,6.3023038537e+08
2020-03-15 08:15:00,1.3134801269e+09,1.3134801269e+09,3.6743362776e+08,3.6743362776e+08
2020-03-15 08:20:00,1.5140180486e+09,1.5140180486e+09,3.2681336316e+08,3.2681336316e+08
2020-03-15 08:25:00,1.4784080693e+09,1.4784080693e+09,2.1382605155e+08,2.1382605155e+08
2020-03-15 08:30:00,1.4020890876e+09,1.4020890876e+09,2.3446397798e+08,2.3446397798e+08
2020-03-15 08:35:00,1.3155054738e+09,1.3155054738e+09,2.0588169102e+08,2.0588169102e+08
2020-03-15 08:40:00,1.4323997949e+09,1.4323997949e+09,2.3859853326e+08,2.3859853326e+08
2020-03-15 08:45:00,1.3521096150e+09,1.3521096150e+09,3.0045233163e+08,3.0045233163e+08
2020-03-15 08:50:00,2.4011134423e+09,2.4011134423e+09,4.4241318100e+08,4.4241318100e+08
2020-03-15 08:55:00,1.6342419848e+09,1.6342419848e+09,2.5354708122e+08,2.5354708122e+08
2020-03-15 09:00:00,1.8085800468e+09,1.8085800468e+09,9.3897970408e+08,9.3897970408e+08
2020-03-15 09:05:00,1.7480564933e+09,1.7480564933e+09,9.6442408984e+08,9.6442408984e+08
2020-03-15 09:10:00,1.6140713947e+09,1.6140713947e+09,7.7491921408e+08,7.7491921408e+08
2020-03-15 09:15:00,1.5823640694e+09,1.5823640694e+09,4.7235701133e+08,4.7235701133e+08
2020-03-15 09:20:00,1.6072868661e+09,1.6072868661e+09,6.1717865906e+08,6.1717865906e+08
2020-03-15 09:25:00,1.6709744692e+09,1.6709744692e+09,7.2765019689e+08,7.2765019689e+08
2020-03-15 09:30:00,1.7198760067e+09,1.7198760067e+09,1.1330540222e+09,1.1330540222e+09
2020-03-15 09:35:00,1.9006299739e+09,1.9006299739e+09,1.5882847204e+09,1.5882847204e+09
2020-03-15 09:40:00,1.8290460904e+09,1.8290460904e+09,8.9930042699e+08,8.9930042699e+08
2020-03-15 09:45:00,1.9370480524e+09,1.9370480524e+09,1.1111411596e+09,1.1111411596e+09
2020-03-15 09:50:00,2.0971827056e+09,2.0971827056e+09,8.7689060409e+08,8.7689060409e+08
2020-03-15 09:55:00,2.6338741461e+09,2.6338741461e+09,4.1335194278e+08,4.1335194278e+08
2020-03-15 10:00:00,1.9881820036e+09,1.9881820036e+09,9.1186468193e+08,9.1186468193e+08
2020-03-15 10:05:00,1.8811767067e+09,1.8811767067e+09,1.9007939414e+09,1.9007939414e+09
2020-03-15 10:10:00,1.8084342144e+09,1.8084342144e+09,1.2081672209e+09,1.2081672209e+09
2020-03-15 10:15:00,1.8551006392e+09,1.8551006392e+09,1.3261955546e+09,1.3261955546e+09
2020-03-15 10:20:00,1.8487133766e+09,1.8487133766e+09,5.4245663256e+08,5.4245663256e+08
2020-03-15 10:25:00,1.9771981712e+09,1.9771981712e+09,7.6113551674e+08,7.6113551674e+08
2020-03-15 10:30:00,2.1005472458e+09,2.1005472458e+09,1.0988424954e+09,1.0988424954e+09
2020-03-15 10:35:00,2.0383245774e+09,2.0383245774e+09,8.5348824906e+08,8.5348824906e+08
2020-03-15 10:40:00,2.1365820885e+09,2.1365820885e+09,5.7620112450e+08,5.7620112450e+08
2020-03-15 10:45:00,1.8179935906e+09,1.8179935906e+09,4.0504659861e+08,4.0504659861e+08
2020-03-15 10:50:00,1.8329655304e+09,1.8329655304e+09,4.0163203593e+08,4.0163203593e+08
2020-03-15 10:55:00,1.7232842998e+09,1.7232842998e+09,4.1575115421e+08,4.1575115421e+08
2020-03-15 11:00:00,1.7583800395e+09,1.7583800395e+09,4.4447760141e+08,4.4447760141e+08
2020-03-15 11:05:00,1.8617444304e+09,1.8617444304e+09,6.9018341444e+08,6.9018341444e+08
2020-03-15 11:10:00,2.2805904320e+09,2.2805904320e+09,6.3005929679e+08,6.3005929679e+08
2020-03-15 11:15:00,1.8592010094e+09,1.8592010094e+09,5.9783670090e+08,5.9783670090e+08
2020-03-15 11:20:00,1.9366361547e+09,1.9366361547e+09,4.1920179944e+08,4.1920179944e+08
2020-03-15 11:25:00,1.7664391493e+09,1.7664391493e+09,4.4554964134e+08,4.4554964134e+08
2020-03-15 11:30:00,1.8834717884e+09,1.8834717884e+09,7.6680921617e+08,7.6680921617e+08
2020-03-15 11:35:00,2.4150466337e+09,2.4150466337e+09,5.0602170033e+08,5.0602170033e+08
2020-03-15 11:40:00,1.9476295475e+09,1.9476295475e+09,4.2522681346e+08,4.2522681346e+08
2020-03-15 11:45:00,2.3911817557e+09,2.3911817557e+09,4.7645712845e+08,4.7645712845e+08
2020-03-15 11:50:00,2.0464419057e+09,2.0464419057e+09,4.7914806345e+08,4.7914806345e+08
2020-03-15 11:55:00,1.9524990425e+09,1.9524990425e+09,3.9881052071e+08,3.9881052071e+08
2020-03-15 12:00:00,1.8234462085e+09,1.8234462085e+09,2.7566602293e+08,2.7566602293e+08
2020-03-15 12:05:00,1.9264263913e+09,1.9264263913e+09,3.8158503581e+08,3.8158503581e+08
2020-03-15 12:10:00,2.0129233682e+09,2.0129233682e+09,2.8465758867e+08,2.8465758867e+08
2020-03-15 12:15:00,2.0688908865e+09,2.0688908865e+09,1.2716251697e+09,1.2716251697e+09
2020-03-15 12:20:00,2.0842323046e+09,2.0842323046e+09,3.8431932821e+08,3.8431932821e+08
2020-03-15 12:25:00,1.9544454936e+09,1.9544454936e+09,2.8558286345e+08,2.8558286345e+08
2020-03-15 12:30:00,1.9841737362e+09,1.9841737362e+09,3.7155297975e+08,3.7155297975e+08
2020-03-15 12:35:00,1.9885543433e+09,1.9885543433e+09,2.7668421396e+08,2.7668421396e+08
2020-03-15 12:40:00,2.2842994356e+09,2.2842994356e+09,3.4244607510e+08,3.4244607510e+08
2020-03-15 12:45:00,1.8651235885e+09,1.8651235885e+09,3.7176562129e+08,3.7176562129e+08
2020-03-15 12:50:00,1.8403396168e+09,1.8403396168e+09,4.3627372240e+08,4.3627372240e+08
2020-03-15 12:55:00,1.7997421796e+09,1.7997421796e+09,4.0148317210e+08,4.0148317210e+08
2020-03-15 13:00:00,1.8777844997e+09,1.8777844997e+09,2.9000580747e+08,2.9000580747e+08
2020-03-15 13:05:00,1.7934367535e+09,1.7934367535e+09,9.6332477321e+08,9.6332477321e+08
2020-03-15 13:10:00,1.9214805363e+09,1.9214805363e+09,3.1706324905e+08,3.1706324905e+08
2020-03-15 13:15:00,1.9811975140e+09,1.9811975140e+09,3.1660217891e+08,3.1660217891e+08
2020-03-15 13:20:00,1.9081101470e+09,1.9081101470e+09,3.2902793538e+08,3.2902793538e+08
2020-03-15 13:25:00,2.2577445667e+09,2.2577445667e+09,3.6385534444e+08,3.6385534444e+08
2020-03-15 13:30:00,2.0304617084e+09,2.0304617084e+09,4.7265094005e+08,4.7265094005e+08
2020-03-15 13:35:00,1.9277505259e+09,1.9277505259e+09,2.4468638353e+08,2.4468638353e+08
2020-03-15 13:40:00,1.9938238651e+09,1.9938238651e+09,2.6458851364e+08,2.6458851364e+08
2020-03-15 13:45:00,2.0995255660e+09,2.0995255660e+09,3.3024425875e+08,3.3024425875e+08
2020-03-15 13:50:00,2.1187229030e+09,2.1187229030e+09,3.1451357796e+08,3.1451357796e+08
2020-03-15 13:55:00,1.9774411578e+09,1.9774411578e+09,2.8345353914e+08,2.8345353914e+08
2020-03-15 14:00:00,1.9630101066e+09,1.9630101066e+09,3.2988709923e+08,3.2988709923e+08
2020-03-15 14:05:00,1.9659533561e+09,1.9659533561e+09,8.8417568928e+08,8.8417568928e+08
2020-03-15 14:10:00,1.9471576718e+09,1.9471576718e+09,4.1999919586e+08,4.1999919586e+08
2020-03-15 14:15:00,2.0028956395e+09,2.0028956395e+09,3.7701574190e+08,3.7701574190e+08
2020-03-15 14:20:00,2.0326940973e+09,2.0326940973e+09,2.7794164021e+08,2.7794164021e+08
2020-03-15 14:25:00,1.9073101181e+09,1.9073101181e+09,3.1251368002e+08,3.1251368002e+08
2020-03-15 14:30:00,2.1329696713e+09,2.1329696713e+09,4.4471674242e+08,4.4471674242e+08
2020-03-15 14:35:00,2.0261191164e+09,2.0261191164e+09,1.0553709390e+09,1.0553709390e+09
2020-03-15 14:40:00,1.9618648648e+09,1.9618648648e+09,6.2385125964e+08,6.2385125964e+08
2020-03-15 14:45:00,1.9126151711e+09,1.9126151711e+09,3.9787064045e+08,3.9787064045e+08
2020-03-15 14:50:00,1.8231391105e+09,1.8231391105e+09,4.1392392933e+08,4.1392392933e+08
2020-03-15 14:55:00,2.2739305702e+09,2.2739305702e+09,1.0392693005e+09,1.0392693005e+09
2020-03-15 15:00:00,1.6145181934e+09,1.6145181934e+09,4.0342011217e+08,4.0342011217e+08
2020-03-15 15:05:00,1.5257108392e+09,1.5257108392e+09,6.8368048893e+08,6.8368048893e+08
2020-03-15 15:10:00,1.7263187014e+09,1.7263187014e+09,4.1968175684e+08,4.1968175684e+08
2020-03-15 15:15:00,1.7230282230e+09,1.7230282230e+09,3.9237156380e+08,3.9237156380e+08
2020-03-15 15:20:00,1.6592323678e+09,1.6592323678e+09,5.3829486074e+08,5.3829486074e+08
2020-03-15 15:25:00,1.5308574949e+09,1.5308574949e+09,5.9606942239e+08,5.9606942239e+08
2020-03-15 15:30:00,2.0277319232e+09,2.0277319232e+09,5.1017306277e+08,5.1017306277e+08
2020-03-15 15:35:00,1.6153514861e+09,1.6153514861e+09,5.3010203414e+08,5.3010203414e+08
2020-03-15 15:40:00,1.5613760366e+09,1.5613760366e+09,6.1930180639e+08,6.1930180639e+08
2020-03-15 15:45:00,1.5587950895e+09,1.5587950895e+09,6.8918071345e+08,6.8918071345e+08
2020-03-15 15:50:00,1.5962698211e+09,1.5962698211e+09,7.5873570265e+08,7.5873570265e+08
2020-03-15 15:55:00,1.7742651133e+09,1.7742651133e+09,8.6757775592e+08,8.6757775592e+08
2020-03-15 16:00:00,1.4429579081e+09,1.4429579081e+09,9.1637449352e+08,9.1637449352e+08
2020-03-15 16:05:00,1.7487675859e+09,1.7487675859e+09,9.2339115005e+08,9.2339115005e+08
2020-03-15 16:10:00,1.8851159248e+09,1.8851159248e+09,6.1593836923e+08,6.1593836923e+08
2020-03-15 16:15:00,1.7046574833e+09,1.7046574833e+09,7.1980090272e+08,7.1980090272e+08
2020-03-15 16:20:00,1.8100512834e+09,1.8100512834e+09,1.1816470300e+09,1.1816470300e+09
2020-03-15 16:25:00,1.7288987790e+09,1.7288987790e+09,9.2868838884e+08,9.2868838884e+08
2020-03-15 16:30:00,1.4475401987e+09,1.4475401987e+09,6.5538059359e+08,6.5538059359e+08
2020-03-15 16:35:00,1.4675054046e+09,1.4675054046e+09,7.0059849422e+08,7.0059849422e+08
2020-03-15 16:40:00,1.4834999363e+09,1.4834999363e+09,6.8340420337e+08,6.8340420337e+08
2020-03-15 16:45:00,1.6104053899e+09,1.6104053899e+09,6.0716597847e+08,6.0716597847e+08
2020-03-15 16:50:00,1.8584707266e+09,1.8584707266e+09,7.0398922460e+08,7.0398922460e+08
2020-03-15 16:55:00,1.6899615711e+09,1.6899615711e+09,6.2197522790e+08,6.2197522790e+08
2020-03-15 17:00:00,1.6445445000e+09,1.6445445000e+09,5.9106975105e+08,5.9106975105e+08
2020-03-15 17:05:00,1.5421377493e+09,1.5421377493e+09,8.5518712996e+08,8.5518712996e+08
2020-03-15 17:10:00,1.6419340750e+09,1.6419340750e+09,1.0271168139e+09,1.0271168139e+09
2020-03-15 17:15:00,1.4378687054e+09,1.4378687054e+09,6.2693387312e+08,6.2693387312e+08
2020-03-15 17:20:00,1.5179650022e+09,1.5179650022e+09,5.0006508330e+08,5.0006508330e+08
2020-03-15 17:25:00,1.5869130362e+09,1.5869130362e+09,6.7232921146e+08,6.7232921146e+08
2020-03-15 17:30:00,2.0006732326e+09,2.0006732326e+09,5.8100096964e+08,5.8100096964e+08
2020-03-15 17:35:00,1.5069898084e+09,1.5069898084e+09,5.1110321532e+08,5.1110321532e+08
2020-03-15 17:40:00,1.5545677325e+09,1.5545677325e+09,4.8562577482e+08,4.8562577482e+08
2020-03-15 17:45:00,1.5178785180e+09,1.5178785180e+09,5.6183708425e+08,5.6183708425e+08
2020-03-15 17:50:00,1.6450295864e+09,1.6450295864e+09,4.6941647420e+08,4.6941647420e+08
2020-03-15 17:55:00,1.7589536482e+09,1.7589536482e+09,5.2180472738e+08,5.2180472738e+08
2020-03-15 18:00:00,1.5482367112e+09,1.5482367112e+09,4.5940267636e+08,4.5940267636e+08
2020-03-15 18:05:00,1.5318796308e+09,1.5318796308e+09,4.6234782471e+08,4.6234782471e+08
2020-03-15 18:10:00,1.5108582619e+09,1.5108582619e+09,7.1414679497e+08,7.1414679497e+08
2020-03-15 18:15:00,1.4624289198e+09,1.4624289198e+09,8.0852104284e+08,8.0852104284e+08
2020-03-15 18:20:00,1.6679321603e+09,1.6679321603e+09,7.5216888815e+08,7.5216888815e+08
2020-03-15 18:25:00,1.5419282404e+09,1.5419282404e+09,7.2812971650e+08,7.2812971650e+08
2020-03-15 18:30:00,1.2341373238e+09,1.2341373238e+09,4.1336170635e+08,4.1336170635e+08
2020-03-15 18:35:00,1.3454218384e+09,1.3454218384e+09,9.8299602298e+08,9.8299602298e+08
2020-03-15 18:40:00,1.5622098718e+09,1.5622098718e+09,6.8840838703e+08,6.8840838703e+08
2020-03-15 18:45:00,1.6262790190e+09,1.6262790190e+09,7.7587950056e+08,7.7587950056e+08
2020-03-15 18:50:00,1.2412304837e+09,1.2412304837e+09,5.6867040285e+08,5.6867040285e+08
2020-03-15 18:55:00,1.8945583895e+09,1.8945583895e+09,6.1538879667e+08,6.1538879667e+08
2020-03-15 19:00:00,1.4894904115e+09,1.4894904115e+09,4.9604375299e+08,4.9604375299e+08
2020-03-15 19:05:00,1.9439703923e+09,1.9439703923e+09,8.0514379920e+08,8.0514379920e+08
2020-03-15 19:10:00,2.0518694908e+09,2.0518694908e+09,4.1923156058e+08,4.1923156058e+08
2020-03-15 19:15:00,1.6365087442e+09,1.6365087442e+09,4.7303158372e+08,4.7303158372e+08
2020-03-15 19:20:00,1.7372529535e+09,1.7372529535e+09,4.0679466789e+08,4.0679466789e+08
2020-03-15 19:25:00,1.6701201983e+09,1.6701201983e+09,7.3583420993e+08,7.3583420993e+08
2020-03-15 19:30:00,1.6549571652e+09,1.6549571652e+09,7.6656798524e+08,7.6656798524e+08
2020-03-15 19:35:00,1.5730215718e+09,1.5730215718e+09,5.5133772707e+08,5.5133772707e+08
2020-03-15 19:40:00,1.4393701631e+09,1.4393701631e+09,6.0262256932e+08,6.0262256932e+08
2020-03-15 19:45:00,1.7604641036e+09,1.7604641036e+09,7.6655367732e+08,7.6655367732e+08
2020-03-15 19:50:00,1.6100537955e+09,1.6100537955e+09,5.8630472286e+08,5.8630472286e+08
