DATE,GRIT,GRIT_peak,ITGR,GRIT_peak
2020-03-15 10:55:00,6.0778041982e+09,6.0778041982e+09,5.9286048431e+09,5.9286048431e+09
2020-03-15 11:00:00,6.1496906594e+09,6.1496906594e+09,5.1037574752e+09,5.1037574752e+09
2020-03-15 11:05:00,6.5334541324e+09,6.5334541324e+09,6.0316142979e+09,6.0316142979e+09
2020-03-15 11:10:00,6.0921243421e+09,6.0921243421e+09,6.2514571339e+09,6.2514571339e+09
2020-03-15 11:15:00,6.2428813521e+09,6.2428813521e+09,6.4904328626e+09,6.4904328626e+09
2020-03-15 11:20:00,5.1569007775e+09,5.1569007775e+09,6.3657641095e+09,6.3657641095e+09
2020-03-15 11:25:00,5.3119986282e+09,5.3119986282e+09,6.2237395262e+09,6.2237395262e+09
2020-03-15 11:30:00,5.8097138492e+09,5.8097138492e+09,6.1285413060e+09,6.1285413060e+09
2020-03-15 11:35:00,5.4654918032e+09,5.4654918032e+09,6.6581223653e+09,6.6581223653e+09
2020-03-15 11:40:00,5.4998811689e+09,5.4998811689e+09,5.8166469071e+09,5.8166469071e+09
2020-03-15 11:45:00,5.4565702904e+09,5.4565702904e+09,5.2160944491e+09,5.2160944491e+09
2020-03-15 11:50:00,6.9916339317e+09,6.9916339317e+09,6.1395320810e+09,6.1395320810e+09
2020-03-15 11:55:00,6.5010019544e+09,6.5010019544e+09,7.2010353157e+09,7.2010353157e+09
2020-03-15 12:00:00,5.2418427627e+09,5.2418427627e+09,6.9163113476e+09,6.9163113476e+09
2020-03-15 12:05:00,4.8848699811e+09,4.8848699811e+09,6.3010231485e+09,6.3010231485e+09
2020-03-15 12:10:00,5.5253896038e+09,5.5253896038e+09,5.9037860809e+09,5.9037860809e+09
2020-03-15 12:15:00,4.2236644417e+09,4.2236644417e+09,4.6829722413e+09,4.6829722413e+09
2020-03-15 12:20:00,3.8537591506e+09,3.8537591506e+09,5.3898262262e+09,5.3898262262e+09
2020-03-15 12:25:00,4.1614574100e+09,4.1614574100e+09,5.4515390119e+09,5.4515390119e+09
2020-03-15 12:30:00,4.7327035275e+09,4.7327035275e+09,4.7914503351e+09,4.7914503351e+09
2020-03-15 12:35:00,4.5318771278e+09,4.5318771278e+09,5.5051693584e+09,5.5051693584e+09
2020-03-15 12:40:00,5.2899543579e+09,5.2899543579e+09,4.6821574915e+09,4.6821574915e+09
2020-03-15 12:45:00,4.7604066896e+09,4.7604066896e+09,4.3441179063e+09,4.3441179063e+09
