DATE,LVET,LVET_peak,ETLV,ETLV_peak
2020-03-27 12:10:00,2.3769310287e+08,2.3769310287e+08,2.5187419005e+08,2.5187419005e+08
2020-03-27 12:15:00,2.0382896638e+08,2.0382896638e+08,2.7375729488e+08,2.7375729488e+08
2020-03-27 12:20:00,1.9781032462e+08,1.9781032462e+08,2.1283796992e+08,2.1283796992e+08
2020-03-27 12:25:00,2.0658055325e+08,2.0658055325e+08,2.2570875656e+08,2.2570875656e+08
2020-03-27 12:30:00,4.7098530799e+08,4.7098530799e+08,2.1076011885e+08,2.1076011885e+08
2020-03-27 12:35:00,3.3328106938e+08,3.3328106938e+08,2.3652100142e+08,2.3652100142e+08
2020-03-27 12:40:00,2.2596268572e+08,2.2596268572e+08,2.1416379425e+08,2.1416379425e+08
2020-03-27 12:45:00,2.0275502924e+08,2.0275502924e+08,2.0008137187e+08,2.0008137187e+08
2020-03-27 12:50:00,2.3249074872e+08,2.3249074872e+08,2.3549290195e+08,2.3549290195e+08
2020-03-27 12:55:00,2.5898897658e+08,2.5898897658e+08,2.4491824163e+08,2.4491824163e+08
2020-03-27 13:00:00,2.2117954170e+08,2.2117954170e+08,2.2152832897e+08,2.2152832897e+08
2020-03-27 13:05:00,1.7652822098e+08,1.7652822098e+08,2.1232026388e+08,2.1232026388e+08
2020-03-27 13:10:00,1.1019496489e+08,1.1019496489e+08,1.7129057855e+08,1.7129057855e+08
2020-03-27 13:15:00,1.0719002703e+08,1.0719002703e+08,1.9340674345e+08,1.9340674345e+08
2020-03-27 13:20:00,1.8958330263e+08,1.8958330263e+08,1.9026893563e+08,1.9026893563e+08
2020-03-27 13:25:00,1.0150415850e+08,1.0150415850e+08,1.8101734596e+08,1.8101734596e+08
2020-03-27 13:30:00,1.8873862057e+08,1.8873862057e+08,1.9759235096e+08,1.9759235096e+08
2020-03-27 13:35:00,2.0347178635e+08,2.0347178635e+08,2.3615521247e+08,2.3615521247e+08
