DATE,PRES,PRES_peak,ESPR,ESPR_peak
2020-03-15 05:30:00,8.5575359575e+08,8.5575359575e+08,4.8158417684e+08,4.8158417684e+08
2020-03-15 05:35:00,7.2546342647e+08,7.2546342647e+08,5.3583435082e+08,5.3583435082e+08
2020-03-15 05:40:00,8.5476413233e+08,8.5476413233e+08,3.3699945723e+08,3.3699945723e+08
2020-03-15 05:45:00,1.0952150426e+09,1.0952150426e+09,4.0472064355e+08,4.0472064355e+08
2020-03-15 05:50:00,9.9889286719e+08,9.9889286719e+08,3.2296081777e+08,3.2296081777e+08
2020-03-15 05:55:00,6.3542323097e+08,6.3542323097e+08,4.4622502013e+08,4.4622502013e+08
2020-03-15 06:00:00,7.4942987981e+08,7.4942987981e+08,4.2079012228e+08,4.2079012228e+08
2020-03-15 06:05:00,1.3298067588e+09,1.3298067588e+09,2.9205230358e+08,2.9205230358e+08
2020-03-15 06:10:00,1.1616515653e+09,1.1616515653e+09,4.5291440098e+08,4.5291440098e+08
2020-03-15 06:15:00,1.2667773958e+09,1.2667773958e+09,7.5595731717e+08,7.5595731717e+08
2020-03-15 06:20:00,1.2258340271e+09,1.2258340271e+09,6.9976564812e+08,6.9976564812e+08
2020-03-15 06:25:00,8.4851451638e+08,8.4851451638e+08,4.1434032149e+08,4.1434032149e+08
2020-03-15 06:30:00,1.0030859059e+09,1.0030859059e+09,9.1172198232e+08,9.1172198232e+08
2020-03-15 06:35:00,1.1137231969e+09,1.1137231969e+09,5.0921373867e+08,5.0921373867e+08
2020-03-15 06:40:00,1.5091245611e+09,1.5091245611e+09,6.4693723146e+08,6.4693723146e+08
2020-03-15 06:45:00,1.4893760765e+09,1.4893760765e+09,5.5827540855e+08,5.5827540855e+08
2020-03-15 06:50:00,1.7527929703e+09,1.7527929703e+09,4.7426048488e+08,4.7426048488e+08
2020-03-15 06:55:00,1.7348528297e+09,1.7348528297e+09,5.1253796685e+08,5.1253796685e+08
2020-03-15 07:00:00,2.1221246929e+09,2.1221246929e+09,5.3576052930e+08,5.3576052930e+08
2020-03-15 07:05:00,1.4463495341e+09,1.4463495341e+09,4.6049868400e+08,4.6049868400e+08
2020-03-15 07:10:00,1.2307232671e+09,1.2307232671e+09,5.9409354949e+08,5.9409354949e+08
2020-03-15 07:15:00,1.2409465897e+09,1.2409465897e+09,4.3738266542e+08,4.3738266542e+08
2020-03-15 07:20:00,1.5770868960e+09,1.5770868960e+09,4.7850294411e+08,4.7850294411e+08
2020-03-15 07:25:00,2.8407445957e+09,2.8407445957e+09,4.7482815289e+08,4.7482815289e+08
2020-03-15 07:30:00,2.4610493287e+09,2.4610493287e+09,5.9367986945e+08,5.9367986945e+08
2020-03-15 07:35:00,1.9730523095e+09,1.9730523095e+09,4.9333653130e+08,4.9333653130e+08
2020-03-15 07:40:00,1.8879876996e+09,1.8879876996e+09,4.4630245038e+08,4.4630245038e+08
2020-03-15 07:45:00,2.1048748754e+09,2.1048748754e+09,3.9776954366e+08,3.9776954366e+08
