DATE,NLDE,NLDE_peak,DENL,DENL_peak
2020-03-30 09:35:00,2.8079155435e+10,2.8079155435e+10,5.0995369442e+10,5.0995369442e+10
2020-03-30 09:40:00,2.6379948945e+10,2.6379948945e+10,6.5258981684e+10,6.5258981684e+10
2020-03-30 09:45:00,3.1440346146e+10,3.1440346146e+10,6.2492015632e+10,6.2492015632e+10
2020-03-30 09:50:00,2.6798543197e+10,2.6798543197e+10,5.6249280248e+10,5.6249280248e+10
2020-03-30 09:55:00,2.4232072365e+10,2.4232072365e+10,4.8464026431e+10,4.8464026431e+10
2020-03-30 10:00:00,2.9133519086e+10,2.9133519086e+10,4.8157281784e+10,4.8157281784e+10
2020-03-30 10:05:00,3.0281040148e+10,3.0281040148e+10,4.5174618621e+10,4.5174618621e+10
2020-03-30 10:10:00,3.3467937941e+10,3.3467937941e+10,5.0214726587e+10,5.0214726587e+10
2020-03-30 10:15:00,2.8682839313e+10,2.8682839313e+10,5.9363028202e+10,5.9363028202e+10
2020-03-30 10:20:00,2.9267030708e+10,2.9267030708e+10,6.2420974800e+10,6.2420974800e+10
2020-03-30 10:25:00,3.1835024010e+10,3.1835024010e+10,6.0154584209e+10,6.0154584209e+10
2020-03-30 10:30:00,3.4581560946e+10,3.4581560946e+10,5.1852706253e+10,5.1852706253e+10
2020-03-30 10:35:00,3.4241218304e+10,3.4241218304e+10,4.6160446832e+10,4.6160446832e+10
2020-03-30 10:40:00,2.8335580939e+10,2.8335580939e+10,4.7809076309e+10,4.7809076309e+10
2020-03-30 10:45:00,2.8085929795e+10,2.8085929795e+10,6.0635232846e+10,6.0635232846e+10
2020-03-30 10:50:00,3.2031723671e+10,3.2031723671e+10,6.0640970924e+10,6.0640970924e+10
2020-03-30 10:55:00,3.0234209939e+10,3.0234209939e+10,8.3525580541e+10,8.3525580541e+10
2020-03-30 11:00:00,3.0171061945e+10,3.0171061945e+10,6.3027044035e+10,6.3027044035e+10
2020-03-30 11:05:00,2.8138465381e+10,2.8138465381e+10,5.6103802903e+10,5.6103802903e+10
2020-03-30 11:10:00,2.7109026655e+10,2.7109026655e+10,5.0705538797e+10,5.0705538797e+10
2020-03-30 11:15:00,2.5567153886e+10,2.5567153886e+10,5.3104379743e+10,5.3104379743e+10
2020-03-30 11:20:00,2.9253027199e+10,2.9253027199e+10,6.7290651109e+10,6.7290651109e+10
2020-03-30 11:25:00,2.8812133375e+10,2.8812133375e+10,6.1071925076e+10,6.1071925076e+10
2020-03-30 11:30:00,2.4127642448e+10,2.4127642448e+10,6.4105301762e+10,6.4105301762e+10
2020-03-30 11:35:00,2.8902582718e+10,2.8902582718e+10,6.4682399671e+10,6.4682399671e+10
2020-03-30 11:40:00,2.6516134718e+10,2.6516134718e+10,6.1481143524e+10,6.1481143524e+10
2020-03-30 11:45:00,3.4538031795e+10,3.4538031795e+10,5.0317050642e+10,5.0317050642e+10
