DATE,IEUK,IEUK_peak,UKIE,IEUK_peak
2020-03-22 04:50:00,4.2272569574e+08,4.2272569574e+08,3.3443258220e+09,3.3443258220e+09
2020-03-22 04:55:00,4.7820130408e+08,4.7820130408e+08,3.4001335983e+09,3.4001335983e+09
2020-03-22 05:00:00,4.1918587247e+08,4.1918587247e+08,3.4026433668e+09,3.4026433668e+09
2020-03-22 05:05:00,4.3006565271e+08,4.3006565271e+08,3.3930250969e+09,3.3930250969e+09
2020-03-22 05:10:00,4.1929074179e+08,4.1929074179e+08,3.3134085285e+09,3.3134085285e+09
2020-03-22 05:15:00,5.4812837145e+08,5.4812837145e+08,3.5406161628e+09,3.5406161628e+09
2020-03-22 05:20:00,4.7799852867e+08,4.7799852867e+08,3.3471762802e+09,3.3471762802e+09
2020-03-22 05:25:00,5.1440371336e+08,5.1440371336e+08,3.3490306314e+09,3.3490306314e+09
2020-03-22 05:30:00,4.6480438949e+08,4.6480438949e+08,3.3697015779e+09,3.3697015779e+09
2020-03-22 05:35:00,4.1719794684e+08,4.1719794684e+08,3.4234271594e+09,3.4234271594e+09
2020-03-22 05:40:00,3.8110324105e+08,3.8110324105e+08,3.3303940689e+09,3.3303940689e+09
2020-03-22 05:45:00,4.0493655603e+08,4.0493655603e+08,3.3754753536e+09,3.3754753536e+09
2020-03-22 05:50:00,3.8613390735e+08,3.8613390735e+08,3.3954797975e+09,3.3954797975e+09
2020-03-22 05:55:00,4.1255767379e+08,4.1255767379e+08,3.4159444688e+09,3.4159444688e+09
2020-03-22 06:00:00,3.7115461364e+08,3.7115461364e+08,3.3698545478e+09,3.3698545478e+09
2020-03-22 06:05:00,4.4537125507e+08,4.4537125507e+08,3.4110468028e+09,3.4110468028e+09
2020-03-22 06:10:00,4.1894999564e+08,4.1894999564e+08,3.3753372551e+09,3.3753372551e+09
2020-03-22 06:15:00,2.2741231780e+08,2.2741231780e+08,3.4306695869e+09,3.4306695869e+09
2020-03-22 06:20:00,1.6459189654e+08,1.6459189654e+08,3.5350585976e+09,3.5350585976e+09
2020-03-22 06:25:00,2.4942671452e+08,2.4942671452e+08,3.4521506163e+09,3.4521506163e+09
2020-03-22 06:30:00,1.6394635989e+08,1.6394635989e+08,3.3821493469e+09,3.3821493469e+09
2020-03-22 06:35:00,1.4360626165e+08,1.4360626165e+08,3.4441960576e+09,3.4441960576e+09
2020-03-22 06:40:00,1.7507305004e+08,1.7507305004e+08,3.3570044740e+09,3.3570044740e+09
2020-03-22 06:45:00,2.0271076038e+08,2.0271076038e+08,3.5356688789e+09,3.5356688789e+09
2020-03-22 06:50:00,1.8217004943e+08,1.8217004943e+08,3.3350108286e+09,3.3350108286e+09
2020-03-22 06:55:00,1.7528538210e+08,1.7528538210e+08,3.4557723385e+09,3.4557723385e+09
2020-03-22 07:00:00,1.9615934234e+08,1.9615934234e+08,3.4178057610e+09,3.4178057610e+09
2020-03-22 07:05:00,2.7115337842e+08,2.7115337842e+08,3.4378198402e+09,3.4378198402e+09
2020-03-22 07:10:00,2.4622672372e+08,2.4622672372e+08,3.4548511949e+09,3.4548511949e+09
2020-03-22 07:15:00,2.5397332193e+08,2.5397332193e+08,3.5431284025e+09,3.5431284025e+09
2020-03-22 07:20:00,2.3477370832e+08,2.3477370832e+08,3.4150624799e+09,3.4150624799e+09
2020-03-22 07:25:00,2.0268381081e+08,2.0268381081e+08,3.4476310189e+09,3.4476310189e+09
2020-03-22 07:30:00,2.0435381851e+08,2.0435381851e+08,3.3874758933e+09,3.3874758933e+09
2020-03-22 07:35:00,1.5944165611e+08,1.5944165611e+08,3.4556708098e+09,3.4556708098e+09
2020-03-22 07:40:00,1.7136785948e+08,1.7136785948e+08,3.5403904259e+09,3.5403904259e+09
2020-03-22 07:45:00,1.3864511501e+08,1.3864511501e+08,3.5789919127e+09,3.5789919127e+09
2020-03-22 07:50:00,1.4457944128e+08,1.4457944128e+08,3.5803953581e+09,3.5803953581e+09
2020-03-22 07:55:00,1.8814659964e+08,1.8814659964e+08,3.5475772960e+09,3.5475772960e+09
2020-03-22 08:00:00,1.7747623696e+08,1.7747623696e+08,3.4617260937e+09,3.4617260937e+09
2020-03-22 08:05:00,2.9272479872e+08,2.9272479872e+08,3.5039852785e+09,3.5039852785e+09
2020-03-22 08:10:00,2.4490616130e+08,2.4490616130e+08,3.5612278356e+09,3.5612278356e+09
2020-03-22 08:15:00,3.3611940825e+08,3.3611940825e+08,3.4551341828e+09,3.4551341828e+09
2020-03-22 08:20:00,1.8375297950e+08,1.8375297950e+08,3.6356525616e+09,3.6356525616e+09
2020-03-22 08:25:00,2.1810461853e+08,2.1810461853e+08,3.4788210945e+09,3.4788210945e+09
2020-03-22 08:30:00,1.8409589414e+08,1.8409589414e+08,3.5978830932e+09,3.5978830932e+09
2020-03-22 08:35:00,2.2802896028e+08,2.2802896028e+08,3.5195742251e+09,3.5195742251e+09
2020-03-22 08:40:00,1.9600884654e+08,1.9600884654e+08,3.5534209378e+09,3.5534209378e+09
2020-03-22 08:45:00,1.7261757357e+08,1.7261757357e+08,3.6220278465e+09,3.6220278465e+09
2020-03-22 08:50:00,1.8156606407e+08,1.8156606407e+08,3.4816473459e+09,3.4816473459e+09
2020-03-22 08:55:00,1.5523702772e+08,1.5523702772e+08,3.5455931168e+09,3.5455931168e+09
2020-03-22 09:00:00,1.5489436795e+08,1.5489436795e+08,3.5380985651e+09,3.5380985651e+09
2020-03-22 09:05:00,2.8313451427e+08,2.8313451427e+08,3.5069875124e+09,3.5069875124e+09
2020-03-22 09:10:00,2.1611866939e+08,2.1611866939e+08,3.6216835445e+09,3.6216835445e+09
2020-03-22 09:15:00,3.2102675810e+08,3.2102675810e+08,3.5647459193e+09,3.5647459193e+09
2020-03-22 09:20:00,2.6369232665e+08,2.6369232665e+08,3.5988851966e+09,3.5988851966e+09
2020-03-22 09:25:00,2.2216645522e+08,2.2216645522e+08,3.5578399984e+09,3.5578399984e+09
2020-03-22 09:30:00,2.3769656936e+08,2.3769656936e+08,3.5052848010e+09,3.5052848010e+09
2020-03-22 09:35:00,2.6644373991e+08,2.6644373991e+08,3.2240186331e+09,3.2240186331e+09
2020-03-22 09:40:00,4.7357302849e+08,4.7357302849e+08,3.5075040277e+09,3.5075040277e+09
2020-03-22 09:45:00,3.1286066645e+08,3.1286066645e+08,9.5201401943e+08,9.5201401943e+08
2020-03-22 09:50:00,2.3913332573e+08,2.3913332573e+08,4.3204734301e+08,4.3204734301e+08
2020-03-22 09:55:00,2.6757667749e+08,2.6757667749e+08,4.2572479787e+08,4.2572479787e+08
2020-03-22 10:00:00,2.9563542038e+08,2.9563542038e+08,4.8881361561e+08,4.8881361561e+08
2020-03-22 10:05:00,3.2615645639e+08,3.2615645639e+08,6.0632710506e+08,6.0632710506e+08
2020-03-22 10:10:00,4.4351815150e+08,4.4351815150e+08,5.5137001810e+08,5.5137001810e+08
2020-03-22 10:15:00,2.5334098861e+08,2.5334098861e+08,5.1411660400e+08,5.1411660400e+08
2020-03-22 10:20:00,2.3300299715e+08,2.3300299715e+08,5.1627450895e+08,5.1627450895e+08
2020-03-22 10:25:00,2.2804430607e+08,2.2804430607e+08,4.5846541439e+08,4.5846541439e+08
2020-03-22 10:30:00,2.1468746116e+08,2.1468746116e+08,5.2244802697e+08,5.2244802697e+08
2020-03-22 10:35:00,2.8510817505e+08,2.8510817505e+08,5.6575051306e+08,5.6575051306e+08
2020-03-22 10:40:00,3.3527774842e+08,3.3527774842e+08,5.8635032530e+08,5.8635032530e+08
2020-03-22 10:45:00,3.8503071737e+08,3.8503071737e+08,5.2051019862e+08,5.2051019862e+08
2020-03-22 10:50:00,2.6882514392e+08,2.6882514392e+08,5.4417464809e+08,5.4417464809e+08
2020-03-22 10:55:00,2.6503928364e+08,2.6503928364e+08,5.8090808455e+08,5.8090808455e+08
2020-03-22 11:00:00,2.7681197600e+08,2.7681197600e+08,4.9200411718e+08,4.9200411718e+08
2020-03-22 11:05:00,3.0000810967e+08,3.0000810967e+08,6.3500656448e+08,6.3500656448e+08
2020-03-22 11:10:00,3.6263590992e+08,3.6263590992e+08,5.6845221233e+08,5.6845221233e+08
2020-03-22 11:15:00,3.6064257081e+08,3.6064257081e+08,4.9764832938e+08,4.9764832938e+08
2020-03-22 11:20:00,6.2107739671e+08,6.2107739671e+08,5.3838870795e+08,5.3838870795e+08
2020-03-22 11:25:00,4.1878109542e+08,4.1878109542e+08,5.5251553819e+08,5.5251553819e+08
2020-03-22 11:30:00,4.3257564212e+08,4.3257564212e+08,4.9119146546e+08,4.9119146546e+08
2020-03-22 11:35:00,4.8593826560e+08,4.8593826560e+08,5.7752605540e+08,5.7752605540e+08
2020-03-22 11:40:00,5.4261449377e+08,5.4261449377e+08,5.0939976529e+08,5.0939976529e+08
2020-03-22 11:45:00,6.1761303126e+08,6.1761303126e+08,6.8978443679e+08,6.8978443679e+08
2020-03-22 11:50:00,5.0175170344e+08,5.0175170344e+08,4.9340186163e+08,4.9340186163e+08
2020-03-22 11:55:00,4.9175591668e+08,4.9175591668e+08,5.4529492749e+08,5.4529492749e+08
2020-03-22 12:00:00,4.9336976360e+08,4.9336976360e+08,5.4416697236e+08,5.4416697236e+08
2020-03-22 12:05:00,5.0302783505e+08,5.0302783505e+08,5.4757073127e+08,5.4757073127e+08
2020-03-22 12:10:00,4.2419418582e+08,4.2419418582e+08,5.6145176297e+08,5.6145176297e+08
2020-03-22 12:15:00,4.1978749498e+08,4.1978749498e+08,7.0819731634e+08,7.0819731634e+08
2020-03-22 12:20:00,3.9018469197e+08,3.9018469197e+08,5.3779046696e+08,5.3779046696e+08
2020-03-22 12:25:00,4.0592072487e+08,4.0592072487e+08,4.5811673217e+08,4.5811673217e+08
2020-03-22 12:30:00,4.5156200381e+08,4.5156200381e+08,5.3909495504e+08,5.3909495504e+08
2020-03-22 12:35:00,4.4751949149e+08,4.4751949149e+08,5.5108442183e+08,5.5108442183e+08
