DATE,DECZ,DECZ_peak,CZDE,CZDE_peak
2020-03-15 05:10:00,1.8376122582e+10,1.8376122582e+10,6.3535528794e+09,6.3535528794e+09
2020-03-15 05:15:00,3.6261002740e+10,3.6261002740e+10,1.9789409512e+10,1.9789409512e+10
2020-03-15 05:20:00,3.4153553137e+10,3.4153553137e+10,1.6828918277e+10,1.6828918277e+10
2020-03-15 05:25:00,2.7622447681e+10,2.7622447681e+10,1.3195415413e+10,1.3195415413e+10
2020-03-15 05:30:00,2.4401766077e+10,2.4401766077e+10,8.9906868299e+09,8.9906868299e+09
2020-03-15 05:35:00,3.1164085639e+10,3.1164085639e+10,8.2036919667e+09,8.2036919667e+09
2020-03-15 05:40:00,1.8406010940e+10,1.8406010940e+10,6.0616639408e+09,6.0616639408e+09
2020-03-15 05:45:00,2.9804909560e+10,2.9804909560e+10,1.2178303264e+10,1.2178303264e+10
2020-03-15 05:50:00,3.1744167201e+10,3.1744167201e+10,1.5461567124e+10,1.5461567124e+10
2020-03-15 05:55:00,2.5246266318e+10,2.5246266318e+10,1.4652674328e+10,1.4652674328e+10
2020-03-15 06:00:00,1.7796173313e+10,1.7796173313e+10,1.1105114739e+10,1.1105114739e+10
2020-03-15 06:05:00,1.8783184772e+10,1.8783184772e+10,5.1069299328e+09,5.1069299328e+09
2020-03-15 06:10:00,1.8720162727e+10,1.8720162727e+10,6.7142892520e+09,6.7142892520e+09
2020-03-15 06:15:00,1.9096287314e+10,1.9096287314e+10,8.6710329625e+09,8.6710329625e+09
2020-03-15 06:20:00,2.0249128638e+10,2.0249128638e+10,1.2467477863e+10,1.2467477863e+10
2020-03-15 06:25:00,1.6802084133e+10,1.6802084133e+10,1.1584316584e+10,1.1584316584e+10
2020-03-15 06:30:00,1.6862263255e+10,1.6862263255e+10,1.1118676270e+10,1.1118676270e+10
2020-03-15 06:35:00,2.0790641888e+10,2.0790641888e+10,1.2249699959e+10,1.2249699959e+10
2020-03-15 06:40:00,2.3325603544e+10,2.3325603544e+10,4.8095867025e+09,4.8095867025e+09
2020-03-15 06:45:00,1.8704038168e+10,1.8704038168e+10,1.4435721680e+10,1.4435721680e+10
2020-03-15 06:50:00,2.8646379039e+10,2.8646379039e+10,3.2887761860e+10,3.2887761860e+10
2020-03-15 06:55:00,2.5873116871e+10,2.5873116871e+10,1.7849428182e+10,1.7849428182e+10
2020-03-15 07:00:00,3.1915322411e+10,3.1915322411e+10,1.0839435155e+10,1.0839435155e+10
2020-03-15 07:05:00,2.2958393947e+10,2.2958393947e+10,8.3346453537e+09,8.3346453537e+09
2020-03-15 07:10:00,2.0398637994e+10,2.0398637994e+10,5.9966112790e+09,5.9966112790e+09
2020-03-15 07:15:00,1.9158885782e+10,1.9158885782e+10,1.1889232238e+10,1.1889232238e+10
2020-03-15 07:20:00,3.7054196479e+10,3.7054196479e+10,2.4502562453e+10,2.4502562453e+10
2020-03-15 07:25:00,3.4410793261e+10,3.4410793261e+10,1.7872945073e+10,1.7872945073e+10
2020-03-15 07:30:00,2.9522572881e+10,2.9522572881e+10,1.2223847402e+10,1.2223847402e+10
2020-03-15 07:35:00,2.9416812708e+10,2.9416812708e+10,4.3751175466e+09,4.3751175466e+09
2020-03-15 07:40:00,2.5819193409e+10,2.5819193409e+10,5.6685223887e+09,5.6685223887e+09
2020-03-15 07:45:00,1.9959365895e+10,1.9959365895e+10,5.7330180532e+09,5.7330180532e+09
2020-03-15 07:50:00,2.6142072377e+10,2.6142072377e+10,2.7276476875e+10,2.7276476875e+10
2020-03-15 07:55:00,2.4337231968e+10,2.4337231968e+10,2.6245229159e+10,2.6245229159e+10
2020-03-15 08:00:00,2.2793555691e+10,2.2793555691e+10,2.0294650261e+10,2.0294650261e+10
2020-03-15 08:05:00,2.3497316515e+10,2.3497316515e+10,8.2942260842e+09,8.2942260842e+09
2020-03-15 08:10:00,2.1656181640e+10,2.1656181640e+10,7.1133218730e+09,7.1133218730e+09
2020-03-15 08:15:00,1.7784312936e+10,1.7784312936e+10,6.4946500457e+09,6.4946500457e+09
2020-03-15 08:20:00,1.5967720911e+10,1.5967720911e+10,2.2303319377e+10,2.2303319377e+10
2020-03-15 08:25:00,1.8957209025e+10,1.8957209025e+10,2.4776644120e+10,2.4776644120e+10
2020-03-15 08:30:00,1.9924100853e+10,1.9924100853e+10,2.2385332839e+10,2.2385332839e+10
2020-03-15 08:35:00,2.2315001288e+10,2.2315001288e+10,1.2708120125e+10,1.2708120125e+10
2020-03-15 08:40:00,1.7089804174e+10,1.7089804174e+10,1.2088335287e+10,1.2088335287e+10
2020-03-15 08:45:00,1.8676080390e+10,1.8676080390e+10,6.9215491145e+09,6.9215491145e+09
2020-03-15 08:50:00,3.8552954692e+10,3.8552954692e+10,2.4385711286e+10,2.4385711286e+10
2020-03-15 08:55:00,4.4243542961e+10,4.4243542961e+10,3.3608343687e+10,3.3608343687e+10
2020-03-15 09:00:00,2.7625240424e+10,2.7625240424e+10,1.5912135713e+10,1.5912135713e+10
2020-03-15 09:05:00,2.8105761282e+10,2.8105761282e+10,7.1790647578e+09,7.1790647578e+09
2020-03-15 09:10:00,2.8639535312e+10,2.8639535312e+10,1.0052160132e+10,1.0052160132e+10
2020-03-15 09:15:00,2.9079120575e+10,2.9079120575e+10,2.1703806226e+10,2.1703806226e+10
2020-03-15 09:20:00,3.0896901890e+10,3.0896901890e+10,1.9121695083e+10,1.9121695083e+10
2020-03-15 09:25:00,5.5007568074e+10,5.5007568074e+10,8.4411056168e+09,8.4411056168e+09
2020-03-15 09:30:00,4.7371302535e+10,4.7371302535e+10,3.9839138410e+10,3.9839138410e+10
2020-03-15 09:35:00,3.4778252109e+10,3.4778252109e+10,1.3191700021e+10,1.3191700021e+10
2020-03-15 09:40:00,1.7034128016e+10,1.7034128016e+10,2.3599747878e+10,2.3599747878e+10
2020-03-15 09:45:00,1.8908547292e+10,1.8908547292e+10,1.9711062275e+10,1.9711062275e+10
2020-03-15 09:50:00,1.9610390821e+10,1.9610390821e+10,1.2934846707e+10,1.2934846707e+10
2020-03-15 09:55:00,2.2085745398e+10,2.2085745398e+10,3.6102977331e+10,3.6102977331e+10
2020-03-15 10:00:00,2.0928387908e+10,2.0928387908e+10,3.9662020744e+10,3.9662020744e+10
2020-03-15 10:05:00,2.4166347747e+10,2.4166347747e+10,2.7336743956e+10,2.7336743956e+10
2020-03-15 10:10:00,2.1164747530e+10,2.1164747530e+10,2.3032361599e+10,2.3032361599e+10
2020-03-15 10:15:00,1.9594846050e+10,1.9594846050e+10,9.0075105127e+09,9.0075105127e+09
2020-03-15 10:20:00,1.9914912237e+10,1.9914912237e+10,3.1469659261e+10,3.1469659261e+10
2020-03-15 10:25:00,2.4805311077e+10,2.4805311077e+10,1.8058983636e+10,1.8058983636e+10
2020-03-15 10:30:00,3.1224151008e+10,3.1224151008e+10,2.0206449587e+10,2.0206449587e+10
2020-03-15 10:35:00,3.6051121934e+10,3.6051121934e+10,3.6617615010e+10,3.6617615010e+10
2020-03-15 10:40:00,3.4304635100e+10,3.4304635100e+10,7.9274907607e+09,7.9274907607e+09
2020-03-15 10:45:00,3.0910801410e+10,3.0910801410e+10,2.0439222858e+10,2.0439222858e+10
2020-03-15 10:50:00,2.8068195848e+10,2.8068195848e+10,2.3805855005e+10,2.3805855005e+10
2020-03-15 10:55:00,3.1331096342e+10,3.1331096342e+10,2.9949026304e+10,2.9949026304e+10
2020-03-15 11:00:00,2.7537784776e+10,2.7537784776e+10,6.2079400695e+10,6.2079400695e+10
2020-03-15 11:05:00,2.4518102948e+10,2.4518102948e+10,4.7847260457e+10,4.7847260457e+10
2020-03-15 11:10:00,2.4638508809e+10,2.4638508809e+10,5.1251410746e+10,5.1251410746e+10
2020-03-15 11:15:00,1.8063012780e+10,1.8063012780e+10,4.2178191142e+10,4.2178191142e+10
2020-03-15 11:20:00,1.9982023526e+10,1.9982023526e+10,2.9984287578e+10,2.9984287578e+10
2020-03-15 11:25:00,1.9105625618e+10,1.9105625618e+10,9.9293782672e+09,9.9293782672e+09
2020-03-15 11:30:00,1.7489289580e+10,1.7489289580e+10,4.5413276818e+10,4.5413276818e+10
2020-03-15 11:35:00,2.7575431316e+10,2.7575431316e+10,1.4402523362e+10,1.4402523362e+10
2020-03-15 11:40:00,2.3049763931e+10,2.3049763931e+10,7.1507842676e+09,7.1507842676e+09
2020-03-15 11:45:00,2.1354160155e+10,2.1354160155e+10,7.2444783432e+09,7.2444783432e+09
2020-03-15 11:50:00,1.9173054858e+10,1.9173054858e+10,1.6216370251e+10,1.6216370251e+10
2020-03-15 11:55:00,1.9313154835e+10,1.9313154835e+10,1.9697242833e+10,1.9697242833e+10
2020-03-15 12:00:00,2.2815135240e+10,2.2815135240e+10,1.1154478517e+10,1.1154478517e+10
2020-03-15 12:05:00,2.5728553207e+10,2.5728553207e+10,3.1018060780e+10,3.1018060780e+10
2020-03-15 12:10:00,2.3831436098e+10,2.3831436098e+10,2.3882493892e+10,2.3882493892e+10
2020-03-15 12:15:00,2.5583028599e+10,2.5583028599e+10,9.3114153656e+09,9.3114153656e+09
2020-03-15 12:20:00,2.5734458827e+10,2.5734458827e+10,4.4291057528e+10,4.4291057528e+10
2020-03-15 12:25:00,2.4940283674e+10,2.4940283674e+10,1.7388065155e+10,1.7388065155e+10
2020-03-15 12:30:00,2.3711179736e+10,2.3711179736e+10,1.1291083723e+10,1.1291083723e+10
2020-03-15 12:35:00,3.0176409561e+10,3.0176409561e+10,2.4043586056e+10,2.4043586056e+10
2020-03-15 12:40:00,2.1951499130e+10,2.1951499130e+10,9.6754510230e+09,9.6754510230e+09
2020-03-15 12:45:00,2.4783153430e+10,2.4783153430e+10,3.4230411584e+10,3.4230411584e+10
2020-03-15 12:50:00,2.5174290062e+10,2.5174290062e+10,1.2641150278e+10,1.2641150278e+10
2020-03-15 12:55:00,2.3208354652e+10,2.3208354652e+10,1.1656060589e+10,1.1656060589e+10
2020-03-15 13:00:00,2.5281595308e+10,2.5281595308e+10,2.8266004326e+10,2.8266004326e+10
2020-03-15 13:05:00,2.4069973453e+10,2.4069973453e+10,1.0748713977e+10,1.0748713977e+10
2020-03-15 13:10:00,2.0468216775e+10,2.0468216775e+10,2.5707592361e+10,2.5707592361e+10
2020-03-15 13:15:00,2.3011563978e+10,2.3011563978e+10,3.6019518836e+10,3.6019518836e+10
2020-03-15 13:20:00,2.2892837918e+10,2.2892837918e+10,2.4293071796e+10,2.4293071796e+10
2020-03-15 13:25:00,3.3480883839e+10,3.3480883839e+10,2.5896223872e+10,2.5896223872e+10
2020-03-15 13:30:00,4.0488994892e+10,4.0488994892e+10,3.9389556494e+10,3.9389556494e+10
2020-03-15 13:35:00,4.5584986064e+10,4.5584986064e+10,2.0259076773e+10,2.0259076773e+10
2020-03-15 13:40:00,3.2899674713e+10,3.2899674713e+10,1.2676827029e+10,1.2676827029e+10
2020-03-15 13:45:00,2.2933662629e+10,2.2933662629e+10,2.7069012859e+10,2.7069012859e+10
2020-03-15 13:50:00,2.1381822745e+10,2.1381822745e+10,2.0195579080e+10,2.0195579080e+10
2020-03-15 13:55:00,1.9236590745e+10,1.9236590745e+10,2.2508839863e+10,2.2508839863e+10
2020-03-15 14:00:00,3.0677400482e+10,3.0677400482e+10,5.3262496194e+10,5.3262496194e+10
2020-03-15 14:05:00,3.4295558706e+10,3.4295558706e+10,4.1806996636e+10,4.1806996636e+10
2020-03-15 14:10:00,2.9489527364e+10,2.9489527364e+10,2.5928563283e+10,2.5928563283e+10
2020-03-15 14:15:00,3.0627444459e+10,3.0627444459e+10,1.8181963030e+10,1.8181963030e+10
2020-03-15 14:20:00,2.1795340947e+10,2.1795340947e+10,3.8489053030e+10,3.8489053030e+10
2020-03-15 14:25:00,2.2249978532e+10,2.2249978532e+10,1.5434888114e+10,1.5434888114e+10
2020-03-15 14:30:00,3.4738653071e+10,3.4738653071e+10,1.7031683009e+10,1.7031683009e+10
2020-03-15 14:35:00,3.3363977967e+10,3.3363977967e+10,2.4273523033e+10,2.4273523033e+10
2020-03-15 14:40:00,2.2300236621e+10,2.2300236621e+10,2.0255842760e+10,2.0255842760e+10
2020-03-15 14:45:00,1.8527961787e+10,1.8527961787e+10,1.9079230914e+10,1.9079230914e+10
2020-03-15 14:50:00,1.9371643830e+10,1.9371643830e+10,1.6761490963e+10,1.6761490963e+10
2020-03-15 14:55:00,1.9349481587e+10,1.9349481587e+10,1.7060943129e+10,1.7060943129e+10
2020-03-15 15:00:00,1.9420820270e+10,1.9420820270e+10,1.7976750979e+10,1.7976750979e+10
2020-03-15 15:05:00,2.4269141637e+10,2.4269141637e+10,3.9378695884e+10,3.9378695884e+10
2020-03-15 15:10:00,1.7152604508e+10,1.7152604508e+10,1.8434245659e+10,1.8434245659e+10
2020-03-15 15:15:00,1.8298403834e+10,1.8298403834e+10,1.5450966812e+10,1.5450966812e+10
2020-03-15 15:20:00,1.9958388918e+10,1.9958388918e+10,1.0198580551e+10,1.0198580551e+10
2020-03-15 15:25:00,1.8736597933e+10,1.8736597933e+10,2.0299620974e+10,2.0299620974e+10
2020-03-15 15:30:00,3.0127189305e+10,3.0127189305e+10,2.6453080212e+10,2.6453080212e+10
2020-03-15 15:35:00,5.1927449284e+10,5.1927449284e+10,4.2203480444e+10,4.2203480444e+10
2020-03-15 15:40:00,5.1623595422e+10,5.1623595422e+10,4.2504495585e+10,4.2504495585e+10
2020-03-15 15:45:00,4.4518850025e+10,4.4518850025e+10,4.2657186521e+10,4.2657186521e+10
2020-03-15 15:50:00,5.0262255559e+10,5.0262255559e+10,4.6786905442e+10,4.6786905442e+10
2020-03-15 15:55:00,5.4890309837e+10,5.4890309837e+10,4.2690960031e+10,4.2690960031e+10
2020-03-15 16:00:00,4.0179719707e+10,4.0179719707e+10,1.7118892999e+10,1.7118892999e+10
2020-03-15 16:05:00,3.1815470758e+10,3.1815470758e+10,3.6857119133e+10,3.6857119133e+10
2020-03-15 16:10:00,2.8595045718e+10,2.8595045718e+10,1.3899665758e+10,1.3899665758e+10
2020-03-15 16:15:00,2.9334308301e+10,2.9334308301e+10,1.2645565466e+10,1.2645565466e+10
2020-03-15 16:20:00,2.8825750429e+10,2.8825750429e+10,1.1185289195e+10,1.1185289195e+10
2020-03-15 16:25:00,4.3718574784e+10,4.3718574784e+10,3.0904074903e+10,3.0904074903e+10
2020-03-15 16:30:00,3.8593377424e+10,3.8593377424e+10,1.7702168264e+10,1.7702168264e+10
2020-03-15 16:35:00,4.5805039465e+10,4.5805039465e+10,2.4324102503e+10,2.4324102503e+10
2020-03-15 16:40:00,4.3125375051e+10,4.3125375051e+10,1.5894921958e+10,1.5894921958e+10
2020-03-15 16:45:00,4.4870912407e+10,4.4870912407e+10,1.7557299882e+10,1.7557299882e+10
2020-03-15 16:50:00,3.5106568262e+10,3.5106568262e+10,2.3186932695e+10,2.3186932695e+10
2020-03-15 16:55:00,2.8957370749e+10,2.8957370749e+10,1.7948519561e+10,1.7948519561e+10
2020-03-15 17:00:00,2.8970014547e+10,2.8970014547e+10,2.0035494957e+10,2.0035494957e+10
2020-03-15 17:05:00,3.1185940103e+10,3.1185940103e+10,2.1480399036e+10,2.1480399036e+10
2020-03-15 17:10:00,2.5454349826e+10,2.5454349826e+10,2.6280978990e+10,2.6280978990e+10
2020-03-15 17:15:00,2.8317805190e+10,2.8317805190e+10,1.5310976639e+10,1.5310976639e+10
2020-03-15 17:20:00,2.9232675234e+10,2.9232675234e+10,9.8836067674e+09,9.8836067674e+09
2020-03-15 17:25:00,2.7196188256e+10,2.7196188256e+10,6.8378608885e+09,6.8378608885e+09
2020-03-15 17:30:00,2.3781750121e+10,2.3781750121e+10,5.8577019731e+09,5.8577019731e+09
2020-03-15 17:35:00,3.5488178000e+10,3.5488178000e+10,1.4495309649e+10,1.4495309649e+10
2020-03-15 17:40:00,5.0829183230e+10,5.0829183230e+10,2.3469777062e+10,2.3469777062e+10
2020-03-15 17:45:00,4.0072869855e+10,4.0072869855e+10,6.9729177883e+09,6.9729177883e+09
2020-03-15 17:50:00,2.8686783535e+10,2.8686783535e+10,6.6147783766e+09,6.6147783766e+09
2020-03-15 17:55:00,3.1967469244e+10,3.1967469244e+10,7.5946770497e+09,7.5946770497e+09
2020-03-15 18:00:00,3.1218598256e+10,3.1218598256e+10,7.4330121813e+09,7.4330121813e+09
2020-03-15 18:05:00,3.5970538685e+10,3.5970538685e+10,1.2996938275e+10,1.2996938275e+10
2020-03-15 18:10:00,4.2090764764e+10,4.2090764764e+10,2.9414870651e+10,2.9414870651e+10
2020-03-15 18:15:00,4.2694385726e+10,4.2694385726e+10,2.3739917804e+10,2.3739917804e+10
2020-03-15 18:20:00,3.3509074423e+10,3.3509074423e+10,1.5695889917e+10,1.5695889917e+10
2020-03-15 18:25:00,2.7419563761e+10,2.7419563761e+10,6.5906743278e+09,6.5906743278e+09
