DATE,BGAT,BGAT_peak,ATBG,ATBG_peak
2020-03-25 02:00:00,1.2081477268e+10,1.2081477268e+10,8.0438570615e+09,8.0438570615e+09
2020-03-25 02:05:00,1.1816750871e+10,1.1816750871e+10,6.9375967672e+09,6.9375967672e+09
2020-03-25 02:10:00,1.1418114279e+10,1.1418114279e+10,6.9357400367e+09,6.9357400367e+09
2020-03-25 02:15:00,1.0039398716e+10,1.0039398716e+10,8.5239552108e+09,8.5239552108e+09
2020-03-25 02:20:00,1.0892351477e+10,1.0892351477e+10,9.9233665597e+09,9.9233665597e+09
2020-03-25 02:25:00,1.2059840685e+10,1.2059840685e+10,9.7920036438e+09,9.7920036438e+09
2020-03-25 02:30:00,1.3240154747e+10,1.3240154747e+10,9.6320306880e+09,9.6320306880e+09
2020-03-25 02:35:00,1.2732571039e+10,1.2732571039e+10,8.6139033861e+09,8.6139033861e+09
2020-03-25 02:40:00,1.3276908291e+10,1.3276908291e+10,9.0279956615e+09,9.0279956615e+09
2020-03-25 02:45:00,1.2642412318e+10,1.2642412318e+10,7.4282890599e+09,7.4282890599e+09
2020-03-25 02:50:00,1.1733938122e+10,1.1733938122e+10,7.1172881058e+09,7.1172881058e+09
2020-03-25 02:55:00,1.2425149147e+10,1.2425149147e+10,7.4822715978e+09,7.4822715978e+09
2020-03-25 03:00:00,1.2621911430e+10,1.2621911430e+10,5.9782190309e+09,5.9782190309e+09
2020-03-25 03:05:00,1.1102762915e+10,1.1102762915e+10,6.3541233782e+09,6.3541233782e+09
2020-03-25 03:10:00,1.0309145529e+10,1.0309145529e+10,5.9112035372e+09,5.9112035372e+09
2020-03-25 03:15:00,1.0596304998e+10,1.0596304998e+10,5.8701888573e+09,5.8701888573e+09
2020-03-25 03:20:00,1.0326754068e+10,1.0326754068e+10,5.3013669028e+09,5.3013669028e+09
2020-03-25 03:25:00,1.0480223467e+10,1.0480223467e+10,5.2691080784e+09,5.2691080784e+09
2020-03-25 03:30:00,1.2018372653e+10,1.2018372653e+10,5.5399973961e+09,5.5399973961e+09
2020-03-25 03:35:00,1.1612278809e+10,1.1612278809e+10,5.6145663094e+09,5.6145663094e+09
2020-03-25 03:40:00,1.2190398726e+10,1.2190398726e+10,6.0269061079e+09,6.0269061079e+09
2020-03-25 03:45:00,1.3219018599e+10,1.3219018599e+10,5.8151112606e+09,5.8151112606e+09
2020-03-25 03:50:00,1.2866989137e+10,1.2866989137e+10,5.4948258687e+09,5.4948258687e+09
2020-03-25 03:55:00,1.1793207710e+10,1.1793207710e+10,6.4373340952e+09,6.4373340952e+09
2020-03-25 04:00:00,1.1773337463e+10,1.1773337463e+10,5.9379310059e+09,5.9379310059e+09
2020-03-25 04:05:00,1.1669651126e+10,1.1669651126e+10,6.2184332884e+09,6.2184332884e+09
2020-03-25 04:10:00,1.1963746259e+10,1.1963746259e+10,5.4098722124e+09,5.4098722124e+09
2020-03-25 04:15:00,1.1679927279e+10,1.1679927279e+10,5.7506598441e+09,5.7506598441e+09
2020-03-25 04:20:00,1.0459970878e+10,1.0459970878e+10,6.4910596137e+09,6.4910596137e+09
2020-03-25 04:25:00,1.1209445153e+10,1.1209445153e+10,5.8004144407e+09,5.8004144407e+09
2020-03-25 04:30:00,9.4417017173e+09,9.4417017173e+09,5.8080985150e+09,5.8080985150e+09
2020-03-25 04:35:00,1.2032840828e+10,1.2032840828e+10,5.3186816851e+09,5.3186816851e+09
2020-03-25 04:40:00,1.2071797269e+10,1.2071797269e+10,5.9613144826e+09,5.9613144826e+09
2020-03-25 04:45:00,1.2288327716e+10,1.2288327716e+10,5.7658788450e+09,5.7658788450e+09
2020-03-25 04:50:00,1.1785068961e+10,1.1785068961e+10,6.3229372912e+09,6.3229372912e+09
2020-03-25 04:55:00,1.1358800737e+10,1.1358800737e+10,6.1871024355e+09,6.1871024355e+09
2020-03-25 05:00:00,1.1114370342e+10,1.1114370342e+10,6.4593021342e+09,6.4593021342e+09
2020-03-25 05:05:00,1.1303761103e+10,1.1303761103e+10,5.0088225921e+09,5.0088225921e+09
2020-03-25 05:10:00,1.1748188893e+10,1.1748188893e+10,5.3380417452e+09,5.3380417452e+09
2020-03-25 05:15:00,1.1973833689e+10,1.1973833689e+10,5.6554308013e+09,5.6554308013e+09
2020-03-25 05:20:00,1.1961287526e+10,1.1961287526e+10,6.3286290150e+09,6.3286290150e+09
2020-03-25 05:25:00,1.2964967019e+10,1.2964967019e+10,6.0476690471e+09,6.0476690471e+09
2020-03-25 05:30:00,1.2146033898e+10,1.2146033898e+10,5.3672421731e+09,5.3672421731e+09
2020-03-25 05:35:00,1.1196106892e+10,1.1196106892e+10,6.5640518918e+09,6.5640518918e+09
2020-03-25 05:40:00,1.1535638175e+10,1.1535638175e+10,7.4478497591e+09,7.4478497591e+09
2020-03-25 05:45:00,1.1726852018e+10,1.1726852018e+10,6.9748820802e+09,6.9748820802e+09
2020-03-25 05:50:00,1.2186890837e+10,1.2186890837e+10,6.5020582613e+09,6.5020582613e+09
2020-03-25 05:55:00,1.2495184212e+10,1.2495184212e+10,7.6496726123e+09,7.6496726123e+09
2020-03-25 06:00:00,1.2906978838e+10,1.2906978838e+10,7.2821519690e+09,7.2821519690e+09
2020-03-25 06:05:00,1.2553330625e+10,1.2553330625e+10,7.6357710599e+09,7.6357710599e+09
2020-03-25 06:10:00,1.2507493828e+10,1.2507493828e+10,7.6736225037e+09,7.6736225037e+09
2020-03-25 06:15:00,1.2623897555e+10,1.2623897555e+10,6.4003016190e+09,6.4003016190e+09
2020-03-25 06:20:00,1.2418274114e+10,1.2418274114e+10,5.6849956482e+09,5.6849956482e+09
2020-03-25 06:25:00,1.2613514022e+10,1.2613514022e+10,5.5396400703e+09,5.5396400703e+09
2020-03-25 06:30:00,1.0551020143e+10,1.0551020143e+10,5.0083303888e+09,5.0083303888e+09
2020-03-25 06:35:00,1.0654388815e+10,1.0654388815e+10,4.2679877772e+09,4.2679877772e+09
2020-03-25 06:40:00,1.2436414651e+10,1.2436414651e+10,4.8555246951e+09,4.8555246951e+09
2020-03-25 06:45:00,1.3617881587e+10,1.3617881587e+10,4.9934181182e+09,4.9934181182e+09
2020-03-25 06:50:00,1.2489151379e+10,1.2489151379e+10,4.8521806491e+09,4.8521806491e+09
2020-03-25 06:55:00,1.2777656089e+10,1.2777656089e+10,4.7710370038e+09,4.7710370038e+09
2020-03-25 07:00:00,1.3259188846e+10,1.3259188846e+10,4.9344877895e+09,4.9344877895e+09
2020-03-25 07:05:00,1.3315521794e+10,1.3315521794e+10,4.8161532569e+09,4.8161532569e+09
2020-03-25 07:10:00,1.3277407285e+10,1.3277407285e+10,4.7633603408e+09,4.7633603408e+09
2020-03-25 07:15:00,1.2335224592e+10,1.2335224592e+10,3.9985073468e+09,3.9985073468e+09
2020-03-25 07:20:00,1.4084485979e+10,1.4084485979e+10,4.3722468087e+09,4.3722468087e+09
2020-03-25 07:25:00,1.3848549459e+10,1.3848549459e+10,3.8911444323e+09,3.8911444323e+09
2020-03-25 07:30:00,1.5345431564e+10,1.5345431564e+10,4.2864754956e+09,4.2864754956e+09
