DATE,ESFR,ESFR_peak,FRES,ESFR_peak
2020-03-22 08:05:00,8.6135476181e+08,8.6135476181e+08,2.6068079234e+09,2.6068079234e+09
2020-03-22 08:10:00,7.4438010768e+08,7.4438010768e+08,3.8422302880e+09,3.8422302880e+09
2020-03-22 08:15:00,7.8330145346e+08,7.8330145346e+08,4.1213712691e+09,4.1213712691e+09
2020-03-22 08:20:00,9.4274303977e+08,9.4274303977e+08,4.4299983432e+09,4.4299983432e+09
2020-03-22 08:25:00,8.3823384569e+08,8.3823384569e+08,3.5176640040e+09,3.5176640040e+09
2020-03-22 08:30:00,6.4433529061e+08,6.4433529061e+08,3.9861935049e+09,3.9861935049e+09
2020-03-22 08:35:00,6.1457007238e+08,6.1457007238e+08,4.0277444849e+09,4.0277444849e+09
2020-03-22 08:40:00,8.0614007669e+08,8.0614007669e+08,2.9744952728e+09,2.9744952728e+09
2020-03-22 08:45:00,8.5091478559e+08,8.5091478559e+08,3.6742660777e+09,3.6742660777e+09
2020-03-22 08:50:00,2.5101303663e+09,2.5101303663e+09,4.5591814974e+09,4.5591814974e+09
2020-03-22 08:55:00,2.7290383839e+09,2.7290383839e+09,4.9319973412e+09,4.9319973412e+09
2020-03-22 09:00:00,3.4493146252e+09,3.4493146252e+09,4.4926081552e+09,4.4926081552e+09
2020-03-22 09:05:00,3.0775634401e+09,3.0775634401e+09,4.5121701578e+09,4.5121701578e+09
2020-03-22 09:10:00,3.2960686618e+09,3.2960686618e+09,3.5877474958e+09,3.5877474958e+09
2020-03-22 09:15:00,3.5402522823e+09,3.5402522823e+09,3.7851979768e+09,3.7851979768e+09
2020-03-22 09:20:00,3.0270144941e+09,3.0270144941e+09,3.8204038454e+09,3.8204038454e+09
2020-03-22 09:25:00,3.3692064176e+09,3.3692064176e+09,3.0166191609e+09,3.0166191609e+09
2020-03-22 09:30:00,3.1096324526e+09,3.1096324526e+09,4.4121540973e+09,4.4121540973e+09
2020-03-22 09:35:00,2.8768043660e+09,2.8768043660e+09,6.3529311566e+09,6.3529311566e+09
2020-03-22 09:40:00,3.0678960329e+09,3.0678960329e+09,4.6801034870e+09,4.6801034870e+09
2020-03-22 09:45:00,3.1710648730e+09,3.1710648730e+09,4.0699897773e+09,4.0699897773e+09
2020-03-22 09:50:00,2.4908124747e+09,2.4908124747e+09,4.9201030110e+09,4.9201030110e+09
2020-03-22 09:55:00,2.2398439367e+09,2.2398439367e+09,3.3577677667e+09,3.3577677667e+09
2020-03-22 10:00:00,1.7633060228e+09,1.7633060228e+09,4.7750969511e+09,4.7750969511e+09
2020-03-22 10:05:00,1.5181346159e+09,1.5181346159e+09,5.6846560985e+09,5.6846560985e+09
2020-03-22 10:10:00,1.3020625390e+09,1.3020625390e+09,5.6540500188e+09,5.6540500188e+09
2020-03-22 10:15:00,1.0861936263e+09,1.0861936263e+09,3.5561712100e+09,3.5561712100e+09
2020-03-22 10:20:00,1.2622733451e+09,1.2622733451e+09,2.1180443152e+09,2.1180443152e+09
2020-03-22 10:25:00,9.9318214236e+08,9.9318214236e+08,2.7186260878e+09,2.7186260878e+09
2020-03-22 10:30:00,9.7045101542e+08,9.7045101542e+08,2.7915484133e+09,2.7915484133e+09
2020-03-22 10:35:00,1.2025845321e+09,1.2025845321e+09,3.2969084757e+09,3.2969084757e+09
2020-03-22 10:40:00,1.2445958205e+09,1.2445958205e+09,3.8242558255e+09,3.8242558255e+09
2020-03-22 10:45:00,1.3966041672e+09,1.3966041672e+09,3.9037077636e+09,3.9037077636e+09
2020-03-22 10:50:00,1.4071156970e+09,1.4071156970e+09,3.0759192185e+09,3.0759192185e+09
2020-03-22 10:55:00,1.6040908268e+09,1.6040908268e+09,3.0749030731e+09,3.0749030731e+09
2020-03-22 11:00:00,1.5532207266e+09,1.5532207266e+09,2.8832276161e+09,2.8832276161e+09
2020-03-22 11:05:00,2.1461072815e+09,2.1461072815e+09,3.4536605184e+09,3.4536605184e+09
2020-03-22 11:10:00,1.7008014796e+09,1.7008014796e+09,3.2172849576e+09,3.2172849576e+09
2020-03-22 11:15:00,1.5384608555e+09,1.5384608555e+09,4.1283424933e+09,4.1283424933e+09
2020-03-22 11:20:00,1.3924266504e+09,1.3924266504e+09,4.1413263524e+09,4.1413263524e+09
2020-03-22 11:25:00,1.7116527619e+09,1.7116527619e+09,4.8415384912e+09,4.8415384912e+09
2020-03-22 11:30:00,2.3807351099e+09,2.3807351099e+09,4.9146619444e+09,4.9146619444e+09
2020-03-22 11:35:00,2.2832607372e+09,2.2832607372e+09,5.3775071965e+09,5.3775071965e+09
2020-03-22 11:40:00,2.4432799772e+09,2.4432799772e+09,4.4658241697e+09,4.4658241697e+09
2020-03-22 11:45:00,2.2648359703e+09,2.2648359703e+09,4.3976120883e+09,4.3976120883e+09
2020-03-22 11:50:00,2.6302726377e+09,2.6302726377e+09,3.9628065008e+09,3.9628065008e+09
2020-03-22 11:55:00,2.0500544692e+09,2.0500544692e+09,3.6904615738e+09,3.6904615738e+09
2020-03-22 12:00:00,1.7639960684e+09,1.7639960684e+09,3.4424065566e+09,3.4424065566e+09
2020-03-22 12:05:00,1.7492849998e+09,1.7492849998e+09,3.9373066361e+09,3.9373066361e+09
2020-03-22 12:10:00,1.6077893513e+09,1.6077893513e+09,5.0715989081e+09,5.0715989081e+09
2020-03-22 12:15:00,1.5524607395e+09,1.5524607395e+09,4.6412550438e+09,4.6412550438e+09
2020-03-22 12:20:00,1.6027791070e+09,1.6027791070e+09,4.3077062604e+09,4.3077062604e+09
2020-03-22 12:25:00,2.3441446864e+09,2.3441446864e+09,3.4895983881e+09,3.4895983881e+09
2020-03-22 12:30:00,2.3393773454e+09,2.3393773454e+09,3.2655612423e+09,3.2655612423e+09
2020-03-22 12:35:00,2.5350996955e+09,2.5350996955e+09,3.8157203277e+09,3.8157203277e+09
2020-03-22 12:40:00,2.1814957500e+09,2.1814957500e+09,4.1944097121e+09,4.1944097121e+09
2020-03-22 12:45:00,2.3616931670e+09,2.3616931670e+09,3.9075744825e+09,3.9075744825e+09
2020-03-22 12:50:00,2.4179760031e+09,2.4179760031e+09,4.2531772820e+09,4.2531772820e+09
2020-03-22 12:55:00,2.2561734318e+09,2.2561734318e+09,3.7147128574e+09,3.7147128574e+09
2020-03-22 13:00:00,2.4430581061e+09,2.4430581061e+09,4.3359129524e+09,4.3359129524e+09
2020-03-22 13:05:00,2.1065321411e+09,2.1065321411e+09,4.3119390774e+09,4.3119390774e+09
2020-03-22 13:10:00,1.3738176894e+09,1.3738176894e+09,4.5758963753e+09,4.5758963753e+09
2020-03-22 13:15:00,9.8316150298e+08,9.8316150298e+08,3.3749606876e+09,3.3749606876e+09
2020-03-22 13:20:00,1.1715310699e+09,1.1715310699e+09,3.0470839448e+09,3.0470839448e+09
2020-03-22 13:25:00,1.2554941909e+09,1.2554941909e+09,3.3195081234e+09,3.3195081234e+09
2020-03-22 13:30:00,1.2585074125e+09,1.2585074125e+09,2.5974635431e+09,2.5974635431e+09
2020-03-22 13:35:00,1.1940973765e+09,1.1940973765e+09,2.4427498849e+09,2.4427498849e+09
2020-03-22 13:40:00,1.1376632646e+09,1.1376632646e+09,2.6221920413e+09,2.6221920413e+09
2020-03-22 13:45:00,1.2955830662e+09,1.2955830662e+09,2.7087017668e+09,2.7087017668e+09
2020-03-22 13:50:00,1.1318208334e+09,1.1318208334e+09,3.0935385403e+09,3.0935385403e+09
2020-03-22 13:55:00,1.1292794027e+09,1.1292794027e+09,2.2451895413e+09,2.2451895413e+09
2020-03-22 14:00:00,1.1770708641e+09,1.1770708641e+09,2.1202086864e+09,2.1202086864e+09
2020-03-22 14:05:00,1.3797873600e+09,1.3797873600e+09,2.3970461679e+09,2.3970461679e+09
2020-03-22 14:10:00,1.1969051964e+09,1.1969051964e+09,2.6920840867e+09,2.6920840867e+09
2020-03-22 14:15:00,1.1726031325e+09,1.1726031325e+09,2.7583975451e+09,2.7583975451e+09
2020-03-22 14:20:00,9.8219727563e+08,9.8219727563e+08,2.6603661328e+09,2.6603661328e+09
2020-03-22 14:25:00,8.8771946951e+08,8.8771946951e+08,2.5875179793e+09,2.5875179793e+09
2020-03-22 14:30:00,9.3261615217e+08,9.3261615217e+08,2.4479487533e+09,2.4479487533e+09
2020-03-22 14:35:00,1.0156988220e+09,1.0156988220e+09,2.1778194230e+09,2.1778194230e+09
2020-03-22 14:40:00,1.1393333681e+09,1.1393333681e+09,2.5415634967e+09,2.5415634967e+09
2020-03-22 14:45:00,1.1609093348e+09,1.1609093348e+09,2.8648126515e+09,2.8648126515e+09
2020-03-22 14:50:00,1.1362807046e+09,1.1362807046e+09,3.0062040095e+09,3.0062040095e+09
2020-03-22 14:55:00,1.3398376799e+09,1.3398376799e+09,3.2726953974e+09,3.2726953974e+09
2020-03-22 15:00:00,1.1895950267e+09,1.1895950267e+09,3.1115989354e+09,3.1115989354e+09
2020-03-22 15:05:00,1.0794563367e+09,1.0794563367e+09,3.1473197731e+09,3.1473197731e+09
2020-03-22 15:10:00,1.1064355340e+09,1.1064355340e+09,3.1608331224e+09,3.1608331224e+09
2020-03-22 15:15:00,1.1397634785e+09,1.1397634785e+09,2.9207656346e+09,2.9207656346e+09
2020-03-22 15:20:00,1.5078560172e+09,1.5078560172e+09,3.1312990503e+09,3.1312990503e+09
2020-03-22 15:25:00,1.8067500305e+09,1.8067500305e+09,3.2688687455e+09,3.2688687455e+09
2020-03-22 15:30:00,1.8900929511e+09,1.8900929511e+09,3.2715328637e+09,3.2715328637e+09
2020-03-22 15:35:00,1.5382655580e+09,1.5382655580e+09,3.4814273408e+09,3.4814273408e+09
2020-03-22 15:40:00,1.2503592329e+09,1.2503592329e+09,3.3631273961e+09,3.3631273961e+09
2020-03-22 15:45:00,2.6372992667e+09,2.6372992667e+09,3.3086819229e+09,3.3086819229e+09
2020-03-22 15:50:00,2.8064445332e+09,2.8064445332e+09,3.5622861357e+09,3.5622861357e+09
2020-03-22 15:55:00,3.1977848551e+09,3.1977848551e+09,3.7828459379e+09,3.7828459379e+09
2020-03-22 16:00:00,2.9569860935e+09,2.9569860935e+09,3.6529652082e+09,3.6529652082e+09
2020-03-22 16:05:00,3.5357065941e+09,3.5357065941e+09,3.5334700087e+09,3.5334700087e+09
2020-03-22 16:10:00,4.1470353393e+09,4.1470353393e+09,3.4968842746e+09,3.4968842746e+09
2020-03-22 16:15:00,3.9855344063e+09,3.9855344063e+09,3.7099227384e+09,3.7099227384e+09
2020-03-22 16:20:00,4.0696753014e+09,4.0696753014e+09,3.6161146859e+09,3.6161146859e+09
2020-03-22 16:25:00,4.0046845906e+09,4.0046845906e+09,3.7424642559e+09,3.7424642559e+09
2020-03-22 16:30:00,3.7889616689e+09,3.7889616689e+09,3.7779799907e+09,3.7779799907e+09
