DATE,ITAT,ITAT_peak,ATIT,ATIT_peak
2020-03-15 05:55:00,2.7188918037e+09,2.7188918037e+09,9.7335214266e+09,9.7335214266e+09
2020-03-15 06:00:00,1.9016115583e+09,1.9016115583e+09,9.1831997588e+09,9.1831997588e+09
2020-03-15 06:05:00,1.8589049289e+09,1.8589049289e+09,1.0090733083e+10,1.0090733083e+10
2020-03-15 06:10:00,1.7926569263e+09,1.7926569263e+09,1.1141503433e+10,1.1141503433e+10
2020-03-15 06:15:00,2.3977489613e+09,2.3977489613e+09,1.0253437069e+10,1.0253437069e+10
2020-03-15 06:20:00,1.7364523722e+09,1.7364523722e+09,1.0744918581e+10,1.0744918581e+10
2020-03-15 06:25:00,2.0589820184e+09,2.0589820184e+09,1.1544001787e+10,1.1544001787e+10
2020-03-15 06:30:00,1.7819603407e+09,1.7819603407e+09,1.1909896227e+10,1.1909896227e+10
2020-03-15 06:35:00,1.9082557229e+09,1.9082557229e+09,1.2910793918e+10,1.2910793918e+10
2020-03-15 06:40:00,2.7076197698e+09,2.7076197698e+09,1.1517718322e+10,1.1517718322e+10
2020-03-15 06:45:00,2.0385991425e+09,2.0385991425e+09,1.0588972766e+10,1.0588972766e+10
2020-03-15 06:50:00,2.0495497788e+09,2.0495497788e+09,1.0972913747e+10,1.0972913747e+10
2020-03-15 06:55:00,2.2010072334e+09,2.2010072334e+09,1.2898687016e+10,1.2898687016e+10
2020-03-15 07:00:00,3.1280854967e+09,3.1280854967e+09,1.1114627382e+10,1.1114627382e+10
2020-03-15 07:05:00,2.3723806650e+09,2.3723806650e+09,1.3267496659e+10,1.3267496659e+10
2020-03-15 07:10:00,2.9026786896e+09,2.9026786896e+09,1.1706686534e+10,1.1706686534e+10
2020-03-15 07:15:00,2.4627126034e+09,2.4627126034e+09,9.5281400638e+09,9.5281400638e+09
2020-03-15 07:20:00,3.2074432114e+09,3.2074432114e+09,7.3977588096e+09,7.3977588096e+09
2020-03-15 07:25:00,2.9714585916e+09,2.9714585916e+09,6.3080104050e+09,6.3080104050e+09
2020-03-15 07:30:00,3.5001360772e+09,3.5001360772e+09,5.2934991721e+09,5.2934991721e+09
2020-03-15 07:35:00,2.9679576525e+09,2.9679576525e+09,5.1217959960e+09,5.1217959960e+09
2020-03-15 07:40:00,2.4969211606e+09,2.4969211606e+09,4.8395870454e+09,4.8395870454e+09
2020-03-15 07:45:00,2.6365308148e+09,2.6365308148e+09,4.4397774848e+09,4.4397774848e+09
2020-03-15 07:50:00,2.0627351415e+09,2.0627351415e+09,5.4899428317e+09,5.4899428317e+09
2020-03-15 07:55:00,1.9163762987e+09,1.9163762987e+09,4.2716484767e+09,4.2716484767e+09
2020-03-15 08:00:00,2.2367491444e+09,2.2367491444e+09,4.3223603723e+09,4.3223603723e+09
