DATE,NLDU,NLDU_peak,DUNL,DUNL_peak
2020-03-22 08:50:00,5.5647749802e+09,5.5647749802e+09,1.4632285736e+04,1.4632285736e+04
2020-03-22 08:55:00,9.0131264375e+09,9.0131264375e+09,1.5105828267e+04,1.5105828267e+04
2020-03-22 09:00:00,3.5741765500e+09,3.5741765500e+09,1.4803802547e+04,1.4803802547e+04
2020-03-22 09:05:00,4.1961628923e+09,4.1961628923e+09,1.4710089782e+04,1.4710089782e+04
2020-03-22 09:10:00,6.4278148001e+09,6.4278148001e+09,1.4644975644e+04,1.4644975644e+04
2020-03-22 09:15:00,3.3111464649e+09,3.3111464649e+09,1.4891294249e+04,1.4891294249e+04
2020-03-22 09:20:00,2.7910629971e+09,2.7910629971e+09,1.4640710174e+04,1.4640710174e+04
2020-03-22 09:25:00,3.7667502194e+09,3.7667502194e+09,1.4927070926e+04,1.4927070926e+04
2020-03-22 09:30:00,4.1724357981e+09,4.1724357981e+09,1.5044002340e+04,1.5044002340e+04
2020-03-22 09:35:00,4.7963204450e+09,4.7963204450e+09,1.4536162781e+04,1.4536162781e+04
2020-03-22 09:40:00,4.5816230938e+09,4.5816230938e+09,1.5000607503e+04,1.5000607503e+04
2020-03-22 09:45:00,4.0634133640e+09,4.0634133640e+09,1.4962575875e+04,1.4962575875e+04
2020-03-22 09:50:00,2.9981711740e+09,2.9981711740e+09,1.5521840000e+04,1.5521840000e+04
2020-03-22 09:55:00,3.5105814563e+09,3.5105814563e+09,1.5012665167e+04,1.5012665167e+04
2020-03-22 10:00:00,3.7740311528e+09,3.7740311528e+09,1.4910146477e+04,1.4910146477e+04
2020-03-22 10:05:00,3.6453966153e+09,3.6453966153e+09,1.4642670756e+04,1.4642670756e+04
2020-03-22 10:10:00,4.4086465394e+09,4.4086465394e+09,1.4801800000e+04,1.4801800000e+04
2020-03-22 10:15:00,4.2556034337e+09,4.2556034337e+09,1.4742538311e+04,1.4742538311e+04
2020-03-22 10:20:00,4.2343451944e+09,4.2343451944e+09,1.4617210501e+04,1.4617210501e+04
2020-03-22 10:25:00,3.2956931732e+09,3.2956931732e+09,1.5001752751e+04,1.5001752751e+04
2020-03-22 10:30:00,5.3333948037e+09,5.3333948037e+09,1.4903247237e+04,1.4903247237e+04
2020-03-22 10:35:00,5.6415708828e+09,5.6415708828e+09,1.4537225244e+04,1.4537225244e+04
2020-03-22 10:40:00,3.6276629707e+09,3.6276629707e+09,1.5040181333e+04,1.5040181333e+04
2020-03-22 10:45:00,2.5994998435e+09,2.5994998435e+09,1.4898937488e+04,1.4898937488e+04
2020-03-22 10:50:00,2.7649485527e+09,2.7649485527e+09,1.5009830068e+04,1.5009830068e+04
2020-03-22 10:55:00,3.5402869380e+09,3.5402869380e+09,1.4834663714e+04,1.4834663714e+04
2020-03-22 11:00:00,3.1321479739e+09,3.1321479739e+09,1.4904608323e+04,1.4904608323e+04
2020-03-22 11:05:00,4.6502744803e+09,4.6502744803e+09,1.4390032034e+04,1.4390032034e+04
2020-03-22 11:10:00,6.9860429643e+09,6.9860429643e+09,1.5006176552e+04,1.5006176552e+04
2020-03-22 11:15:00,4.6018760510e+09,4.6018760510e+09,1.4806064356e+04,1.4806064356e+04
2020-03-22 11:20:00,2.1626450754e+09,2.1626450754e+09,1.4863947834e+04,1.4863947834e+04
2020-03-22 11:25:00,2.8375372977e+09,2.8375372977e+09,1.4704040646e+04,1.4704040646e+04
2020-03-22 11:30:00,4.8902838457e+09,4.8902838457e+09,1.5039895076e+04,1.5039895076e+04
2020-03-22 11:35:00,1.5543644211e+10,1.5543644211e+10,1.4667946715e+04,1.4667946715e+04
2020-03-22 11:40:00,1.7041485726e+10,1.7041485726e+10,1.4791979302e+04,1.4791979302e+04
2020-03-22 11:45:00,1.0000368044e+10,1.0000368044e+10,1.5597350072e+04,1.5597350072e+04
2020-03-22 11:50:00,1.5905424764e+10,1.5905424764e+10,1.4721528832e+04,1.4721528832e+04
2020-03-22 11:55:00,1.6678559283e+10,1.6678559283e+10,1.4969541746e+04,1.4969541746e+04
2020-03-22 12:00:00,1.1480458550e+10,1.1480458550e+10,1.4612248267e+04,1.4612248267e+04
2020-03-22 12:05:00,1.3561459207e+10,1.3561459207e+10,1.4924514762e+04,1.4924514762e+04
2020-03-22 12:10:00,1.5203367150e+10,1.5203367150e+10,1.4807187584e+04,1.4807187584e+04
2020-03-22 12:15:00,1.2639087232e+10,1.2639087232e+10,1.4685566987e+04,1.4685566987e+04
2020-03-22 12:20:00,1.3454080849e+10,1.3454080849e+10,1.4850825067e+04,1.4850825067e+04
2020-03-22 12:25:00,1.3269853652e+10,1.3269853652e+10,1.4871013067e+04,1.4871013067e+04
2020-03-22 12:30:00,1.2041123176e+10,1.2041123176e+10,1.4897447251e+04,1.4897447251e+04
2020-03-22 12:35:00,6.2619241014e+09,6.2619241014e+09,1.4953433343e+04,1.4953433343e+04
2020-03-22 12:40:00,2.6883608530e+09,2.6883608530e+09,1.4576346073e+04,1.4576346073e+04
2020-03-22 12:45:00,2.8323355185e+09,2.8323355185e+09,1.4821485333e+04,1.4821485333e+04
2020-03-22 12:50:00,5.8616326870e+09,5.8616326870e+09,1.4836634916e+04,1.4836634916e+04
2020-03-22 12:55:00,3.7934411405e+09,3.7934411405e+09,1.4806449292e+04,1.4806449292e+04
2020-03-22 13:00:00,3.8178732065e+09,3.8178732065e+09,1.4825749658e+04,1.4825749658e+04
