DATE,DECH,DECH_peak,CHDE,CHDE_peak
2020-03-26 02:35:00,4.3313541496e+10,4.3313541496e+10,3.8065774265e+10,3.8065774265e+10
2020-03-26 02:40:00,5.1089918552e+10,5.1089918552e+10,3.9348502557e+10,3.9348502557e+10
2020-03-26 02:45:00,4.8632404943e+10,4.8632404943e+10,4.0862751635e+10,4.0862751635e+10
2020-03-26 02:50:00,5.1439585604e+10,5.1439585604e+10,3.4751982500e+10,3.4751982500e+10
2020-03-26 02:55:00,5.1944673011e+10,5.1944673011e+10,3.8620119020e+10,3.8620119020e+10
2020-03-26 03:00:00,4.5363549176e+10,4.5363549176e+10,3.8173852629e+10,3.8173852629e+10
2020-03-26 03:05:00,3.9192159994e+10,3.9192159994e+10,3.6868427419e+10,3.6868427419e+10
2020-03-26 03:10:00,3.9438278189e+10,3.9438278189e+10,4.2529820184e+10,4.2529820184e+10
2020-03-26 03:15:00,4.1356659049e+10,4.1356659049e+10,4.2569692030e+10,4.2569692030e+10
2020-03-26 03:20:00,3.9503082170e+10,3.9503082170e+10,4.0186063344e+10,4.0186063344e+10
2020-03-26 03:25:00,3.5572976905e+10,3.5572976905e+10,4.3809063400e+10,4.3809063400e+10
2020-03-26 03:30:00,2.9107332242e+10,2.9107332242e+10,4.1388068058e+10,4.1388068058e+10
2020-03-26 03:35:00,2.6578692450e+10,2.6578692450e+10,3.5055195787e+10,3.5055195787e+10
2020-03-26 03:40:00,3.9628355425e+10,3.9628355425e+10,3.7672212954e+10,3.7672212954e+10
2020-03-26 03:45:00,3.8848715926e+10,3.8848715926e+10,3.3121933228e+10,3.3121933228e+10
2020-03-26 03:50:00,3.7225897571e+10,3.7225897571e+10,3.8086851398e+10,3.8086851398e+10
2020-03-26 03:55:00,3.8874146998e+10,3.8874146998e+10,3.8275759909e+10,3.8275759909e+10
2020-03-26 04:00:00,4.5239733042e+10,4.5239733042e+10,4.0114174457e+10,4.0114174457e+10
2020-03-26 04:05:00,3.3219817487e+10,3.3219817487e+10,4.1453434459e+10,4.1453434459e+10
2020-03-26 04:10:00,3.1566361260e+10,3.1566361260e+10,3.7928709256e+10,3.7928709256e+10
2020-03-26 04:15:00,6.0658577304e+10,6.0658577304e+10,3.7372830881e+10,3.7372830881e+10
2020-03-26 04:20:00,4.5752094192e+10,4.5752094192e+10,3.9596358761e+10,3.9596358761e+10
2020-03-26 04:25:00,5.0451428846e+10,5.0451428846e+10,3.7682277130e+10,3.7682277130e+10
2020-03-26 04:30:00,4.7949674903e+10,4.7949674903e+10,3.6882749502e+10,3.6882749502e+10
2020-03-26 04:35:00,4.5847853017e+10,4.5847853017e+10,4.1043705143e+10,4.1043705143e+10
2020-03-26 04:40:00,4.2876800867e+10,4.2876800867e+10,3.8999779518e+10,3.8999779518e+10
2020-03-26 04:45:00,3.8274920878e+10,3.8274920878e+10,3.8343518016e+10,3.8343518016e+10
2020-03-26 04:50:00,4.1541126812e+10,4.1541126812e+10,3.8605957954e+10,3.8605957954e+10
2020-03-26 04:55:00,3.6694515105e+10,3.6694515105e+10,3.7530817154e+10,3.7530817154e+10
2020-03-26 05:00:00,3.5984944579e+10,3.5984944579e+10,4.4202750563e+10,4.4202750563e+10
2020-03-26 05:05:00,3.5123461315e+10,3.5123461315e+10,3.6167974183e+10,3.6167974183e+10
2020-03-26 05:10:00,3.8838258255e+10,3.8838258255e+10,3.7348719737e+10,3.7348719737e+10
2020-03-26 05:15:00,3.3933947207e+10,3.3933947207e+10,3.0020765777e+10,3.0020765777e+10
2020-03-26 05:20:00,3.1278121819e+10,3.1278121819e+10,3.5153480426e+10,3.5153480426e+10
2020-03-26 05:25:00,3.4830437037e+10,3.4830437037e+10,3.8899049261e+10,3.8899049261e+10
2020-03-26 05:30:00,3.4653795406e+10,3.4653795406e+10,3.3202126056e+10,3.3202126056e+10
2020-03-26 05:35:00,3.3559222261e+10,3.3559222261e+10,3.4829031822e+10,3.4829031822e+10
2020-03-26 05:40:00,2.6972815503e+10,2.6972815503e+10,3.4746463044e+10,3.4746463044e+10
2020-03-26 05:45:00,3.6114609850e+10,3.6114609850e+10,3.4109447749e+10,3.4109447749e+10
2020-03-26 05:50:00,4.0184347117e+10,4.0184347117e+10,3.6114703252e+10,3.6114703252e+10
2020-03-26 05:55:00,4.0445339230e+10,4.0445339230e+10,3.5948108275e+10,3.5948108275e+10
2020-03-26 06:00:00,3.4741438536e+10,3.4741438536e+10,3.5879249039e+10,3.5879249039e+10
2020-03-26 06:05:00,3.2864466453e+10,3.2864466453e+10,3.6413150358e+10,3.6413150358e+10
2020-03-26 06:10:00,3.5380951272e+10,3.5380951272e+10,4.0967668419e+10,4.0967668419e+10
2020-03-26 06:15:00,3.0737147181e+10,3.0737147181e+10,3.9731255819e+10,3.9731255819e+10
2020-03-26 06:20:00,3.2660106823e+10,3.2660106823e+10,4.2867717683e+10,4.2867717683e+10
2020-03-26 06:25:00,2.8901452227e+10,2.8901452227e+10,3.9959754877e+10,3.9959754877e+10
2020-03-26 06:30:00,3.0508269001e+10,3.0508269001e+10,3.5237236149e+10,3.5237236149e+10
2020-03-26 06:35:00,3.1054871201e+10,3.1054871201e+10,3.3343090276e+10,3.3343090276e+10
2020-03-26 06:40:00,3.2314273768e+10,3.2314273768e+10,3.5630333701e+10,3.5630333701e+10
2020-03-26 06:45:00,3.9038877688e+10,3.9038877688e+10,4.1849551900e+10,4.1849551900e+10
2020-03-26 06:50:00,2.9017132420e+10,2.9017132420e+10,3.7071442414e+10,3.7071442414e+10
2020-03-26 06:55:00,3.1336037377e+10,3.1336037377e+10,3.4540693850e+10,3.4540693850e+10
2020-03-26 07:00:00,3.4489679633e+10,3.4489679633e+10,3.2851462047e+10,3.2851462047e+10
2020-03-26 07:05:00,2.7497988067e+10,2.7497988067e+10,3.6163265795e+10,3.6163265795e+10
2020-03-26 07:10:00,2.7549710457e+10,2.7549710457e+10,4.3703659963e+10,4.3703659963e+10
2020-03-26 07:15:00,3.2859501029e+10,3.2859501029e+10,4.0145842887e+10,4.0145842887e+10
2020-03-26 07:20:00,3.2600554002e+10,3.2600554002e+10,4.7112998628e+10,4.7112998628e+10
2020-03-26 07:25:00,2.4221092449e+10,2.4221092449e+10,4.9358723263e+10,4.9358723263e+10
2020-03-26 07:30:00,2.8915208500e+10,2.8915208500e+10,5.0656415040e+10,5.0656415040e+10
2020-03-26 07:35:00,3.2804076709e+10,3.2804076709e+10,4.4988049409e+10,4.4988049409e+10
2020-03-26 07:40:00,3.1896208974e+10,3.1896208974e+10,4.4688971862e+10,4.4688971862e+10
2020-03-26 07:45:00,3.2914005041e+10,3.2914005041e+10,5.5288622891e+10,5.5288622891e+10
2020-03-26 07:50:00,3.1855520056e+10,3.1855520056e+10,5.5019263123e+10,5.5019263123e+10
2020-03-26 07:55:00,3.0244269300e+10,3.0244269300e+10,5.8363162769e+10,5.8363162769e+10
2020-03-26 08:00:00,4.1735791810e+10,4.1735791810e+10,5.7171445990e+10,5.7171445990e+10
2020-03-26 08:05:00,4.0046604764e+10,4.0046604764e+10,4.2066113395e+10,4.2066113395e+10
2020-03-26 08:10:00,3.8119346372e+10,3.8119346372e+10,4.0584596455e+10,4.0584596455e+10
2020-03-26 08:15:00,3.1606825573e+10,3.1606825573e+10,4.3789387165e+10,4.3789387165e+10
2020-03-26 08:20:00,2.8122782227e+10,2.8122782227e+10,4.5709470828e+10,4.5709470828e+10
2020-03-26 08:25:00,2.4717103153e+10,2.4717103153e+10,4.2595173323e+10,4.2595173323e+10
2020-03-26 08:30:00,2.5448831872e+10,2.5448831872e+10,4.6672250400e+10,4.6672250400e+10
2020-03-26 08:35:00,2.4954757924e+10,2.4954757924e+10,4.1582551494e+10,4.1582551494e+10
2020-03-26 08:40:00,2.5798638967e+10,2.5798638967e+10,5.5142832553e+10,5.5142832553e+10
2020-03-26 08:45:00,2.8560939435e+10,2.8560939435e+10,4.6652658218e+10,4.6652658218e+10
2020-03-26 08:50:00,2.5099917216e+10,2.5099917216e+10,5.8180769416e+10,5.8180769416e+10
2020-03-26 08:55:00,2.7755183478e+10,2.7755183478e+10,5.8512415105e+10,5.8512415105e+10
2020-03-26 09:00:00,2.8074300365e+10,2.8074300365e+10,6.3542839751e+10,6.3542839751e+10
2020-03-26 09:05:00,2.5628046624e+10,2.5628046624e+10,6.0441026587e+10,6.0441026587e+10
2020-03-26 09:10:00,2.6152134110e+10,2.6152134110e+10,5.7119270425e+10,5.7119270425e+10
2020-03-26 09:15:00,2.5634080897e+10,2.5634080897e+10,5.0825091454e+10,5.0825091454e+10
2020-03-26 09:20:00,3.2497463530e+10,3.2497463530e+10,5.4098740901e+10,5.4098740901e+10
2020-03-26 09:25:00,2.9008847350e+10,2.9008847350e+10,6.0657356612e+10,6.0657356612e+10
2020-03-26 09:30:00,2.6619211341e+10,2.6619211341e+10,5.8221432983e+10,5.8221432983e+10
2020-03-26 09:35:00,2.5558709815e+10,2.5558709815e+10,5.1251864344e+10,5.1251864344e+10
2020-03-26 09:40:00,2.7964456213e+10,2.7964456213e+10,5.0274244073e+10,5.0274244073e+10
2020-03-26 09:45:00,3.1661387471e+10,3.1661387471e+10,5.8780637427e+10,5.8780637427e+10
2020-03-26 09:50:00,3.6255059525e+10,3.6255059525e+10,5.4339653624e+10,5.4339653624e+10
2020-03-26 09:55:00,3.4801602005e+10,3.4801602005e+10,5.1261220488e+10,5.1261220488e+10
2020-03-26 10:00:00,3.5388423917e+10,3.5388423917e+10,4.9685397736e+10,4.9685397736e+10
2020-03-26 10:05:00,3.2098671080e+10,3.2098671080e+10,5.4651902570e+10,5.4651902570e+10
2020-03-26 10:10:00,3.0399032424e+10,3.0399032424e+10,5.8067466648e+10,5.8067466648e+10
2020-03-26 10:15:00,3.0527453421e+10,3.0527453421e+10,6.3540598041e+10,6.3540598041e+10
2020-03-26 10:20:00,3.1756183047e+10,3.1756183047e+10,5.1031184776e+10,5.1031184776e+10
2020-03-26 10:25:00,3.3990391078e+10,3.3990391078e+10,4.4660231395e+10,4.4660231395e+10
2020-03-26 10:30:00,2.9694665943e+10,2.9694665943e+10,5.7660530594e+10,5.7660530594e+10
2020-03-26 10:35:00,3.8269695477e+10,3.8269695477e+10,5.2560598703e+10,5.2560598703e+10
2020-03-26 10:40:00,3.2810823641e+10,3.2810823641e+10,5.9497760931e+10,5.9497760931e+10
2020-03-26 10:45:00,3.2233794437e+10,3.2233794437e+10,5.6330971921e+10,5.6330971921e+10
2020-03-26 10:50:00,3.3754643683e+10,3.3754643683e+10,5.7299570304e+10,5.7299570304e+10
2020-03-26 10:55:00,3.3493828682e+10,3.3493828682e+10,5.3490704420e+10,5.3490704420e+10
2020-03-26 11:00:00,3.9657921772e+10,3.9657921772e+10,5.6134217547e+10,5.6134217547e+10
2020-03-26 11:05:00,3.3507662486e+10,3.3507662486e+10,5.9372234663e+10,5.9372234663e+10
2020-03-26 11:10:00,3.7250869088e+10,3.7250869088e+10,5.5521303874e+10,5.5521303874e+10
2020-03-26 11:15:00,3.6324307960e+10,3.6324307960e+10,4.9536132810e+10,4.9536132810e+10
2020-03-26 11:20:00,3.7673423008e+10,3.7673423008e+10,5.3743097094e+10,5.3743097094e+10
2020-03-26 11:25:00,3.9463688847e+10,3.9463688847e+10,5.7352657850e+10,5.7352657850e+10
2020-03-26 11:30:00,3.9395216284e+10,3.9395216284e+10,5.3024325973e+10,5.3024325973e+10
2020-03-26 11:35:00,3.5957240538e+10,3.5957240538e+10,5.7261488205e+10,5.7261488205e+10
2020-03-26 11:40:00,3.3035141514e+10,3.3035141514e+10,5.1356139831e+10,5.1356139831e+10
2020-03-26 11:45:00,3.3687062892e+10,3.3687062892e+10,5.5270482915e+10,5.5270482915e+10
2020-03-26 11:50:00,3.5506321970e+10,3.5506321970e+10,5.3157463663e+10,5.3157463663e+10
2020-03-26 11:55:00,3.9131467306e+10,3.9131467306e+10,5.4103224347e+10,5.4103224347e+10
2020-03-26 12:00:00,3.9077390977e+10,3.9077390977e+10,5.4835830315e+10,5.4835830315e+10
2020-03-26 12:05:00,3.5088144495e+10,3.5088144495e+10,5.6733157038e+10,5.6733157038e+10
2020-03-26 12:10:00,3.4325513954e+10,3.4325513954e+10,6.0153148930e+10,6.0153148930e+10
2020-03-26 12:15:00,3.9523312948e+10,3.9523312948e+10,6.1438619737e+10,6.1438619737e+10
2020-03-26 12:20:00,4.3072677409e+10,4.3072677409e+10,6.0799274123e+10,6.0799274123e+10
2020-03-26 12:25:00,5.3630350024e+10,5.3630350024e+10,5.7564120691e+10,5.7564120691e+10
2020-03-26 12:30:00,5.6145031655e+10,5.6145031655e+10,5.3295401431e+10,5.3295401431e+10
2020-03-26 12:35:00,4.5997204824e+10,4.5997204824e+10,5.2360583105e+10,5.2360583105e+10
2020-03-26 12:40:00,4.1084250684e+10,4.1084250684e+10,5.9689954398e+10,5.9689954398e+10
2020-03-26 12:45:00,4.2732512648e+10,4.2732512648e+10,6.6393427712e+10,6.6393427712e+10
2020-03-26 12:50:00,4.8212746464e+10,4.8212746464e+10,5.4942915918e+10,5.4942915918e+10
2020-03-26 12:55:00,4.8635696050e+10,4.8635696050e+10,6.3183933690e+10,6.3183933690e+10
2020-03-26 13:00:00,4.5556399360e+10,4.5556399360e+10,6.6075675856e+10,6.6075675856e+10
2020-03-26 13:05:00,4.1070437536e+10,4.1070437536e+10,7.1038529837e+10,7.1038529837e+10
2020-03-26 13:10:00,4.7364475203e+10,4.7364475203e+10,7.7859090017e+10,7.7859090017e+10
2020-03-26 13:15:00,3.8007174139e+10,3.8007174139e+10,6.8389631782e+10,6.8389631782e+10
2020-03-26 13:20:00,3.9973358449e+10,3.9973358449e+10,7.4994691790e+10,7.4994691790e+10
2020-03-26 13:25:00,4.2015451280e+10,4.2015451280e+10,7.3867403404e+10,7.3867403404e+10
2020-03-26 13:30:00,3.7669747641e+10,3.7669747641e+10,7.6478053087e+10,7.6478053087e+10
2020-03-26 13:35:00,4.0830358348e+10,4.0830358348e+10,7.4421366950e+10,7.4421366950e+10
2020-03-26 13:40:00,4.0638625621e+10,4.0638625621e+10,7.2138819448e+10,7.2138819448e+10
2020-03-26 13:45:00,4.7954672834e+10,4.7954672834e+10,6.7865172722e+10,6.7865172722e+10
2020-03-26 13:50:00,5.8810505729e+10,5.8810505729e+10,6.7228062336e+10,6.7228062336e+10
2020-03-26 13:55:00,4.6826586910e+10,4.6826586910e+10,7.6505676659e+10,7.6505676659e+10
2020-03-26 14:00:00,4.8361837520e+10,4.8361837520e+10,6.9759830157e+10,6.9759830157e+10
2020-03-26 14:05:00,4.5083797065e+10,4.5083797065e+10,7.2344603633e+10,7.2344603633e+10
2020-03-26 14:10:00,4.3532045655e+10,4.3532045655e+10,7.3245112643e+10,7.3245112643e+10
2020-03-26 14:15:00,5.4729542469e+10,5.4729542469e+10,7.3258132377e+10,7.3258132377e+10
2020-03-26 14:20:00,5.0231658278e+10,5.0231658278e+10,9.6768914211e+10,9.6768914211e+10
2020-03-26 14:25:00,4.8581748649e+10,4.8581748649e+10,1.0405673891e+11,1.0405673891e+11
2020-03-26 14:30:00,4.1376573371e+10,4.1376573371e+10,1.0242660974e+11,1.0242660974e+11
2020-03-26 14:35:00,5.1360329648e+10,5.1360329648e+10,9.2333921736e+10,9.2333921736e+10
2020-03-26 14:40:00,5.4288980684e+10,5.4288980684e+10,7.4739082602e+10,7.4739082602e+10
2020-03-26 14:45:00,5.9105880539e+10,5.9105880539e+10,6.8284603647e+10,6.8284603647e+10
2020-03-26 14:50:00,5.5229478817e+10,5.5229478817e+10,7.9597969991e+10,7.9597969991e+10
2020-03-26 14:55:00,4.6367991215e+10,4.6367991215e+10,7.0983915356e+10,7.0983915356e+10
2020-03-26 15:00:00,4.1939964669e+10,4.1939964669e+10,6.5671584401e+10,6.5671584401e+10
2020-03-26 15:05:00,4.0305178458e+10,4.0305178458e+10,6.0638979121e+10,6.0638979121e+10
2020-03-26 15:10:00,3.9437813259e+10,3.9437813259e+10,6.1563147962e+10,6.1563147962e+10
2020-03-26 15:15:00,4.9405439859e+10,4.9405439859e+10,6.3976466346e+10,6.3976466346e+10
2020-03-26 15:20:00,5.0423767418e+10,5.0423767418e+10,6.7717600025e+10,6.7717600025e+10
2020-03-26 15:25:00,5.4135432440e+10,5.4135432440e+10,7.1476783550e+10,7.1476783550e+10
2020-03-26 15:30:00,4.0333467498e+10,4.0333467498e+10,6.9093812255e+10,6.9093812255e+10
2020-03-26 15:35:00,4.1863614223e+10,4.1863614223e+10,5.9670426900e+10,5.9670426900e+10
2020-03-26 15:40:00,4.2979133030e+10,4.2979133030e+10,5.9101914031e+10,5.9101914031e+10
2020-03-26 15:45:00,3.6225574256e+10,3.6225574256e+10,5.6406508859e+10,5.6406508859e+10
2020-03-26 15:50:00,3.7900264960e+10,3.7900264960e+10,5.0021812095e+10,5.0021812095e+10
2020-03-26 15:55:00,4.2843495826e+10,4.2843495826e+10,5.7417917772e+10,5.7417917772e+10
2020-03-26 16:00:00,3.9550215605e+10,3.9550215605e+10,5.6276915212e+10,5.6276915212e+10
2020-03-26 16:05:00,3.6438439288e+10,3.6438439288e+10,7.1406297904e+10,7.1406297904e+10
2020-03-26 16:10:00,3.1806862344e+10,3.1806862344e+10,8.3081821707e+10,8.3081821707e+10
2020-03-26 16:15:00,3.7418899363e+10,3.7418899363e+10,6.1820779356e+10,6.1820779356e+10
2020-03-26 16:20:00,3.7834124586e+10,3.7834124586e+10,5.5586294881e+10,5.5586294881e+10
2020-03-26 16:25:00,3.3479424945e+10,3.3479424945e+10,5.1365156856e+10,5.1365156856e+10
2020-03-26 16:30:00,3.2662064260e+10,3.2662064260e+10,5.3489824141e+10,5.3489824141e+10
2020-03-26 16:35:00,3.9732296972e+10,3.9732296972e+10,5.2883410889e+10,5.2883410889e+10
2020-03-26 16:40:00,4.0233814220e+10,4.0233814220e+10,5.1199082429e+10,5.1199082429e+10
2020-03-26 16:45:00,3.9430649662e+10,3.9430649662e+10,5.5022362000e+10,5.5022362000e+10
2020-03-26 16:50:00,3.6023187307e+10,3.6023187307e+10,4.6993149065e+10,4.6993149065e+10
2020-03-26 16:55:00,3.4227148560e+10,3.4227148560e+10,5.1368759512e+10,5.1368759512e+10
2020-03-26 17:00:00,2.9559986083e+10,2.9559986083e+10,5.5433143390e+10,5.5433143390e+10
2020-03-26 17:05:00,3.2554215826e+10,3.2554215826e+10,5.4882501196e+10,5.4882501196e+10
2020-03-26 17:10:00,2.8042066605e+10,2.8042066605e+10,4.4284235722e+10,4.4284235722e+10
2020-03-26 17:15:00,3.5099424582e+10,3.5099424582e+10,4.5826510874e+10,4.5826510874e+10
2020-03-26 17:20:00,3.2202656705e+10,3.2202656705e+10,5.4967481607e+10,5.4967481607e+10
2020-03-26 17:25:00,2.9221586090e+10,2.9221586090e+10,6.7322520534e+10,6.7322520534e+10
2020-03-26 17:30:00,3.0513434197e+10,3.0513434197e+10,7.1143081616e+10,7.1143081616e+10
2020-03-26 17:35:00,3.0717265231e+10,3.0717265231e+10,5.7614509254e+10,5.7614509254e+10
2020-03-26 17:40:00,3.4855008400e+10,3.4855008400e+10,6.2183590547e+10,6.2183590547e+10
