DATE,NLBE,NLBE_peak,BENL,BENL_peak
2020-03-17 01:40:00,5.2953926927e+05,5.2953926927e+05,5.5549461981e+05,5.5549461981e+05
2020-03-17 01:45:00,5.0690711147e+05,5.0690711147e+05,5.4690668338e+05,5.4690668338e+05
2020-03-17 01:50:00,5.1583764018e+05,5.1583764018e+05,6.3924557209e+05,6.3924557209e+05
2020-03-17 01:55:00,5.2085544187e+05,5.2085544187e+05,5.7098814907e+05,5.7098814907e+05
2020-03-17 02:00:00,5.2656371287e+05,5.2656371287e+05,5.7447069962e+05,5.7447069962e+05
2020-03-17 02:05:00,5.2705540366e+05,5.2705540366e+05,5.5061860464e+05,5.5061860464e+05
2020-03-17 02:10:00,5.2474900045e+05,5.2474900045e+05,6.4353268151e+05,6.4353268151e+05
2020-03-17 02:15:00,5.1262928819e+05,5.1262928819e+05,5.7210190626e+05,5.7210190626e+05
2020-03-17 02:20:00,5.1594688700e+05,5.1594688700e+05,6.4244461649e+05,6.4244461649e+05
2020-03-17 02:25:00,5.1274082166e+05,5.1274082166e+05,7.2030301381e+05,7.2030301381e+05
2020-03-17 02:30:00,5.1216630668e+05,5.1216630668e+05,6.3429310968e+05,6.3429310968e+05
2020-03-17 02:35:00,4.9931776766e+05,4.9931776766e+05,5.7612153394e+05,5.7612153394e+05
2020-03-17 02:40:00,5.1881247787e+05,5.1881247787e+05,6.4430827004e+05,6.4430827004e+05
2020-03-17 02:45:00,5.1727644013e+05,5.1727644013e+05,5.6624801950e+05,5.6624801950e+05
2020-03-17 02:50:00,5.0612640689e+05,5.0612640689e+05,5.5221836397e+05,5.5221836397e+05
2020-03-17 02:55:00,5.1207620453e+05,5.1207620453e+05,5.5938735493e+05,5.5938735493e+05
2020-03-17 03:00:00,5.2787268480e+05,5.2787268480e+05,5.7522783387e+05,5.7522783387e+05
2020-03-17 03:05:00,5.4879018427e+05,5.4879018427e+05,6.5718685973e+05,6.5718685973e+05
2020-03-17 03:10:00,5.1784081787e+05,5.1784081787e+05,6.3736267040e+05,6.3736267040e+05
2020-03-17 03:15:00,5.1434090923e+05,5.1434090923e+05,5.4020253264e+05,5.4020253264e+05
2020-03-17 03:20:00,5.1291196099e+05,5.1291196099e+05,5.5331171305e+05,5.5331171305e+05
2020-03-17 03:25:00,5.2079410347e+05,5.2079410347e+05,5.6486220782e+05,5.6486220782e+05
2020-03-17 03:30:00,5.1796192813e+05,5.1796192813e+05,5.5944347471e+05,5.5944347471e+05
2020-03-17 03:35:00,5.1052962070e+05,5.1052962070e+05,5.5141871902e+05,5.5141871902e+05
2020-03-17 03:40:00,5.3050796610e+05,5.3050796610e+05,7.3658435074e+05,7.3658435074e+05
2020-03-17 03:45:00,5.1727699889e+05,5.1727699889e+05,5.5781435588e+05,5.5781435588e+05
2020-03-17 03:50:00,5.1216953222e+05,5.1216953222e+05,5.4973815920e+05,5.4973815920e+05
