DATE,CHIT,CHIT_peak,ITCH,CHIT_peak
2020-03-15 09:15:00,1.8047902795e+10,1.8047902795e+10,4.0387780788e+10,4.0387780788e+10
2020-03-15 09:20:00,1.8744522862e+10,1.8744522862e+10,3.3608856319e+10,3.3608856319e+10
2020-03-15 09:25:00,1.9609977310e+10,1.9609977310e+10,3.3647830852e+10,3.3647830852e+10
2020-03-15 09:30:00,1.8119614687e+10,1.8119614687e+10,3.7100846316e+10,3.7100846316e+10
2020-03-15 09:35:00,1.9761173651e+10,1.9761173651e+10,3.9777848893e+10,3.9777848893e+10
2020-03-15 09:40:00,2.6009035140e+10,2.6009035140e+10,2.4629237273e+10,2.4629237273e+10
2020-03-15 09:45:00,2.2442172626e+10,2.2442172626e+10,3.0387415428e+10,3.0387415428e+10
2020-03-15 09:50:00,2.3354541341e+10,2.3354541341e+10,2.7172433760e+10,2.7172433760e+10
2020-03-15 09:55:00,2.6157013130e+10,2.6157013130e+10,2.3347678365e+10,2.3347678365e+10
2020-03-15 10:00:00,1.7634921462e+10,1.7634921462e+10,2.4549880126e+10,2.4549880126e+10
2020-03-15 10:05:00,1.7153539302e+10,1.7153539302e+10,2.6927098620e+10,2.6927098620e+10
2020-03-15 10:10:00,2.3786236129e+10,2.3786236129e+10,2.3184918903e+10,2.3184918903e+10
2020-03-15 10:15:00,1.6473292651e+10,1.6473292651e+10,2.5770184133e+10,2.5770184133e+10
2020-03-15 10:20:00,1.6241292491e+10,1.6241292491e+10,3.0368932856e+10,3.0368932856e+10
2020-03-15 10:25:00,1.7949665000e+10,1.7949665000e+10,2.8918084097e+10,2.8918084097e+10
2020-03-15 10:30:00,2.0658640242e+10,2.0658640242e+10,2.9424386787e+10,2.9424386787e+10
2020-03-15 10:35:00,1.7054283534e+10,1.7054283534e+10,3.2434388749e+10,3.2434388749e+10
2020-03-15 10:40:00,1.6234012569e+10,1.6234012569e+10,2.9676795131e+10,2.9676795131e+10
2020-03-15 10:45:00,1.7515505916e+10,1.7515505916e+10,2.7088466524e+10,2.7088466524e+10
2020-03-15 10:50:00,1.7833869117e+10,1.7833869117e+10,2.5785704476e+10,2.5785704476e+10
2020-03-15 10:55:00,1.6971870422e+10,1.6971870422e+10,2.6420894256e+10,2.6420894256e+10
2020-03-15 11:00:00,1.7754883176e+10,1.7754883176e+10,2.7178096008e+10,2.7178096008e+10
2020-03-15 11:05:00,1.6946375707e+10,1.6946375707e+10,3.0000076424e+10,3.0000076424e+10
2020-03-15 11:10:00,1.5497492128e+10,1.5497492128e+10,3.2514515630e+10,3.2514515630e+10
2020-03-15 11:15:00,1.6157394410e+10,1.6157394410e+10,2.8091039414e+10,2.8091039414e+10
2020-03-15 11:20:00,1.6254782832e+10,1.6254782832e+10,2.4320417532e+10,2.4320417532e+10
2020-03-15 11:25:00,1.8283611976e+10,1.8283611976e+10,3.1918999515e+10,3.1918999515e+10
2020-03-15 11:30:00,2.5660707235e+10,2.5660707235e+10,2.4248834075e+10,2.4248834075e+10
2020-03-15 11:35:00,2.2188475372e+10,2.2188475372e+10,2.2639070436e+10,2.2639070436e+10
2020-03-15 11:40:00,1.7919157095e+10,1.7919157095e+10,2.2064442890e+10,2.2064442890e+10
2020-03-15 11:45:00,1.7368492102e+10,1.7368492102e+10,2.2047029741e+10,2.2047029741e+10
2020-03-15 11:50:00,1.8397684655e+10,1.8397684655e+10,2.1856681501e+10,2.1856681501e+10
2020-03-15 11:55:00,1.8446825789e+10,1.8446825789e+10,2.1576359888e+10,2.1576359888e+10
2020-03-15 12:00:00,2.0952329165e+10,2.0952329165e+10,1.9646369029e+10,1.9646369029e+10
2020-03-15 12:05:00,2.2973408560e+10,2.2973408560e+10,2.5648414178e+10,2.5648414178e+10
2020-03-15 12:10:00,2.1362416407e+10,2.1362416407e+10,2.7251327543e+10,2.7251327543e+10
2020-03-15 12:15:00,1.9596775037e+10,1.9596775037e+10,2.1714253416e+10,2.1714253416e+10
2020-03-15 12:20:00,2.1171645523e+10,2.1171645523e+10,2.6376175418e+10,2.6376175418e+10
2020-03-15 12:25:00,2.2332212565e+10,2.2332212565e+10,2.5961268148e+10,2.5961268148e+10
2020-03-15 12:30:00,1.9434316900e+10,1.9434316900e+10,2.8451275765e+10,2.8451275765e+10
2020-03-15 12:35:00,2.2309487793e+10,2.2309487793e+10,3.2902562017e+10,3.2902562017e+10
2020-03-15 12:40:00,2.3455964143e+10,2.3455964143e+10,3.4734844376e+10,3.4734844376e+10
2020-03-15 12:45:00,2.3630015400e+10,2.3630015400e+10,3.7209604676e+10,3.7209604676e+10
2020-03-15 12:50:00,2.1812306398e+10,2.1812306398e+10,3.5326251299e+10,3.5326251299e+10
2020-03-15 12:55:00,2.0996273330e+10,2.0996273330e+10,2.7559155454e+10,2.7559155454e+10
2020-03-15 13:00:00,2.6767275556e+10,2.6767275556e+10,3.9715645194e+10,3.9715645194e+10
2020-03-15 13:05:00,1.9400202286e+10,1.9400202286e+10,3.3698572972e+10,3.3698572972e+10
2020-03-15 13:10:00,2.6838472298e+10,2.6838472298e+10,3.1177583478e+10,3.1177583478e+10
2020-03-15 13:15:00,2.8130725130e+10,2.8130725130e+10,3.3146267229e+10,3.3146267229e+10
2020-03-15 13:20:00,2.6183858195e+10,2.6183858195e+10,3.1844864418e+10,3.1844864418e+10
2020-03-15 13:25:00,2.6669437496e+10,2.6669437496e+10,2.8910726833e+10,2.8910726833e+10
2020-03-15 13:30:00,2.6706242042e+10,2.6706242042e+10,2.9159682253e+10,2.9159682253e+10
2020-03-15 13:35:00,2.1963936668e+10,2.1963936668e+10,3.1423021500e+10,3.1423021500e+10
2020-03-15 13:40:00,2.4855187182e+10,2.4855187182e+10,3.0471760009e+10,3.0471760009e+10
2020-03-15 13:45:00,2.4227763464e+10,2.4227763464e+10,2.9532422281e+10,2.9532422281e+10
2020-03-15 13:50:00,2.0850540133e+10,2.0850540133e+10,2.9745561406e+10,2.9745561406e+10
2020-03-15 13:55:00,2.7680290474e+10,2.7680290474e+10,2.9204926574e+10,2.9204926574e+10
2020-03-15 14:00:00,2.0801114607e+10,2.0801114607e+10,2.9415996176e+10,2.9415996176e+10
2020-03-15 14:05:00,2.9252721912e+10,2.9252721912e+10,2.7745535803e+10,2.7745535803e+10
2020-03-15 14:10:00,3.1127028909e+10,3.1127028909e+10,2.7984215419e+10,2.7984215419e+10
2020-03-15 14:15:00,2.6876736757e+10,2.6876736757e+10,3.1037076873e+10,3.1037076873e+10
2020-03-15 14:20:00,2.3249467656e+10,2.3249467656e+10,2.4591931439e+10,2.4591931439e+10
2020-03-15 14:25:00,2.9198092025e+10,2.9198092025e+10,2.6146340521e+10,2.6146340521e+10
2020-03-15 14:30:00,2.4577832794e+10,2.4577832794e+10,2.4903108368e+10,2.4903108368e+10
2020-03-15 14:35:00,2.5292809204e+10,2.5292809204e+10,2.7939797204e+10,2.7939797204e+10
2020-03-15 14:40:00,2.7750508941e+10,2.7750508941e+10,3.1721529870e+10,3.1721529870e+10
2020-03-15 14:45:00,2.7827709842e+10,2.7827709842e+10,3.2505647796e+10,3.2505647796e+10
2020-03-15 14:50:00,2.0240949383e+10,2.0240949383e+10,3.2045808439e+10,3.2045808439e+10
2020-03-15 14:55:00,2.6939397444e+10,2.6939397444e+10,3.2823060487e+10,3.2823060487e+10
2020-03-15 15:00:00,2.5707069528e+10,2.5707069528e+10,3.8360825380e+10,3.8360825380e+10
2020-03-15 15:05:00,2.4195990842e+10,2.4195990842e+10,4.1129341324e+10,4.1129341324e+10
2020-03-15 15:10:00,2.0326899126e+10,2.0326899126e+10,4.2931138380e+10,4.2931138380e+10
2020-03-15 15:15:00,2.1696405085e+10,2.1696405085e+10,4.3548090804e+10,4.3548090804e+10
2020-03-15 15:20:00,2.3299163453e+10,2.3299163453e+10,3.7483488406e+10,3.7483488406e+10
2020-03-15 15:25:00,2.0703295065e+10,2.0703295065e+10,3.4413896459e+10,3.4413896459e+10
2020-03-15 15:30:00,1.9912019264e+10,1.9912019264e+10,4.2576426386e+10,4.2576426386e+10
2020-03-15 15:35:00,1.9429572517e+10,1.9429572517e+10,4.1227098678e+10,4.1227098678e+10
2020-03-15 15:40:00,2.2981776500e+10,2.2981776500e+10,3.8208052142e+10,3.8208052142e+10
2020-03-15 15:45:00,2.4426733097e+10,2.4426733097e+10,3.7505704678e+10,3.7505704678e+10
2020-03-15 15:50:00,2.3829106231e+10,2.3829106231e+10,3.8835850300e+10,3.8835850300e+10
