DATE,IEUK,IEUK_peak,UKIE,IEUK_peak
2020-03-15 04:45:00,4.7125681050e+08,4.7125681050e+08,3.4277272503e+09,3.4277272503e+09
2020-03-15 04:50:00,4.6067678484e+08,4.6067678484e+08,3.5408599327e+09,3.5408599327e+09
2020-03-15 04:55:00,4.1609661682e+08,4.1609661682e+08,3.3454999855e+09,3.3454999855e+09
2020-03-15 05:00:00,4.9381515701e+08,4.9381515701e+08,3.3429521607e+09,3.3429521607e+09
2020-03-15 05:05:00,3.6184007186e+08,3.6184007186e+08,3.4679568780e+09,3.4679568780e+09
2020-03-15 05:10:00,4.2065884777e+08,4.2065884777e+08,3.6550709517e+09,3.6550709517e+09
2020-03-15 05:15:00,5.3994088425e+08,5.3994088425e+08,3.3996293827e+09,3.3996293827e+09
2020-03-15 05:20:00,4.3445185560e+08,4.3445185560e+08,3.3736049258e+09,3.3736049258e+09
2020-03-15 05:25:00,5.3739715359e+08,5.3739715359e+08,3.3829059977e+09,3.3829059977e+09
2020-03-15 05:30:00,4.8216790038e+08,4.8216790038e+08,3.4144020706e+09,3.4144020706e+09
2020-03-15 05:35:00,4.6161077377e+08,4.6161077377e+08,3.3969463967e+09,3.3969463967e+09
2020-03-15 05:40:00,4.8184595441e+08,4.8184595441e+08,3.6175100777e+09,3.6175100777e+09
2020-03-15 05:45:00,4.6398284611e+08,4.6398284611e+08,3.4326793526e+09,3.4326793526e+09
2020-03-15 05:50:00,4.2819449760e+08,4.2819449760e+08,3.3771934287e+09,3.3771934287e+09
2020-03-15 05:55:00,4.8198261576e+08,4.8198261576e+08,3.4819798906e+09,3.4819798906e+09
2020-03-15 06:00:00,4.0972495948e+08,4.0972495948e+08,3.3739847105e+09,3.3739847105e+09
2020-03-15 06:05:00,4.9150071941e+08,4.9150071941e+08,3.4569962904e+09,3.4569962904e+09
2020-03-15 06:10:00,4.6675199443e+08,4.6675199443e+08,3.3936289592e+09,3.3936289592e+09
2020-03-15 06:15:00,4.6269771723e+08,4.6269771723e+08,3.4330229193e+09,3.4330229193e+09
2020-03-15 06:20:00,4.7478515482e+08,4.7478515482e+08,3.9039438186e+09,3.9039438186e+09
2020-03-15 06:25:00,4.7810215759e+08,4.7810215759e+08,3.4451715627e+09,3.4451715627e+09
2020-03-15 06:30:00,4.4595343338e+08,4.4595343338e+08,3.4555940458e+09,3.4555940458e+09
2020-03-15 06:35:00,4.8353497999e+08,4.8353497999e+08,3.4565603601e+09,3.4565603601e+09
2020-03-15 06:40:00,5.2025236437e+08,5.2025236437e+08,3.4142223632e+09,3.4142223632e+09
2020-03-15 06:45:00,4.7697778303e+08,4.7697778303e+08,3.6022244093e+09,3.6022244093e+09
2020-03-15 06:50:00,5.0576653097e+08,5.0576653097e+08,3.4441786822e+09,3.4441786822e+09
