DATE,EEET,EEET_peak,ETEE,EEET_peak
2020-03-15 05:55:00,1.8172075011e+07,1.8172075011e+07,5.1771406163e+07,5.1771406163e+07
2020-03-15 06:00:00,2.4686318415e+07,2.4686318415e+07,1.3662593088e+08,1.3662593088e+08
2020-03-15 06:05:00,4.3384627582e+07,4.3384627582e+07,5.4684401042e+07,5.4684401042e+07
2020-03-15 06:10:00,3.2241042447e+07,3.2241042447e+07,5.7079714433e+07,5.7079714433e+07
2020-03-15 06:15:00,2.6136414244e+07,2.6136414244e+07,6.8770710375e+07,6.8770710375e+07
2020-03-15 06:20:00,2.9318607621e+07,2.9318607621e+07,6.3817291044e+07,6.3817291044e+07
2020-03-15 06:25:00,3.5227727156e+07,3.5227727156e+07,6.1671734814e+07,6.1671734814e+07
2020-03-15 06:30:00,1.6694060548e+07,1.6694060548e+07,5.5053455487e+07,5.5053455487e+07
2020-03-15 06:35:00,1.5988862223e+07,1.5988862223e+07,5.4764728660e+07,5.4764728660e+07
2020-03-15 06:40:00,1.2365048145e+07,1.2365048145e+07,5.7846641866e+07,5.7846641866e+07
2020-03-15 06:45:00,1.6851793038e+07,1.6851793038e+07,7.1689635841e+07,7.1689635841e+07
2020-03-15 06:50:00,1.4265548343e+07,1.4265548343e+07,6.9192743510e+07,6.9192743510e+07
2020-03-15 06:55:00,1.6224017027e+07,1.6224017027e+07,6.4411795347e+07,6.4411795347e+07
2020-03-15 07:00:00,1.5398168464e+07,1.5398168464e+07,6.7907097335e+07,6.7907097335e+07
2020-03-15 07:05:00,2.6023910580e+07,2.6023910580e+07,6.9657524506e+07,6.9657524506e+07
2020-03-15 07:10:00,2.5813463284e+07,2.5813463284e+07,7.5596192305e+07,7.5596192305e+07
2020-03-15 07:15:00,1.5446649978e+07,1.5446649978e+07,9.6669664593e+07,9.6669664593e+07
2020-03-15 07:20:00,1.2902295326e+07,1.2902295326e+07,8.7208187749e+07,8.7208187749e+07
2020-03-15 07:25:00,1.2889744553e+07,1.2889744553e+07,7.0066392124e+07,7.0066392124e+07
