DATE,PTUK,PTUK_peak,UKPT,PTUK_peak
2020-03-23 20:40:00,1.8496430687e+09,1.8496430687e+09,3.5017309623e+08,3.5017309623e+08
2020-03-23 20:45:00,1.1388322428e+09,1.1388322428e+09,2.7987951554e+08,2.7987951554e+08
2020-03-23 20:50:00,1.0824145476e+09,1.0824145476e+09,5.1529759991e+08,5.1529759991e+08
2020-03-23 20:55:00,1.1802909218e+09,1.1802909218e+09,5.0416902919e+08,5.0416902919e+08
2020-03-23 21:00:00,1.1666321130e+09,1.1666321130e+09,2.8052578954e+08,2.8052578954e+08
2020-03-23 21:05:00,1.1653157329e+09,1.1653157329e+09,3.4372670757e+08,3.4372670757e+08
2020-03-23 21:10:00,1.1277042448e+09,1.1277042448e+09,2.9612688994e+08,2.9612688994e+08
2020-03-23 21:15:00,1.1037930973e+09,1.1037930973e+09,2.4630420672e+08,2.4630420672e+08
2020-03-23 21:20:00,1.3585488596e+09,1.3585488596e+09,2.5357374834e+08,2.5357374834e+08
2020-03-23 21:25:00,1.2801972105e+09,1.2801972105e+09,2.6043196573e+08,2.6043196573e+08
2020-03-23 21:30:00,1.5763827283e+09,1.5763827283e+09,3.3861250869e+08,3.3861250869e+08
2020-03-23 21:35:00,1.4793128340e+09,1.4793128340e+09,2.8926547152e+08,2.8926547152e+08
2020-03-23 21:40:00,1.3945036283e+09,1.3945036283e+09,2.6009778634e+08,2.6009778634e+08
2020-03-23 21:45:00,2.5954491380e+09,2.5954491380e+09,2.9285351815e+08,2.9285351815e+08
2020-03-23 21:50:00,9.2380612645e+08,9.2380612645e+08,2.5552907326e+08,2.5552907326e+08
2020-03-23 21:55:00,9.4680965055e+08,9.4680965055e+08,2.4159385708e+08,2.4159385708e+08
2020-03-23 22:00:00,7.7817449929e+08,7.7817449929e+08,2.1728057608e+08,2.1728057608e+08
2020-03-23 22:05:00,7.4391127696e+08,7.4391127696e+08,2.6274343942e+08,2.6274343942e+08
2020-03-23 22:10:00,1.1045620016e+09,1.1045620016e+09,3.8903095707e+08,3.8903095707e+08
2020-03-23 22:15:00,1.2508990822e+09,1.2508990822e+09,3.8161719582e+08,3.8161719582e+08
2020-03-23 22:20:00,1.2905768157e+09,1.2905768157e+09,3.9883247810e+08,3.9883247810e+08
2020-03-23 22:25:00,1.9739125848e+09,1.9739125848e+09,3.4471221617e+08,3.4471221617e+08
2020-03-23 22:30:00,1.1921557534e+09,1.1921557534e+09,3.6682542501e+08,3.6682542501e+08
2020-03-23 22:35:00,1.5595288028e+09,1.5595288028e+09,3.4400218182e+08,3.4400218182e+08
2020-03-23 22:40:00,1.0625798046e+09,1.0625798046e+09,3.3842537626e+08,3.3842537626e+08
2020-03-23 22:45:00,8.2643399649e+08,8.2643399649e+08,3.3845916175e+08,3.3845916175e+08
2020-03-23 22:50:00,7.8204520858e+08,7.8204520858e+08,3.3679703011e+08,3.3679703011e+08
2020-03-23 22:55:00,9.2379300608e+08,9.2379300608e+08,3.0429846328e+08,3.0429846328e+08
2020-03-23 23:00:00,8.6850554655e+08,8.6850554655e+08,4.1598920502e+08,4.1598920502e+08
2020-03-23 23:05:00,8.5358555775e+08,8.5358555775e+08,6.6929136560e+08,6.6929136560e+08
2020-03-23 23:10:00,1.8385212700e+09,1.8385212700e+09,5.2083841748e+08,5.2083841748e+08
2020-03-23 23:15:00,2.0299754818e+09,2.0299754818e+09,4.4446988616e+08,4.4446988616e+08
2020-03-23 23:20:00,2.1643739874e+09,2.1643739874e+09,4.0192914598e+08,4.0192914598e+08
2020-03-23 23:25:00,1.9888366432e+09,1.9888366432e+09,2.6083877379e+08,2.6083877379e+08
2020-03-23 23:30:00,1.8250397579e+09,1.8250397579e+09,2.4566145088e+08,2.4566145088e+08
2020-03-23 23:35:00,1.2795595875e+09,1.2795595875e+09,2.7521781299e+08,2.7521781299e+08
