DATE,LNLV,LNLV_peak,LVLN,LNLV_peak
2020-03-15 04:05:00,3.6925026560e+05,3.6925026560e+05,3.3105171049e+06,3.3105171049e+06
2020-03-15 04:10:00,3.4492729653e+05,3.4492729653e+05,3.4775232480e+05,3.4775232480e+05
2020-03-15 04:15:00,2.9257962613e+05,2.9257962613e+05,3.0748936036e+05,3.0748936036e+05
2020-03-15 04:20:00,3.1767098453e+05,3.1767098453e+05,6.9543489351e+05,6.9543489351e+05
2020-03-15 04:25:00,3.5933750489e+05,3.5933750489e+05,1.5437685260e+06,1.5437685260e+06
2020-03-15 04:30:00,3.3609979344e+05,3.3609979344e+05,3.3815620788e+05,3.3815620788e+05
2020-03-15 04:35:00,3.0563870419e+05,3.0563870419e+05,3.2221697681e+05,3.2221697681e+05
2020-03-15 04:40:00,3.0637448833e+05,3.0637448833e+05,3.1913443291e+05,3.1913443291e+05
2020-03-15 04:45:00,2.9867271413e+05,2.9867271413e+05,3.1426030791e+05,3.1426030791e+05
2020-03-15 04:50:00,3.2768425120e+05,3.2768425120e+05,9.2006581262e+05,9.2006581262e+05
2020-03-15 04:55:00,3.2692115058e+05,3.2692115058e+05,1.2489183580e+06,1.2489183580e+06
2020-03-15 05:00:00,3.0534553298e+05,3.0534553298e+05,3.2843151342e+05,3.2843151342e+05
2020-03-15 05:05:00,3.3494368978e+05,3.3494368978e+05,3.3034428016e+06,3.3034428016e+06
2020-03-15 05:10:00,3.5479183733e+05,3.5479183733e+05,3.4573467253e+05,3.4573467253e+05
2020-03-15 05:15:00,3.1098817600e+05,3.1098817600e+05,3.2511159129e+05,3.2511159129e+05
2020-03-15 05:20:00,3.2193235680e+05,3.2193235680e+05,7.9099377849e+05,7.9099377849e+05
2020-03-15 05:25:00,3.2686568996e+05,3.2686568996e+05,1.3725300834e+06,1.3725300834e+06
2020-03-15 05:30:00,3.1119922951e+05,3.1119922951e+05,3.2860985600e+05,3.2860985600e+05
2020-03-15 05:35:00,3.0970909311e+05,3.0970909311e+05,3.2437323751e+05,3.2437323751e+05
2020-03-15 05:40:00,2.7584555712e+05,2.7584555712e+05,2.8080666073e+05,2.8080666073e+05
2020-03-15 05:45:00,2.9682805011e+05,2.9682805011e+05,3.0627223220e+05,3.0627223220e+05
2020-03-15 05:50:00,3.0830955556e+05,3.0830955556e+05,4.8744524970e+05,4.8744524970e+05
2020-03-15 05:55:00,3.3701463976e+05,3.3701463976e+05,1.6548544263e+06,1.6548544263e+06
2020-03-15 06:00:00,3.5666928760e+05,3.5666928760e+05,7.1233932677e+06,7.1233932677e+06
2020-03-15 06:05:00,5.5613883506e+05,5.5613883506e+05,2.1921966330e+07,2.1921966330e+07
2020-03-15 06:10:00,4.2132152924e+05,4.2132152924e+05,1.3973200293e+07,1.3973200293e+07
2020-03-15 06:15:00,4.0125396213e+05,4.0125396213e+05,1.1518047431e+07,1.1518047431e+07
2020-03-15 06:20:00,4.1149085991e+05,4.1149085991e+05,1.2087175262e+07,1.2087175262e+07
2020-03-15 06:25:00,4.1938548284e+05,4.1938548284e+05,1.2602733227e+07,1.2602733227e+07
2020-03-15 06:30:00,3.2123153049e+05,3.2123153049e+05,2.4432338185e+06,2.4432338185e+06
2020-03-15 06:35:00,3.0400767947e+05,3.0400767947e+05,3.2396505778e+05,3.2396505778e+05
2020-03-15 06:40:00,2.9857936551e+05,2.9857936551e+05,3.1211964676e+05,3.1211964676e+05
2020-03-15 06:45:00,3.0085674276e+05,3.0085674276e+05,3.0854289156e+05,3.0854289156e+05
2020-03-15 06:50:00,3.0750887236e+05,3.0750887236e+05,7.0654042062e+05,7.0654042062e+05
2020-03-15 06:55:00,3.2994176924e+05,3.2994176924e+05,1.4287335278e+06,1.4287335278e+06
2020-03-15 07:00:00,3.1975343982e+05,3.1975343982e+05,3.2762835040e+05,3.2762835040e+05
2020-03-15 07:05:00,3.1597470827e+05,3.1597470827e+05,3.2878468670e+06,3.2878468670e+06
2020-03-15 07:10:00,2.9806189316e+05,2.9806189316e+05,3.2440512889e+05,3.2440512889e+05
2020-03-15 07:15:00,2.9559937458e+05,2.9559937458e+05,3.0629050187e+05,3.0629050187e+05
2020-03-15 07:20:00,3.0722014276e+05,3.0722014276e+05,5.3881930329e+05,5.3881930329e+05
2020-03-15 07:25:00,3.3111704889e+05,3.3111704889e+05,1.5982341995e+06,1.5982341995e+06
2020-03-15 07:30:00,3.0080422036e+05,3.0080422036e+05,3.2291168986e+05,3.2291168986e+05
2020-03-15 07:35:00,3.0200057727e+05,3.0200057727e+05,3.1051568932e+05,3.1051568932e+05
2020-03-15 07:40:00,2.9691019508e+05,2.9691019508e+05,3.0952006367e+05,3.0952006367e+05
2020-03-15 07:45:00,2.9814026169e+05,2.9814026169e+05,3.0582679609e+05,3.0582679609e+05
2020-03-15 07:50:00,3.1844619691e+05,3.1844619691e+05,7.5443822301e+05,7.5443822301e+05
2020-03-15 07:55:00,3.2472364683e+05,3.2472364683e+05,1.3859286534e+06,1.3859286534e+06
2020-03-15 08:00:00,3.0580232657e+05,3.0580232657e+05,3.2176105141e+05,3.2176105141e+05
2020-03-15 08:05:00,3.2211431040e+05,3.2211431040e+05,3.2947932955e+06,3.2947932955e+06
2020-03-15 08:10:00,3.0632701547e+05,3.0632701547e+05,3.3641183911e+05,3.3641183911e+05
2020-03-15 08:15:00,2.9703829102e+05,2.9703829102e+05,3.0843258489e+05,3.0843258489e+05
2020-03-15 08:20:00,3.1216846827e+05,3.1216846827e+05,5.8607671004e+05,5.8607671004e+05
2020-03-15 08:25:00,3.3982199680e+05,3.3982199680e+05,1.5464957563e+06,1.5464957563e+06
2020-03-15 08:30:00,4.4533701960e+05,4.4533701960e+05,3.2289342624e+05,3.2289342624e+05
2020-03-15 08:35:00,3.0228227003e+05,3.0228227003e+05,3.1010451814e+05,3.1010451814e+05
2020-03-15 08:40:00,2.9674974415e+05,2.9674974415e+05,3.1003537561e+05,3.1003537561e+05
2020-03-15 08:45:00,3.0074877333e+05,3.0074877333e+05,3.0799793831e+05,3.0799793831e+05
2020-03-15 08:50:00,3.0506274880e+05,3.0506274880e+05,5.6365229387e+05,5.6365229387e+05
2020-03-15 08:55:00,3.3054193849e+05,3.3054193849e+05,1.5706051234e+06,1.5706051234e+06
2020-03-15 09:00:00,3.0603628493e+05,3.0603628493e+05,3.2216395906e+05,3.2216395906e+05
2020-03-15 09:05:00,3.2361220397e+05,3.2361220397e+05,3.2938110999e+06,3.2938110999e+06
2020-03-15 09:10:00,3.2018705320e+05,3.2018705320e+05,3.3186884548e+05,3.3186884548e+05
2020-03-15 09:15:00,3.1598314841e+05,3.1598314841e+05,3.0849627163e+05,3.0849627163e+05
2020-03-15 09:20:00,3.3122187286e+05,3.3122187286e+05,5.7774812006e+05,5.7774812006e+05
2020-03-15 09:25:00,3.4581371520e+05,3.4581371520e+05,1.5587269644e+06,1.5587269644e+06
2020-03-15 09:30:00,3.2494518153e+06,3.2494518153e+06,3.2176866507e+05,3.2176866507e+05
2020-03-15 09:35:00,1.2820200002e+07,1.2820200002e+07,3.1723182293e+05,3.1723182293e+05
2020-03-15 09:40:00,1.2919496412e+07,1.2919496412e+07,3.1782636800e+05,3.1782636800e+05
2020-03-15 09:45:00,1.0812199793e+07,1.0812199793e+07,3.1672370697e+05,3.1672370697e+05
2020-03-15 09:50:00,1.0344162782e+07,1.0344162782e+07,1.0328359111e+06,1.0328359111e+06
2020-03-15 09:55:00,9.5808221948e+06,9.5808221948e+06,1.6863949141e+06,1.6863949141e+06
2020-03-15 10:00:00,9.1304912974e+06,9.1304912974e+06,3.7311321413e+06,3.7311321413e+06
2020-03-15 10:05:00,8.7179743990e+06,8.7179743990e+06,6.6034507606e+06,6.6034507606e+06
2020-03-15 10:10:00,3.9517327517e+05,3.9517327517e+05,4.0657549990e+06,4.0657549990e+06
2020-03-15 10:15:00,3.3695898951e+05,3.3695898951e+05,4.5596729452e+06,4.5596729452e+06
2020-03-15 10:20:00,3.4829856142e+05,3.4829856142e+05,4.8378461161e+06,4.8378461161e+06
2020-03-15 10:25:00,3.7161600520e+05,3.7161600520e+05,6.2936068512e+06,6.2936068512e+06
2020-03-15 10:30:00,3.3746999149e+05,3.3746999149e+05,4.9309147316e+06,4.9309147316e+06
2020-03-15 10:35:00,3.4911513493e+05,3.4911513493e+05,4.5840425594e+06,4.5840425594e+06
2020-03-15 10:40:00,3.5058387008e+05,3.5058387008e+05,5.1376364604e+06,5.1376364604e+06
2020-03-15 10:45:00,3.5009565448e+05,3.5009565448e+05,5.5068156185e+06,5.5068156185e+06
2020-03-15 10:50:00,3.5940840942e+05,3.5940840942e+05,5.8541506642e+06,5.8541506642e+06
2020-03-15 10:55:00,3.7494113316e+05,3.7494113316e+05,6.9326469307e+06,6.9326469307e+06
2020-03-15 11:00:00,3.5424101049e+05,3.5424101049e+05,6.2166507513e+06,6.2166507513e+06
2020-03-15 11:05:00,3.7335617790e+05,3.7335617790e+05,8.7684145494e+06,8.7684145494e+06
2020-03-15 11:10:00,3.5277165549e+05,3.5277165549e+05,5.8834788644e+06,5.8834788644e+06
2020-03-15 11:15:00,3.3628357995e+05,3.3628357995e+05,4.6307324994e+06,4.6307324994e+06
