DATE,SIIT,SIIT_peak,ITSI,ITSI_peak
2020-03-26 03:10:00,6.1827522844e+09,6.1827522844e+09,1.0753449094e+10,1.0753449094e+10
2020-03-26 03:15:00,5.9909445752e+09,5.9909445752e+09,7.4527747117e+09,7.4527747117e+09
2020-03-26 03:20:00,5.7784190694e+09,5.7784190694e+09,8.8422498613e+09,8.8422498613e+09
2020-03-26 03:25:00,4.7926664413e+09,4.7926664413e+09,6.8259505159e+09,6.8259505159e+09
2020-03-26 03:30:00,4.7818291414e+09,4.7818291414e+09,5.5198648326e+09,5.5198648326e+09
2020-03-26 03:35:00,8.0256461267e+09,8.0256461267e+09,1.1278054897e+10,1.1278054897e+10
2020-03-26 03:40:00,6.1653893875e+09,6.1653893875e+09,1.0707996803e+10,1.0707996803e+10
2020-03-26 03:45:00,4.5374248902e+09,4.5374248902e+09,8.1156324767e+09,8.1156324767e+09
2020-03-26 03:50:00,5.6615729047e+09,5.6615729047e+09,6.3955205185e+09,6.3955205185e+09
2020-03-26 03:55:00,1.1677623595e+10,1.1677623595e+10,4.9537810492e+09,4.9537810492e+09
2020-03-26 04:00:00,1.4154551104e+10,1.4154551104e+10,3.9982674661e+09,3.9982674661e+09
2020-03-26 04:05:00,1.5459715635e+10,1.5459715635e+10,4.3729535356e+09,4.3729535356e+09
2020-03-26 04:10:00,6.8961813592e+09,6.8961813592e+09,3.5280130838e+09,3.5280130838e+09
2020-03-26 04:15:00,8.0557864518e+09,8.0557864518e+09,3.8904474502e+09,3.8904474502e+09
2020-03-26 04:20:00,5.3464724183e+09,5.3464724183e+09,3.2742659974e+09,3.2742659974e+09
2020-03-26 04:25:00,1.0367889305e+10,1.0367889305e+10,2.3245504285e+09,2.3245504285e+09
2020-03-26 04:30:00,8.9625412440e+09,8.9625412440e+09,3.4877804483e+09,3.4877804483e+09
2020-03-26 04:35:00,6.4281203057e+09,6.4281203057e+09,5.4942062582e+09,5.4942062582e+09
2020-03-26 04:40:00,5.6067247173e+09,5.6067247173e+09,8.4199629121e+09,8.4199629121e+09
2020-03-26 04:45:00,6.5367525374e+09,6.5367525374e+09,5.8461104560e+09,5.8461104560e+09
2020-03-26 04:50:00,5.5512454259e+09,5.5512454259e+09,4.7708652359e+09,4.7708652359e+09
2020-03-26 04:55:00,5.6730410945e+09,5.6730410945e+09,6.6585821630e+09,6.6585821630e+09
2020-03-26 05:00:00,1.3888545167e+10,1.3888545167e+10,8.5824976441e+09,8.5824976441e+09
2020-03-26 05:05:00,1.1030288794e+10,1.1030288794e+10,5.0625202552e+09,5.0625202552e+09
2020-03-26 05:10:00,6.5812385215e+09,6.5812385215e+09,6.2669498485e+09,6.2669498485e+09
