DATE,GRGC,GRGC_peak,GCGR,GCGR_peak
2020-03-25 06:55:00,4.1543135305e+09,4.1543135305e+09,2.8079431279e+09,2.8079431279e+09
2020-03-25 07:00:00,3.8527058925e+09,3.8527058925e+09,3.4619480526e+09,3.4619480526e+09
2020-03-25 07:05:00,4.3622300330e+09,4.3622300330e+09,3.1606596177e+09,3.1606596177e+09
2020-03-25 07:10:00,3.9087600807e+09,3.9087600807e+09,3.6403410922e+09,3.6403410922e+09
2020-03-25 07:15:00,4.4255143727e+09,4.4255143727e+09,2.2527679814e+09,2.2527679814e+09
2020-03-25 07:20:00,2.6348855417e+09,2.6348855417e+09,1.9932703944e+09,1.9932703944e+09
2020-03-25 07:25:00,4.3095667050e+09,4.3095667050e+09,2.8570975336e+09,2.8570975336e+09
2020-03-25 07:30:00,2.7311337401e+09,2.7311337401e+09,3.0059254413e+09,3.0059254413e+09
2020-03-25 07:35:00,3.2547380405e+09,3.2547380405e+09,2.3773376767e+09,2.3773376767e+09
2020-03-25 07:40:00,2.5276311849e+09,2.5276311849e+09,3.4768380572e+09,3.4768380572e+09
2020-03-25 07:45:00,2.6523560022e+09,2.6523560022e+09,3.8299487793e+09,3.8299487793e+09
2020-03-25 07:50:00,2.3114017338e+09,2.3114017338e+09,2.6326242091e+09,2.6326242091e+09
2020-03-25 07:55:00,2.4083571977e+09,2.4083571977e+09,2.2893964779e+09,2.2893964779e+09
2020-03-25 08:00:00,2.5612898463e+09,2.5612898463e+09,2.0642147350e+09,2.0642147350e+09
2020-03-25 08:05:00,2.8313900552e+09,2.8313900552e+09,2.2950194547e+09,2.2950194547e+09
2020-03-25 08:10:00,3.6402252547e+09,3.6402252547e+09,2.7202608080e+09,2.7202608080e+09
2020-03-25 08:15:00,3.2932234639e+09,3.2932234639e+09,2.3869221300e+09,2.3869221300e+09
2020-03-25 08:20:00,3.6674821287e+09,3.6674821287e+09,3.4641691040e+09,3.4641691040e+09
2020-03-25 08:25:00,4.4080367145e+09,4.4080367145e+09,2.5496971545e+09,2.5496971545e+09
2020-03-25 08:30:00,3.3304520410e+09,3.3304520410e+09,2.7611765328e+09,2.7611765328e+09
2020-03-25 08:35:00,3.8349283375e+09,3.8349283375e+09,3.1194651521e+09,3.1194651521e+09
2020-03-25 08:40:00,2.3482888403e+09,2.3482888403e+09,2.8828858416e+09,2.8828858416e+09
2020-03-25 08:45:00,3.2533939560e+09,3.2533939560e+09,3.3998001667e+09,3.3998001667e+09
2020-03-25 08:50:00,3.0207738024e+09,3.0207738024e+09,3.5386686726e+09,3.5386686726e+09
2020-03-25 08:55:00,3.9328047580e+09,3.9328047580e+09,3.2247327089e+09,3.2247327089e+09
2020-03-25 09:00:00,2.9890206379e+09,2.9890206379e+09,3.2024695706e+09,3.2024695706e+09
2020-03-25 09:05:00,3.9028728188e+09,3.9028728188e+09,2.2536949614e+09,2.2536949614e+09
2020-03-25 09:10:00,4.3398780047e+09,4.3398780047e+09,2.7767520820e+09,2.7767520820e+09
2020-03-25 09:15:00,3.9890016818e+09,3.9890016818e+09,2.2903160821e+09,2.2903160821e+09
2020-03-25 09:20:00,3.7045634613e+09,3.7045634613e+09,2.4521998059e+09,2.4521998059e+09
2020-03-25 09:25:00,4.4347603347e+09,4.4347603347e+09,2.7319748658e+09,2.7319748658e+09
2020-03-25 09:30:00,4.2114787343e+09,4.2114787343e+09,2.6079152923e+09,2.6079152923e+09
2020-03-25 09:35:00,5.5090921902e+09,5.5090921902e+09,2.0441056954e+09,2.0441056954e+09
2020-03-25 09:40:00,3.9997337384e+09,3.9997337384e+09,2.8459025929e+09,2.8459025929e+09
2020-03-25 09:45:00,4.5523550306e+09,4.5523550306e+09,2.9953028302e+09,2.9953028302e+09
2020-03-25 09:50:00,4.4154952379e+09,4.4154952379e+09,2.9731856031e+09,2.9731856031e+09
2020-03-25 09:55:00,5.1318450621e+09,5.1318450621e+09,2.2837948333e+09,2.2837948333e+09
2020-03-25 10:00:00,3.5163326730e+09,3.5163326730e+09,1.9877608988e+09,1.9877608988e+09
2020-03-25 10:05:00,3.6027944657e+09,3.6027944657e+09,1.7950096023e+09,1.7950096023e+09
2020-03-25 10:10:00,3.5795359463e+09,3.5795359463e+09,2.8726200559e+09,2.8726200559e+09
2020-03-25 10:15:00,4.1571736043e+09,4.1571736043e+09,3.3631404595e+09,3.3631404595e+09
2020-03-25 10:20:00,4.8142507386e+09,4.8142507386e+09,2.9205981870e+09,2.9205981870e+09
2020-03-25 10:25:00,3.9407520589e+09,3.9407520589e+09,2.6635133540e+09,2.6635133540e+09
2020-03-25 10:30:00,3.5645445558e+09,3.5645445558e+09,3.5894552382e+09,3.5894552382e+09
2020-03-25 10:35:00,3.6552268132e+09,3.6552268132e+09,3.1275240534e+09,3.1275240534e+09
2020-03-25 10:40:00,3.7832674314e+09,3.7832674314e+09,2.4148745827e+09,2.4148745827e+09
2020-03-25 10:45:00,3.9343701562e+09,3.9343701562e+09,2.3883678971e+09,2.3883678971e+09
2020-03-25 10:50:00,2.7061932170e+09,2.7061932170e+09,2.4637108561e+09,2.4637108561e+09
2020-03-25 10:55:00,4.5547544293e+09,4.5547544293e+09,2.7510058934e+09,2.7510058934e+09
2020-03-25 11:00:00,3.1176599147e+09,3.1176599147e+09,3.0066586002e+09,3.0066586002e+09
2020-03-25 11:05:00,3.6402257046e+09,3.6402257046e+09,2.9896270185e+09,2.9896270185e+09
2020-03-25 11:10:00,4.3087942423e+09,4.3087942423e+09,3.2840425041e+09,3.2840425041e+09
2020-03-25 11:15:00,3.3471312115e+09,3.3471312115e+09,3.8346100922e+09,3.8346100922e+09
2020-03-25 11:20:00,4.0083950452e+09,4.0083950452e+09,3.0353978293e+09,3.0353978293e+09
2020-03-25 11:25:00,4.2182781791e+09,4.2182781791e+09,2.6484164580e+09,2.6484164580e+09
2020-03-25 11:30:00,3.4885511358e+09,3.4885511358e+09,2.7792921556e+09,2.7792921556e+09
2020-03-25 11:35:00,4.5686528040e+09,4.5686528040e+09,2.2688368444e+09,2.2688368444e+09
2020-03-25 11:40:00,4.6680366437e+09,4.6680366437e+09,2.3490622485e+09,2.3490622485e+09
2020-03-25 11:45:00,4.9455297135e+09,4.9455297135e+09,2.8256169393e+09,2.8256169393e+09
2020-03-25 11:50:00,3.8944034145e+09,3.8944034145e+09,3.0619248737e+09,3.0619248737e+09
2020-03-25 11:55:00,4.5709589642e+09,4.5709589642e+09,3.3810486769e+09,3.3810486769e+09
2020-03-25 12:00:00,3.9950951978e+09,3.9950951978e+09,3.2118808675e+09,3.2118808675e+09
2020-03-25 12:05:00,4.1467659326e+09,4.1467659326e+09,3.0540367999e+09,3.0540367999e+09
2020-03-25 12:10:00,4.2652410224e+09,4.2652410224e+09,3.0231435470e+09,3.0231435470e+09
2020-03-25 12:15:00,4.1073294179e+09,4.1073294179e+09,2.5404630632e+09,2.5404630632e+09
2020-03-25 12:20:00,4.4141414859e+09,4.4141414859e+09,2.8186914958e+09,2.8186914958e+09
2020-03-25 12:25:00,4.2984740709e+09,4.2984740709e+09,2.4451271456e+09,2.4451271456e+09
2020-03-25 12:30:00,4.0230005944e+09,4.0230005944e+09,2.4834598203e+09,2.4834598203e+09
2020-03-25 12:35:00,3.8612631583e+09,3.8612631583e+09,2.5112389818e+09,2.5112389818e+09
2020-03-25 12:40:00,3.8419692273e+09,3.8419692273e+09,2.4700333116e+09,2.4700333116e+09
2020-03-25 12:45:00,3.8256787544e+09,3.8256787544e+09,2.8140985827e+09,2.8140985827e+09
2020-03-25 12:50:00,2.8168404439e+09,2.8168404439e+09,2.3198305872e+09,2.3198305872e+09
2020-03-25 12:55:00,3.4147233454e+09,3.4147233454e+09,3.1343774684e+09,3.1343774684e+09
2020-03-25 13:00:00,3.3415797167e+09,3.3415797167e+09,2.8208130666e+09,2.8208130666e+09
2020-03-25 13:05:00,3.7419142537e+09,3.7419142537e+09,3.0615539242e+09,3.0615539242e+09
2020-03-25 13:10:00,3.8793758501e+09,3.8793758501e+09,3.9447608090e+09,3.9447608090e+09
2020-03-25 13:15:00,4.0738623934e+09,4.0738623934e+09,3.2038575484e+09,3.2038575484e+09
2020-03-25 13:20:00,3.4313810889e+09,3.4313810889e+09,3.2265237559e+09,3.2265237559e+09
2020-03-25 13:25:00,3.9115936819e+09,3.9115936819e+09,3.7877365346e+09,3.7877365346e+09
2020-03-25 13:30:00,3.0760871924e+09,3.0760871924e+09,3.7186409484e+09,3.7186409484e+09
2020-03-25 13:35:00,3.6423035133e+09,3.6423035133e+09,3.3440063986e+09,3.3440063986e+09
2020-03-25 13:40:00,3.6023172586e+09,3.6023172586e+09,2.8181476285e+09,2.8181476285e+09
2020-03-25 13:45:00,3.8670413308e+09,3.8670413308e+09,3.3507617609e+09,3.3507617609e+09
2020-03-25 13:50:00,3.8870369486e+09,3.8870369486e+09,3.4818577790e+09,3.4818577790e+09
2020-03-25 13:55:00,3.3994450645e+09,3.3994450645e+09,3.8864674304e+09,3.8864674304e+09
2020-03-25 14:00:00,3.4575809400e+09,3.4575809400e+09,3.0590404871e+09,3.0590404871e+09
2020-03-25 14:05:00,3.9032938085e+09,3.9032938085e+09,3.3834164694e+09,3.3834164694e+09
2020-03-25 14:10:00,3.0154148823e+09,3.0154148823e+09,3.6597168939e+09,3.6597168939e+09
2020-03-25 14:15:00,2.3834981785e+09,2.3834981785e+09,2.7618175953e+09,2.7618175953e+09
2020-03-25 14:20:00,2.6524007000e+09,2.6524007000e+09,2.6957122161e+09,2.6957122161e+09
2020-03-25 14:25:00,2.5683787942e+09,2.5683787942e+09,3.2332141700e+09,3.2332141700e+09
2020-03-25 14:30:00,2.8197851116e+09,2.8197851116e+09,3.3141379906e+09,3.3141379906e+09
2020-03-25 14:35:00,3.0697823691e+09,3.0697823691e+09,2.8165442262e+09,2.8165442262e+09
2020-03-25 14:40:00,2.9353150762e+09,2.9353150762e+09,3.4418202619e+09,3.4418202619e+09
2020-03-25 14:45:00,3.9437577788e+09,3.9437577788e+09,3.7424862898e+09,3.7424862898e+09
2020-03-25 14:50:00,3.8538347332e+09,3.8538347332e+09,3.5853425446e+09,3.5853425446e+09
2020-03-25 14:55:00,3.9671002347e+09,3.9671002347e+09,3.2122681981e+09,3.2122681981e+09
2020-03-25 15:00:00,4.6439056596e+09,4.6439056596e+09,2.9727376247e+09,2.9727376247e+09
2020-03-25 15:05:00,3.2751941473e+09,3.2751941473e+09,3.2326419448e+09,3.2326419448e+09
2020-03-25 15:10:00,3.8361538623e+09,3.8361538623e+09,3.3809042645e+09,3.3809042645e+09
2020-03-25 15:15:00,3.6705215595e+09,3.6705215595e+09,3.0387580193e+09,3.0387580193e+09
2020-03-25 15:20:00,2.7431818802e+09,2.7431818802e+09,3.1830400246e+09,3.1830400246e+09
2020-03-25 15:25:00,3.3101995420e+09,3.3101995420e+09,2.4474282727e+09,2.4474282727e+09
2020-03-25 15:30:00,3.8446518820e+09,3.8446518820e+09,2.2701370409e+09,2.2701370409e+09
2020-03-25 15:35:00,3.4362310359e+09,3.4362310359e+09,2.5891822978e+09,2.5891822978e+09
2020-03-25 15:40:00,3.0538568060e+09,3.0538568060e+09,2.7888431204e+09,2.7888431204e+09
2020-03-25 15:45:00,4.1727969215e+09,4.1727969215e+09,2.6798225747e+09,2.6798225747e+09
2020-03-25 15:50:00,3.5752153578e+09,3.5752153578e+09,2.2961149451e+09,2.2961149451e+09
2020-03-25 15:55:00,4.3694962618e+09,4.3694962618e+09,3.1836491074e+09,3.1836491074e+09
2020-03-25 16:00:00,3.8450689645e+09,3.8450689645e+09,2.5014650361e+09,2.5014650361e+09
2020-03-25 16:05:00,4.0176659532e+09,4.0176659532e+09,2.6802119911e+09,2.6802119911e+09
2020-03-25 16:10:00,3.6290327965e+09,3.6290327965e+09,2.7372489747e+09,2.7372489747e+09
2020-03-25 16:15:00,2.7719775758e+09,2.7719775758e+09,2.3624684155e+09,2.3624684155e+09
2020-03-25 16:20:00,3.3513841552e+09,3.3513841552e+09,2.5953440184e+09,2.5953440184e+09
2020-03-25 16:25:00,3.3896120072e+09,3.3896120072e+09,2.8213114572e+09,2.8213114572e+09
2020-03-25 16:30:00,3.5675025443e+09,3.5675025443e+09,1.8138445480e+09,1.8138445480e+09
2020-03-25 16:35:00,3.1932992262e+09,3.1932992262e+09,2.5007394261e+09,2.5007394261e+09
2020-03-25 16:40:00,3.5069072997e+09,3.5069072997e+09,2.8456184125e+09,2.8456184125e+09
2020-03-25 16:45:00,3.8453016138e+09,3.8453016138e+09,2.6177322857e+09,2.6177322857e+09
2020-03-25 16:50:00,3.5554209677e+09,3.5554209677e+09,2.1451827049e+09,2.1451827049e+09
2020-03-25 16:55:00,4.2306723969e+09,4.2306723969e+09,2.2208345847e+09,2.2208345847e+09
2020-03-25 17:00:00,2.6928166956e+09,2.6928166956e+09,1.5631066252e+09,1.5631066252e+09
2020-03-25 17:05:00,4.5649934930e+09,4.5649934930e+09,2.6443229758e+09,2.6443229758e+09
2020-03-25 17:10:00,4.0729552146e+09,4.0729552146e+09,3.2518917085e+09,3.2518917085e+09
2020-03-25 17:15:00,4.4272319882e+09,4.4272319882e+09,3.3081287572e+09,3.3081287572e+09
2020-03-25 17:20:00,3.8527282803e+09,3.8527282803e+09,2.9682331935e+09,2.9682331935e+09
2020-03-25 17:25:00,3.4282285813e+09,3.4282285813e+09,2.9127970916e+09,2.9127970916e+09
2020-03-25 17:30:00,3.2688928160e+09,3.2688928160e+09,2.8954521655e+09,2.8954521655e+09
2020-03-25 17:35:00,4.1961815633e+09,4.1961815633e+09,2.3244529348e+09,2.3244529348e+09
2020-03-25 17:40:00,3.8373779263e+09,3.8373779263e+09,2.5371012524e+09,2.5371012524e+09
2020-03-25 17:45:00,3.2327586481e+09,3.2327586481e+09,2.5862114528e+09,2.5862114528e+09
2020-03-25 17:50:00,3.5817133752e+09,3.5817133752e+09,2.5115677369e+09,2.5115677369e+09
2020-03-25 17:55:00,4.7653986637e+09,4.7653986637e+09,2.3718771921e+09,2.3718771921e+09
2020-03-25 18:00:00,3.2281193711e+09,3.2281193711e+09,1.9461764710e+09,1.9461764710e+09
2020-03-25 18:05:00,3.6941685941e+09,3.6941685941e+09,2.3094299968e+09,2.3094299968e+09
2020-03-25 18:10:00,3.9710815813e+09,3.9710815813e+09,2.6650887256e+09,2.6650887256e+09
2020-03-25 18:15:00,3.5471861372e+09,3.5471861372e+09,2.3014063676e+09,2.3014063676e+09
2020-03-25 18:20:00,3.8384319466e+09,3.8384319466e+09,2.1472731092e+09,2.1472731092e+09
2020-03-25 18:25:00,4.3552626745e+09,4.3552626745e+09,2.0098501367e+09,2.0098501367e+09
2020-03-25 18:30:00,2.4843941615e+09,2.4843941615e+09,1.6718704348e+09,1.6718704348e+09
2020-03-25 18:35:00,3.9295748766e+09,3.9295748766e+09,2.1999049984e+09,2.1999049984e+09
2020-03-25 18:40:00,3.5771317449e+09,3.5771317449e+09,2.1521353369e+09,2.1521353369e+09
2020-03-25 18:45:00,4.2760617932e+09,4.2760617932e+09,1.7399466027e+09,1.7399466027e+09
2020-03-25 18:50:00,3.5135774068e+09,3.5135774068e+09,2.5236812180e+09,2.5236812180e+09
2020-03-25 18:55:00,3.4239544269e+09,3.4239544269e+09,2.1214066548e+09,2.1214066548e+09
2020-03-25 19:00:00,2.7364117238e+09,2.7364117238e+09,1.6164405962e+09,1.6164405962e+09
2020-03-25 19:05:00,3.6777141632e+09,3.6777141632e+09,2.0184984160e+09,2.0184984160e+09
2020-03-25 19:10:00,3.1670399664e+09,3.1670399664e+09,2.1886873945e+09,2.1886873945e+09
2020-03-25 19:15:00,2.7070165137e+09,2.7070165137e+09,2.3249908777e+09,2.3249908777e+09
2020-03-25 19:20:00,2.7620879112e+09,2.7620879112e+09,2.3362905781e+09,2.3362905781e+09
2020-03-25 19:25:00,3.1210962726e+09,3.1210962726e+09,2.1125501003e+09,2.1125501003e+09
2020-03-25 19:30:00,3.1544919520e+09,3.1544919520e+09,1.8817185295e+09,1.8817185295e+09
2020-03-25 19:35:00,3.9318278443e+09,3.9318278443e+09,1.8469166018e+09,1.8469166018e+09
2020-03-25 19:40:00,3.1170984208e+09,3.1170984208e+09,2.9427139456e+09,2.9427139456e+09
2020-03-25 19:45:00,3.5798754044e+09,3.5798754044e+09,2.4571252984e+09,2.4571252984e+09
2020-03-25 19:50:00,3.8545526271e+09,3.8545526271e+09,3.6261438877e+09,3.6261438877e+09
2020-03-25 19:55:00,3.3221124930e+09,3.3221124930e+09,2.3765577595e+09,2.3765577595e+09
2020-03-25 20:00:00,3.2316397848e+09,3.2316397848e+09,1.9129263196e+09,1.9129263196e+09
2020-03-25 20:05:00,3.0434198066e+09,3.0434198066e+09,2.2176801351e+09,2.2176801351e+09
2020-03-25 20:10:00,3.3438368989e+09,3.3438368989e+09,2.4027801073e+09,2.4027801073e+09
2020-03-25 20:15:00,3.5443763556e+09,3.5443763556e+09,1.9022649821e+09,1.9022649821e+09
2020-03-25 20:20:00,3.4329152264e+09,3.4329152264e+09,2.0066466496e+09,2.0066466496e+09
2020-03-25 20:25:00,3.2508376670e+09,3.2508376670e+09,1.7249885765e+09,1.7249885765e+09
2020-03-25 20:30:00,2.9130518443e+09,2.9130518443e+09,1.2137064663e+09,1.2137064663e+09
2020-03-25 20:35:00,3.6933987501e+09,3.6933987501e+09,1.9297160760e+09,1.9297160760e+09
2020-03-25 20:40:00,4.4098927570e+09,4.4098927570e+09,2.1892792746e+09,2.1892792746e+09
2020-03-25 20:45:00,3.7160516873e+09,3.7160516873e+09,2.0033615618e+09,2.0033615618e+09
2020-03-25 20:50:00,3.5617890034e+09,3.5617890034e+09,2.8025646610e+09,2.8025646610e+09
2020-03-25 20:55:00,4.9963291225e+09,4.9963291225e+09,2.8104548865e+09,2.8104548865e+09
2020-03-25 21:00:00,4.0405573139e+09,4.0405573139e+09,2.2281929476e+09,2.2281929476e+09
2020-03-25 21:05:00,4.2457493767e+09,4.2457493767e+09,2.1398616789e+09,2.1398616789e+09
2020-03-25 21:10:00,4.4506557444e+09,4.4506557444e+09,2.3336352070e+09,2.3336352070e+09
2020-03-25 21:15:00,4.9415396118e+09,4.9415396118e+09,2.4989814305e+09,2.4989814305e+09
2020-03-25 21:20:00,4.0903224066e+09,4.0903224066e+09,2.7584255962e+09,2.7584255962e+09
2020-03-25 21:25:00,4.4921754045e+09,4.4921754045e+09,2.4918849266e+09,2.4918849266e+09
2020-03-25 21:30:00,4.0210354233e+09,4.0210354233e+09,2.6460758777e+09,2.6460758777e+09
2020-03-25 21:35:00,3.5791199947e+09,3.5791199947e+09,2.9863264504e+09,2.9863264504e+09
