DATE,CHFN,CHFN_peak,FNCH,CHFN_peak
2020-03-15 05:10:00,8.2636476579e+09,8.2636476579e+09,9.2649109210e+09,9.2649109210e+09
2020-03-15 05:15:00,1.1054181489e+10,1.1054181489e+10,1.0810814411e+10,1.0810814411e+10
2020-03-15 05:20:00,1.0493729005e+10,1.0493729005e+10,1.1442648771e+10,1.1442648771e+10
2020-03-15 05:25:00,7.8539486331e+09,7.8539486331e+09,1.3287912581e+10,1.3287912581e+10
2020-03-15 05:30:00,6.8477054016e+09,6.8477054016e+09,1.9334941147e+10,1.9334941147e+10
2020-03-15 05:35:00,1.0532348144e+10,1.0532348144e+10,1.1093965605e+10,1.1093965605e+10
2020-03-15 05:40:00,9.9168233599e+09,9.9168233599e+09,1.0667898147e+10,1.0667898147e+10
2020-03-15 05:45:00,9.0661137692e+09,9.0661137692e+09,1.1640088779e+10,1.1640088779e+10
2020-03-15 05:50:00,1.0434530297e+10,1.0434530297e+10,8.9241906798e+09,8.9241906798e+09
2020-03-15 05:55:00,9.7036808966e+09,9.7036808966e+09,1.2495889559e+10,1.2495889559e+10
2020-03-15 06:00:00,9.6560787908e+09,9.6560787908e+09,8.1958156513e+09,8.1958156513e+09
2020-03-15 06:05:00,1.2054049489e+10,1.2054049489e+10,8.5409869042e+09,8.5409869042e+09
2020-03-15 06:10:00,8.2363269237e+09,8.2363269237e+09,8.5186421250e+09,8.5186421250e+09
2020-03-15 06:15:00,8.2882583295e+09,8.2882583295e+09,9.5974296954e+09,9.5974296954e+09
2020-03-15 06:20:00,1.1033493391e+10,1.1033493391e+10,9.9724557038e+09,9.9724557038e+09
2020-03-15 06:25:00,9.8431955544e+09,9.8431955544e+09,1.0069917447e+10,1.0069917447e+10
2020-03-15 06:30:00,1.2860084561e+10,1.2860084561e+10,1.0808897742e+10,1.0808897742e+10
2020-03-15 06:35:00,1.3237564121e+10,1.3237564121e+10,1.0229403287e+10,1.0229403287e+10
2020-03-15 06:40:00,1.0992299800e+10,1.0992299800e+10,1.1308960757e+10,1.1308960757e+10
2020-03-15 06:45:00,1.3922874429e+10,1.3922874429e+10,9.7646026896e+09,9.7646026896e+09
2020-03-15 06:50:00,1.0593181328e+10,1.0593181328e+10,9.6308685436e+09,9.6308685436e+09
2020-03-15 06:55:00,9.8587766502e+09,9.8587766502e+09,1.0309051779e+10,1.0309051779e+10
2020-03-15 07:00:00,8.9503262408e+09,8.9503262408e+09,1.1415170825e+10,1.1415170825e+10
2020-03-15 07:05:00,8.0900427004e+09,8.0900427004e+09,1.0009713466e+10,1.0009713466e+10
2020-03-15 07:10:00,8.6033239728e+09,8.6033239728e+09,9.3692340442e+09,9.3692340442e+09
2020-03-15 07:15:00,1.0840254550e+10,1.0840254550e+10,9.5755079264e+09,9.5755079264e+09
2020-03-15 07:20:00,1.1691355036e+10,1.1691355036e+10,1.0010403522e+10,1.0010403522e+10
2020-03-15 07:25:00,1.0575678696e+10,1.0575678696e+10,1.0626056569e+10,1.0626056569e+10
2020-03-15 07:30:00,8.8353197388e+09,8.8353197388e+09,1.1071291599e+10,1.1071291599e+10
2020-03-15 07:35:00,7.9404983001e+09,7.9404983001e+09,1.0377074065e+10,1.0377074065e+10
2020-03-15 07:40:00,8.2414497870e+09,8.2414497870e+09,1.0254992636e+10,1.0254992636e+10
2020-03-15 07:45:00,8.7407695511e+09,8.7407695511e+09,8.5288750346e+09,8.5288750346e+09
2020-03-15 07:50:00,8.7949608497e+09,8.7949608497e+09,8.2199138134e+09,8.2199138134e+09
2020-03-15 07:55:00,1.1260169667e+10,1.1260169667e+10,9.1653494496e+09,9.1653494496e+09
2020-03-15 08:00:00,1.0147436067e+10,1.0147436067e+10,9.6527000521e+09,9.6527000521e+09
2020-03-15 08:05:00,8.7499705842e+09,8.7499705842e+09,8.2791409730e+09,8.2791409730e+09
2020-03-15 08:10:00,8.1997865843e+09,8.1997865843e+09,9.3950834399e+09,9.3950834399e+09
2020-03-15 08:15:00,7.6386392207e+09,7.6386392207e+09,8.7418567573e+09,8.7418567573e+09
2020-03-15 08:20:00,7.5736807863e+09,7.5736807863e+09,8.2619857440e+09,8.2619857440e+09
2020-03-15 08:25:00,8.6464054152e+09,8.6464054152e+09,7.0808886978e+09,7.0808886978e+09
2020-03-15 08:30:00,7.9513108984e+09,7.9513108984e+09,1.0348733676e+10,1.0348733676e+10
2020-03-15 08:35:00,9.2465900787e+09,9.2465900787e+09,9.6306146626e+09,9.6306146626e+09
2020-03-15 08:40:00,8.1047107586e+09,8.1047107586e+09,8.5549147343e+09,8.5549147343e+09
2020-03-15 08:45:00,8.6604393391e+09,8.6604393391e+09,6.4883712193e+09,6.4883712193e+09
2020-03-15 08:50:00,8.9619259531e+09,8.9619259531e+09,7.5348324533e+09,7.5348324533e+09
2020-03-15 08:55:00,6.4019909427e+09,6.4019909427e+09,8.2597368250e+09,8.2597368250e+09
2020-03-15 09:00:00,6.2284105079e+09,6.2284105079e+09,8.0460466600e+09,8.0460466600e+09
2020-03-15 09:05:00,7.4841571446e+09,7.4841571446e+09,7.2842912722e+09,7.2842912722e+09
2020-03-15 09:10:00,8.7802238788e+09,8.7802238788e+09,8.2566395651e+09,8.2566395651e+09
