DATE,BGAT,BGAT_peak,ATBG,ATBG_peak
2020-03-22 06:15:00,6.8485734217e+09,6.8485734217e+09,2.5177988922e+09,2.5177988922e+09
2020-03-22 06:20:00,4.8048308726e+09,4.8048308726e+09,1.7620486874e+09,1.7620486874e+09
2020-03-22 06:25:00,3.9488708294e+09,3.9488708294e+09,1.6073906311e+09,1.6073906311e+09
2020-03-22 06:30:00,4.7466537904e+09,4.7466537904e+09,3.8736774037e+09,3.8736774037e+09
2020-03-22 06:35:00,7.7915624444e+09,7.7915624444e+09,3.1071076903e+09,3.1071076903e+09
2020-03-22 06:40:00,2.9993031450e+09,2.9993031450e+09,3.2017865086e+09,3.2017865086e+09
2020-03-22 06:45:00,1.0681230257e+10,1.0681230257e+10,1.9557112129e+09,1.9557112129e+09
2020-03-22 06:50:00,9.2898930025e+09,9.2898930025e+09,1.9490048766e+09,1.9490048766e+09
2020-03-22 06:55:00,9.9705420045e+09,9.9705420045e+09,1.3393405211e+09,1.3393405211e+09
2020-03-22 07:00:00,1.0616416272e+10,1.0616416272e+10,2.1273533232e+09,2.1273533232e+09
2020-03-22 07:05:00,9.7080646125e+09,9.7080646125e+09,3.4571862428e+09,3.4571862428e+09
2020-03-22 07:10:00,6.3915125043e+09,6.3915125043e+09,3.2010379175e+09,3.2010379175e+09
2020-03-22 07:15:00,4.3593493256e+09,4.3593493256e+09,3.4421146986e+09,3.4421146986e+09
2020-03-22 07:20:00,3.2062052581e+09,3.2062052581e+09,2.8778728119e+09,2.8778728119e+09
2020-03-22 07:25:00,2.1872400659e+09,2.1872400659e+09,4.9927941242e+09,4.9927941242e+09
2020-03-22 07:30:00,2.8503122402e+09,2.8503122402e+09,3.2370723847e+09,3.2370723847e+09
2020-03-22 07:35:00,2.4722305698e+09,2.4722305698e+09,3.8049859114e+09,3.8049859114e+09
2020-03-22 07:40:00,2.5079844615e+09,2.5079844615e+09,2.8932091737e+09,2.8932091737e+09
2020-03-22 07:45:00,2.1299665016e+09,2.1299665016e+09,2.4960515385e+09,2.4960515385e+09
2020-03-22 07:50:00,2.0018220886e+09,2.0018220886e+09,2.3039277825e+09,2.3039277825e+09
2020-03-22 07:55:00,2.2552732191e+09,2.2552732191e+09,3.2275969434e+09,3.2275969434e+09
2020-03-22 08:00:00,1.9490539275e+09,1.9490539275e+09,3.2491771291e+09,3.2491771291e+09
2020-03-22 08:05:00,2.1577556831e+09,2.1577556831e+09,2.4301564827e+09,2.4301564827e+09
2020-03-22 08:10:00,2.0337459272e+09,2.0337459272e+09,5.9064771115e+09,5.9064771115e+09
2020-03-22 08:15:00,2.1298283725e+09,2.1298283725e+09,3.5005370355e+09,3.5005370355e+09
2020-03-22 08:20:00,1.9210320142e+09,1.9210320142e+09,2.6651457972e+09,2.6651457972e+09
2020-03-22 08:25:00,1.9778837367e+09,1.9778837367e+09,1.9439499019e+09,1.9439499019e+09
2020-03-22 08:30:00,3.8646556443e+09,3.8646556443e+09,2.9275995144e+09,2.9275995144e+09
2020-03-22 08:35:00,7.8423890518e+09,7.8423890518e+09,2.1597811909e+09,2.1597811909e+09
2020-03-22 08:40:00,3.6016298640e+09,3.6016298640e+09,2.2679055811e+09,2.2679055811e+09
2020-03-22 08:45:00,7.5651510788e+09,7.5651510788e+09,2.1088078671e+09,2.1088078671e+09
2020-03-22 08:50:00,2.9521228599e+09,2.9521228599e+09,6.2088938198e+09,6.2088938198e+09
2020-03-22 08:55:00,3.6014864137e+09,3.6014864137e+09,5.7683310647e+09,5.7683310647e+09
2020-03-22 09:00:00,4.3714282202e+09,4.3714282202e+09,3.6889753989e+09,3.6889753989e+09
2020-03-22 09:05:00,5.9906568933e+09,5.9906568933e+09,2.2427962827e+09,2.2427962827e+09
2020-03-22 09:10:00,3.2195075876e+09,3.2195075876e+09,1.6323396437e+09,1.6323396437e+09
