DATE,GCAT,GCAT_peak,ATGC,ATGC_peak
2020-03-22 04:40:00,7.0789519117e+08,7.0789519117e+08,7.9370266549e+09,7.9370266549e+09
2020-03-22 04:45:00,6.6458217976e+08,6.6458217976e+08,7.8443444941e+09,7.8443444941e+09
2020-03-22 04:50:00,5.6709916491e+08,5.6709916491e+08,7.9979006759e+09,7.9979006759e+09
2020-03-22 04:55:00,5.5333126918e+08,5.5333126918e+08,6.0104880827e+09,6.0104880827e+09
2020-03-22 05:00:00,5.6828889099e+08,5.6828889099e+08,5.9079158165e+09,5.9079158165e+09
2020-03-22 05:05:00,5.8906323196e+08,5.8906323196e+08,7.8224884949e+09,7.8224884949e+09
2020-03-22 05:10:00,5.9146105982e+08,5.9146105982e+08,7.1450236700e+09,7.1450236700e+09
2020-03-22 05:15:00,5.9857082352e+08,5.9857082352e+08,7.7046704950e+09,7.7046704950e+09
2020-03-22 05:20:00,6.2637929189e+08,6.2637929189e+08,7.5690327662e+09,7.5690327662e+09
2020-03-22 05:25:00,6.4831359320e+08,6.4831359320e+08,8.3470670079e+09,8.3470670079e+09
2020-03-22 05:30:00,6.9357687309e+08,6.9357687309e+08,7.3571996714e+09,7.3571996714e+09
2020-03-22 05:35:00,7.4014311977e+08,7.4014311977e+08,9.2631511543e+09,9.2631511543e+09
2020-03-22 05:40:00,7.3735577359e+08,7.3735577359e+08,7.6639796571e+09,7.6639796571e+09
2020-03-22 05:45:00,8.9862679544e+08,8.9862679544e+08,7.4384633805e+09,7.4384633805e+09
2020-03-22 05:50:00,8.4932487040e+08,8.4932487040e+08,7.5159373131e+09,7.5159373131e+09
2020-03-22 05:55:00,8.7408668627e+08,8.7408668627e+08,6.6811611856e+09,6.6811611856e+09
2020-03-22 06:00:00,8.7658446913e+08,8.7658446913e+08,5.9751168699e+09,5.9751168699e+09
2020-03-22 06:05:00,8.8609727268e+08,8.8609727268e+08,8.1059980257e+09,8.1059980257e+09
2020-03-22 06:10:00,9.7616037508e+08,9.7616037508e+08,7.9532540511e+09,7.9532540511e+09
2020-03-22 06:15:00,9.9244438953e+08,9.9244438953e+08,7.3180444092e+09,7.3180444092e+09
2020-03-22 06:20:00,1.0060638565e+09,1.0060638565e+09,8.6927658301e+09,8.6927658301e+09
2020-03-22 06:25:00,9.7675079720e+08,9.7675079720e+08,7.9047706225e+09,7.9047706225e+09
2020-03-22 06:30:00,1.0434174316e+09,1.0434174316e+09,5.8269952057e+09,5.8269952057e+09
2020-03-22 06:35:00,1.0041713507e+09,1.0041713507e+09,8.3772712397e+09,8.3772712397e+09
2020-03-22 06:40:00,1.0444335366e+09,1.0444335366e+09,7.1389905825e+09,7.1389905825e+09
2020-03-22 06:45:00,1.0215713599e+09,1.0215713599e+09,6.6757565484e+09,6.6757565484e+09
2020-03-22 06:50:00,1.0584526635e+09,1.0584526635e+09,6.9134978673e+09,6.9134978673e+09
2020-03-22 06:55:00,9.7120399391e+08,9.7120399391e+08,7.6364109290e+09,7.6364109290e+09
2020-03-22 07:00:00,9.5499918487e+08,9.5499918487e+08,5.9031884177e+09,5.9031884177e+09
2020-03-22 07:05:00,1.0275425940e+09,1.0275425940e+09,9.1380051876e+09,9.1380051876e+09
2020-03-22 07:10:00,1.0955542538e+09,1.0955542538e+09,8.8999541144e+09,8.8999541144e+09
2020-03-22 07:15:00,1.1557804402e+09,1.1557804402e+09,7.2089799841e+09,7.2089799841e+09
2020-03-22 07:20:00,1.2422315472e+09,1.2422315472e+09,8.9588885669e+09,8.9588885669e+09
2020-03-22 07:25:00,1.3745996792e+09,1.3745996792e+09,7.2558953130e+09,7.2558953130e+09
2020-03-22 07:30:00,1.4327728883e+09,1.4327728883e+09,7.9340506346e+09,7.9340506346e+09
2020-03-22 07:35:00,1.4207021745e+09,1.4207021745e+09,9.0086314140e+09,9.0086314140e+09
2020-03-22 07:40:00,1.3658848828e+09,1.3658848828e+09,7.8500456401e+09,7.8500456401e+09
2020-03-22 07:45:00,1.4671649665e+09,1.4671649665e+09,6.8566787025e+09,6.8566787025e+09
2020-03-22 07:50:00,1.4956965120e+09,1.4956965120e+09,8.0042251557e+09,8.0042251557e+09
2020-03-22 07:55:00,1.4726895033e+09,1.4726895033e+09,8.2052512745e+09,8.2052512745e+09
2020-03-22 08:00:00,1.5786062080e+09,1.5786062080e+09,7.5498908915e+09,7.5498908915e+09
2020-03-22 08:05:00,1.5401483515e+09,1.5401483515e+09,7.7376862111e+09,7.7376862111e+09
2020-03-22 08:10:00,1.5836388404e+09,1.5836388404e+09,1.0560097665e+10,1.0560097665e+10
2020-03-22 08:15:00,1.5317710404e+09,1.5317710404e+09,8.5362136278e+09,8.5362136278e+09
2020-03-22 08:20:00,1.6343600499e+09,1.6343600499e+09,9.8598515876e+09,9.8598515876e+09
2020-03-22 08:25:00,1.6837361484e+09,1.6837361484e+09,7.8217992500e+09,7.8217992500e+09
2020-03-22 08:30:00,1.6558733842e+09,1.6558733842e+09,7.0053514646e+09,7.0053514646e+09
2020-03-22 08:35:00,1.7125695869e+09,1.7125695869e+09,8.4759692045e+09,8.4759692045e+09
2020-03-22 08:40:00,1.5666186255e+09,1.5666186255e+09,7.8819254206e+09,7.8819254206e+09
2020-03-22 08:45:00,1.5363546331e+09,1.5363546331e+09,6.4954687966e+09,6.4954687966e+09
2020-03-22 08:50:00,1.6257673249e+09,1.6257673249e+09,8.6242654301e+09,8.6242654301e+09
2020-03-22 08:55:00,1.6028344546e+09,1.6028344546e+09,9.2841288636e+09,9.2841288636e+09
2020-03-22 09:00:00,1.6377125363e+09,1.6377125363e+09,8.3434581660e+09,8.3434581660e+09
2020-03-22 09:05:00,1.8493669278e+09,1.8493669278e+09,8.7181907342e+09,8.7181907342e+09
