DATE,DEPL,DEPL_peak,PLDE,DEPL_peak
2020-03-15 05:35:00,1.3094919910e+09,1.3094919910e+09,1.6667397413e+09,1.6667397413e+09
2020-03-15 05:40:00,1.2774650816e+09,1.2774650816e+09,1.8746938284e+09,1.8746938284e+09
2020-03-15 05:45:00,1.3835738247e+09,1.3835738247e+09,1.8792901796e+09,1.8792901796e+09
2020-03-15 05:50:00,1.6022819480e+09,1.6022819480e+09,1.7596123640e+09,1.7596123640e+09
2020-03-15 05:55:00,1.5562216230e+09,1.5562216230e+09,2.7802200025e+09,2.7802200025e+09
2020-03-15 06:00:00,1.3828998612e+09,1.3828998612e+09,1.6253305587e+09,1.6253305587e+09
2020-03-15 06:05:00,1.5339850152e+09,1.5339850152e+09,1.6241573804e+09,1.6241573804e+09
2020-03-15 06:10:00,2.0274988931e+09,2.0274988931e+09,2.1317176358e+09,2.1317176358e+09
2020-03-15 06:15:00,2.6314364868e+09,2.6314364868e+09,1.6987879112e+09,1.6987879112e+09
2020-03-15 06:20:00,2.4242831141e+09,2.4242831141e+09,2.7110054861e+09,2.7110054861e+09
2020-03-15 06:25:00,1.4374363331e+09,1.4374363331e+09,2.2987601343e+09,2.2987601343e+09
2020-03-15 06:30:00,2.5613106074e+09,2.5613106074e+09,1.7976908191e+09,1.7976908191e+09
2020-03-15 06:35:00,2.3291302272e+09,2.3291302272e+09,1.7274674061e+09,1.7274674061e+09
2020-03-15 06:40:00,2.4615416564e+09,2.4615416564e+09,2.1752218867e+09,2.1752218867e+09
2020-03-15 06:45:00,2.2839471071e+09,2.2839471071e+09,2.0374735837e+09,2.0374735837e+09
2020-03-15 06:50:00,1.9747813485e+09,1.9747813485e+09,2.1320998771e+09,2.1320998771e+09
2020-03-15 06:55:00,2.1960824299e+09,2.1960824299e+09,2.0475157521e+09,2.0475157521e+09
2020-03-15 07:00:00,2.5281572147e+09,2.5281572147e+09,2.2344565421e+09,2.2344565421e+09
2020-03-15 07:05:00,2.0191972302e+09,2.0191972302e+09,2.6590843813e+09,2.6590843813e+09
2020-03-15 07:10:00,1.8528873383e+09,1.8528873383e+09,2.2998400542e+09,2.2998400542e+09
2020-03-15 07:15:00,1.7586646556e+09,1.7586646556e+09,2.6347961373e+09,2.6347961373e+09
2020-03-15 07:20:00,2.5198656085e+09,2.5198656085e+09,2.1763902956e+09,2.1763902956e+09
2020-03-15 07:25:00,2.8420055170e+09,2.8420055170e+09,2.4992560600e+09,2.4992560600e+09
2020-03-15 07:30:00,2.2345185698e+09,2.2345185698e+09,2.4904862953e+09,2.4904862953e+09
2020-03-15 07:35:00,2.0129474574e+09,2.0129474574e+09,2.3142162503e+09,2.3142162503e+09
2020-03-15 07:40:00,2.7105008700e+09,2.7105008700e+09,2.5546712015e+09,2.5546712015e+09
2020-03-15 07:45:00,3.2080127286e+09,3.2080127286e+09,3.0160968420e+09,3.0160968420e+09
2020-03-15 07:50:00,1.9198624426e+09,1.9198624426e+09,2.5198536961e+09,2.5198536961e+09
2020-03-15 07:55:00,1.4688937326e+09,1.4688937326e+09,4.1397289285e+09,4.1397289285e+09
2020-03-15 08:00:00,1.9501584944e+09,1.9501584944e+09,3.7625915511e+09,3.7625915511e+09
2020-03-15 08:05:00,1.8879475482e+09,1.8879475482e+09,4.3272370397e+09,4.3272370397e+09
2020-03-15 08:10:00,2.3500438996e+09,2.3500438996e+09,3.3467438855e+09,3.3467438855e+09
2020-03-15 08:15:00,2.5289253609e+09,2.5289253609e+09,2.8792009147e+09,2.8792009147e+09
2020-03-15 08:20:00,2.7033988188e+09,2.7033988188e+09,2.8117362301e+09,2.8117362301e+09
2020-03-15 08:25:00,3.4030923127e+09,3.4030923127e+09,2.9378832684e+09,2.9378832684e+09
2020-03-15 08:30:00,3.1675245948e+09,3.1675245948e+09,3.1989973679e+09,3.1989973679e+09
2020-03-15 08:35:00,3.2396247087e+09,3.2396247087e+09,3.6444799299e+09,3.6444799299e+09
2020-03-15 08:40:00,2.8904382076e+09,2.8904382076e+09,3.8406844911e+09,3.8406844911e+09
2020-03-15 08:45:00,2.9263398662e+09,2.9263398662e+09,3.1876420436e+09,3.1876420436e+09
2020-03-15 08:50:00,3.2360979711e+09,3.2360979711e+09,3.2601704656e+09,3.2601704656e+09
2020-03-15 08:55:00,2.2148525553e+09,2.2148525553e+09,3.1470778899e+09,3.1470778899e+09
2020-03-15 09:00:00,1.8309907970e+09,1.8309907970e+09,3.6449279025e+09,3.6449279025e+09
2020-03-15 09:05:00,2.0677584389e+09,2.0677584389e+09,3.5242978345e+09,3.5242978345e+09
2020-03-15 09:10:00,2.3082320809e+09,2.3082320809e+09,3.3686394708e+09,3.3686394708e+09
2020-03-15 09:15:00,3.0827378317e+09,3.0827378317e+09,3.6066323169e+09,3.6066323169e+09
2020-03-15 09:20:00,3.2176109188e+09,3.2176109188e+09,2.9846954958e+09,2.9846954958e+09
2020-03-15 09:25:00,2.5234455841e+09,2.5234455841e+09,3.8973609693e+09,3.8973609693e+09
2020-03-15 09:30:00,2.6748811538e+09,2.6748811538e+09,3.9896760836e+09,3.9896760836e+09
2020-03-15 09:35:00,3.5432550490e+09,3.5432550490e+09,3.6836906312e+09,3.6836906312e+09
2020-03-15 09:40:00,1.9320521006e+09,1.9320521006e+09,4.6160611294e+09,4.6160611294e+09
2020-03-15 09:45:00,2.4988912735e+09,2.4988912735e+09,3.7749377084e+09,3.7749377084e+09
2020-03-15 09:50:00,2.9415013425e+09,2.9415013425e+09,4.1058998027e+09,4.1058998027e+09
2020-03-15 09:55:00,2.3371105444e+09,2.3371105444e+09,3.5672397820e+09,3.5672397820e+09
2020-03-15 10:00:00,2.9248752845e+09,2.9248752845e+09,4.6182881185e+09,4.6182881185e+09
2020-03-15 10:05:00,3.4076474833e+09,3.4076474833e+09,4.3883487925e+09,4.3883487925e+09
2020-03-15 10:10:00,2.3876440983e+09,2.3876440983e+09,4.2104284143e+09,4.2104284143e+09
2020-03-15 10:15:00,4.0966246693e+09,4.0966246693e+09,4.3635215704e+09,4.3635215704e+09
2020-03-15 10:20:00,3.1155213688e+09,3.1155213688e+09,4.3676918798e+09,4.3676918798e+09
2020-03-15 10:25:00,2.1808140299e+09,2.1808140299e+09,4.6280248550e+09,4.6280248550e+09
2020-03-15 10:30:00,2.4366420443e+09,2.4366420443e+09,4.1541922252e+09,4.1541922252e+09
2020-03-15 10:35:00,2.2738709705e+09,2.2738709705e+09,4.0037953278e+09,4.0037953278e+09
2020-03-15 10:40:00,2.5736759001e+09,2.5736759001e+09,4.6629878326e+09,4.6629878326e+09
2020-03-15 10:45:00,2.5855530662e+09,2.5855530662e+09,4.6423350558e+09,4.6423350558e+09
2020-03-15 10:50:00,2.8890561658e+09,2.8890561658e+09,4.2816737057e+09,4.2816737057e+09
2020-03-15 10:55:00,2.7594260039e+09,2.7594260039e+09,5.5744660293e+09,5.5744660293e+09
2020-03-15 11:00:00,2.4447019935e+09,2.4447019935e+09,4.7514886733e+09,4.7514886733e+09
2020-03-15 11:05:00,2.6625107244e+09,2.6625107244e+09,4.7706006921e+09,4.7706006921e+09
2020-03-15 11:10:00,2.6839661646e+09,2.6839661646e+09,4.7296956071e+09,4.7296956071e+09
2020-03-15 11:15:00,2.4860529575e+09,2.4860529575e+09,5.6140725214e+09,5.6140725214e+09
2020-03-15 11:20:00,3.5352957729e+09,3.5352957729e+09,5.6672341975e+09,5.6672341975e+09
2020-03-15 11:25:00,3.4713691639e+09,3.4713691639e+09,5.6662323614e+09,5.6662323614e+09
2020-03-15 11:30:00,2.2056822736e+09,2.2056822736e+09,4.8794167863e+09,4.8794167863e+09
2020-03-15 11:35:00,3.2231628818e+09,3.2231628818e+09,5.4130973687e+09,5.4130973687e+09
2020-03-15 11:40:00,2.4582379137e+09,2.4582379137e+09,5.2536295639e+09,5.2536295639e+09
2020-03-15 11:45:00,3.0259767640e+09,3.0259767640e+09,5.2154396886e+09,5.2154396886e+09
2020-03-15 11:50:00,2.9941751222e+09,2.9941751222e+09,5.0824098804e+09,5.0824098804e+09
2020-03-15 11:55:00,2.8628757467e+09,2.8628757467e+09,6.2893508062e+09,6.2893508062e+09
2020-03-15 12:00:00,3.6076444344e+09,3.6076444344e+09,5.7960785962e+09,5.7960785962e+09
2020-03-15 12:05:00,3.1087372921e+09,3.1087372921e+09,6.1441958196e+09,6.1441958196e+09
2020-03-15 12:10:00,3.3649293563e+09,3.3649293563e+09,5.7097024362e+09,5.7097024362e+09
2020-03-15 12:15:00,3.2970853126e+09,3.2970853126e+09,6.6610592602e+09,6.6610592602e+09
2020-03-15 12:20:00,3.4598980435e+09,3.4598980435e+09,7.2154843079e+09,7.2154843079e+09
2020-03-15 12:25:00,3.3256277788e+09,3.3256277788e+09,5.6698951027e+09,5.6698951027e+09
2020-03-15 12:30:00,2.7789432892e+09,2.7789432892e+09,5.7399859046e+09,5.7399859046e+09
2020-03-15 12:35:00,7.9590497486e+09,7.9590497486e+09,5.6173300494e+09,5.6173300494e+09
2020-03-15 12:40:00,4.4002015452e+09,4.4002015452e+09,6.4803418635e+09,6.4803418635e+09
2020-03-15 12:45:00,3.8076581394e+09,3.8076581394e+09,6.7977053412e+09,6.7977053412e+09
2020-03-15 12:50:00,3.3619498681e+09,3.3619498681e+09,6.1474765896e+09,6.1474765896e+09
2020-03-15 12:55:00,2.8833209419e+09,2.8833209419e+09,5.6468261297e+09,5.6468261297e+09
2020-03-15 13:00:00,2.9121389009e+09,2.9121389009e+09,5.6619196498e+09,5.6619196498e+09
2020-03-15 13:05:00,2.7740333396e+09,2.7740333396e+09,5.1860118627e+09,5.1860118627e+09
