DATE,LTPL,LTPL_peak,PLLT,LTPL_peak
2020-03-22 04:05:00,2.0999324585e+08,2.0999324585e+08,3.9120071283e+08,3.9120071283e+08
2020-03-22 04:10:00,2.1912144390e+08,2.1912144390e+08,4.3842581284e+08,4.3842581284e+08
2020-03-22 04:15:00,1.8691139500e+08,1.8691139500e+08,3.8188616242e+08,3.8188616242e+08
2020-03-22 04:20:00,1.7011643232e+08,1.7011643232e+08,3.6603645699e+08,3.6603645699e+08
2020-03-22 04:25:00,1.9935907473e+08,1.9935907473e+08,3.4549946300e+08,3.4549946300e+08
2020-03-22 04:30:00,1.8913143408e+08,1.8913143408e+08,3.6207351404e+08,3.6207351404e+08
2020-03-22 04:35:00,2.0628988297e+08,2.0628988297e+08,2.8686308619e+08,2.8686308619e+08
2020-03-22 04:40:00,1.9882023567e+08,1.9882023567e+08,2.9911881682e+08,2.9911881682e+08
2020-03-22 04:45:00,1.9786667213e+08,1.9786667213e+08,3.0357179343e+08,3.0357179343e+08
2020-03-22 04:50:00,1.9277515389e+08,1.9277515389e+08,3.0609800031e+08,3.0609800031e+08
2020-03-22 04:55:00,1.9702840944e+08,1.9702840944e+08,3.7171415390e+08,3.7171415390e+08
2020-03-22 05:00:00,1.9895428019e+08,1.9895428019e+08,3.8363776987e+08,3.8363776987e+08
2020-03-22 05:05:00,2.0139037730e+08,2.0139037730e+08,3.2048450138e+08,3.2048450138e+08
2020-03-22 05:10:00,2.2159611173e+08,2.2159611173e+08,1.8857260658e+08,1.8857260658e+08
2020-03-22 05:15:00,2.3858694483e+08,2.3858694483e+08,3.4236724728e+08,3.4236724728e+08
2020-03-22 05:20:00,1.9254753343e+08,1.9254753343e+08,4.0098162712e+08,4.0098162712e+08
2020-03-22 05:25:00,1.9984158457e+08,1.9984158457e+08,3.5293034692e+08,3.5293034692e+08
2020-03-22 05:30:00,2.0662856767e+08,2.0662856767e+08,3.7702768793e+08,3.7702768793e+08
2020-03-22 05:35:00,2.0026566302e+08,2.0026566302e+08,4.8074898609e+08,4.8074898609e+08
2020-03-22 05:40:00,1.9193020259e+08,1.9193020259e+08,3.8896089291e+08,3.8896089291e+08
2020-03-22 05:45:00,2.3152084475e+08,2.3152084475e+08,3.4985968428e+08,3.4985968428e+08
2020-03-22 05:50:00,2.4713336377e+08,2.4713336377e+08,3.1513432021e+08,3.1513432021e+08
2020-03-22 05:55:00,3.2244163979e+08,3.2244163979e+08,2.7388028498e+08,2.7388028498e+08
2020-03-22 06:00:00,2.5019901538e+08,2.5019901538e+08,3.5037057628e+08,3.5037057628e+08
2020-03-22 06:05:00,3.5855027849e+08,3.5855027849e+08,5.9565836313e+08,5.9565836313e+08
2020-03-22 06:10:00,2.7164781104e+08,2.7164781104e+08,4.7587090242e+08,4.7587090242e+08
2020-03-22 06:15:00,2.7509105237e+08,2.7509105237e+08,4.9306130056e+08,4.9306130056e+08
2020-03-22 06:20:00,2.8919324946e+08,2.8919324946e+08,5.0275835939e+08,5.0275835939e+08
2020-03-22 06:25:00,3.5834969062e+08,3.5834969062e+08,6.1402842305e+08,6.1402842305e+08
2020-03-22 06:30:00,4.0456933710e+08,4.0456933710e+08,7.0756333478e+08,7.0756333478e+08
2020-03-22 06:35:00,2.8203385231e+08,2.8203385231e+08,5.8095067997e+08,5.8095067997e+08
2020-03-22 06:40:00,4.1985854591e+08,4.1985854591e+08,6.3847454460e+08,6.3847454460e+08
2020-03-22 06:45:00,3.8054071656e+08,3.8054071656e+08,5.9755913016e+08,5.9755913016e+08
2020-03-22 06:50:00,3.2660350554e+08,3.2660350554e+08,5.7153089280e+08,5.7153089280e+08
2020-03-22 06:55:00,3.3834689498e+08,3.3834689498e+08,5.3098297709e+08,5.3098297709e+08
2020-03-22 07:00:00,3.3826280978e+08,3.3826280978e+08,4.7170545353e+08,4.7170545353e+08
2020-03-22 07:05:00,3.8251277336e+08,3.8251277336e+08,5.2045103374e+08,5.2045103374e+08
2020-03-22 07:10:00,3.4153623936e+08,3.4153623936e+08,5.1949014488e+08,5.1949014488e+08
2020-03-22 07:15:00,3.6853553340e+08,3.6853553340e+08,5.2661802442e+08,5.2661802442e+08
2020-03-22 07:20:00,3.9281755935e+08,3.9281755935e+08,7.1231310978e+08,7.1231310978e+08
2020-03-22 07:25:00,3.6743500846e+08,3.6743500846e+08,7.4049957466e+08,7.4049957466e+08
2020-03-22 07:30:00,3.6983575621e+08,3.6983575621e+08,6.0065842909e+08,6.0065842909e+08
2020-03-22 07:35:00,4.0346315181e+08,4.0346315181e+08,6.0798735438e+08,6.0798735438e+08
2020-03-22 07:40:00,4.4784546161e+08,4.4784546161e+08,6.5603097021e+08,6.5603097021e+08
2020-03-22 07:45:00,4.4178339135e+08,4.4178339135e+08,5.9189799228e+08,5.9189799228e+08
2020-03-22 07:50:00,4.1030687819e+08,4.1030687819e+08,5.5203677743e+08,5.5203677743e+08
2020-03-22 07:55:00,4.7945327920e+08,4.7945327920e+08,5.2816735575e+08,5.2816735575e+08
2020-03-22 08:00:00,4.4872558201e+08,4.4872558201e+08,3.9587918377e+08,3.9587918377e+08
2020-03-22 08:05:00,4.5153052013e+08,4.5153052013e+08,4.0843956933e+08,4.0843956933e+08
2020-03-22 08:10:00,4.8331906525e+08,4.8331906525e+08,4.0605642900e+08,4.0605642900e+08
2020-03-22 08:15:00,4.8772196625e+08,4.8772196625e+08,3.1488133022e+08,3.1488133022e+08
2020-03-22 08:20:00,5.6132684902e+08,5.6132684902e+08,4.2315292642e+08,4.2315292642e+08
2020-03-22 08:25:00,5.3032381125e+08,5.3032381125e+08,4.6513536646e+08,4.6513536646e+08
2020-03-22 08:30:00,5.2018482589e+08,5.2018482589e+08,5.2052165845e+08,5.2052165845e+08
2020-03-22 08:35:00,5.0624593900e+08,5.0624593900e+08,5.6717574951e+08,5.6717574951e+08
2020-03-22 08:40:00,5.2548666498e+08,5.2548666498e+08,4.9366298949e+08,4.9366298949e+08
2020-03-22 08:45:00,6.1385282785e+08,6.1385282785e+08,5.6595324023e+08,5.6595324023e+08
2020-03-22 08:50:00,5.7188883645e+08,5.7188883645e+08,4.2758391763e+08,4.2758391763e+08
2020-03-22 08:55:00,7.2618832028e+08,7.2618832028e+08,3.9320764077e+08,3.9320764077e+08
2020-03-22 09:00:00,7.6426193067e+08,7.6426193067e+08,4.1100006955e+08,4.1100006955e+08
2020-03-22 09:05:00,7.1520935385e+08,7.1520935385e+08,4.3590572588e+08,4.3590572588e+08
2020-03-22 09:10:00,7.0303916488e+08,7.0303916488e+08,2.4144350383e+08,2.4144350383e+08
2020-03-22 09:15:00,7.2973711035e+08,7.2973711035e+08,2.2651426094e+08,2.2651426094e+08
2020-03-22 09:20:00,8.2212784438e+08,8.2212784438e+08,3.1226663219e+08,3.1226663219e+08
2020-03-22 09:25:00,8.2228755650e+08,8.2228755650e+08,3.7265204221e+08,3.7265204221e+08
2020-03-22 09:30:00,7.8623282012e+08,7.8623282012e+08,4.9618763189e+08,4.9618763189e+08
2020-03-22 09:35:00,6.8240762394e+08,6.8240762394e+08,5.7041418467e+08,5.7041418467e+08
2020-03-22 09:40:00,7.0204752713e+08,7.0204752713e+08,5.8171233896e+08,5.8171233896e+08
2020-03-22 09:45:00,6.9973345464e+08,6.9973345464e+08,5.7303187901e+08,5.7303187901e+08
2020-03-22 09:50:00,5.9437666022e+08,5.9437666022e+08,5.6004967683e+08,5.6004967683e+08
2020-03-22 09:55:00,6.1797967988e+08,6.1797967988e+08,4.8783197158e+08,4.8783197158e+08
2020-03-22 10:00:00,7.0879181631e+08,7.0879181631e+08,4.9907151399e+08,4.9907151399e+08
2020-03-22 10:05:00,7.6919166593e+08,7.6919166593e+08,4.4421339328e+08,4.4421339328e+08
2020-03-22 10:10:00,8.5552885639e+08,8.5552885639e+08,4.7993284902e+08,4.7993284902e+08
2020-03-22 10:15:00,7.9604898227e+08,7.9604898227e+08,4.2019670799e+08,4.2019670799e+08
2020-03-22 10:20:00,8.6002846353e+08,8.6002846353e+08,3.3823317166e+08,3.3823317166e+08
2020-03-22 10:25:00,7.3174629432e+08,7.3174629432e+08,4.1308628445e+08,4.1308628445e+08
2020-03-22 10:30:00,7.0638865424e+08,7.0638865424e+08,4.7959910933e+08,4.7959910933e+08
2020-03-22 10:35:00,7.0710956464e+08,7.0710956464e+08,4.9559782464e+08,4.9559782464e+08
2020-03-22 10:40:00,8.4590196584e+08,8.4590196584e+08,4.2165492212e+08,4.2165492212e+08
2020-03-22 10:45:00,7.6444847942e+08,7.6444847942e+08,4.1607818955e+08,4.1607818955e+08
2020-03-22 10:50:00,7.5492356454e+08,7.5492356454e+08,3.2182480270e+08,3.2182480270e+08
2020-03-22 10:55:00,7.6197789694e+08,7.6197789694e+08,4.3139016286e+08,4.3139016286e+08
2020-03-22 11:00:00,7.8166680651e+08,7.8166680651e+08,6.1080039219e+08,6.1080039219e+08
2020-03-22 11:05:00,7.4316771019e+08,7.4316771019e+08,6.7709590290e+08,6.7709590290e+08
2020-03-22 11:10:00,8.6405593775e+08,8.6405593775e+08,5.6255520656e+08,5.6255520656e+08
