DATE,CHFN,CHFN_peak,FNCH,CHFN_peak
2020-03-22 22:20:00,1.3408867562e+10,1.3408867562e+10,6.7152819349e+09,6.7152819349e+09
2020-03-22 22:25:00,1.1770629617e+10,1.1770629617e+10,6.6450517827e+09,6.6450517827e+09
2020-03-22 22:30:00,1.0942774632e+10,1.0942774632e+10,5.7066675228e+09,5.7066675228e+09
2020-03-22 22:35:00,1.0214104040e+10,1.0214104040e+10,5.2732186769e+09,5.2732186769e+09
2020-03-22 22:40:00,9.1344732481e+09,9.1344732481e+09,5.4864571380e+09,5.4864571380e+09
2020-03-22 22:45:00,8.1967083800e+09,8.1967083800e+09,4.8422525047e+09,4.8422525047e+09
2020-03-22 22:50:00,7.7848880584e+09,7.7848880584e+09,4.4365096455e+09,4.4365096455e+09
2020-03-22 22:55:00,8.4321940502e+09,8.4321940502e+09,4.8498524937e+09,4.8498524937e+09
2020-03-22 23:00:00,9.0945174006e+09,9.0945174006e+09,3.8584550696e+09,3.8584550696e+09
2020-03-22 23:05:00,1.0050969708e+10,1.0050969708e+10,3.6405014938e+09,3.6405014938e+09
2020-03-22 23:10:00,8.2063768916e+09,8.2063768916e+09,4.0201986640e+09,4.0201986640e+09
2020-03-22 23:15:00,7.4876733025e+09,7.4876733025e+09,4.3765379400e+09,4.3765379400e+09
2020-03-22 23:20:00,8.1887632806e+09,8.1887632806e+09,7.2995591523e+09,7.2995591523e+09
2020-03-22 23:25:00,8.3467527392e+09,8.3467527392e+09,6.2997463446e+09,6.2997463446e+09
2020-03-22 23:30:00,6.9992425694e+09,6.9992425694e+09,5.5725365243e+09,5.5725365243e+09
2020-03-22 23:35:00,7.9449806601e+09,7.9449806601e+09,4.5269986739e+09,4.5269986739e+09
2020-03-22 23:40:00,7.2311928040e+09,7.2311928040e+09,3.2086890226e+09,3.2086890226e+09
2020-03-22 23:45:00,7.0510624940e+09,7.0510624940e+09,3.8978337110e+09,3.8978337110e+09
2020-03-22 23:50:00,1.1814091455e+10,1.1814091455e+10,4.7841982692e+09,4.7841982692e+09
2020-03-22 23:55:00,1.3286112949e+10,1.3286112949e+10,4.6996157543e+09,4.6996157543e+09
2020-03-23 00:00:00,1.1239050945e+10,1.1239050945e+10,6.2499640369e+09,6.2499640369e+09
2020-03-23 00:05:00,9.1796172644e+09,9.1796172644e+09,5.9996834576e+09,5.9996834576e+09
2020-03-23 00:10:00,9.4614045937e+09,9.4614045937e+09,5.2128994003e+09,5.2128994003e+09
2020-03-23 00:15:00,9.8547218614e+09,9.8547218614e+09,4.5488357696e+09,4.5488357696e+09
2020-03-23 00:20:00,9.9854337983e+09,9.9854337983e+09,5.5154549184e+09,5.5154549184e+09
2020-03-23 00:25:00,9.0787815512e+09,9.0787815512e+09,4.3367282562e+09,4.3367282562e+09
2020-03-23 00:30:00,1.0179711224e+10,1.0179711224e+10,4.0372070186e+09,4.0372070186e+09
2020-03-23 00:35:00,1.8003897942e+10,1.8003897942e+10,4.3865197325e+09,4.3865197325e+09
2020-03-23 00:40:00,1.8162998762e+10,1.8162998762e+10,4.6288194690e+09,4.6288194690e+09
2020-03-23 00:45:00,9.3108033971e+09,9.3108033971e+09,6.4132091729e+09,6.4132091729e+09
2020-03-23 00:50:00,1.1932985258e+10,1.1932985258e+10,5.8362092914e+09,5.8362092914e+09
2020-03-23 00:55:00,1.0096181475e+10,1.0096181475e+10,4.3271679407e+09,4.3271679407e+09
2020-03-23 01:00:00,1.0000673323e+10,1.0000673323e+10,4.1702639852e+09,4.1702639852e+09
2020-03-23 01:05:00,8.8857326759e+09,8.8857326759e+09,3.7122763884e+09,3.7122763884e+09
2020-03-23 01:10:00,1.0291941038e+10,1.0291941038e+10,3.8895223704e+09,3.8895223704e+09
2020-03-23 01:15:00,1.0111302267e+10,1.0111302267e+10,4.3907883321e+09,4.3907883321e+09
2020-03-23 01:20:00,1.0461377762e+10,1.0461377762e+10,5.3540290595e+09,5.3540290595e+09
2020-03-23 01:25:00,1.2568880385e+10,1.2568880385e+10,4.1531965651e+09,4.1531965651e+09
2020-03-23 01:30:00,9.8060362599e+09,9.8060362599e+09,4.0669004746e+09,4.0669004746e+09
2020-03-23 01:35:00,1.6592669594e+10,1.6592669594e+10,5.5119099425e+09,5.5119099425e+09
2020-03-23 01:40:00,1.1829729941e+10,1.1829729941e+10,5.7295294046e+09,5.7295294046e+09
2020-03-23 01:45:00,1.0621431845e+10,1.0621431845e+10,4.5674693039e+09,4.5674693039e+09
2020-03-23 01:50:00,1.0635171671e+10,1.0635171671e+10,4.9086246204e+09,4.9086246204e+09
2020-03-23 01:55:00,9.3268374386e+09,9.3268374386e+09,4.7378593970e+09,4.7378593970e+09
2020-03-23 02:00:00,8.7964192589e+09,8.7964192589e+09,5.2985674301e+09,5.2985674301e+09
2020-03-23 02:05:00,9.6852510553e+09,9.6852510553e+09,3.5150417661e+09,3.5150417661e+09
2020-03-23 02:10:00,1.1203007913e+10,1.1203007913e+10,4.0062635235e+09,4.0062635235e+09
2020-03-23 02:15:00,1.1139506504e+10,1.1139506504e+10,4.1420753177e+09,4.1420753177e+09
2020-03-23 02:20:00,1.2167180914e+10,1.2167180914e+10,4.7067200437e+09,4.7067200437e+09
2020-03-23 02:25:00,1.0931781801e+10,1.0931781801e+10,4.0670710700e+09,4.0670710700e+09
2020-03-23 02:30:00,8.7770866659e+09,8.7770866659e+09,4.5757618968e+09,4.5757618968e+09
2020-03-23 02:35:00,8.8826872557e+09,8.8826872557e+09,5.3568716855e+09,5.3568716855e+09
2020-03-23 02:40:00,9.8269022449e+09,9.8269022449e+09,3.7821226387e+09,3.7821226387e+09
2020-03-23 02:45:00,1.0389190021e+10,1.0389190021e+10,3.3329823288e+09,3.3329823288e+09
2020-03-23 02:50:00,1.0311916784e+10,1.0311916784e+10,5.0742319729e+09,5.0742319729e+09
2020-03-23 02:55:00,1.1056115279e+10,1.1056115279e+10,3.9433538907e+09,3.9433538907e+09
2020-03-23 03:00:00,1.0590131842e+10,1.0590131842e+10,3.3918723038e+09,3.3918723038e+09
2020-03-23 03:05:00,9.6049504195e+09,9.6049504195e+09,3.3652678349e+09,3.3652678349e+09
2020-03-23 03:10:00,8.1926807757e+09,8.1926807757e+09,5.2321714609e+09,5.2321714609e+09
2020-03-23 03:15:00,9.9535720685e+09,9.9535720685e+09,6.8401448980e+09,6.8401448980e+09
2020-03-23 03:20:00,1.2891290702e+10,1.2891290702e+10,6.4931837300e+09,6.4931837300e+09
2020-03-23 03:25:00,1.1667379711e+10,1.1667379711e+10,6.3504835808e+09,6.3504835808e+09
2020-03-23 03:30:00,1.0588896797e+10,1.0588896797e+10,6.1806229682e+09,6.1806229682e+09
2020-03-23 03:35:00,1.8215017475e+10,1.8215017475e+10,6.1019261064e+09,6.1019261064e+09
2020-03-23 03:40:00,1.3204157128e+10,1.3204157128e+10,5.3766956494e+09,5.3766956494e+09
2020-03-23 03:45:00,1.1492236419e+10,1.1492236419e+10,4.0786045105e+09,4.0786045105e+09
2020-03-23 03:50:00,1.3092801496e+10,1.3092801496e+10,4.9889247312e+09,4.9889247312e+09
2020-03-23 03:55:00,1.3061524781e+10,1.3061524781e+10,4.8335270901e+09,4.8335270901e+09
2020-03-23 04:00:00,1.1635126674e+10,1.1635126674e+10,4.8540043041e+09,4.8540043041e+09
2020-03-23 04:05:00,1.1469060822e+10,1.1469060822e+10,3.6806220449e+09,3.6806220449e+09
2020-03-23 04:10:00,1.0612980311e+10,1.0612980311e+10,4.1648820050e+09,4.1648820050e+09
2020-03-23 04:15:00,9.9061563373e+09,9.9061563373e+09,4.3272201778e+09,4.3272201778e+09
2020-03-23 04:20:00,1.0225789789e+10,1.0225789789e+10,5.4971697466e+09,5.4971697466e+09
2020-03-23 04:25:00,1.2277110606e+10,1.2277110606e+10,4.4674540514e+09,4.4674540514e+09
2020-03-23 04:30:00,1.3131275180e+10,1.3131275180e+10,4.1627637863e+09,4.1627637863e+09
2020-03-23 04:35:00,1.8552318310e+10,1.8552318310e+10,4.0475153926e+09,4.0475153926e+09
2020-03-23 04:40:00,1.6838959512e+10,1.6838959512e+10,5.0674774529e+09,5.0674774529e+09
2020-03-23 04:45:00,1.0391611779e+10,1.0391611779e+10,4.0756856931e+09,4.0756856931e+09
2020-03-23 04:50:00,9.5035005834e+09,9.5035005834e+09,3.7938564549e+09,3.7938564549e+09
2020-03-23 04:55:00,9.4965191647e+09,9.4965191647e+09,4.4451809324e+09,4.4451809324e+09
2020-03-23 05:00:00,1.1299123714e+10,1.1299123714e+10,4.1211042677e+09,4.1211042677e+09
2020-03-23 05:05:00,1.2892186126e+10,1.2892186126e+10,3.4589819644e+09,3.4589819644e+09
2020-03-23 05:10:00,9.8316411784e+09,9.8316411784e+09,2.5072830515e+09,2.5072830515e+09
2020-03-23 05:15:00,9.6811829120e+09,9.6811829120e+09,3.2947425422e+09,3.2947425422e+09
2020-03-23 05:20:00,9.1944165343e+09,9.1944165343e+09,3.3067617161e+09,3.3067617161e+09
2020-03-23 05:25:00,1.0013953859e+10,1.0013953859e+10,2.4020418955e+09,2.4020418955e+09
2020-03-23 05:30:00,1.0500746088e+10,1.0500746088e+10,3.0836058812e+09,3.0836058812e+09
2020-03-23 05:35:00,1.2965532961e+10,1.2965532961e+10,4.3592959526e+09,4.3592959526e+09
2020-03-23 05:40:00,9.5188443132e+09,9.5188443132e+09,3.7386529107e+09,3.7386529107e+09
2020-03-23 05:45:00,8.5210873267e+09,8.5210873267e+09,3.4180269778e+09,3.4180269778e+09
2020-03-23 05:50:00,9.2551014527e+09,9.2551014527e+09,3.2292802803e+09,3.2292802803e+09
2020-03-23 05:55:00,1.3525479325e+10,1.3525479325e+10,3.9380135260e+09,3.9380135260e+09
2020-03-23 06:00:00,9.9502480998e+09,9.9502480998e+09,3.5897137065e+09,3.5897137065e+09
2020-03-23 06:05:00,1.0375328495e+10,1.0375328495e+10,4.4346422986e+09,4.4346422986e+09
2020-03-23 06:10:00,1.3320910775e+10,1.3320910775e+10,5.5684537106e+09,5.5684537106e+09
2020-03-23 06:15:00,1.0240153833e+10,1.0240153833e+10,5.8256845849e+09,5.8256845849e+09
2020-03-23 06:20:00,9.4598524286e+09,9.4598524286e+09,6.2027091975e+09,6.2027091975e+09
2020-03-23 06:25:00,9.0438001434e+09,9.0438001434e+09,6.1660640905e+09,6.1660640905e+09
2020-03-23 06:30:00,1.0392167047e+10,1.0392167047e+10,5.7995631924e+09,5.7995631924e+09
2020-03-23 06:35:00,8.8440037363e+09,8.8440037363e+09,6.3148990404e+09,6.3148990404e+09
2020-03-23 06:40:00,9.6390163093e+09,9.6390163093e+09,5.6549977014e+09,5.6549977014e+09
2020-03-23 06:45:00,1.8522519537e+10,1.8522519537e+10,5.7969438355e+09,5.7969438355e+09
2020-03-23 06:50:00,1.4593534119e+10,1.4593534119e+10,5.2201529093e+09,5.2201529093e+09
2020-03-23 06:55:00,1.2776048674e+10,1.2776048674e+10,4.8518043871e+09,4.8518043871e+09
