DATE,SKAT,SKAT_peak,ATSK,ATSK_peak
2020-03-15 04:25:00,1.8142102682e+09,1.8142102682e+09,1.2416506713e+09,1.2416506713e+09
2020-03-15 04:30:00,2.5530165362e+09,2.5530165362e+09,1.5285306066e+09,1.5285306066e+09
2020-03-15 04:35:00,6.4833078215e+09,6.4833078215e+09,2.1443368688e+09,2.1443368688e+09
2020-03-15 04:40:00,3.3022243171e+09,3.3022243171e+09,1.5033414142e+09,1.5033414142e+09
2020-03-15 04:45:00,6.1735097820e+09,6.1735097820e+09,1.4515595932e+09,1.4515595932e+09
2020-03-15 04:50:00,7.1296288967e+09,7.1296288967e+09,1.4570887010e+09,1.4570887010e+09
2020-03-15 04:55:00,4.1697210091e+09,4.1697210091e+09,1.1705118587e+09,1.1705118587e+09
2020-03-15 05:00:00,4.5430890331e+09,4.5430890331e+09,1.0403475806e+09,1.0403475806e+09
2020-03-15 05:05:00,3.0435505129e+09,3.0435505129e+09,9.3336834493e+08,9.3336834493e+08
2020-03-15 05:10:00,2.0622439550e+09,2.0622439550e+09,9.8777738439e+08,9.8777738439e+08
2020-03-15 05:15:00,1.8216685177e+09,1.8216685177e+09,9.4966076227e+08,9.4966076227e+08
2020-03-15 05:20:00,1.7632451142e+09,1.7632451142e+09,9.2365067408e+08,9.2365067408e+08
2020-03-15 05:25:00,1.3657951488e+09,1.3657951488e+09,8.6029256967e+08,8.6029256967e+08
2020-03-15 05:30:00,1.5099068730e+09,1.5099068730e+09,8.0346981666e+08,8.0346981666e+08
2020-03-15 05:35:00,1.6039224711e+09,1.6039224711e+09,7.6672634306e+08,7.6672634306e+08
2020-03-15 05:40:00,1.4808680033e+09,1.4808680033e+09,9.2807807525e+08,9.2807807525e+08
2020-03-15 05:45:00,1.6375142180e+09,1.6375142180e+09,8.8911718096e+08,8.8911718096e+08
2020-03-15 05:50:00,1.5036344034e+09,1.5036344034e+09,1.0099923482e+09,1.0099923482e+09
2020-03-15 05:55:00,1.5646876152e+09,1.5646876152e+09,9.5059299661e+08,9.5059299661e+08
2020-03-15 06:00:00,1.8149709483e+09,1.8149709483e+09,9.2174993519e+08,9.2174993519e+08
2020-03-15 06:05:00,2.8810451639e+09,2.8810451639e+09,8.5066073300e+08,8.5066073300e+08
2020-03-15 06:10:00,1.9246078481e+09,1.9246078481e+09,9.5376915405e+08,9.5376915405e+08
2020-03-15 06:15:00,2.1966166642e+09,2.1966166642e+09,8.4587369044e+08,8.4587369044e+08
2020-03-15 06:20:00,3.1408542724e+09,3.1408542724e+09,8.4882975115e+08,8.4882975115e+08
2020-03-15 06:25:00,2.2618994583e+09,2.2618994583e+09,9.3294763441e+08,9.3294763441e+08
2020-03-15 06:30:00,2.4632618480e+09,2.4632618480e+09,8.6860175568e+08,8.6860175568e+08
2020-03-15 06:35:00,2.9172166266e+09,2.9172166266e+09,8.6278037965e+08,8.6278037965e+08
2020-03-15 06:40:00,3.0804764997e+09,3.0804764997e+09,8.7846743720e+08,8.7846743720e+08
2020-03-15 06:45:00,2.2596315347e+09,2.2596315347e+09,8.9341034356e+08,8.9341034356e+08
2020-03-15 06:50:00,2.1870677805e+09,2.1870677805e+09,9.2683482031e+08,9.2683482031e+08
2020-03-15 06:55:00,1.7048178035e+09,1.7048178035e+09,1.0291734196e+09,1.0291734196e+09
2020-03-15 07:00:00,2.0273020721e+09,2.0273020721e+09,1.3045066063e+09,1.3045066063e+09
2020-03-15 07:05:00,1.5878051200e+09,1.5878051200e+09,1.3321347832e+09,1.3321347832e+09
2020-03-15 07:10:00,1.4116583861e+09,1.4116583861e+09,1.2002820492e+09,1.2002820492e+09
2020-03-15 07:15:00,1.2164832498e+09,1.2164832498e+09,1.0669566624e+09,1.0669566624e+09
2020-03-15 07:20:00,1.4148323046e+09,1.4148323046e+09,1.0604925892e+09,1.0604925892e+09
2020-03-15 07:25:00,1.7322194242e+09,1.7322194242e+09,1.1237162425e+09,1.1237162425e+09
2020-03-15 07:30:00,1.6158651421e+09,1.6158651421e+09,1.2060208936e+09,1.2060208936e+09
2020-03-15 07:35:00,1.5482734070e+09,1.5482734070e+09,1.3183323790e+09,1.3183323790e+09
2020-03-15 07:40:00,1.1877932363e+09,1.1877932363e+09,1.0586685704e+09,1.0586685704e+09
2020-03-15 07:45:00,9.3147488832e+08,9.3147488832e+08,9.8374406339e+08,9.8374406339e+08
2020-03-15 07:50:00,9.3708355155e+08,9.3708355155e+08,9.3885404798e+08,9.3885404798e+08
2020-03-15 07:55:00,1.1865018465e+09,1.1865018465e+09,8.9308852080e+08,8.9308852080e+08
2020-03-15 08:00:00,1.2611897647e+09,1.2611897647e+09,9.4386282128e+08,9.4386282128e+08
2020-03-15 08:05:00,1.1160946179e+09,1.1160946179e+09,9.1374288971e+08,9.1374288971e+08
2020-03-15 08:10:00,1.1986091929e+09,1.1986091929e+09,8.5888891677e+08,8.5888891677e+08
2020-03-15 08:15:00,1.2123769535e+09,1.2123769535e+09,7.9754997279e+08,7.9754997279e+08
2020-03-15 08:20:00,1.3131278917e+09,1.3131278917e+09,8.1699462665e+08,8.1699462665e+08
2020-03-15 08:25:00,1.5172799991e+09,1.5172799991e+09,7.7286427735e+08,7.7286427735e+08
2020-03-15 08:30:00,1.8768778493e+09,1.8768778493e+09,7.5619186268e+08,7.5619186268e+08
2020-03-15 08:35:00,2.2628081264e+09,2.2628081264e+09,7.0508896197e+08,7.0508896197e+08
2020-03-15 08:40:00,2.4126197026e+09,2.4126197026e+09,6.9395438261e+08,6.9395438261e+08
2020-03-15 08:45:00,3.7575913383e+09,3.7575913383e+09,7.4335023681e+08,7.4335023681e+08
2020-03-15 08:50:00,3.0015845742e+09,3.0015845742e+09,6.7983493172e+08,6.7983493172e+08
2020-03-15 08:55:00,3.1824740800e+09,3.1824740800e+09,6.8450981568e+08,6.8450981568e+08
2020-03-15 09:00:00,3.5561576456e+09,3.5561576456e+09,7.0657868494e+08,7.0657868494e+08
2020-03-15 09:05:00,4.0721326868e+09,4.0721326868e+09,6.4044952345e+08,6.4044952345e+08
2020-03-15 09:10:00,3.8369114491e+09,3.8369114491e+09,7.8092377660e+08,7.8092377660e+08
2020-03-15 09:15:00,3.8179821452e+09,3.8179821452e+09,7.0169320552e+08,7.0169320552e+08
2020-03-15 09:20:00,5.3960512785e+09,5.3960512785e+09,7.5257733804e+08,7.5257733804e+08
2020-03-15 09:25:00,4.6270417149e+09,4.6270417149e+09,7.1682262897e+08,7.1682262897e+08
2020-03-15 09:30:00,3.7108145999e+09,3.7108145999e+09,8.4168334976e+08,8.4168334976e+08
2020-03-15 09:35:00,2.8055187524e+09,2.8055187524e+09,1.2894806548e+09,1.2894806548e+09
2020-03-15 09:40:00,2.7438716729e+09,2.7438716729e+09,1.4576020816e+09,1.4576020816e+09
2020-03-15 09:45:00,2.6338657174e+09,2.6338657174e+09,2.2537327061e+09,2.2537327061e+09
2020-03-15 09:50:00,2.6392208997e+09,2.6392208997e+09,1.0099282183e+09,1.0099282183e+09
2020-03-15 09:55:00,2.4383108746e+09,2.4383108746e+09,7.9028921455e+08,7.9028921455e+08
2020-03-15 10:00:00,2.6149787049e+09,2.6149787049e+09,8.3575084569e+08,8.3575084569e+08
2020-03-15 10:05:00,3.1423388248e+09,3.1423388248e+09,6.5112398590e+08,6.5112398590e+08
2020-03-15 10:10:00,3.4282055829e+09,3.4282055829e+09,6.7254179793e+08,6.7254179793e+08
2020-03-15 10:15:00,3.6445215329e+09,3.6445215329e+09,6.8452283366e+08,6.8452283366e+08
2020-03-15 10:20:00,3.3284564170e+09,3.3284564170e+09,7.5821713631e+08,7.5821713631e+08
2020-03-15 10:25:00,2.8184640747e+09,2.8184640747e+09,7.3643690027e+08,7.3643690027e+08
2020-03-15 10:30:00,3.1405525457e+09,3.1405525457e+09,7.6134564805e+08,7.6134564805e+08
2020-03-15 10:35:00,3.0794293053e+09,3.0794293053e+09,7.8205416865e+08,7.8205416865e+08
2020-03-15 10:40:00,2.4176643955e+09,2.4176643955e+09,8.2028456418e+08,8.2028456418e+08
2020-03-15 10:45:00,1.8608188158e+09,1.8608188158e+09,8.4530851082e+08,8.4530851082e+08
2020-03-15 10:50:00,1.6176261136e+09,1.6176261136e+09,8.2351374717e+08,8.2351374717e+08
2020-03-15 10:55:00,1.7582266288e+09,1.7582266288e+09,8.8624379206e+08,8.8624379206e+08
2020-03-15 11:00:00,2.3414346028e+09,2.3414346028e+09,1.0277876049e+09,1.0277876049e+09
2020-03-15 11:05:00,2.9329105342e+09,2.9329105342e+09,8.5019860683e+08,8.5019860683e+08
2020-03-15 11:10:00,2.6379365937e+09,2.6379365937e+09,8.9804616361e+08,8.9804616361e+08
2020-03-15 11:15:00,2.1024209009e+09,2.1024209009e+09,8.8803926710e+08,8.8803926710e+08
2020-03-15 11:20:00,2.5084083507e+09,2.5084083507e+09,1.3824153477e+09,1.3824153477e+09
2020-03-15 11:25:00,2.3804728701e+09,2.3804728701e+09,1.1012818982e+09,1.1012818982e+09
2020-03-15 11:30:00,2.6959075581e+09,2.6959075581e+09,1.0184185537e+09,1.0184185537e+09
2020-03-15 11:35:00,4.6710626461e+09,4.6710626461e+09,1.5220206191e+09,1.5220206191e+09
2020-03-15 11:40:00,4.6334043843e+09,4.6334043843e+09,1.3864569996e+09,1.3864569996e+09
2020-03-15 11:45:00,2.7333842611e+09,2.7333842611e+09,1.3067919834e+09,1.3067919834e+09
2020-03-15 11:50:00,2.0083528884e+09,2.0083528884e+09,1.0315137074e+09,1.0315137074e+09
2020-03-15 11:55:00,1.6124040409e+09,1.6124040409e+09,9.7107090836e+08,9.7107090836e+08
