DATE,HUSI,HUSI_peak,SIHU,HUSI_peak
2020-03-30 20:00:00,7.1211421008e+08,7.1211421008e+08,3.5263301808e+08,3.5263301808e+08
2020-03-30 20:05:00,1.3148336108e+09,1.3148336108e+09,2.4506222889e+08,2.4506222889e+08
2020-03-30 20:10:00,9.4589292713e+08,9.4589292713e+08,2.9570394039e+08,2.9570394039e+08
2020-03-30 20:15:00,1.2759847181e+09,1.2759847181e+09,2.6061759616e+08,2.6061759616e+08
2020-03-30 20:20:00,7.3678893026e+08,7.3678893026e+08,2.4529834412e+08,2.4529834412e+08
2020-03-30 20:25:00,7.5257109127e+08,7.5257109127e+08,3.1717441193e+08,3.1717441193e+08
2020-03-30 20:30:00,6.9679390465e+08,6.9679390465e+08,3.5425849598e+08,3.5425849598e+08
2020-03-30 20:35:00,8.1990620799e+08,8.1990620799e+08,3.7530729374e+08,3.7530729374e+08
2020-03-30 20:40:00,1.8408726772e+09,1.8408726772e+09,3.7172428769e+08,3.7172428769e+08
2020-03-30 20:45:00,9.6499651087e+08,9.6499651087e+08,2.7052687225e+08,2.7052687225e+08
2020-03-30 20:50:00,7.3275886647e+08,7.3275886647e+08,2.9009443414e+08,2.9009443414e+08
2020-03-30 20:55:00,1.0607117073e+09,1.0607117073e+09,2.6129360860e+08,2.6129360860e+08
2020-03-30 21:00:00,1.0445096907e+09,1.0445096907e+09,2.8713160313e+08,2.8713160313e+08
2020-03-30 21:05:00,7.9010101334e+08,7.9010101334e+08,2.7180650536e+08,2.7180650536e+08
2020-03-30 21:10:00,7.6633709773e+08,7.6633709773e+08,2.4841522094e+08,2.4841522094e+08
2020-03-30 21:15:00,1.0851613865e+09,1.0851613865e+09,2.6600629378e+08,2.6600629378e+08
2020-03-30 21:20:00,7.6859553016e+08,7.6859553016e+08,2.4906706848e+08,2.4906706848e+08
2020-03-30 21:25:00,8.2593982211e+08,8.2593982211e+08,2.3112004371e+08,2.3112004371e+08
2020-03-30 21:30:00,9.2036737865e+08,9.2036737865e+08,2.8510542379e+08,2.8510542379e+08
2020-03-30 21:35:00,8.0612068679e+08,8.0612068679e+08,2.7262045546e+08,2.7262045546e+08
2020-03-30 21:40:00,8.5666236873e+08,8.5666236873e+08,2.5705726092e+08,2.5705726092e+08
2020-03-30 21:45:00,9.8014480785e+08,9.8014480785e+08,2.6311524736e+08,2.6311524736e+08
2020-03-30 21:50:00,8.1977179200e+08,8.1977179200e+08,3.1223275226e+08,3.1223275226e+08
2020-03-30 21:55:00,9.1315745287e+08,9.1315745287e+08,3.5706112545e+08,3.5706112545e+08
2020-03-30 22:00:00,8.1622458760e+08,8.1622458760e+08,2.5885438180e+08,2.5885438180e+08
2020-03-30 22:05:00,8.0152772085e+08,8.0152772085e+08,2.6491243579e+08,2.6491243579e+08
2020-03-30 22:10:00,9.3071511466e+08,9.3071511466e+08,2.8697352519e+08,2.8697352519e+08
2020-03-30 22:15:00,8.5410251255e+08,8.5410251255e+08,3.0876649439e+08,3.0876649439e+08
2020-03-30 22:20:00,8.0892921575e+08,8.0892921575e+08,3.5698341990e+08,3.5698341990e+08
2020-03-30 22:25:00,8.2784010420e+08,8.2784010420e+08,3.1204044158e+08,3.1204044158e+08
2020-03-30 22:30:00,7.9081910090e+08,7.9081910090e+08,2.9288831901e+08,2.9288831901e+08
2020-03-30 22:35:00,8.8666147748e+08,8.8666147748e+08,2.7828620892e+08,2.7828620892e+08
2020-03-30 22:40:00,8.1345938753e+08,8.1345938753e+08,4.3818073248e+08,4.3818073248e+08
2020-03-30 22:45:00,8.8105266325e+08,8.8105266325e+08,3.0526510659e+08,3.0526510659e+08
2020-03-30 22:50:00,8.9387482697e+08,8.9387482697e+08,4.3447592457e+08,4.3447592457e+08
2020-03-30 22:55:00,8.4775458701e+08,8.4775458701e+08,7.8174764487e+08,7.8174764487e+08
2020-03-30 23:00:00,8.4153208567e+08,8.4153208567e+08,6.6797739089e+08,6.6797739089e+08
2020-03-30 23:05:00,7.9845855274e+08,7.9845855274e+08,2.0951350950e+09,2.0951350950e+09
2020-03-30 23:10:00,8.2452510422e+08,8.2452510422e+08,1.0432560358e+09,1.0432560358e+09
2020-03-30 23:15:00,7.7730290833e+08,7.7730290833e+08,1.1387214486e+09,1.1387214486e+09
2020-03-30 23:20:00,8.0562947663e+08,8.0562947663e+08,4.1270765022e+08,4.1270765022e+08
2020-03-30 23:25:00,8.6918689154e+08,8.6918689154e+08,3.4567041439e+08,3.4567041439e+08
2020-03-30 23:30:00,8.7082819024e+08,8.7082819024e+08,2.8510271098e+08,2.8510271098e+08
2020-03-30 23:35:00,7.8158763908e+08,7.8158763908e+08,3.3283326942e+08,3.3283326942e+08
2020-03-30 23:40:00,8.3286670297e+08,8.3286670297e+08,3.7247371415e+08,3.7247371415e+08
2020-03-30 23:45:00,7.8069788656e+08,7.8069788656e+08,3.8098769742e+08,3.8098769742e+08
2020-03-30 23:50:00,8.3634435945e+08,8.3634435945e+08,7.8328797191e+08,7.8328797191e+08
2020-03-30 23:55:00,7.9382727721e+08,7.9382727721e+08,1.0634653000e+09,1.0634653000e+09
2020-03-31 00:00:00,7.8786485620e+08,7.8786485620e+08,1.7797880092e+09,1.7797880092e+09
2020-03-31 00:05:00,7.7278183643e+08,7.7278183643e+08,1.5872531962e+09,1.5872531962e+09
2020-03-31 00:10:00,7.7269832810e+08,7.7269832810e+08,1.0525150626e+09,1.0525150626e+09
2020-03-31 00:15:00,7.5587956657e+08,7.5587956657e+08,9.1007214323e+08,9.1007214323e+08
2020-03-31 00:20:00,8.0885621317e+08,8.0885621317e+08,6.8134827298e+08,6.8134827298e+08
2020-03-31 00:25:00,8.0055589123e+08,8.0055589123e+08,7.1288925177e+08,7.1288925177e+08
2020-03-31 00:30:00,7.5277224603e+08,7.5277224603e+08,3.0528063466e+08,3.0528063466e+08
2020-03-31 00:35:00,7.8851912375e+08,7.8851912375e+08,2.8306757243e+08,2.8306757243e+08
2020-03-31 00:40:00,7.4685495916e+08,7.4685495916e+08,3.0709015882e+08,3.0709015882e+08
