DATE,BEUK,BEUK_peak,UKBE,BEUK_peak
2020-03-22 04:40:00,2.5478576847e+08,2.5478576847e+08,2.0825467078e+07,2.0825467078e+07
2020-03-22 04:45:00,2.2590594734e+08,2.2590594734e+08,2.1073389182e+07,2.1073389182e+07
2020-03-22 04:50:00,2.1953722223e+08,2.1953722223e+08,2.5488838887e+07,2.5488838887e+07
2020-03-22 04:55:00,2.1807694105e+08,2.1807694105e+08,3.1853018986e+07,3.1853018986e+07
2020-03-22 05:00:00,2.3392965230e+08,2.3392965230e+08,3.0370108789e+07,3.0370108789e+07
2020-03-22 05:05:00,2.3987813308e+08,2.3987813308e+08,3.0453587311e+07,3.0453587311e+07
2020-03-22 05:10:00,2.5111900210e+08,2.5111900210e+08,1.3005765402e+07,1.3005765402e+07
2020-03-22 05:15:00,2.1809388612e+08,2.1809388612e+08,3.2576455223e+07,3.2576455223e+07
2020-03-22 05:20:00,2.2661960029e+08,2.2661960029e+08,3.1009004502e+07,3.1009004502e+07
2020-03-22 05:25:00,2.1755845284e+08,2.1755845284e+08,1.6316728305e+07,1.6316728305e+07
2020-03-22 05:30:00,2.2630025616e+08,2.2630025616e+08,1.9871736320e+07,1.9871736320e+07
2020-03-22 05:35:00,2.1508432799e+08,2.1508432799e+08,1.9268482548e+07,1.9268482548e+07
2020-03-22 05:40:00,2.3077761803e+08,2.3077761803e+08,1.9796460439e+07,1.9796460439e+07
2020-03-22 05:45:00,2.3519321965e+08,2.3519321965e+08,5.4862304511e+07,5.4862304511e+07
2020-03-22 05:50:00,2.1998438366e+08,2.1998438366e+08,2.0829710474e+07,2.0829710474e+07
2020-03-22 05:55:00,2.2628450881e+08,2.2628450881e+08,2.1137673983e+07,2.1137673983e+07
2020-03-22 06:00:00,2.4188132172e+08,2.4188132172e+08,1.9850945225e+07,1.9850945225e+07
2020-03-22 06:05:00,2.2261951165e+08,2.2261951165e+08,2.0624854812e+07,2.0624854812e+07
2020-03-22 06:10:00,2.2414222609e+08,2.2414222609e+08,2.0341723905e+07,2.0341723905e+07
2020-03-22 06:15:00,2.3518079613e+08,2.3518079613e+08,2.5632556691e+07,2.5632556691e+07
2020-03-22 06:20:00,2.4090158433e+08,2.4090158433e+08,2.8756542270e+07,2.8756542270e+07
