DATE,CHIT,CHIT_peak,ITCH,CHIT_peak
2020-03-27 02:45:00,2.5728942408e+10,2.5728942408e+10,3.0546421327e+10,3.0546421327e+10
2020-03-27 02:50:00,3.0102651506e+10,3.0102651506e+10,3.3927864931e+10,3.3927864931e+10
2020-03-27 02:55:00,2.7494906282e+10,2.7494906282e+10,3.0534171990e+10,3.0534171990e+10
2020-03-27 03:00:00,2.7761143806e+10,2.7761143806e+10,3.1979758875e+10,3.1979758875e+10
2020-03-27 03:05:00,2.7299547366e+10,2.7299547366e+10,3.2816383643e+10,3.2816383643e+10
2020-03-27 03:10:00,3.4792080486e+10,3.4792080486e+10,4.2434716097e+10,4.2434716097e+10
2020-03-27 03:15:00,2.8876769133e+10,2.8876769133e+10,3.1965958501e+10,3.1965958501e+10
2020-03-27 03:20:00,2.3978915825e+10,2.3978915825e+10,3.2045506742e+10,3.2045506742e+10
2020-03-27 03:25:00,2.3923796224e+10,2.3923796224e+10,3.2029815511e+10,3.2029815511e+10
2020-03-27 03:30:00,2.3994305664e+10,2.3994305664e+10,3.1833332872e+10,3.1833332872e+10
2020-03-27 03:35:00,2.4468609991e+10,2.4468609991e+10,3.0642721746e+10,3.0642721746e+10
2020-03-27 03:40:00,2.7324668930e+10,2.7324668930e+10,3.0188963630e+10,3.0188963630e+10
2020-03-27 03:45:00,2.6657996818e+10,2.6657996818e+10,2.8847692658e+10,2.8847692658e+10
2020-03-27 03:50:00,2.5235208992e+10,2.5235208992e+10,2.4824175515e+10,2.4824175515e+10
2020-03-27 03:55:00,2.6049516083e+10,2.6049516083e+10,2.7720723685e+10,2.7720723685e+10
2020-03-27 04:00:00,2.3995833405e+10,2.3995833405e+10,2.4248357490e+10,2.4248357490e+10
2020-03-27 04:05:00,2.6909613204e+10,2.6909613204e+10,2.0725087436e+10,2.0725087436e+10
2020-03-27 04:10:00,2.6120571567e+10,2.6120571567e+10,2.2071079500e+10,2.2071079500e+10
2020-03-27 04:15:00,3.1340044806e+10,3.1340044806e+10,2.7293155881e+10,2.7293155881e+10
2020-03-27 04:20:00,3.3067349723e+10,3.3067349723e+10,3.0053780988e+10,3.0053780988e+10
2020-03-27 04:25:00,3.1845269449e+10,3.1845269449e+10,2.9408680046e+10,2.9408680046e+10
2020-03-27 04:30:00,3.2084634723e+10,3.2084634723e+10,2.5929191662e+10,2.5929191662e+10
2020-03-27 04:35:00,2.5490389441e+10,2.5490389441e+10,2.4474735394e+10,2.4474735394e+10
2020-03-27 04:40:00,2.5925359929e+10,2.5925359929e+10,2.4842368600e+10,2.4842368600e+10
2020-03-27 04:45:00,3.0923188528e+10,3.0923188528e+10,2.5213520046e+10,2.5213520046e+10
2020-03-27 04:50:00,3.1058734239e+10,3.1058734239e+10,2.7094722027e+10,2.7094722027e+10
2020-03-27 04:55:00,2.9708597657e+10,2.9708597657e+10,3.2641528608e+10,3.2641528608e+10
2020-03-27 05:00:00,3.0928533198e+10,3.0928533198e+10,2.3759920176e+10,2.3759920176e+10
2020-03-27 05:05:00,3.0569888753e+10,3.0569888753e+10,2.9471335291e+10,2.9471335291e+10
2020-03-27 05:10:00,3.0249217107e+10,3.0249217107e+10,2.8952861212e+10,2.8952861212e+10
2020-03-27 05:15:00,2.8881966245e+10,2.8881966245e+10,3.3869382258e+10,3.3869382258e+10
2020-03-27 05:20:00,2.7925703518e+10,2.7925703518e+10,2.7417710727e+10,2.7417710727e+10
2020-03-27 05:25:00,3.1689784040e+10,3.1689784040e+10,2.6962651822e+10,2.6962651822e+10
2020-03-27 05:30:00,3.0261088580e+10,3.0261088580e+10,3.0007640524e+10,3.0007640524e+10
2020-03-27 05:35:00,3.4121478993e+10,3.4121478993e+10,2.9489829896e+10,2.9489829896e+10
2020-03-27 05:40:00,3.1275781851e+10,3.1275781851e+10,3.5991890752e+10,3.5991890752e+10
2020-03-27 05:45:00,3.2858765810e+10,3.2858765810e+10,3.3489983791e+10,3.3489983791e+10
2020-03-27 05:50:00,3.6620946547e+10,3.6620946547e+10,3.2386163884e+10,3.2386163884e+10
2020-03-27 05:55:00,4.0660432168e+10,4.0660432168e+10,3.3260784023e+10,3.3260784023e+10
2020-03-27 06:00:00,3.5992066629e+10,3.5992066629e+10,3.4267707701e+10,3.4267707701e+10
2020-03-27 06:05:00,3.6326013266e+10,3.6326013266e+10,3.3032141500e+10,3.3032141500e+10
2020-03-27 06:10:00,3.5750900498e+10,3.5750900498e+10,2.9859838855e+10,2.9859838855e+10
2020-03-27 06:15:00,2.9637767996e+10,2.9637767996e+10,3.8300817519e+10,3.8300817519e+10
2020-03-27 06:20:00,2.6200616562e+10,2.6200616562e+10,4.0825233251e+10,4.0825233251e+10
2020-03-27 06:25:00,2.7811811149e+10,2.7811811149e+10,3.8923195017e+10,3.8923195017e+10
2020-03-27 06:30:00,2.7431611715e+10,2.7431611715e+10,3.5928459650e+10,3.5928459650e+10
2020-03-27 06:35:00,2.9339544330e+10,2.9339544330e+10,3.7539878490e+10,3.7539878490e+10
2020-03-27 06:40:00,2.9142596716e+10,2.9142596716e+10,4.8863145252e+10,4.8863145252e+10
2020-03-27 06:45:00,3.0376179365e+10,3.0376179365e+10,3.9694439025e+10,3.9694439025e+10
2020-03-27 06:50:00,2.7156901697e+10,2.7156901697e+10,4.0886800151e+10,4.0886800151e+10
2020-03-27 06:55:00,2.8732530575e+10,2.8732530575e+10,3.9521275985e+10,3.9521275985e+10
2020-03-27 07:00:00,2.7310806527e+10,2.7310806527e+10,3.8788097771e+10,3.8788097771e+10
2020-03-27 07:05:00,2.2737552269e+10,2.2737552269e+10,3.5353096155e+10,3.5353096155e+10
2020-03-27 07:10:00,2.3498339656e+10,2.3498339656e+10,3.2963999034e+10,3.2963999034e+10
2020-03-27 07:15:00,2.2268515443e+10,2.2268515443e+10,3.1876373200e+10,3.1876373200e+10
2020-03-27 07:20:00,2.8179239653e+10,2.8179239653e+10,3.4844787724e+10,3.4844787724e+10
2020-03-27 07:25:00,2.8829798596e+10,2.8829798596e+10,3.3489511258e+10,3.3489511258e+10
2020-03-27 07:30:00,3.0717280408e+10,3.0717280408e+10,3.2768778445e+10,3.2768778445e+10
2020-03-27 07:35:00,2.8240630819e+10,2.8240630819e+10,4.1208858044e+10,4.1208858044e+10
2020-03-27 07:40:00,2.4020607713e+10,2.4020607713e+10,4.3252825965e+10,4.3252825965e+10
2020-03-27 07:45:00,3.0476553495e+10,3.0476553495e+10,3.8547736496e+10,3.8547736496e+10
2020-03-27 07:50:00,3.4796480047e+10,3.4796480047e+10,3.3009734636e+10,3.3009734636e+10
2020-03-27 07:55:00,3.5731861150e+10,3.5731861150e+10,4.1296599370e+10,4.1296599370e+10
2020-03-27 08:00:00,3.8578575792e+10,3.8578575792e+10,3.7011004524e+10,3.7011004524e+10
2020-03-27 08:05:00,4.0179675610e+10,4.0179675610e+10,3.9805214371e+10,3.9805214371e+10
2020-03-27 08:10:00,3.8948815937e+10,3.8948815937e+10,3.4565758693e+10,3.4565758693e+10
2020-03-27 08:15:00,3.7625229328e+10,3.7625229328e+10,3.9832430499e+10,3.9832430499e+10
2020-03-27 08:20:00,3.5525826630e+10,3.5525826630e+10,3.9802190340e+10,3.9802190340e+10
2020-03-27 08:25:00,2.5451980418e+10,2.5451980418e+10,3.9145280663e+10,3.9145280663e+10
2020-03-27 08:30:00,2.4066985715e+10,2.4066985715e+10,4.3117263135e+10,4.3117263135e+10
