DATE,CZAT,CZAT_peak,ATCZ,ATCZ_peak
2020-03-15 07:50:00,3.9557407455e+09,3.9557407455e+09,1.0117027504e+10,1.0117027504e+10
2020-03-15 07:55:00,1.8325637037e+09,1.8325637037e+09,1.0777248324e+10,1.0777248324e+10
2020-03-15 08:00:00,2.3581437403e+09,2.3581437403e+09,1.1137902814e+10,1.1137902814e+10
2020-03-15 08:05:00,4.3183471336e+09,4.3183471336e+09,1.3516336852e+10,1.3516336852e+10
2020-03-15 08:10:00,4.0226594926e+09,4.0226594926e+09,1.1414234755e+10,1.1414234755e+10
2020-03-15 08:15:00,3.3395061675e+09,3.3395061675e+09,1.0736217279e+10,1.0736217279e+10
2020-03-15 08:20:00,3.2827204358e+09,3.2827204358e+09,1.0818891531e+10,1.0818891531e+10
2020-03-15 08:25:00,2.4430994719e+09,2.4430994719e+09,1.3031501174e+10,1.3031501174e+10
2020-03-15 08:30:00,1.6986126816e+09,1.6986126816e+09,1.5461981177e+10,1.5461981177e+10
2020-03-15 08:35:00,2.7517843352e+09,2.7517843352e+09,1.9843472888e+10,1.9843472888e+10
2020-03-15 08:40:00,3.9440331939e+09,3.9440331939e+09,1.5295152633e+10,1.5295152633e+10
2020-03-15 08:45:00,3.4753522970e+09,3.4753522970e+09,1.5868598925e+10,1.5868598925e+10
2020-03-15 08:50:00,4.8119281805e+09,4.8119281805e+09,1.7280290749e+10,1.7280290749e+10
2020-03-15 08:55:00,3.3206007975e+09,3.3206007975e+09,1.8422319904e+10,1.8422319904e+10
2020-03-15 09:00:00,2.6508545441e+09,2.6508545441e+09,1.8511354648e+10,1.8511354648e+10
2020-03-15 09:05:00,2.7494145417e+09,2.7494145417e+09,1.9262986742e+10,1.9262986742e+10
2020-03-15 09:10:00,3.3906192242e+09,3.3906192242e+09,1.8289425909e+10,1.8289425909e+10
2020-03-15 09:15:00,2.8477312700e+09,2.8477312700e+09,1.7831292424e+10,1.7831292424e+10
2020-03-15 09:20:00,3.4344232363e+09,3.4344232363e+09,1.8508994807e+10,1.8508994807e+10
2020-03-15 09:25:00,2.8812336278e+09,2.8812336278e+09,1.7888775315e+10,1.7888775315e+10
2020-03-15 09:30:00,2.5509977332e+09,2.5509977332e+09,1.8378497966e+10,1.8378497966e+10
2020-03-15 09:35:00,4.2424776487e+09,4.2424776487e+09,2.1552830026e+10,2.1552830026e+10
2020-03-15 09:40:00,4.9972874727e+09,4.9972874727e+09,1.5200271344e+10,1.5200271344e+10
2020-03-15 09:45:00,3.6537706637e+09,3.6537706637e+09,1.7206703949e+10,1.7206703949e+10
2020-03-15 09:50:00,3.1262078646e+09,3.1262078646e+09,1.6972347444e+10,1.6972347444e+10
2020-03-15 09:55:00,3.1256534698e+09,3.1256534698e+09,1.7120012950e+10,1.7120012950e+10
2020-03-15 10:00:00,2.7170685278e+09,2.7170685278e+09,1.5782137254e+10,1.5782137254e+10
2020-03-15 10:05:00,2.8757662742e+09,2.8757662742e+09,1.9412196422e+10,1.9412196422e+10
2020-03-15 10:10:00,3.6922810503e+09,3.6922810503e+09,1.6528579746e+10,1.6528579746e+10
2020-03-15 10:15:00,3.7073207889e+09,3.7073207889e+09,1.6517484701e+10,1.6517484701e+10
2020-03-15 10:20:00,3.1934411856e+09,3.1934411856e+09,1.7087202419e+10,1.7087202419e+10
2020-03-15 10:25:00,3.7810893019e+09,3.7810893019e+09,1.4668099058e+10,1.4668099058e+10
2020-03-15 10:30:00,3.9410190181e+09,3.9410190181e+09,1.6236666020e+10,1.6236666020e+10
2020-03-15 10:35:00,3.6841876251e+09,3.6841876251e+09,2.0772343184e+10,2.0772343184e+10
2020-03-15 10:40:00,3.4042827897e+09,3.4042827897e+09,1.5685141801e+10,1.5685141801e+10
2020-03-15 10:45:00,3.1885278326e+09,3.1885278326e+09,1.4694512319e+10,1.4694512319e+10
2020-03-15 10:50:00,3.4037971806e+09,3.4037971806e+09,1.3463898737e+10,1.3463898737e+10
2020-03-15 10:55:00,3.0146539509e+09,3.0146539509e+09,1.4452100708e+10,1.4452100708e+10
2020-03-15 11:00:00,2.6001424410e+09,2.6001424410e+09,1.8025058592e+10,1.8025058592e+10
2020-03-15 11:05:00,4.1500507221e+09,4.1500507221e+09,1.9392796598e+10,1.9392796598e+10
2020-03-15 11:10:00,3.7067573619e+09,3.7067573619e+09,2.0976158223e+10,2.0976158223e+10
