DATE,DUEE,DUEE_peak,EEDU,DUEE_peak
2020-03-15 04:25:00,8.5255457239e+08,8.5255457239e+08,9.1011205739e+08,9.1011205739e+08
2020-03-15 04:30:00,3.2926523226e+08,3.2926523226e+08,9.9527193293e+08,9.9527193293e+08
2020-03-15 04:35:00,8.6415994653e+08,8.6415994653e+08,8.0797554768e+08,8.0797554768e+08
2020-03-15 04:40:00,5.9363093226e+08,5.9363093226e+08,7.6316477553e+08,7.6316477553e+08
2020-03-15 04:45:00,3.6349473141e+08,3.6349473141e+08,8.0976811884e+08,8.0976811884e+08
2020-03-15 04:50:00,1.9161968696e+09,1.9161968696e+09,7.4981449431e+08,7.4981449431e+08
2020-03-15 04:55:00,8.5184428834e+08,8.5184428834e+08,7.8288923669e+08,7.8288923669e+08
2020-03-15 05:00:00,1.3936922496e+09,1.3936922496e+09,1.5061741834e+09,1.5061741834e+09
2020-03-15 05:05:00,1.0666964629e+09,1.0666964629e+09,7.3008732313e+08,7.3008732313e+08
2020-03-15 05:10:00,1.4778757482e+09,1.4778757482e+09,7.5969372154e+08,7.5969372154e+08
2020-03-15 05:15:00,9.5158105838e+08,9.5158105838e+08,8.9994288571e+08,8.9994288571e+08
2020-03-15 05:20:00,1.1586604974e+09,1.1586604974e+09,1.0111443106e+09,1.0111443106e+09
2020-03-15 05:25:00,5.3929978345e+08,5.3929978345e+08,8.6112721859e+08,8.6112721859e+08
2020-03-15 05:30:00,3.4778993425e+08,3.4778993425e+08,7.7470048791e+08,7.7470048791e+08
2020-03-15 05:35:00,3.6871246426e+08,3.6871246426e+08,8.5501870424e+08,8.5501870424e+08
2020-03-15 05:40:00,5.5192523195e+08,5.5192523195e+08,8.5301603447e+08,8.5301603447e+08
2020-03-15 05:45:00,1.0272700873e+09,1.0272700873e+09,1.1827232511e+09,1.1827232511e+09
2020-03-15 05:50:00,5.0350119089e+08,5.0350119089e+08,9.0283268131e+08,9.0283268131e+08
2020-03-15 05:55:00,8.5114653616e+08,8.5114653616e+08,7.3883133100e+08,7.3883133100e+08
2020-03-15 06:00:00,9.0992639429e+08,9.0992639429e+08,1.0552689693e+09,1.0552689693e+09
2020-03-15 06:05:00,8.9351208967e+08,8.9351208967e+08,8.5330570089e+08,8.5330570089e+08
2020-03-15 06:10:00,8.9201541128e+08,8.9201541128e+08,7.5905636931e+08,7.5905636931e+08
2020-03-15 06:15:00,1.2055800670e+09,1.2055800670e+09,8.0235121995e+08,8.0235121995e+08
2020-03-15 06:20:00,1.7383663055e+09,1.7383663055e+09,7.9796185483e+08,7.9796185483e+08
2020-03-15 06:25:00,7.1874253158e+08,7.1874253158e+08,7.8733007899e+08,7.8733007899e+08
2020-03-15 06:30:00,1.0694250379e+09,1.0694250379e+09,8.7318402392e+08,8.7318402392e+08
2020-03-15 06:35:00,6.9712339804e+08,6.9712339804e+08,9.0148750259e+08,9.0148750259e+08
2020-03-15 06:40:00,5.1621238979e+08,5.1621238979e+08,7.9836012892e+08,7.9836012892e+08
2020-03-15 06:45:00,5.0073857406e+08,5.0073857406e+08,1.1290158016e+09,1.1290158016e+09
2020-03-15 06:50:00,1.0636638962e+09,1.0636638962e+09,1.0163903346e+09,1.0163903346e+09
2020-03-15 06:55:00,1.0434833519e+09,1.0434833519e+09,1.0031908694e+09,1.0031908694e+09
2020-03-15 07:00:00,1.2660060047e+09,1.2660060047e+09,1.1527106770e+09,1.1527106770e+09
2020-03-15 07:05:00,6.7310569641e+08,6.7310569641e+08,8.9925283766e+08,8.9925283766e+08
2020-03-15 07:10:00,2.2396185030e+09,2.2396185030e+09,9.4655307031e+08,9.4655307031e+08
2020-03-15 07:15:00,1.4751402033e+09,1.4751402033e+09,1.0488266689e+09,1.0488266689e+09
2020-03-15 07:20:00,6.8877303841e+08,6.8877303841e+08,1.1105454033e+09,1.1105454033e+09
2020-03-15 07:25:00,2.8444151855e+08,2.8444151855e+08,9.2455793863e+08,9.2455793863e+08
2020-03-15 07:30:00,6.8220114155e+08,6.8220114155e+08,1.0181161277e+09,1.0181161277e+09
2020-03-15 07:35:00,4.5173788600e+08,4.5173788600e+08,1.1563900993e+09,1.1563900993e+09
2020-03-15 07:40:00,6.6259364751e+08,6.6259364751e+08,1.0919663923e+09,1.0919663923e+09
2020-03-15 07:45:00,4.2797081821e+08,4.2797081821e+08,1.3462252198e+09,1.3462252198e+09
2020-03-15 07:50:00,5.7646337735e+08,5.7646337735e+08,1.1117304384e+09,1.1117304384e+09
2020-03-15 07:55:00,6.0006679590e+08,6.0006679590e+08,1.0371727629e+09,1.0371727629e+09
2020-03-15 08:00:00,1.0005268799e+09,1.0005268799e+09,1.0952813452e+09,1.0952813452e+09
2020-03-15 08:05:00,2.4148036350e+09,2.4148036350e+09,1.2417030297e+09,1.2417030297e+09
2020-03-15 08:10:00,3.3863828741e+09,3.3863828741e+09,1.2567906270e+09,1.2567906270e+09
2020-03-15 08:15:00,3.8630916527e+09,3.8630916527e+09,1.2516802410e+09,1.2516802410e+09
2020-03-15 08:20:00,4.5460430175e+09,4.5460430175e+09,1.1944029778e+09,1.1944029778e+09
2020-03-15 08:25:00,4.3111369363e+09,4.3111369363e+09,1.3969059558e+09,1.3969059558e+09
2020-03-15 08:30:00,3.6106293511e+09,3.6106293511e+09,1.7118772608e+09,1.7118772608e+09
2020-03-15 08:35:00,3.7993791156e+09,3.7993791156e+09,1.7607926597e+09,1.7607926597e+09
2020-03-15 08:40:00,3.8882473483e+09,3.8882473483e+09,1.7118684191e+09,1.7118684191e+09
2020-03-15 08:45:00,4.1010062266e+09,4.1010062266e+09,1.8390368166e+09,1.8390368166e+09
2020-03-15 08:50:00,3.9092683002e+09,3.9092683002e+09,1.6485744281e+09,1.6485744281e+09
2020-03-15 08:55:00,3.8500302469e+09,3.8500302469e+09,1.3808761527e+09,1.3808761527e+09
2020-03-15 09:00:00,3.9989486475e+09,3.9989486475e+09,1.5376656039e+09,1.5376656039e+09
2020-03-15 09:05:00,3.8460549754e+09,3.8460549754e+09,1.6517870752e+09,1.6517870752e+09
2020-03-15 09:10:00,4.2816676586e+09,4.2816676586e+09,1.5188522540e+09,1.5188522540e+09
2020-03-15 09:15:00,3.7093742168e+09,3.7093742168e+09,1.4804473811e+09,1.4804473811e+09
2020-03-15 09:20:00,3.1630501766e+09,3.1630501766e+09,1.7160054565e+09,1.7160054565e+09
2020-03-15 09:25:00,8.3884919073e+08,8.3884919073e+08,1.5432913073e+09,1.5432913073e+09
2020-03-15 09:30:00,1.9060101964e+09,1.9060101964e+09,1.5467016563e+09,1.5467016563e+09
2020-03-15 09:35:00,1.8843447376e+09,1.8843447376e+09,1.4872826731e+09,1.4872826731e+09
2020-03-15 09:40:00,1.4489602034e+09,1.4489602034e+09,1.5123238621e+09,1.5123238621e+09
