DATE,LVET,LVET_peak,ETLV,ETLV_peak
2020-03-15 06:25:00,3.5373984040e+07,3.5373984040e+07,6.1668480384e+07,6.1668480384e+07
2020-03-15 06:30:00,1.5945947250e+07,1.5945947250e+07,5.3467249813e+07,5.3467249813e+07
2020-03-15 06:35:00,1.5660719537e+07,1.5660719537e+07,5.4814035524e+07,5.4814035524e+07
2020-03-15 06:40:00,1.1733640492e+07,1.1733640492e+07,5.6685704823e+07,5.6685704823e+07
2020-03-15 06:45:00,1.6430063812e+07,1.6430063812e+07,7.1718932804e+07,7.1718932804e+07
2020-03-15 06:50:00,1.3543351269e+07,1.3543351269e+07,6.7467215848e+07,6.7467215848e+07
2020-03-15 06:55:00,1.6116335930e+07,1.6116335930e+07,6.4512301984e+07,6.4512301984e+07
2020-03-15 07:00:00,1.5197028334e+07,1.5197028334e+07,6.8354315929e+07,6.8354315929e+07
2020-03-15 07:05:00,2.5103963987e+07,2.5103963987e+07,6.7778801599e+07,6.7778801599e+07
2020-03-15 07:10:00,2.5122784079e+07,2.5122784079e+07,7.4303379609e+07,7.4303379609e+07
2020-03-15 07:15:00,1.5020342539e+07,1.5020342539e+07,9.6850204138e+07,9.6850204138e+07
2020-03-15 07:20:00,1.2196586460e+07,1.2196586460e+07,8.4966119971e+07,8.4966119971e+07
2020-03-15 07:25:00,1.2620753902e+07,1.2620753902e+07,7.0557744092e+07,7.0557744092e+07
2020-03-15 07:30:00,1.1229085906e+07,1.1229085906e+07,6.5722408804e+07,6.5722408804e+07
2020-03-15 07:35:00,1.0421152568e+07,1.0421152568e+07,1.2431113389e+08,1.2431113389e+08
2020-03-15 07:40:00,9.9749560399e+07,9.9749560399e+07,8.9664356170e+07,8.9664356170e+07
2020-03-15 07:45:00,1.0753570396e+08,1.0753570396e+08,1.1248737963e+08,1.1248737963e+08
2020-03-15 07:50:00,1.4020969687e+07,1.4020969687e+07,1.3758066297e+08,1.3758066297e+08
2020-03-15 07:55:00,1.6990415310e+07,1.6990415310e+07,6.6595315992e+07,6.6595315992e+07
2020-03-15 08:00:00,1.7474817301e+07,1.7474817301e+07,7.0009216304e+07,7.0009216304e+07
2020-03-15 08:05:00,2.0258630031e+09,2.0258630031e+09,7.8671172265e+07,7.8671172265e+07
2020-03-15 08:10:00,2.6164251664e+09,2.6164251664e+09,7.8485718354e+07,7.8485718354e+07
2020-03-15 08:15:00,3.0922375737e+09,3.0922375737e+09,1.1126918510e+08,1.1126918510e+08
2020-03-15 08:20:00,2.6868297042e+09,2.6868297042e+09,9.6885216297e+07,9.6885216297e+07
2020-03-15 08:25:00,3.0951826203e+09,3.0951826203e+09,1.0140041519e+08,1.0140041519e+08
2020-03-15 08:30:00,2.7224856810e+09,2.7224856810e+09,1.0654924201e+08,1.0654924201e+08
2020-03-15 08:35:00,3.0887996183e+09,3.0887996183e+09,1.9319900736e+08,1.9319900736e+08
2020-03-15 08:40:00,3.0974971685e+09,3.0974971685e+09,1.0102346383e+08,1.0102346383e+08
2020-03-15 08:45:00,3.0992227776e+09,3.0992227776e+09,1.1608126956e+08,1.1608126956e+08
2020-03-15 08:50:00,3.1119297435e+09,3.1119297435e+09,1.0294399221e+08,1.0294399221e+08
2020-03-15 08:55:00,3.0877257112e+09,3.0877257112e+09,1.1033392409e+08,1.1033392409e+08
2020-03-15 09:00:00,3.1548302284e+09,3.1548302284e+09,2.1640945778e+08,2.1640945778e+08
2020-03-15 09:05:00,3.0499023959e+09,3.0499023959e+09,1.1486639983e+08,1.1486639983e+08
2020-03-15 09:10:00,3.2009042786e+09,3.2009042786e+09,1.2933322997e+08,1.2933322997e+08
2020-03-15 09:15:00,3.0940636929e+09,3.0940636929e+09,1.2223026410e+08,1.2223026410e+08
2020-03-15 09:20:00,1.8839029193e+09,1.8839029193e+09,1.8334048244e+08,1.8334048244e+08
2020-03-15 09:25:00,5.4645438666e+07,5.4645438666e+07,1.8184404375e+08,1.8184404375e+08
2020-03-15 09:30:00,6.3837177940e+07,6.3837177940e+07,1.4067871460e+08,1.4067871460e+08
2020-03-15 09:35:00,8.9113252022e+07,8.9113252022e+07,1.0803692272e+08,1.0803692272e+08
2020-03-15 09:40:00,8.7954834100e+07,8.7954834100e+07,8.7041605404e+07,8.7041605404e+07
2020-03-15 09:45:00,8.6742530280e+07,8.6742530280e+07,1.1348477279e+08,1.1348477279e+08
2020-03-15 09:50:00,3.1763295286e+07,3.1763295286e+07,1.1963860623e+08,1.1963860623e+08
2020-03-15 09:55:00,1.0085245123e+08,1.0085245123e+08,1.8188742158e+08,1.8188742158e+08
2020-03-15 10:00:00,2.9176444328e+07,2.9176444328e+07,9.8000975016e+07,9.8000975016e+07
2020-03-15 10:05:00,3.3893599234e+07,3.3893599234e+07,1.0560349744e+08,1.0560349744e+08
2020-03-15 10:10:00,3.5036393264e+07,3.5036393264e+07,1.0102008603e+08,1.0102008603e+08
2020-03-15 10:15:00,3.6004138048e+07,3.6004138048e+07,1.0540039112e+08,1.0540039112e+08
2020-03-15 10:20:00,1.1536252678e+08,1.1536252678e+08,1.0726497955e+08,1.0726497955e+08
2020-03-15 10:25:00,3.5985677226e+07,3.5985677226e+07,8.7532939981e+07,8.7532939981e+07
2020-03-15 10:30:00,3.7182186800e+07,3.7182186800e+07,1.7442367556e+08,1.7442367556e+08
2020-03-15 10:35:00,3.6028803163e+07,3.6028803163e+07,8.9630185686e+07,8.9630185686e+07
2020-03-15 10:40:00,2.7301652672e+07,2.7301652672e+07,1.0025783998e+08,1.0025783998e+08
2020-03-15 10:45:00,2.9755094895e+07,2.9755094895e+07,8.1454591506e+07,8.1454591506e+07
2020-03-15 10:50:00,2.9519034734e+07,2.9519034734e+07,9.5142741539e+07,9.5142741539e+07
2020-03-15 10:55:00,2.7888240239e+07,2.7888240239e+07,1.7594476402e+08,1.7594476402e+08
2020-03-15 11:00:00,2.6529735012e+07,2.6529735012e+07,8.5119812742e+07,8.5119812742e+07
2020-03-15 11:05:00,2.8813637611e+07,2.8813637611e+07,7.5659126827e+07,7.5659126827e+07
2020-03-15 11:10:00,2.9184798565e+07,2.9184798565e+07,7.5095819968e+07,7.5095819968e+07
2020-03-15 11:15:00,5.1227606531e+08,5.1227606531e+08,6.7777977803e+07,6.7777977803e+07
2020-03-15 11:20:00,7.6368320233e+08,7.6368320233e+08,1.6681239294e+08,1.6681239294e+08
2020-03-15 11:25:00,6.8600144553e+08,6.8600144553e+08,6.9578665651e+07,6.9578665651e+07
2020-03-15 11:30:00,7.6220484617e+08,7.6220484617e+08,7.6416003030e+07,7.6416003030e+07
2020-03-15 11:35:00,7.6873601728e+08,7.6873601728e+08,7.6472461370e+07,7.6472461370e+07
2020-03-15 11:40:00,7.5852867723e+08,7.5852867723e+08,5.9092996588e+07,5.9092996588e+07
2020-03-15 11:45:00,7.6551853993e+08,7.6551853993e+08,7.9674893825e+07,7.9674893825e+07
2020-03-15 11:50:00,7.5770230660e+08,7.5770230660e+08,8.4024717707e+07,8.4024717707e+07
2020-03-15 11:55:00,6.5058078500e+08,6.5058078500e+08,5.9222249077e+07,5.9222249077e+07
2020-03-15 12:00:00,7.6246918961e+08,7.6246918961e+08,8.7325163200e+07,8.7325163200e+07
2020-03-15 12:05:00,8.2591487488e+08,8.2591487488e+08,1.2985040771e+08,1.2985040771e+08
2020-03-15 12:10:00,7.4715115891e+08,7.4715115891e+08,6.0237544056e+07,6.0237544056e+07
2020-03-15 12:15:00,7.5291633370e+08,7.5291633370e+08,6.9170373045e+07,6.9170373045e+07
2020-03-15 12:20:00,7.5454131287e+08,7.5454131287e+08,1.6377276960e+08,1.6377276960e+08
2020-03-15 12:25:00,7.5352307843e+08,7.5352307843e+08,1.1898272346e+08,1.1898272346e+08
2020-03-15 12:30:00,7.6275113741e+08,7.6275113741e+08,1.3273077579e+08,1.3273077579e+08
2020-03-15 12:35:00,8.2052318369e+08,8.2052318369e+08,1.3006541923e+08,1.3006541923e+08
2020-03-15 12:40:00,8.2749617966e+08,8.2749617966e+08,1.0002102897e+08,1.0002102897e+08
2020-03-15 12:45:00,7.6949465661e+08,7.6949465661e+08,1.5348573463e+08,1.5348573463e+08
2020-03-15 12:50:00,6.5132314767e+08,6.5132314767e+08,1.8603832955e+08,1.8603832955e+08
2020-03-15 12:55:00,7.5751256396e+08,7.5751256396e+08,1.3572042001e+08,1.3572042001e+08
2020-03-15 13:00:00,7.7506029775e+08,7.7506029775e+08,2.0732647524e+08,2.0732647524e+08
2020-03-15 13:05:00,7.4304355799e+08,7.4304355799e+08,1.8289108367e+08,1.8289108367e+08
2020-03-15 13:10:00,7.6666322785e+08,7.6666322785e+08,1.6213277925e+08,1.6213277925e+08
2020-03-15 13:15:00,7.7226537283e+08,7.7226537283e+08,1.4890263729e+08,1.4890263729e+08
2020-03-15 13:20:00,6.6479000542e+08,6.6479000542e+08,1.3419117095e+08,1.3419117095e+08
2020-03-15 13:25:00,7.8971300209e+08,7.8971300209e+08,8.0353497993e+07,8.0353497993e+07
2020-03-15 13:30:00,7.6811630751e+08,7.6811630751e+08,1.0876095115e+08,1.0876095115e+08
2020-03-15 13:35:00,7.9307087118e+08,7.9307087118e+08,1.7738072563e+08,1.7738072563e+08
