DATE,DUEE,DUEE_peak,EEDU,DUEE_peak
2020-03-24 17:20:00,1.6775391756e+09,1.6775391756e+09,1.0743419293e+10,1.0743419293e+10
2020-03-24 17:25:00,2.4143312935e+09,2.4143312935e+09,1.0201907737e+10,1.0201907737e+10
2020-03-24 17:30:00,2.2366709449e+09,2.2366709449e+09,9.5139748544e+09,9.5139748544e+09
2020-03-24 17:35:00,2.1471258621e+09,2.1471258621e+09,8.5143918646e+09,8.5143918646e+09
2020-03-24 17:40:00,3.4991238442e+09,3.4991238442e+09,9.1727819400e+09,9.1727819400e+09
2020-03-24 17:45:00,1.3042405468e+09,1.3042405468e+09,1.1628602740e+10,1.1628602740e+10
2020-03-24 17:50:00,1.5343646147e+09,1.5343646147e+09,1.2138158177e+10,1.2138158177e+10
2020-03-24 17:55:00,1.7720910874e+09,1.7720910874e+09,7.7230300474e+09,7.7230300474e+09
2020-03-24 18:00:00,1.3577168223e+09,1.3577168223e+09,1.0951278735e+10,1.0951278735e+10
2020-03-24 18:05:00,3.4853376583e+09,3.4853376583e+09,1.1061317586e+10,1.1061317586e+10
2020-03-24 18:10:00,3.4934147741e+09,3.4934147741e+09,1.1966796133e+10,1.1966796133e+10
2020-03-24 18:15:00,4.8501954763e+09,4.8501954763e+09,1.1632933245e+10,1.1632933245e+10
2020-03-24 18:20:00,3.5010732841e+09,3.5010732841e+09,1.4168109928e+10,1.4168109928e+10
2020-03-24 18:25:00,2.0268518641e+09,2.0268518641e+09,1.4005113954e+10,1.4005113954e+10
2020-03-24 18:30:00,1.0092386349e+09,1.0092386349e+09,1.2055314222e+10,1.2055314222e+10
2020-03-24 18:35:00,1.1329982144e+09,1.1329982144e+09,1.0990799714e+10,1.0990799714e+10
2020-03-24 18:40:00,1.1585532178e+09,1.1585532178e+09,1.1631857602e+10,1.1631857602e+10
2020-03-24 18:45:00,1.0069172565e+09,1.0069172565e+09,1.2573129606e+10,1.2573129606e+10
