DATE,ROBG,ROBG_peak,BGRO,BGRO_peak
2020-03-15 18:40:00,1.9977433731e+10,1.9977433731e+10,2.7641265859e+09,2.7641265859e+09
2020-03-15 18:45:00,1.9806334540e+10,1.9806334540e+10,2.7294113901e+09,2.7294113901e+09
2020-03-15 18:50:00,2.2753406042e+10,2.2753406042e+10,2.6407166613e+09,2.6407166613e+09
2020-03-15 18:55:00,2.1873060300e+10,2.1873060300e+10,3.2283118276e+09,3.2283118276e+09
2020-03-15 19:00:00,1.8373784463e+10,1.8373784463e+10,3.6481076376e+09,3.6481076376e+09
2020-03-15 19:05:00,1.8310185122e+10,1.8310185122e+10,3.5995075114e+09,3.5995075114e+09
2020-03-15 19:10:00,1.4431019991e+10,1.4431019991e+10,2.4717829150e+09,2.4717829150e+09
2020-03-15 19:15:00,1.3166540402e+10,1.3166540402e+10,1.9627073343e+09,1.9627073343e+09
2020-03-15 19:20:00,1.2677836170e+10,1.2677836170e+10,2.9835967921e+09,2.9835967921e+09
2020-03-15 19:25:00,1.3094030748e+10,1.3094030748e+10,3.1232460485e+09,3.1232460485e+09
2020-03-15 19:30:00,1.1253709065e+10,1.1253709065e+10,3.2045936091e+09,3.2045936091e+09
2020-03-15 19:35:00,1.1940724006e+10,1.1940724006e+10,3.8399227721e+09,3.8399227721e+09
2020-03-15 19:40:00,1.5149778536e+10,1.5149778536e+10,4.1845055264e+09,4.1845055264e+09
2020-03-15 19:45:00,1.5250248901e+10,1.5250248901e+10,5.2691531599e+09,5.2691531599e+09
2020-03-15 19:50:00,1.5985943502e+10,1.5985943502e+10,3.9198796233e+09,3.9198796233e+09
