DATE,PLAT,PLAT_peak,ATPL,ATPL_peak
2020-03-28 07:40:00,3.1254759375e+08,3.1254759375e+08,2.0711867993e+07,2.0711867993e+07
2020-03-28 07:45:00,2.3228226798e+08,2.3228226798e+08,1.2960795717e+07,1.2960795717e+07
2020-03-28 07:50:00,2.5326758530e+08,2.5326758530e+08,6.0840675855e+07,6.0840675855e+07
2020-03-28 07:55:00,4.0792459868e+08,4.0792459868e+08,1.8898416022e+07,1.8898416022e+07
2020-03-28 08:00:00,2.6762733500e+08,2.6762733500e+08,1.0738048364e+08,1.0738048364e+08
2020-03-28 08:05:00,2.5953452822e+08,2.5953452822e+08,2.1077193300e+07,2.1077193300e+07
2020-03-28 08:10:00,3.0438599843e+08,3.0438599843e+08,2.7807452029e+07,2.7807452029e+07
2020-03-28 08:15:00,3.1183868150e+08,3.1183868150e+08,1.9097357522e+07,1.9097357522e+07
2020-03-28 08:20:00,3.2716808355e+08,3.2716808355e+08,1.2032441651e+08,1.2032441651e+08
2020-03-28 08:25:00,3.1218319648e+08,3.1218319648e+08,1.1956006584e+08,1.1956006584e+08
2020-03-28 08:30:00,3.0914631620e+08,3.0914631620e+08,2.1797933791e+07,2.1797933791e+07
2020-03-28 08:35:00,8.2152979793e+08,8.2152979793e+08,2.0267863789e+07,2.0267863789e+07
2020-03-28 08:40:00,3.7100897891e+08,3.7100897891e+08,1.6756619608e+07,1.6756619608e+07
2020-03-28 08:45:00,3.9064034951e+08,3.9064034951e+08,1.2625559379e+07,1.2625559379e+07
2020-03-28 08:50:00,3.6784148302e+08,3.6784148302e+08,1.2968835443e+07,1.2968835443e+07
2020-03-28 08:55:00,3.7201500398e+08,3.7201500398e+08,1.2312129613e+07,1.2312129613e+07
2020-03-28 09:00:00,5.2506244769e+08,5.2506244769e+08,1.3070526250e+07,1.3070526250e+07
2020-03-28 09:05:00,4.3120389668e+08,4.3120389668e+08,1.3398826211e+07,1.3398826211e+07
2020-03-28 09:10:00,4.3057556080e+08,4.3057556080e+08,1.2524125348e+07,1.2524125348e+07
2020-03-28 09:15:00,4.3905342361e+08,4.3905342361e+08,1.3233158629e+07,1.3233158629e+07
2020-03-28 09:20:00,4.6708366842e+08,4.6708366842e+08,1.9437502151e+07,1.9437502151e+07
2020-03-28 09:25:00,5.5146357441e+08,5.5146357441e+08,1.4003830029e+07,1.4003830029e+07
2020-03-28 09:30:00,4.6263131117e+08,4.6263131117e+08,1.3873393818e+07,1.3873393818e+07
2020-03-28 09:35:00,9.8890419889e+08,9.8890419889e+08,1.1792147373e+08,1.1792147373e+08
2020-03-28 09:40:00,5.0123818402e+08,5.0123818402e+08,1.8462964003e+08,1.8462964003e+08
2020-03-28 09:45:00,4.2528451110e+08,4.2528451110e+08,2.9705465208e+07,2.9705465208e+07
2020-03-28 09:50:00,4.7874147506e+08,4.7874147506e+08,5.2672022043e+07,5.2672022043e+07
2020-03-28 09:55:00,4.4682541369e+08,4.4682541369e+08,1.5917879754e+07,1.5917879754e+07
2020-03-28 10:00:00,4.1814233714e+08,4.1814233714e+08,1.6341565821e+07,1.6341565821e+07
2020-03-28 10:05:00,4.1988505321e+08,4.1988505321e+08,4.1162664110e+07,4.1162664110e+07
2020-03-28 10:10:00,5.4366436840e+08,5.4366436840e+08,2.6502114946e+07,2.6502114946e+07
2020-03-28 10:15:00,4.8896666996e+08,4.8896666996e+08,1.4871435723e+07,1.4871435723e+07
2020-03-28 10:20:00,4.5155245031e+08,4.5155245031e+08,1.8077734477e+07,1.8077734477e+07
2020-03-28 10:25:00,4.2648136922e+08,4.2648136922e+08,1.3926561054e+07,1.3926561054e+07
2020-03-28 10:30:00,4.5053972007e+08,4.5053972007e+08,1.5118678411e+07,1.5118678411e+07
2020-03-28 10:35:00,5.5054305332e+08,5.5054305332e+08,1.5553848468e+07,1.5553848468e+07
2020-03-28 10:40:00,4.5218661119e+08,4.5218661119e+08,1.3576147496e+07,1.3576147496e+07
2020-03-28 10:45:00,4.8527796471e+08,4.8527796471e+08,1.7145839030e+07,1.7145839030e+07
2020-03-28 10:50:00,5.6419475320e+08,5.6419475320e+08,1.3373614456e+07,1.3373614456e+07
2020-03-28 10:55:00,5.4576071062e+08,5.4576071062e+08,1.6959110213e+07,1.6959110213e+07
2020-03-28 11:00:00,5.6406091847e+08,5.6406091847e+08,1.3718662384e+07,1.3718662384e+07
2020-03-28 11:05:00,1.0834331545e+09,1.0834331545e+09,1.6042995215e+07,1.6042995215e+07
2020-03-28 11:10:00,5.2212091836e+08,5.2212091836e+08,1.9426875856e+07,1.9426875856e+07
2020-03-28 11:15:00,5.5543370028e+08,5.5543370028e+08,3.0503467211e+07,3.0503467211e+07
2020-03-28 11:20:00,4.6692031671e+08,4.6692031671e+08,3.1368235904e+07,3.1368235904e+07
2020-03-28 11:25:00,6.4329194319e+08,6.4329194319e+08,2.5980025079e+07,2.5980025079e+07
2020-03-28 11:30:00,4.4436526381e+08,4.4436526381e+08,2.8431909786e+07,2.8431909786e+07
2020-03-28 11:35:00,5.6462763012e+08,5.6462763012e+08,1.5828731586e+07,1.5828731586e+07
2020-03-28 11:40:00,6.7737441532e+08,6.7737441532e+08,9.0364044553e+07,9.0364044553e+07
2020-03-28 11:45:00,6.1135819686e+08,6.1135819686e+08,2.5658212885e+07,2.5658212885e+07
2020-03-28 11:50:00,5.9841510892e+08,5.9841510892e+08,2.3818428000e+07,2.3818428000e+07
2020-03-28 11:55:00,5.9623423451e+08,5.9623423451e+08,3.0320220444e+07,3.0320220444e+07
2020-03-28 12:00:00,6.0934724375e+08,6.0934724375e+08,2.9103678490e+07,2.9103678490e+07
2020-03-28 12:05:00,5.0583129375e+08,5.0583129375e+08,3.7592663992e+07,3.7592663992e+07
2020-03-28 12:10:00,5.9667370660e+08,5.9667370660e+08,2.7840302237e+07,2.7840302237e+07
2020-03-28 12:15:00,5.2303045629e+08,5.2303045629e+08,3.0332454854e+07,3.0332454854e+07
2020-03-28 12:20:00,5.0910472000e+08,5.0910472000e+08,3.4183727825e+07,3.4183727825e+07
2020-03-28 12:25:00,5.3649587466e+08,5.3649587466e+08,2.7428639288e+07,2.7428639288e+07
